rollout/episode_steps,eval/episodes,total/duration,rollout/actions_std,reference_Q_mean,train/loss_critic,eval/return,rollout/episodes,train/loss_actor,rollout/actions_mean,rollout/return,total/steps,reference_actor_Q_std,reference_perturbed_action_std,rollout/Q_mean,obs_rms_mean,ret_rms_std,reference_action_mean,obs_rms_std,eval/Q,reference_action_std,total/episodes,eval/return_history,reference_perturbed_action_mean,param_noise_stddev,reference_Q_std,ret_rms_mean,rollout/return_history,reference_actor_Q_mean,total/steps_per_second,total/epochs,train/param_noise_distance
1000.0,331.0,3689.3457067012787,0.68406081199646,211.06236267089844,49.353763580322266,1454.7101698304484,331.0,-210.90826416015625,0.21489357948303223,650.0408451124059,331000,4.522829532623291,0.6778860688209534,146.98915100097656,0.1725136935710907,1.0,0.28675931692123413,2.447026252746582,225.44015502929688,0.700212299823761,331.0,1208.7703198201762,0.3320716321468353,0.0314234939421342,4.939332485198975,0.0,1066.8044377124827,212.6343231201172,89.71780535469365,331,0.21696703135967255
1000.0,332.0,3700.550308227539,0.6844119429588318,211.58984375,22.800127029418945,1385.897607303923,332.0,-213.54583740234375,0.21431122720241547,652.0696566643124,332000,4.4840240478515625,0.7167333960533142,147.2250518798828,0.17250759899616241,1.0,0.309754341840744,2.4477202892303467,226.04808044433594,0.6797258853912354,332.0,1211.3032265934066,0.26353907585144043,0.030804326970036468,4.937650680541992,0.0,1068.963001922822,213.44967651367188,89.71638603638354,332,0.19304731488227844
1000.0,333.0,3711.8469495773315,0.684746265411377,211.9825439453125,79.80656433105469,1319.3401435318603,333.0,-212.73602294921875,0.21401219069957733,653.7350700312185,333000,4.329424858093262,0.7113412022590637,147.46139526367188,0.1725783795118332,1.0,0.22473765909671783,2.4490163326263428,226.23252868652344,0.7164364457130432,333.0,1214.4216463367325,0.15424267947673798,0.030804326970036468,4.869104862213135,0.0,1070.018139630062,213.85702514648438,89.71275069353783,333,0.18823319673538208
1000.0,334.0,3723.1709122657776,0.6852609515190125,214.30169677734375,34.75618362426758,1397.5020185280628,334.0,-213.04727172851562,0.21331997215747833,655.4287028846248,334000,3.8955419063568115,0.6299196481704712,147.69725036621094,0.1725989580154419,1.0,0.30766022205352783,2.4497411251068115,227.17039489746094,0.6586222052574158,334.0,1219.3521192241067,0.30485811829566956,0.030804326970036468,4.516782760620117,0.0,1073.1130182693907,216.03616333007812,89.70847910840078,334,0.21765141189098358
1000.0,335.0,3734.416857481003,0.6856696605682373,214.52542114257812,2.908789873123169,1261.5910651737672,335.0,-214.07901000976562,0.21282349526882172,657.6957561451026,335000,3.8719115257263184,0.7468823194503784,147.93667602539062,0.1726391464471817,1.0,0.10222245007753372,2.449899435043335,228.05670166015625,0.7487771511077881,335.0,1221.1757502338141,0.15143398940563202,0.02960235274322695,3.998579263687134,0.0,1080.7334685747558,216.46807861328125,89.70610748205797,335,0.17326872050762177
1000.0,336.0,3745.655728340149,0.686099648475647,214.19114685058594,35.6138801574707,1413.3288843312646,336.0,-214.23666381835938,0.21228943765163422,659.4649816509512,336000,4.0450615882873535,0.7329758405685425,148.17556762695312,0.17267121374607086,1.0,0.126870796084404,2.449906587600708,228.8010711669922,0.7266077399253845,336.0,1224.176572024712,0.14795204997062683,0.030197360033365813,4.383290767669678,0.0,1083.733624476046,215.67535400390625,89.70391951875811,336,0.19973230361938477
1000.0,337.0,3757.011162996292,0.6865816712379456,215.88677978515625,4.493643283843994,1445.0595519028689,337.0,-215.6890411376953,0.21185597777366638,661.7616978416237,337000,3.8215298652648926,0.7442014813423157,148.41595458984375,0.17275747656822205,1.0,0.2168150395154953,2.4505674839019775,229.82020568847656,0.7129741907119751,337.0,1227.5933224121557,0.10817594081163406,0.028447279136688073,4.182968616485596,0.0,1087.5723163081507,217.50701904296875,89.69896158925323,337,0.1974484622478485
1000.0,338.0,3768.3482649326324,0.6868730187416077,216.7910614013672,36.591400146484375,1384.1658833181157,338.0,-216.72607421875,0.21131311357021332,663.4044855039426,338000,4.081615924835205,0.7550582885742188,148.6558074951172,0.17277953028678894,1.0,0.18870103359222412,2.45050311088562,230.60604858398438,0.7357206344604492,338.0,1231.5750034962095,0.12383509427309036,0.028447279136688073,3.962254047393799,0.0,1090.3290758210046,218.0615234375,89.69446989423693,338,0.18480344116687775
1000.0,339.0,3779.702610015869,0.6871250867843628,215.56808471679688,111.71774291992188,1546.8633253259181,339.0,-215.91693115234375,0.21091274917125702,664.7586640967631,339000,4.312894821166992,0.6951244473457336,148.89207458496094,0.17278146743774414,1.0,0.28865960240364075,2.4510135650634766,230.0458984375,0.6826313734054565,339.0,1236.2828873986502,0.2969011068344116,0.02960235274322695,4.749308109283447,0.0,1091.7434456689239,217.15293884277344,89.68959597553541,339,0.18677303194999695
1000.0,340.0,3791.0217242240906,0.6874481439590454,218.59506225585938,38.66037368774414,1546.8109854192123,340.0,-218.4634246826172,0.210464745759964,667.3851758320319,340000,3.7363085746765137,0.7522121071815491,149.1348419189453,0.17282944917678833,1.0,0.05959317088127136,2.4521589279174805,231.90899658203125,0.7432717084884644,340.0,1241.6591865846892,0.025151720270514488,0.030197360033365813,4.1386237144470215,0.0,1097.0153678558515,220.28207397460938,89.68558471386442,340,0.21327289938926697
