train/param_noise_distance,rollout/return_history,rollout/return,total/episodes,rollout/episodes,ret_rms_std,total/duration,eval/Q,reference_action_std,rollout/episode_steps,eval/return,obs_rms_mean,reference_actor_Q_mean,eval/return_history,rollout/Q_mean,eval/episodes,train/loss_actor,total/epochs,rollout/actions_mean,reference_action_mean,total/steps,reference_Q_std,reference_Q_mean,reference_actor_Q_std,total/steps_per_second,train/loss_critic,rollout/actions_std,ret_rms_mean,obs_rms_std
0.0,-73.77180888379522,-73.77180888379522,11.0,11.0,1.0,353.7562749385834,76.8490982055664,0.7177464365959167,1000.0,549.4747421354587,0.07227984070777893,70.37683868408203,-78.45981187693219,32.2044677734375,11.0,-69.64948272705078,11,0.017234647646546364,0.0894981399178505,11000,2.7811505794525146,69.11294555664062,2.976064682006836,31.09485478924647,2.6330904960632324,0.6479248404502869,0.0,1.7554420232772827
0.0,-32.25928900962524,-32.25928900962524,12.0,12.0,1.0,385.5988965034485,87.4441909790039,0.7320365905761719,1000.0,558.2418580939718,0.07580260932445526,80.69903564453125,-25.40133937935686,36.187557220458984,12.0,-80.29901123046875,12,0.01881502754986286,0.060665782541036606,12000,3.6414783000946045,79.15081787109375,3.81857967376709,31.12042100953648,3.241819381713867,0.6439356207847595,0.0,1.8420227766036987
0.0,-38.0480683449715,-38.0480683449715,13.0,13.0,1.0,417.4971148967743,94.47823333740234,0.6628822088241577,1000.0,15.988161921677449,0.08295287191867828,91.88855743408203,-22.217531586969606,39.07837677001953,13.0,-90.19035339355469,13,0.022489717230200768,0.1926887184381485,13000,4.061779499053955,90.5960693359375,4.231685638427734,31.13793972735413,3.7213845252990723,0.6469107270240784,0.0,1.8991366624832153
0.0,-18.450259107309623,-18.450259107309623,14.0,14.0,1.0,449.4982256889343,107.77007293701172,0.6885396242141724,1000.0,764.5520636722604,0.08604226261377335,101.079345703125,33.98029664583253,43.42169952392578,14.0,-98.41960906982422,14,0.026695091277360916,0.20950515568256378,14000,4.207129955291748,99.63116455078125,4.248149871826172,31.145840405804854,6.3958353996276855,0.6472811698913574,0.0,1.9303169250488281
0.0,8.229885366267133,8.229885366267133,15.0,15.0,1.0,481.4874498844147,117.50054931640625,0.6814890503883362,1000.0,792.2986603897431,0.09135472029447556,108.51519775390625,84.53485422875991,47.541709899902344,15.0,-106.75505828857422,15,0.03751978278160095,0.13177500665187836,15000,3.6185922622680664,107.47698974609375,3.6172683238983154,31.15345997824218,5.798154354095459,0.6453471779823303,0.0,1.9864001274108887
0.0,47.157341506123814,47.157341506123814,16.0,16.0,1.0,513.3731024265289,127.4779281616211,0.69279944896698,1000.0,930.1323570405472,0.09296184778213501,118.16793823242188,137.3846981544966,52.11204528808594,16.0,-116.0522689819336,16,0.03124120831489563,0.14381630718708038,16000,3.5497355461120605,116.44660949707031,3.9159348011016846,31.166416636114725,10.179815292358398,0.6432062983512878,0.0,2.03953218460083
0.0,80.1299668054385,80.1299668054385,17.0,17.0,1.0,545.3209753036499,138.020751953125,0.6536856293678284,1000.0,850.2185436277161,0.09453857690095901,128.9214630126953,179.31610082939187,56.69717025756836,17.0,-126.69354248046875,17,0.03215064853429794,0.220492884516716,17000,4.25718879699707,127.43583679199219,4.433013439178467,31.17430058606113,7.050309658050537,0.6399959921836853,0.0,2.0783090591430664
0.0,107.64223175653443,107.64223175653443,18.0,18.0,1.0,577.2367959022522,149.95677185058594,0.7237030267715454,1000.0,674.0405649026256,0.0970602035522461,141.54550170898438,206.80079327790486,61.473209381103516,18.0,-139.97421264648438,18,0.03402165323495865,0.09175177663564682,18000,5.659427642822266,139.85911560058594,5.799142837524414,31.18304329831405,10.589466094970703,0.638340950012207,0.0,2.11361026763916
0.0,107.51292687702973,107.51292687702973,19.0,19.0,1.0,609.3172795772552,162.88059997558594,0.7248997092247009,1000.0,786.9449830376627,0.10023636370897293,152.4427490234375,237.33469800210264,65.18750762939453,19.0,-151.36135864257812,19,0.031221602112054825,0.12577693164348602,19000,5.230796813964844,150.79190063476562,5.297192096710205,31.182440801912286,5.449527740478516,0.6389244198799133,0.0,2.1587586402893066
0.0,129.8452862120443,129.8452862120443,20.0,20.0,1.0,641.6254115104675,174.9071502685547,0.7731833457946777,1000.0,758.2553965490154,0.10343321412801743,164.8551025390625,263.3807329294483,70.1660385131836,20.0,-164.04129028320312,20,0.04018841311335564,0.04746542498469353,20000,4.629035472869873,162.76654052734375,4.882543563842773,31.170835258718114,16.046628952026367,0.6391770839691162,0.0,2.1808125972747803
