rollout/return_history,obs_rms_mean,total/steps,total/epochs,rollout/episodes,ret_rms_std,ret_rms_mean,rollout/episode_steps,total/duration,reference_actor_Q_mean,eval/return,train/loss_critic,train/param_noise_distance,eval/return_history,train/loss_actor,rollout/Q_mean,reference_Q_mean,rollout/actions_std,eval/Q,eval/episodes,total/steps_per_second,rollout/return,total/episodes,reference_action_std,rollout/actions_mean,reference_actor_Q_std,obs_rms_std,reference_Q_std,reference_action_mean
151.0416792938444,0.16108852624893188,25000,25,25.0,1.0,0.0,1000.0,819.4399116039276,140.71131896972656,700.2005040430181,6.570646286010742,0.0,244.9411142027044,-143.28077697753906,62.920284271240234,139.29779052734375,0.6928732395172119,148.1175994873047,25.0,30.508643337943283,151.0416792938444,25.0,0.7699973583221436,-0.003133803606033325,2.461111307144165,2.5834240913391113,2.5063419342041016,0.009146462194621563
156.12367712504107,0.16489310562610626,26000,26,26.0,1.0,0.0,1000.0,852.7035429477692,146.27001953125,690.7933007750792,5.914215564727783,0.0,262.0892752247188,-148.81735229492188,66.23009490966797,144.90509033203125,0.6947011351585388,153.29205322265625,26.0,30.491253630914706,156.12367712504107,26.0,0.7803623080253601,0.0018926465418189764,2.550541639328003,2.6007747650146484,2.4848949909210205,0.019719690084457397
175.45806131493396,0.16626659035682678,27000,27,27.0,1.0,0.0,1000.0,885.7112503051758,150.50723266601562,639.7178364092802,15.323647499084473,0.0,276.07551823155444,-153.68157958984375,69.51118469238281,149.2743377685547,0.6953802704811096,157.18634033203125,27.0,30.483975438606013,175.45806131493396,27.0,0.8352192044258118,0.00012333717313595116,3.2682008743286133,2.6141700744628906,3.087369680404663,-0.07399407774209976
188.08768135182657,0.1680445522069931,28000,28,28.0,1.0,0.0,1000.0,918.2905058860779,154.9685821533203,584.3647141363821,12.738409042358398,0.0,287.08584665672686,-158.0985107421875,72.69888305664062,153.58901977539062,0.6952465772628784,161.70875549316406,28.0,30.491440149413513,188.08768135182657,28.0,0.817190408706665,0.0009438211563974619,3.1874191761016846,2.617208957672119,3.083714485168457,-0.024403041228652
199.63626680507272,0.16899797320365906,29000,29,29.0,1.0,0.0,1000.0,950.7978401184082,160.30923461914062,644.5679274152483,13.40386962890625,0.0,299.41281495874483,-163.72256469726562,75.84330749511719,159.03668212890625,0.6941443681716919,167.3916015625,29.0,30.500700334351272,199.63626680507272,29.0,0.8079716563224792,-0.002890358678996563,2.7090351581573486,2.6195998191833496,2.641632556915283,0.06358983367681503
210.04164028306724,0.17114003002643585,30000,30,30.0,1.0,0.0,1000.0,983.4471409320831,163.9210968017578,116.78727173625927,14.276329040527344,0.0,293.32529685132863,-167.47476196289062,78.93901062011719,162.75807189941406,0.695729672908783,167.27935791015625,30.0,30.504944039561554,210.04164028306724,30.0,0.8081064820289612,0.0004981966922059655,2.6663498878479004,2.6266236305236816,2.6155097484588623,0.030661776661872864
212.9542167292849,0.17248275876045227,31000,31,31.0,1.0,0.0,1000.0,1016.1187613010406,167.5175018310547,-68.62591539638296,13.724472999572754,0.0,281.6494512949508,-170.7569580078125,81.89920806884766,166.29541015625,0.6977640986442566,168.48597717285156,31.0,30.508244883016953,212.9542167292849,31.0,0.827031672000885,0.00423520477488637,1.8490140438079834,2.6283528804779053,1.9240111112594604,-0.05950191617012024
197.44164916916455,0.16962066292762756,32000,32,32.0,1.0,0.0,1000.0,1048.7865107059479,168.6901397705078,86.8563500761698,19.31401824951172,0.0,275.5621668818639,-172.3118133544922,84.57304382324219,167.52835083007812,0.7005715370178223,171.1862335205078,32.0,30.511452686839483,197.44164916916455,32.0,0.7850528955459595,-0.00015937964781187475,2.1163835525512695,2.6395766735076904,2.0030245780944824,0.10795710235834122
188.69775296142254,0.1688004732131958,33000,33,33.0,1.0,0.0,1000.0,1081.3805887699127,170.4151611328125,694.6197295229207,8.62220573425293,0.0,288.2608809012899,-174.71722412109375,87.1536636352539,169.13629150390625,0.7015195488929749,179.189453125,33.0,30.51654555547184,188.69775296142254,33.0,0.8369237780570984,0.004065001383423805,3.307321310043335,2.633742332458496,3.2231616973876953,0.07475993782281876
199.4420117805879,0.1697181761264801,34000,34,34.0,1.0,0.0,1000.0,1113.9784395694733,173.3607635498047,658.9755045195712,6.90336799621582,0.0,299.1642521841805,-177.1787567138672,89.87946319580078,171.78030395507812,0.7040449976921082,180.79995727539062,34.0,30.521237029632466,199.4420117805879,34.0,0.824036180973053,0.0036348269786685705,3.329537868499756,2.6403350830078125,3.2156426906585693,0.05288635566830635
