ret_rms_std,reference_perturbed_action_mean,rollout/return,obs_rms_mean,total/steps_per_second,train/param_noise_distance,total/episodes,train/loss_actor,rollout/return_history,eval/episodes,reference_action_std,total/steps,rollout/episodes,obs_rms_std,reference_actor_Q_std,eval/return,total/epochs,param_noise_stddev,reference_perturbed_action_std,eval/Q,rollout/actions_mean,eval/return_history,ret_rms_mean,rollout/actions_std,total/duration,rollout/episode_steps,train/loss_critic,reference_actor_Q_mean,rollout/Q_mean,reference_Q_std,reference_Q_mean,reference_action_mean
1.0,0.5943776369094849,110.30207738361312,0.06483354419469833,107.89594414716902,0.14732733368873596,74.0,-39.377037048339844,110.30207738361312,11.0,0.7023103833198547,11000,74.0,0.8744215369224548,33.59573745727539,290.9152680320603,11,0.039113321278561465,0.6322157979011536,75.9951400756836,0.7514058947563171,228.37700303586462,0.0,0.43229302763938904,101.95007872581482,148.6216216216216,1.6498680114746094,31.221786499023438,24.32602882385254,33.547996520996094,29.874732971191406,0.5188844203948975
1.0,0.53766268491745,116.10736529453385,0.07000666111707687,107.86648203249922,0.31426915526390076,79.0,-45.30381774902344,116.10736529453385,12.0,0.6952199935913086,12000,79.0,0.8764822483062744,36.81500244140625,383.32183202720176,12,0.03834263432855746,0.6704124808311462,72.99584197998047,0.742156445980072,241.28907211847604,0.0,0.44108110666275024,111.24864530563354,150.18987341772151,2.829890727996826,32.997703552246094,27.172901153564453,36.82716751098633,31.749652862548828,0.5139296650886536
1.0,0.6491443514823914,122.19709935728804,0.07339330017566681,107.8036302417085,0.21319745481014252,83.0,-49.04085922241211,122.19709935728804,13.0,0.5596451759338379,13000,83.0,0.9270074367523193,39.533512115478516,317.68041884189114,13,0.0368465179454358,0.5791137218475342,73.60167694091797,0.7370284199714661,247.16532955873873,0.0,0.4439472258090973,120.58963108062744,151.06024096385542,5.493687629699707,36.81687927246094,29.68732261657715,39.466304779052734,35.39338684082031,0.6468624472618103
1.0,0.723578155040741,130.08728407259193,0.07740750163793564,108.39843187362246,0.25004953145980835,89.0,-52.43635177612305,130.08728407259193,14.0,0.667079746723175,14000,89.0,0.9696913361549377,42.46590805053711,105.9757420672677,14,0.039113321278561465,0.4543536901473999,62.127296447753906,0.735144317150116,237.08035902363366,0.0,0.4438827931880951,129.15315985679626,155.92134831460675,4.506155967712402,36.50154113769531,32.67723846435547,42.25625991821289,35.24911117553711,0.5266631841659546
1.0,0.6427103281021118,131.43018919718293,0.07383982092142105,108.75580613824518,0.16562585532665253,97.0,-55.9970703125,131.43018919718293,15.0,0.587753415107727,15000,97.0,1.0603976249694824,43.83242416381836,146.70244754272852,15,0.0368465179454358,0.546338677406311,75.52545166015625,0.7348166704177856,231.05516492490662,0.0,0.44353586435317993,137.9236707687378,153.5979381443299,6.436118125915527,37.05743408203125,34.79226303100586,43.703330993652344,35.71635437011719,0.5772805213928223
1.0,0.47471341490745544,134.4511811384827,0.07342326641082764,108.72561887982552,0.17474395036697388,102.0,-59.524269104003906,137.31792286681033,16.0,0.6120139956474304,16000,102.0,1.1130231618881226,45.57674026489258,345.7955154141801,16,0.03540877950819716,0.6653715968132019,75.660888671875,0.7298203110694885,238.22643683048625,0.0,0.447488933801651,147.15942907333374,154.05882352941177,7.455045223236084,39.249053955078125,37.56813430786133,45.235443115234375,37.687252044677734,0.5916734337806702
1.0,0.5947602391242981,145.22199301724717,0.07737883180379868,108.8337129431109,0.1882997453212738,104.0,-65.5802230834961,151.63335266703015,17.0,0.6358280181884766,17000,104.0,1.0873029232025146,47.0800666809082,198.84108916699145,17,0.034027141129503384,0.6236594915390015,68.36395263671875,0.7297552227973938,235.9096516738101,0.0,0.4464362859725952,156.20159912109375,162.6346153846154,7.734691143035889,41.90863037109375,42.626922607421875,46.91913986206055,39.87657928466797,0.586355984210968
1.0,0.6179282665252686,147.73199704093528,0.07269623875617981,108.60103045949216,0.15166045725345612,108.0,-71.43693542480469,160.62737505198413,18.0,0.6858692765235901,18000,108.0,1.1370537281036377,48.62216567993164,457.6900751904802,18,0.03335667202186392,0.6216855049133301,123.30860137939453,0.727986752986908,248.2307863136251,0.0,0.4507489502429962,165.74428367614746,164.57407407407408,8.7052640914917,44.902503967285156,45.32068634033203,48.45524215698242,42.49106216430664,0.5362248420715332
1.0,0.6022818684577942,156.0539765168539,0.08236180990934372,106.99121773790597,0.27952736616134644,114.0,-74.4021224975586,175.988214315512,19.0,0.6997687816619873,19000,114.0,1.123226523399353,48.32685089111328,959.6958803800708,19,0.034027141129503384,0.6256739497184753,137.48675537109375,0.7301197052001953,285.6763175802801,0.0,0.4483569264411926,177.58466911315918,166.51754385964912,11.508313179016113,49.042930603027344,48.80150604248047,48.29393768310547,46.35304641723633,0.5356412529945374
1.0,0.5261426568031311,160.83090115581766,0.08680843561887741,107.29229719345024,0.18683871626853943,118.0,-80.22355651855469,182.85688315550735,20.0,0.7297092080116272,20000,118.0,1.129997730255127,49.96745300292969,222.49470367289047,20,0.03269941380439557,0.7043145895004272,92.04951477050781,0.7316576838493347,282.51723688491063,0.0,0.44719648361206055,186.40667152404785,167.89830508474577,9.283760070800781,53.76583480834961,51.4432487487793,49.72932052612305,51.15052795410156,0.47238120436668396
