eval/return,obs_rms_mean,rollout/return_history,eval/episodes,reference_Q_std,obs_rms_std,rollout/actions_std,reference_perturbed_action_mean,rollout/actions_mean,eval/return_history,reference_actor_Q_mean,param_noise_stddev,reference_actor_Q_std,ret_rms_std,rollout/episode_steps,train/loss_actor,reference_Q_mean,reference_action_std,total/steps_per_second,total/episodes,total/steps,ret_rms_mean,reference_perturbed_action_std,reference_action_mean,total/epochs,eval/Q,total/duration,train/loss_critic,rollout/return,rollout/episodes,train/param_noise_distance,rollout/Q_mean
20.048635710002493,0.016929874196648598,-455.5809564040522,11.0,5.073456764221191,0.42091864347457886,0.6783824563026428,-0.06049196422100067,0.02615920826792717,-554.4251680016057,13.116540908813477,0.034027141129503384,5.025354385375977,1.0,528.45,-6.153204441070557,12.666088104248047,0.6146002411842346,76.75904904903598,20.0,11000,0.0,0.6527104377746582,-0.004448853433132172,11,17.97081184387207,143.30557942390442,1.7551149129867554,-455.5809564040522,20.0,0.22391106188297272,4.269968509674072
-369.10781356421387,0.01646176539361477,-419.43412813206675,12.0,5.300467491149902,0.4275438189506531,0.6826478838920593,-0.06838300824165344,0.009980827569961548,-538.982055131823,13.763040542602539,0.034027141129503384,5.287283420562744,1.0,485.25,-4.4486517906188965,13.48719596862793,0.5893759727478027,76.91212474780339,24.0,12000,0.0,0.5958389043807983,0.12428190559148788,12,5.80490779876709,156.02221417427063,2.7640719413757324,-419.43412813206675,24.0,0.19965718686580658,3.6651418209075928
-735.2212897565221,0.016132216900587082,-457.4308966041342,13.0,5.701067924499512,0.42628249526023865,0.6901160478591919,0.07591526210308075,0.00217150105163455,-554.0773808721844,14.072117805480957,0.032055106170371106,5.598862648010254,1.0,505.84,-3.2290570735931396,13.668994903564453,0.6188769340515137,76.68093976516323,25.0,13000,0.0,0.5866885185241699,0.11738771200180054,13,6.16212797164917,169.53365516662598,2.1806061267852783,-457.4308966041342,25.0,0.21446366608142853,2.748491048812866
-503.4458198655101,0.016233347356319427,-496.1835839049701,14.0,6.47247314453125,0.4267454147338867,0.6978000998497009,0.09053290635347366,0.007303531747311354,-550.4608408002792,14.615705490112305,0.03019736003336582,6.513211250305176,1.0,524.8461538461538,-0.9608277678489685,14.155160903930664,0.610827624797821,76.60890051111352,26.0,14000,0.0,0.6122305989265442,0.23497620224952698,14,1.4391838312149048,182.74638986587524,2.1945080757141113,-496.1835839049701,26.0,0.23627470433712006,1.79897141456604
-718.3466563570031,0.015691423788666725,-503.434353827713,15.0,7.368031024932861,0.44073981046676636,0.6996006965637207,0.26870501041412354,0.01630645990371704,-561.6532285040608,14.445201873779297,0.029602352743226958,7.262547016143799,1.0,525.925925925926,0.8077574372291565,13.901248931884766,0.6526305079460144,76.22334166903768,27.0,15000,0.0,0.6045225262641907,0.20917299389839172,15,3.0112738609313965,196.79011273384094,2.3135950565338135,-503.434353827713,27.0,0.20341047644615173,1.5121960639953613
-821.3547248205521,0.01585107296705246,-505.9109494565973,16.0,7.506158351898193,0.4454100430011749,0.7006877660751343,0.22268915176391602,0.012946444563567638,-577.8845720238415,16.236717224121094,0.027886755354071244,7.411150932312012,1.0,526.9655172413793,1.8799467086791992,15.518536567687988,0.665787398815155,76.25878906654268,29.0,16000,0.0,0.641069233417511,0.08769789338111877,16,-2.2897393703460693,209.81188130378723,2.500652551651001,-505.9109494565973,29.0,0.1823570728302002,1.5315405130386353
-1029.6044318171637,0.015539871528744698,-510.71778644287406,17.0,7.887768268585205,0.44980141520500183,0.7071067094802856,0.10379722714424133,0.0051473514176905155,-604.4563284822723,16.77016258239746,0.026798623766663407,7.920620918273926,1.0,525.9677419354839,3.565239906311035,16.079015731811523,0.6600195169448853,76.16674492229448,31.0,17000,0.0,0.6489003896713257,0.09209559857845306,17,-12.350561141967773,223.19451904296875,2.536776542663574,-510.71778644287406,31.0,0.20082108676433563,0.8541879653930664
-724.8028640474876,0.015256584621965885,-526.7414955688848,18.0,8.914754867553711,0.455741286277771,0.7094624042510986,0.12720321118831635,0.007788424845784903,-611.1422471247843,17.269241333007812,0.028447279136688076,8.90583324432373,1.0,526.3939393939394,4.555807113647461,16.529293060302734,0.6805707216262817,76.48658248768616,33.0,18000,0.0,0.6594820022583008,0.15290409326553345,18,-16.068056106567383,235.33539366722107,2.776963472366333,-526.7414955688848,33.0,0.17979830503463745,0.5061641931533813
-109.73105439133386,0.01427570078521967,-510.6470880229026,19.0,9.303657531738281,0.4573339521884918,0.7087529301643372,0.1243089884519577,-0.0004424269718583673,-584.7521843493395,18.026874542236328,0.02901906944733551,9.431504249572754,1.0,513.3783783783783,4.412137508392334,17.446903228759766,0.6918176412582397,77.22777712524177,37.0,19000,0.0,0.6865734457969666,0.18154124915599823,19,26.5752010345459,246.02546787261963,3.1741364002227783,-510.6470880229026,37.0,0.18024879693984985,1.16956627368927
-585.4373863547191,0.013649928383529186,-540.3871057392001,20.0,9.91763973236084,0.4622483253479004,0.7136825323104858,-0.0805916115641594,0.0032235656399279833,-584.7864444496084,19.547183990478516,0.02733727610437334,9.909887313842773,1.0,526.1842105263158,7.471073150634766,18.914506912231445,0.7100415229797363,77.43189735616946,38.0,20000,0.0,0.7057435512542725,0.015169445425271988,20,-6.315066337585449,258.2914881706238,3.3627045154571533,-540.3871057392001,38.0,0.19818800687789917,0.6823040843009949
