rollout/episodes,ret_rms_mean,reference_actor_Q_std,total/episodes,train/loss_actor,reference_perturbed_action_mean,reference_action_mean,eval/return_history,reference_Q_std,reference_perturbed_action_std,rollout/actions_mean,train/param_noise_distance,total/duration,total/epochs,param_noise_stddev,ret_rms_std,obs_rms_mean,reference_actor_Q_mean,rollout/Q_mean,eval/episodes,total/steps,rollout/episode_steps,reference_Q_mean,obs_rms_std,eval/Q,reference_action_std,rollout/return_history,eval/return,rollout/return,train/loss_critic,rollout/actions_std,total/steps_per_second
6897.0,0.0,777.9642333984375,6897.0,-1416.759033203125,0.1170692890882492,0.19191128015518188,869.2798662348582,732.5972900390625,0.9054174423217773,0.1847173273563385,0.20325563848018646,12677.317441940308,824,0.012580215599082718,1.0,1.9700440168380737,877.5738525390625,934.1726684570312,824.0,824000,119.46266492677977,808.630859375,6.142155647277832,1738.8642578125,0.887792706489563,912.189571779215,673.1217540985075,565.3601464403863,8179.544921875,0.8190615773200989,64.99797798499269
6904.0,0.0,752.8988647460938,6904.0,-1437.772216796875,0.003803796600550413,0.007685566786676645,867.0215274347472,706.4639282226562,0.9217085838317871,0.18469978868961334,0.18707315623760223,12692.853546142578,825,0.013091022799070031,1.0,1.9699385166168213,854.138427734375,934.970703125,825.0,825000,119.49391657010429,783.5562133789062,6.142548084259033,1528.510498046875,0.9194034337997437,882.3199675239025,746.5167211031351,565.5209460117233,7514.21728515625,0.8190752863883972,64.99720468694147
6910.0,0.0,768.7392578125,6910.0,-1421.399169921875,0.04014449194073677,0.08229940384626389,865.7796448807521,721.3115844726562,0.9201259016990662,0.18464329838752747,0.18446840345859528,12708.349891424179,826,0.012833077932624282,1.0,1.9698320627212524,870.3453369140625,935.781005859375,826.0,826000,119.52156295224313,799.009521484375,6.142064094543457,1716.8861083984375,0.914632260799408,852.9219768429175,670.9934949228085,565.6668312667608,7562.11083984375,0.8191030621528625,64.99663662529464
6915.0,0.0,787.0178833007812,6915.0,-1458.3582763671875,0.07496369630098343,0.035222362726926804,864.634735370359,740.52001953125,0.9072887301445007,0.18460524082183838,0.1954924464225769,12724.114046573639,827,0.012580215599082718,1.0,1.9697340726852417,884.709228515625,936.52978515625,827.0,827000,119.58626174981923,811.4888305664062,6.142242431640625,1651.498291015625,0.9088948369026184,858.3415178310411,810.636022017475,565.9882495026261,8029.70068359375,0.8191129565238953,64.99470194726015
6921.0,0.0,780.9181518554688,6921.0,-1418.86279296875,0.022696029394865036,0.023201458156108856,863.9914276677782,735.0858154296875,0.9130499958992004,0.18452765047550201,0.19304795563220978,12739.516764163971,828,0.013091022799070031,1.0,1.9696027040481567,876.5980834960938,937.4719848632812,828.0,828000,119.6309781823436,803.1195678710938,6.142089366912842,1076.533447265625,0.9094191193580627,852.3477903542262,663.2997288949989,566.198350165803,9723.6376953125,0.8191396594047546,64.99461599117707
6925.0,0.0,772.484375,6925.0,-1416.3167724609375,0.060501448810100555,0.056401658803224564,861.190821596078,725.0304565429688,0.9095457196235657,0.18445396423339844,0.18728311359882355,12754.942488193512,829,0.01208933992007461,1.0,1.969547152519226,872.84912109375,938.3091430664062,829.0,829000,119.6925631768953,796.1876831054688,6.14129638671875,1746.5728759765625,0.9096329212188721,863.765964769978,588.40265449637,566.506317551906,8827.0009765625,0.8191518783569336,64.99441301027862
6934.0,0.0,789.3854370117188,6934.0,-1474.1641845703125,0.08963245153427124,0.09471620619297028,861.2751807852854,745.0886840820312,0.8955665230751038,0.18432602286338806,0.20350214838981628,12770.429189443588,830,0.01208933992007461,1.0,1.969171404838562,892.578369140625,939.0751342773438,830.0,830000,119.69671185462936,821.3128051757812,6.142613410949707,1827.616455078125,0.8952634334564209,827.0963340679046,756.1084456767987,566.5256661400664,8720.7509765625,0.8191817998886108,64.99390018043421
6940.0,0.0,774.8641967773438,6940.0,-1459.3162841796875,0.15425288677215576,0.1463928371667862,862.4236583830009,730.2268676757812,0.8854476809501648,0.18433527648448944,0.1987859308719635,12786.380437135696,831,0.012833077932624282,1.0,1.9690892696380615,893.183837890625,940.1007690429688,831.0,831000,119.72536023054755,822.4295043945312,6.142435073852539,1733.1207275390625,0.8879103064537048,820.6893486664853,945.2101156781089,566.6589160203689,8428.552734375,0.8191674947738647,64.9910272954583
6945.0,0.0,767.4874877929688,6945.0,-1457.2364501953125,0.11841284483671188,-0.004439486190676689,862.0474779753275,720.5847778320312,0.8952125310897827,0.18437540531158447,0.1972595453262329,12801.668812274933,832,0.012580215599082718,1.0,1.969146728515625,891.6627197265625,941.0894775390625,832.0,832000,119.76558675305975,816.6477661132812,6.1437506675720215,1593.1416015625,0.9035307168960571,826.8845620695547,630.9683198593743,566.8653960271582,7984.107421875,0.8191398978233337,64.99152666738522
6950.0,0.0,780.6002197265625,6950.0,-1456.3101806640625,0.05081339552998543,0.08908378332853317,864.6117082783022,728.0790405273438,0.8958751559257507,0.18436238169670105,0.19843147695064545,12817.453291893005,833,0.012833077932624282,1.0,1.9691346883773804,922.479736328125,941.993408203125,833.0,833000,119.82661870503597,841.818359375,6.143101692199707,1789.0469970703125,0.9024396538734436,834.3696043121126,901.7827513502241,567.1849822603166,7976.85693359375,0.8191392421722412,64.98950930656947
