eval/return,total/epochs,reference_actor_Q_std,rollout/return,eval/return_history,reference_perturbed_action_mean,total/steps_per_second,rollout/actions_mean,rollout/episode_steps,reference_action_mean,ret_rms_std,ret_rms_mean,reference_actor_Q_mean,train/loss_critic,eval/episodes,reference_perturbed_action_std,param_noise_stddev,rollout/actions_std,reference_Q_mean,eval/Q,train/param_noise_distance,obs_rms_std,rollout/Q_mean,obs_rms_mean,total/episodes,train/loss_actor,rollout/episodes,reference_action_std,reference_Q_std,rollout/return_history,total/duration,total/steps
556.3476427981498,4379,3833.955810546875,871.7544284827403,1217.1079962933843,0.14123483002185822,55.01704024948079,0.14288806915283203,182.76772820234567,0.11700108647346497,1.0,0.0,4203.89013671875,153165.921875,4379.0,0.9475200772285461,0.00795985011672278,0.8704324960708618,3906.57421875,7741.279296875,0.1814102977514267,6.649105548858643,4138.14306640625,1.8431391716003418,23959.0,-8384.9560546875,23959.0,0.9496279954910278,3780.798828125,873.5675803687626,79593.52193689346,4379000
933.3440115625104,4380,3846.823974609375,871.6955933444709,1210.9861857513204,0.08580619841814041,55.01526039322285,0.14288611710071564,182.75611282650422,0.10510999709367752,1.0,0.0,4180.37109375,170101.3125,4380.0,0.9551234841346741,0.007498538875796335,0.870439887046814,3898.67578125,7835.94775390625,0.200834721326828,6.649173259735107,4138.82177734375,1.8431288003921509,23966.0,-8328.220703125,23966.0,0.952215850353241,3804.798583984375,831.9171303402512,79614.2737250328,4380000
1380.000477203139,4381,3798.166748046875,871.7496773186259,1201.9475909897376,0.13060937821865082,55.013000769707986,0.14287546277046204,182.7679919896533,0.1280977874994278,1.0,0.0,4183.92822265625,175878.234375,4381.0,0.9500306844711304,0.007498538875796335,0.8704484105110168,3895.116943359375,8553.9560546875,0.22505438327789307,6.649035453796387,4139.86474609375,1.8431552648544312,23969.0,-8332.3076171875,23969.0,0.9481396079063416,3750.382568359375,820.8279178386325,79635.72135138512,4381000
1884.2087411003208,4382,3824.600830078125,871.8502549649372,1218.2260851198191,0.1309186816215515,55.010108252303056,0.14287401735782623,182.79021358251293,0.11482836306095123,1.0,0.0,4232.18115234375,235093.71875,4382.0,0.9538107514381409,0.007649259507199841,0.870455265045166,3944.74755859375,9332.5263671875,0.1743115782737732,6.64906644821167,4140.9013671875,1.8431867361068726,23972.0,-8486.5078125,23972.0,0.9560154676437378,3763.9716796875,840.7517149990174,79658.08719921112,4382000
1213.6811759651234,4383,3861.849609375,871.8572458901024,1216.668181940783,0.12306612730026245,55.007680780319504,0.14287443459033966,182.7925511948951,0.14054815471172333,1.0,0.0,4239.27685546875,206682.703125,4383.0,0.9551013708114624,0.007803009623294559,0.8704610466957092,3954.935302734375,8412.0791015625,0.20762667059898376,6.649071216583252,4141.95654296875,1.8432104587554932,23977.0,-8459.978515625,23977.0,0.9544863700866699,3821.861572265625,800.0959344608978,79679.78176546097,4383000
541.186136027334,4384,3797.057373046875,872.0104430048341,1208.0244025408992,0.16710974276065826,55.00606007979557,0.14286665618419647,182.82559012428058,0.15753476321697235,1.0,0.0,4231.0146484375,166067.484375,4384.0,0.9398335814476013,0.00795985011672278,0.8704628944396973,3943.60302734375,7593.48388671875,0.20785284042358398,6.648951530456543,4143.12451171875,1.8432248830795288,23978.0,-8383.224609375,23978.0,0.9430704116821289,3765.722900390625,840.6226320489811,79700.30926847458,4384000
1568.8112841119732,4385,3831.193603515625,872.0625568973755,1209.1203382478343,0.24376319348812103,55.003212919687314,0.14288674294948578,182.83796180468684,0.24483585357666016,1.0,0.0,4183.84765625,155217.640625,4385.0,0.9254856705665588,0.008119843104068908,0.87046217918396,3905.654052734375,9109.322265625,0.19975998997688293,6.648940086364746,4144.271484375,1.8432625532150269,23982.0,-8339.138671875,23982.0,0.9247293472290039,3798.3203125,840.9260947482161,79722.61559343338,4385000
1432.5005364921865,4386,3841.056884765625,872.0432976486509,1216.024699351466,0.16449426114559174,55.00075509064818,0.14290836453437805,182.8351675837919,0.16302698850631714,1.0,0.0,4141.84619140625,155963.109375,4386.0,0.9437106847763062,0.007803009623294559,0.8704637289047241,3855.8798828125,8655.38671875,0.19781070947647095,6.649116039276123,4145.2265625,1.8432854413986206,23988.0,-8301.4521484375,23988.0,0.9463369250297546,3791.149658203125,850.888150687117,79744.35974144936,4386000
791.7165302317045,4387,3883.216796875,872.0732292889118,1202.2842418868302,0.09784898906946182,54.999111859119516,0.14290429651737213,182.84287083732755,0.10863173753023148,1.0,0.0,4136.64501953125,193216.421875,4387.0,0.9525865912437439,0.007803009623294559,0.8704735636711121,3861.86474609375,7646.791015625,0.16893598437309265,6.649338722229004,4146.0400390625,1.843273401260376,23993.0,-8319.892578125,23993.0,0.9501640200614929,3846.353759765625,817.11995795342,79764.92440891266,4387000
1398.5852607608672,4388,3833.00830078125,872.0436531838168,1212.046714526492,0.12069837003946304,54.99684931959597,0.14289741218090057,182.83753489728738,0.11222076416015625,1.0,0.0,4173.0205078125,174951.28125,4388.0,0.9471954107284546,0.00795985011672278,0.8704814314842224,3905.38037109375,8643.7353515625,0.22387441992759705,6.649361610412598,4146.8701171875,1.8432594537734985,23999.0,-8413.6611328125,23999.0,0.9462721347808838,3803.641357421875,827.9384836665799,79786.38875293732,4388000
