train/loss_actor,total/steps_per_second,obs_rms_mean,train/param_noise_distance,total/steps,obs_rms_std,rollout/return,total/duration,reference_Q_std,eval/Q,reference_actor_Q_mean,param_noise_stddev,ret_rms_mean,eval/return_history,ret_rms_std,rollout/episodes,rollout/Q_mean,eval/episodes,rollout/return_history,reference_actor_Q_std,reference_perturbed_action_mean,eval/return,reference_Q_mean,total/epochs,reference_action_std,rollout/actions_mean,total/episodes,reference_perturbed_action_std,rollout/episode_steps,reference_action_mean,train/loss_critic,rollout/actions_std
-183.19076538085938,89.80393461822457,1.9944225549697876,0.20887905359268188,11000,6.727074146270752,256.77709199077253,122.48906517028809,79.21271514892578,185.88247680664062,197.61721801757812,0.024748079434129402,0.0,317.6020983517896,1.0,210.0,98.4237289428711,11.0,332.68742967764393,75.88272857666016,0.17498159408569336,307.87162950215776,192.22853088378906,11,0.8085024356842041,0.24682317674160004,210.0,0.8104053735733032,52.08095238095238,0.20233456790447235,17.489755630493164,0.7518585324287415
-193.55624389648438,89.81150319387834,2.025219202041626,0.19372594356536865,12000,6.686415672302246,259.799970729206,133.6131739616394,89.91307830810547,191.9857635498047,209.24948120117188,0.02575295069895359,0.0,316.49653059914635,1.0,228.0,105.32493591308594,12.0,325.5640570551571,85.53582763671875,0.31546750664711,304.3352853200706,203.24179077148438,12,0.8039372563362122,0.25144392251968384,228.0,0.8075637817382812,52.51754385964912,0.30684858560562134,21.59393882751465,0.758462131023407
-202.74139404296875,89.8622393814361,2.045753002166748,0.18850259482860565,13000,6.622570514678955,263.6087575205062,144.66588068008423,99.51173400878906,181.59890747070312,222.37380981445312,0.022854436146078055,0.0,313.98985198273033,1.0,245.0,112.43006134033203,13.0,323.5910530180938,95.80775451660156,0.2858007550239563,283.9097085857385,215.9933624267578,13,0.7733165621757507,0.25456011295318604,245.0,0.7787018418312073,53.053061224489795,0.28694286942481995,57.9388542175293,0.7626649737358093
-211.26785278320312,89.91308139396585,2.071993350982666,0.2202848196029663,14000,6.598991394042969,265.62277323654934,155.7059304714203,110.47418975830078,174.8580780029297,233.59217834472656,0.021962663920618616,0.0,310.91484150868644,1.0,262.0,118.10973358154297,14.0,318.0557878153912,106.25904083251953,0.29078027606010437,270.9397053461152,226.62344360351562,14,0.7596975564956665,0.2622084319591522,262.0,0.746066689491272,53.37022900763359,0.2475404441356659,38.525211334228516,0.7641904354095459
-217.83624267578125,89.94962114024034,2.0984418392181396,0.2296486496925354,15000,6.593301773071289,264.823293718595,166.7600131034851,115.8752670288086,198.32241821289062,249.8380126953125,0.020282151651708893,0.0,308.337125351684,1.0,282.0,122.9586181640625,15.0,304.5010095729438,110.66178894042969,0.2481895387172699,272.2490991536501,241.6590576171875,15,0.7611428499221802,0.2677876055240631,282.0,0.7498739361763,53.04964539007092,0.21712596714496613,48.667545318603516,0.7642102241516113
-227.39877319335938,90.00627517044755,2.1085660457611084,0.1903351992368698,16000,6.574835777282715,265.8532607149813,177.7653832435608,120.31731414794922,232.2823486328125,266.64520263671875,0.02152991267583435,0.0,304.96144289517815,1.0,300.0,128.79611206054688,16.0,296.40498462314633,115.25965118408203,0.3110834062099457,254.32620604759057,257.376953125,16,0.7377855181694031,0.26977309584617615,300.0,0.7364832162857056,53.29333333333334,0.3249718248844147,66.45304870605469,0.7655961513519287
-234.5328369140625,90.16174885809845,2.119218587875366,0.18954910337924957,17000,6.688105583190918,265.0644185874452,188.5500249862671,131.614990234375,244.9471893310547,276.262451171875,0.022854436146078055,0.0,295.31152441913173,1.0,319.0,134.63226318359375,17.0,278.26740902921256,127.60891723632812,0.17891275882720947,140.91282880238944,266.65191650390625,17,0.7825661301612854,0.2716776430606842,319.0,0.8104514479637146,53.22884012539185,0.21343502402305603,105.30867004394531,0.7667264342308044
-240.82168579101562,90.12648993581745,2.1249704360961914,0.18780718743801117,18000,6.715255260467529,266.2968525414132,199.71930575370789,134.11842346191406,266.09454345703125,288.5540771484375,0.0211056883401964,0.0,298.07783856791855,1.0,336.0,141.2754669189453,18.0,276.97032732299266,132.28640747070312,0.2582521140575409,345.1051790972939,278.83819580078125,18,0.7715749144554138,0.2718874216079712,336.0,0.7684125304222107,53.470238095238095,0.23813572525978088,99.33101654052734,0.7678989768028259
-243.92501831054688,90.23358836897869,2.125551223754883,0.1953386813402176,19000,6.7518815994262695,265.5602698068259,210.56460618972778,144.35739135742188,296.2097473144531,290.42608642578125,0.02152991267583435,0.0,286.9881369905282,1.0,354.0,148.34881591796875,19.0,266.9921708271849,142.40560913085938,0.22682645916938782,87.37350859750103,280.2705078125,19,0.7734125852584839,0.2749878466129303,354.0,0.776175320148468,53.47175141242938,0.24395404756069183,129.54905700683594,0.7680314183235168
-250.62916564941406,90.15931646332817,2.1179707050323486,0.18675091862678528,20000,6.771798133850098,267.87941603282314,221.82954335212708,151.01976013183594,315.5621032714844,299.1415100097656,0.02152991267583435,0.0,284.4624226202485,1.0,369.0,156.19712829589844,20.0,273.79856906315194,149.4979248046875,0.24528545141220093,236.47384958493444,287.7573547363281,20,0.7854354977607727,0.274842232465744,369.0,0.7826752066612244,54.0840108401084,0.2124006301164627,121.84022521972656,0.7690271139144897
