eval/episodes,train/loss_critic,eval/return_history,reference_action_mean,rollout/episode_steps,rollout/actions_mean,rollout/episodes,train/param_noise_distance,eval/return,rollout/Q_mean,reference_actor_Q_mean,rollout/return_history,reference_perturbed_action_mean,total/duration,obs_rms_mean,ret_rms_std,eval/Q,rollout/return,total/epochs,reference_perturbed_action_std,train/loss_actor,rollout/actions_std,total/steps_per_second,total/episodes,total/steps,reference_action_std,reference_Q_mean,reference_actor_Q_std,reference_Q_std,obs_rms_std,param_noise_stddev,ret_rms_mean
11.0,0.31486454606056213,-376.9613748340018,0.05275347828865051,1000.0,0.40384170413017273,11.0,0.16836035251617432,-131.63102854870166,3.0396435260772705,8.530315399169922,-307.104826781744,0.14014554023742676,203.77461552619934,0.06661481410264969,1.0,13.794794082641602,-307.104826781744,11,0.770101010799408,-11.859703063964844,0.6852408051490784,53.98120846208015,11.0,11000,0.7964476943016052,7.685523509979248,2.600816488265991,2.4953904151916504,1.348350167274475,0.03335667202186392,0.0
12.0,0.23851123452186584,-306.82321934924045,0.10669109970331192,1000.0,0.3858097195625305,12.0,0.19015005230903625,464.6964909831345,4.124121189117432,11.602404594421387,-269.8776700656798,0.06847811490297318,222.3184003829956,0.06434141099452972,1.0,17.756744384765625,-269.8776700656798,12,0.7659975290298462,-14.684906005859375,0.6856159567832947,53.976638817692034,12.0,12000,0.7751414775848389,10.585419654846191,2.3176791667938232,2.3245794773101807,1.3527421951293945,0.030804326970036475,0.0
13.0,0.7463600039482117,-271.18833564873387,0.22596396505832672,1000.0,0.3787175118923187,13.0,0.20971854031085968,156.43026875734478,5.266753673553467,13.813316345214844,-222.21733092520236,0.19827783107757568,240.78706169128418,0.06545156240463257,1.0,17.301937103271484,-222.21733092520236,13,0.7675743103027344,-17.820375442504883,0.6811967492103577,53.98961185326248,13.0,13000,0.7883997559547424,12.930464744567871,2.577852487564087,2.503316640853882,1.381924033164978,0.03142349394213421,0.0
14.0,0.5875372886657715,-268.7501765200256,0.27620628476142883,1000.0,0.36197879910469055,14.0,0.1607980579137802,-237.0541078468187,6.510748386383057,18.112552642822266,-181.88360804193667,0.3975706994533539,259.3373923301697,0.06340014189481735,1.0,19.00727081298828,-181.88360804193667,14,0.7498952150344849,-21.603961944580078,0.6753613352775574,53.98373090054137,14.0,14000,0.7857305407524109,16.784618377685547,3.586634397506714,3.6277456283569336,1.4170665740966797,0.03335667202186392,0.0
15.0,0.6070876121520996,-256.41645763536116,0.26301833987236023,1000.0,0.35755062103271484,15.0,0.28039902448654175,-83.74439325005834,7.126466751098633,20.808490753173828,-198.1880494997645,0.2602163851261139,277.84458327293396,0.06491576880216599,1.0,21.327369689941406,-198.1880494997645,15,0.7429066300392151,-24.269506454467773,0.6840831637382507,53.987016134358505,15.0,15000,0.7669588923454285,19.91314697265625,3.279345989227295,3.398818016052246,1.3811249732971191,0.034027141129503384,0.0
16.0,1.1206932067871094,-207.47613182715548,0.26299920678138733,1000.0,0.36063510179519653,16.0,0.2576315402984619,526.6287552959293,7.613502502441406,22.047279357910156,-212.43957581380045,0.2911486327648163,296.22851824760437,0.06727205216884613,1.0,31.81728744506836,-212.43957581380045,16,0.6841141581535339,-25.827505111694336,0.6887708902359009,54.012355375677586,16.0,16000,0.7197209596633911,21.268306732177734,4.246320724487305,4.163968563079834,1.346279501914978,0.03269941380439557,0.0
17.0,1.7120229005813599,-166.77765121926737,0.12005821615457535,1000.0,0.3644867539405823,17.0,0.2322138249874115,484.3980385069427,8.30074691772461,24.196311950683594,-228.59645913510954,0.27459314465522766,314.7097661495209,0.07052415609359741,1.0,35.30576705932617,-228.59645913510954,17,0.6246342658996582,-28.764101028442383,0.6863079071044922,54.01802495040201,17.0,17000,0.734709620475769,23.154991149902344,4.262689590454102,4.1294965744018555,1.41112220287323,0.03335667202186392,0.0
18.0,1.1883697509765625,-131.5658947376156,0.14534719288349152,1000.0,0.36043769121170044,18.0,0.2813344895839691,467.0339654504648,9.847670555114746,28.091093063354492,-198.9009977587975,0.0849403366446495,333.1473505496979,0.07066623866558075,1.0,39.34442901611328,-198.9009977587975,18,0.775906503200531,-32.8729362487793,0.6830905079841614,54.030146030877155,18.0,18000,0.7625676393508911,27.080995559692383,3.8430678844451904,3.7755544185638428,1.4293111562728882,0.03269941380439557,0.0
19.0,1.453566551208496,-94.14144104968513,0.07876960188150406,1000.0,0.3519841134548187,19.0,0.1734990030527115,579.498725333063,11.506795883178711,31.872303009033203,-156.8574335167867,0.07287297397851944,351.6252992153168,0.07014919072389603,1.0,44.2051887512207,-156.8574335167867,19,0.8044719696044922,-37.00520706176758,0.6778440475463867,54.034792270067584,19.0,19000,0.8191958069801331,30.793441772460938,3.870513916015625,3.7544000148773193,1.4455782175064087,0.03335667202186392,0.0
20.0,2.5505313873291016,-53.6559049873767,0.07985492795705795,1000.0,0.34415027499198914,20.0,0.18768838047981262,715.5692801964836,13.200905799865723,36.4643669128418,-127.15613798896516,0.07623109966516495,370.03627586364746,0.07047095149755478,1.0,48.45909881591797,-127.15613798896516,20,0.8368673920631409,-41.66690444946289,0.6730067133903503,54.048754958742705,20.0,20000,0.8448212742805481,35.00426483154297,3.386230945587158,3.340233325958252,1.4652185440063477,0.03612049597631192,0.0
