ret_rms_std,train/param_noise_distance,total/epochs,rollout/episode_steps,ret_rms_mean,rollout/actions_mean,reference_perturbed_action_std,total/steps,rollout/return,param_noise_stddev,obs_rms_mean,rollout/Q_mean,train/loss_critic,obs_rms_std,total/duration,train/loss_actor,reference_action_std,eval/return,total/episodes,total/steps_per_second,eval/episodes,reference_Q_std,reference_actor_Q_mean,rollout/episodes,eval/Q,rollout/return_history,eval/return_history,reference_perturbed_action_mean,reference_Q_mean,rollout/actions_std,reference_action_mean,reference_actor_Q_std
1.0,0.2695252299308777,291,1000.0,0.0,0.11880569159984589,0.722331166267395,291000,765.4880391328295,0.02152991267583435,0.10643618553876877,201.19131469726562,70.1678695678711,2.6056790351867676,5285.583367109299,-247.7869110107422,0.7389929890632629,1161.4458948706742,291.0,55.055417687820665,291.0,2.972386360168457,248.96737670898438,291.0,259.15478515625,1030.9175874716302,1152.332083728718,0.05519644543528557,247.42819213867188,0.6836521029472351,-0.02195517159998417,2.1318466663360596
1.0,0.21922102570533752,292,1000.0,0.0,0.11880317330360413,0.8174253106117249,292000,766.8951733152554,0.021962663920618616,0.10663791745901108,201.39059448242188,48.427433013916016,2.6074953079223633,5303.89503288269,-247.35629272460938,0.7982415556907654,603.3418030473215,292.0,55.05387987312726,292.0,2.695021867752075,249.17189025878906,292.0,229.34475708007812,1026.8843822316358,1144.110995816632,-0.15929679572582245,247.55889892578125,0.6837757229804993,-0.12763775885105133,2.0910837650299072
1.0,0.22465521097183228,293,1000.0,0.0,0.11855451762676239,0.7891457676887512,293000,767.3940394867967,0.020689822899908242,0.10677504539489746,201.57687377929688,65.14549255371094,2.610738754272461,5322.241365671158,-246.4792022705078,0.7838010787963867,803.5013167898917,293.0,55.051994050828135,293.0,6.894537448883057,247.6468505859375,293.0,230.5294952392578,1022.0150267564371,1139.0751155678265,-0.11763592809438705,244.91761779785156,0.6839514374732971,-0.061939675360918045,4.212559223175049
1.0,0.16272911429405212,294,1000.0,0.0,0.11805953830480576,0.75850909948349,294000,768.7685944219264,0.021962663920618616,0.1067647635936737,201.7847137451172,88.01319122314453,2.6096646785736084,5340.49315905571,-246.01841735839844,0.7682461738586426,989.2045368610322,294.0,55.05109570292647,294.0,7.331653594970703,247.51010131835938,294.0,260.9977111816406,1020.2949091814362,1136.3157408170355,-0.071433424949646,245.65904235839844,0.683897078037262,-0.10923722386360168,3.376904010772705
1.0,0.20921875536441803,295,1000.0,0.0,0.11791528761386871,0.7197158336639404,295000,767.7774018757533,0.02152991267583435,0.10685227066278458,201.82098388671875,51.364742279052734,2.611571788787842,5358.715002775192,-246.7181396484375,0.7479513883590698,1254.4148225097372,295.0,55.050511148143585,295.0,20.980487823486328,246.97552490234375,295.0,262.1069030761719,1014.975682531303,1137.0564898380119,-0.059106409549713135,244.85577392578125,0.684251070022583,-0.03982513025403023,12.898369789123535
1.0,0.21815325319766998,296,1000.0,0.0,0.1177181601524353,0.7811617851257324,296000,769.2632054002156,0.02152991267583435,0.106900654733181,202.02389526367188,60.113338470458984,2.6116716861724854,5377.047691345215,-246.0282440185547,0.7702091336250305,1342.915669685067,296.0,55.04879573161226,296.0,5.294294834136963,248.6600799560547,296.0,261.5987548828125,1017.8258996349886,1137.754094560107,0.06701686233282089,246.6651611328125,0.6841822862625122,0.020829439163208008,2.000471591949463
1.0,0.22412408888339996,297,1000.0,0.0,0.11748819798231125,0.7908005714416504,297000,770.5598013264197,0.0211056883401964,0.10693680495023727,202.21580505371094,48.13383865356445,2.6133244037628174,5395.3024179935455,-245.3590087890625,0.7817399501800537,1348.2963058662306,297.0,55.04788740099041,297.0,5.696485996246338,247.52452087402344,297.0,262.18896484375,1017.0132713128895,1137.7496109837887,-0.07090763002634048,245.74856567382812,0.6840124130249023,-0.048421960324048996,2.8932433128356934
1.0,0.1737504005432129,298,1000.0,0.0,0.11692404747009277,0.7941039800643921,298000,771.7674332514881,0.0211056883401964,0.10691045224666595,202.4105987548828,36.795310974121094,2.614698886871338,5413.568288803101,-246.7332000732422,0.7654651403427124,1277.0954372256624,298.0,55.04687187863766,298.0,14.221982955932617,246.05323791503906,298.0,262.34405517578125,1014.2346962413553,1136.162863376309,-0.03469115495681763,243.6540069580078,0.6838801503181458,-0.10811155289411545,5.470048427581787
1.0,0.21685075759887695,299,1000.0,0.0,0.11694955080747604,0.8050268888473511,299000,772.4201699107306,0.021962663920618616,0.10701488703489304,202.4996795654297,97.33216094970703,2.6152286529541016,5431.930647850037,-244.5207977294922,0.8162570595741272,1424.966711584978,299.0,55.04488539785472,299.0,19.295860290527344,246.29718017578125,299.0,261.24615478515625,1011.3508661877642,1137.1911455478094,-0.07811665534973145,243.370361328125,0.6838283538818359,-0.09961085766553879,10.232071876525879
1.0,0.21291109919548035,300,1000.0,0.0,0.11675854027271271,0.7818803191184998,300000,773.5928855930354,0.02240411346542305,0.10710766911506653,202.68820190429688,70.77522277832031,2.615541458129883,5450.219058036804,-246.11204528808594,0.7661339640617371,1239.8576043735554,300.0,55.04365912735652,300.0,14.718216896057129,245.38690185546875,300.0,260.7327575683594,1013.264718897976,1135.9604853699864,-0.06207295134663582,243.01089477539062,0.6838752627372742,-9.202957153320312e-05,5.77324914932251
