rollout/Q_mean,obs_rms_std,total/epochs,reference_action_std,train/param_noise_distance,ret_rms_std,total/steps_per_second,eval/Q,obs_rms_mean,eval/return,eval/return_history,reference_Q_std,reference_perturbed_action_std,reference_perturbed_action_mean,reference_action_mean,ret_rms_mean,total/duration,total/episodes,reference_Q_mean,rollout/episode_steps,reference_actor_Q_std,rollout/actions_std,rollout/episodes,rollout/return_history,eval/episodes,reference_actor_Q_mean,train/loss_actor,param_noise_stddev,total/steps,train/loss_critic,rollout/actions_mean,rollout/return
10006.8037109375,7.078672885894775,6151,0.9379154443740845,0.17485007643699646,1.0,60.40990285925613,23297.71875,1.7683297395706177,1167.5049997308104,1162.0831600088434,8696.65234375,0.9342525005340576,0.17517498135566711,0.1720672845840454,0.0,101821.05431175232,30387.0,11168.669921875,202.41376246421166,8632.962890625,0.8711572885513306,30387.0,1022.8977870388417,6151.0,12351.27734375,-22202.734375,0.006024297687744463,6151000,1378101.25,0.13802014291286469,967.5974167812592
10009.044921875,7.07869815826416,6152,0.9431982040405273,0.16083873808383942,1.0,60.40807323806201,20805.0703125,1.7683073282241821,1012.8415437869937,1157.0364340942622,8747.861328125,0.941525936126709,0.1509712040424347,0.15277351438999176,0.0,101840.69231534004,30392.0,11210.9296875,202.41895893656226,8659.2666015625,0.8711528182029724,30392.0,1015.2476463333494,6152.0,12415.8330078125,-22011.654296875,0.0057892316672357065,6152000,1374589.5,0.13802392780780792,967.6156853709106
10010.962890625,7.078906536102295,6153,0.9413436651229858,0.17938680946826935,1.0,60.40580786957219,23604.29296875,1.7682852745056152,1722.5482464653687,1166.445460128462,8677.7685546875,0.9417136311531067,0.14731527864933014,0.15217411518096924,0.0,101861.06629490852,30396.0,11246.33203125,202.4276549545993,8558.37890625,0.8711533546447754,30396.0,1031.8002132181546,6153.0,12457.298828125,-21854.328125,0.0057892316672357065,6153000,1267898.875,0.1380218118429184,967.6534452461145
10013.1328125,7.079017162322998,6154,0.9569391012191772,0.20612286031246185,1.0,60.40387789782839,24436.345703125,1.7682554721832275,1340.6563134083106,1171.4947399453638,8629.880859375,0.955070436000824,0.07866616547107697,0.08730233460664749,0.0,101880.87609887123,30400.0,11432.01953125,202.43115131578946,8515.287109375,0.87115478515625,30400.0,1030.1360930343035,6154.0,12649.9599609375,-21894.0078125,0.006024297687744463,6154000,1281056.5,0.13800965249538422,967.6670795201801
10015.4873046875,7.078922271728516,6155,0.9507729411125183,0.21741943061351776,1.0,60.40105095114933,23139.12109375,1.768234372138977,2148.7803866438935,1185.9118143045107,8577.0771484375,0.9567499756813049,0.09387097507715225,0.13871823251247406,0.0,101902.20042657852,30403.0,11434.384765625,202.43992369174094,8459.2490234375,0.8711539506912231,30403.0,1037.8863135720871,6155.0,12677.595703125,-22027.79296875,0.0062689083313006155,6155000,1254390.125,0.13800086081027985,967.7081785447967
10017.755859375,7.079010486602783,6156,0.9377635717391968,0.20689478516578674,1.0,60.39884776951999,23899.072265625,1.7682130336761475,1561.7511623779383,1190.615104428348,8637.1533203125,0.9440234899520874,0.16412976384162903,0.18146181106567383,0.0,101922.47414207458,30407.0,11225.623046875,202.45163942513238,8543.48046875,0.8711511492729187,30407.0,1062.5403712420227,6156.0,12405.025390625,-22119.962890625,0.0059055952237471445,6156000,1371710.5,0.13800553977489471,967.7598872051485
10019.8740234375,7.078991889953613,6157,0.9328086972236633,0.21556170284748077,1.0,60.397157151566454,22429.1796875,1.7681974172592163,943.7937372241589,1189.69654849387,8678.05859375,0.9479480385780334,0.15428340435028076,0.19047947227954865,0.0,101941.88419413567,30410.0,11487.666015625,202.45873068069713,8570.2802734375,0.8711493015289307,30410.0,1068.1701232621197,6157.0,12666.607421875,-22132.068359375,0.006024297687744463,6157000,1271597.625,0.1380058079957962,967.7905829600995
10021.5849609375,7.079042911529541,6158,0.9325851798057556,0.21755699813365936,1.0,60.39558433823556,20463.921875,1.7681699991226196,768.015700841959,1189.5806769620226,8679.271484375,0.9358250498771667,0.18345068395137787,0.19834381341934204,0.0,101961.09645223618,30416.0,11534.3203125,202.45804839558127,8558.169921875,0.8711512088775635,30416.0,1066.7237829730861,6158.0,12722.015625,-22016.5546875,0.005675160932492605,6158000,1247143.0,0.1380050629377365,967.7871121254148
10023.5009765625,7.07924222946167,6159,0.9300403594970703,0.21974703669548035,1.0,60.3943487379956,19868.86328125,1.76815664768219,434.55761499998715,1178.8601886954496,8704.2841796875,0.9321467876434326,0.1863950788974762,0.19966554641723633,0.0,101979.74030184746,30419.0,11551.8359375,202.4613892632894,8586.3271484375,0.8711528778076172,30419.0,1076.7223922679177,6159.0,12675.55859375,-22356.005859375,0.0057892316672357065,6159000,1182144.0,0.13800451159477234,967.8005221213091
10025.1884765625,7.079541206359863,6160,0.93063884973526,0.18223005533218384,1.0,60.392498848379304,22723.541015625,1.7681432962417603,1148.6645629403602,1183.869893750407,8729.33984375,0.922656238079071,0.2245478630065918,0.18119747936725616,0.0,101999.42240285873,30423.0,11348.009765625,202.46964467672484,8639.5048828125,0.8711535334587097,30423.0,1096.455623525873,6160.0,12460.3828125,-22208.130859375,0.0057892316672357065,6160000,1373950.375,0.13800905644893646,967.8388317107484
10027.16796875,7.0796074867248535,6161,0.9341866970062256,0.21234360337257385,1.0,60.390902016134206,22298.44921875,1.7681121826171875,918.757438613583,1187.2836630452432,8662.751953125,0.938649594783783,0.15573948621749878,0.1776057481765747,0.0,102018.67821669579,30428.0,11481.642578125,202.47311686604442,8565.6708984375,0.8711556792259216,30428.0,1122.4266284867836,6161.0,12637.779296875,-22024.560546875,0.0057892316672357065,6161000,1341368.625,0.13799552619457245,967.8508880805983
10028.8828125,7.079828262329102,6162,0.9304210543632507,0.17331653833389282,1.0,60.38859925857911,21063.619140625,1.7680858373641968,1670.8844427497133,1196.1472009701276,8727.4287109375,0.9301760196685791,0.2038487046957016,0.2005779892206192,0.0,102039.12784290314,30434.0,11487.77734375,202.46904777551424,8603.3544921875,0.8711572289466858,30434.0,1111.9243026447466,6162.0,12639.3642578125,-21909.439453125,0.005563337841870998,6162000,1279666.875,0.1379939615726471,967.8322271192869
10030.8095703125,7.079862594604492,6163,0.9365395307540894,0.16649691760540009,1.0,60.38680528131913,21724.55859375,1.7680779695510864,1142.7944117461293,1200.0665596799013,8696.4150390625,0.9369666576385498,0.15710072219371796,0.1695031225681305,0.0,102058.71914052963,30438.0,11255.240234375,202.47250147841513,8596.53515625,0.8711565732955933,30438.0,1119.6325910596302,6163.0,12382.666015625,-22062.197265625,0.0057892316672357065,6163000,1378919.25,0.13799212872982025,967.8466184268663
10032.6220703125,7.080018520355225,6164,0.9407097697257996,0.1824488788843155,1.0,60.385069152702606,21811.5546875,1.7680696249008179,1088.5373754129446,1198.9689184116498,8813.9453125,0.9423128962516785,0.15282008051872253,0.1549050509929657,0.0,102078.21381163597,30442.0,11079.8017578125,202.48042178569082,8745.1025390625,0.8711585998535156,30442.0,1100.268272635663,6164.0,12194.48828125,-22109.84765625,0.005675160932492605,6164000,1473656.0,0.1379973590373993,967.8807040382663
10034.6923828125,7.080171585083008,6165,0.9440109729766846,0.20574159920215607,1.0,60.3831084388451,23112.1328125,1.7680453062057495,1401.5492137004173,1202.385813581073,8776.8837890625,0.9407915472984314,0.1516915261745453,0.14284594357013702,0.0,102098.08933973312,30448.0,11169.25390625,202.46837230688388,8647.341796875,0.8711583018302917,30448.0,1061.4466403855968,6165.0,12310.755859375,-22202.30078125,0.0057892316672357065,6165000,1413289.25,0.13799376785755157,967.8199988135591
10036.646484375,7.080348968505859,6166,0.9435679912567139,0.18372352421283722,1.0,60.38120056029603,23580.888671875,1.768039345741272,1234.1710029364526,1199.2848666336365,8743.4521484375,0.9368869066238403,0.16555741429328918,0.14788255095481873,0.0,102117.87680244446,30452.0,11197.19921875,202.4670957572573,8599.708984375,0.8711570501327515,30452.0,1061.630477222616,6166.0,12342.419921875,-22179.375,0.005675160932492605,6166000,1215826.125,0.1379990130662918,967.808334836383
10038.9921875,7.080275535583496,6167,0.949675977230072,0.2068842500448227,1.0,60.3789630480435,24684.49609375,1.7680487632751465,1668.726321970691,1202.933545181428,8776.32421875,0.93817138671875,0.1519591212272644,0.12197017669677734,0.0,102138.22312736511,30454.0,10978.900390625,202.4793458987325,8675.53515625,0.8711507320404053,30454.0,1086.6707860580502,6167.0,12141.865234375,-22073.517578125,0.0057892316672357065,6167000,1531876.125,0.13801783323287964,967.8616807921992
10041.1025390625,7.080378532409668,6168,0.9467931389808655,0.22534656524658203,1.0,60.3773533259078,20517.048828125,1.7680433988571167,836.886820455964,1201.408900481056,8718.4072265625,0.9486455321311951,0.13841871917247772,0.14516448974609375,0.0,102157.50873851776,30459.0,10953.3515625,202.49886732985325,8592.2568359375,0.8711494207382202,30459.0,1119.8912743839858,6168.0,12099.150390625,-22139.119140625,0.005675160932492605,6168000,1110458.5,0.13802579045295715,967.9480378159535
10043.2841796875,7.080358028411865,6169,0.94314044713974,0.2185094803571701,1.0,60.37568821916762,20546.265625,1.7680386304855347,943.156678987116,1202.5072472398904,8707.373046875,0.9502955675125122,0.12121480703353882,0.11897063255310059,0.0,102176.889108181,30461.0,11032.3125,202.50142805554643,8551.05859375,0.871147632598877,30461.0,1126.660737090178,6169.0,12191.65625,-21849.681640625,0.0057892316672357065,6169000,1170183.75,0.13802354037761688,967.9606091933058
