rollout/episodes,train/loss_critic,rollout/return_history,total/steps_per_second,rollout/Q_mean,train/param_noise_distance,rollout/episode_steps,reference_action_mean,rollout/return,reference_actor_Q_std,eval/return,total/epochs,rollout/actions_std,reference_Q_mean,obs_rms_mean,reference_action_std,ret_rms_std,reference_actor_Q_mean,total/episodes,rollout/actions_mean,reference_Q_std,ret_rms_mean,eval/Q,total/steps,eval/episodes,train/loss_actor,total/duration,obs_rms_std,eval/return_history
516.0,127.92948150634766,592.7981341221767,24.94170616329677,326.15875244140625,0.0,1000.0,0.10364154726266861,397.8765997414221,184.42327880859375,1034.487941243743,516,0.6979358196258545,163.78379821777344,0.13809430599212646,0.8292621374130249,1.0,166.05209350585938,516.0,-0.10082855820655823,182.85198974609375,0.0,360.2568054199219,516000,516.0,-276.57440185546875,20688.2398750782,2.2923552989959717,1005.6102419366472
517.0,100.13299560546875,588.3316072298738,24.941389057799597,326.2187194824219,0.0,1000.0,0.2951717674732208,398.2218314212567,182.7438201904297,1020.6703912068078,517,0.697804868221283,165.45437622070312,0.13809001445770264,0.7896111011505127,1.0,167.55908203125,517.0,-0.10070047527551651,181.23699951171875,0.0,360.41461181640625,517000,517.0,-278.4594421386719,20728.596903800964,2.292351484298706,1005.6607144467529
518.0,136.4566650390625,583.4304493128245,24.941091751770465,326.27825927734375,0.0,1000.0,-0.09604048728942871,398.219505955767,182.68310546875,973.2791764573658,518,0.6977381110191345,164.08380126953125,0.13809305429458618,0.8508402109146118,1.0,165.84336853027344,518.0,-0.10047630965709686,182.11351013183594,0.0,360.12847900390625,518000,518.0,-279.5332946777344,20768.93847131729,2.292400360107422,1015.7581450055288
519.0,164.6856689453125,586.4797403906659,24.940888313068072,326.3453369140625,0.0,1000.0,0.24936912953853607,398.9682241729003,180.29576110839844,990.6506483713559,519,0.6976315975189209,170.37005615234375,0.13808658719062805,0.811798095703125,1.0,172.15728759765625,519.0,-0.10054785758256912,179.618408203125,0.0,363.4622497558594,519000,519.0,-283.7546081542969,20809.202682971954,2.292825937271118,1015.4437520925796
520.0,51.35919952392578,594.7915171984474,24.940414530909074,326.41510009765625,0.0,1000.0,0.0126873180270195,399.56914864308055,182.9069061279297,921.2501799932515,520,0.6975075602531433,170.6323699951172,0.1380801498889923,0.8232778906822205,1.0,172.37086486816406,520.0,-0.10056249052286148,182.3480682373047,0.0,366.1744384765625,520000,520.0,-282.6524963378906,20849.69355082512,2.2928874492645264,1014.0447397781553
521.0,89.40605163574219,602.8492015898101,24.94006437956162,326.42919921875,0.0,1000.0,-0.009862015955150127,399.5025698034118,185.4522705078125,806.0996256569194,521,0.6974835991859436,169.17660522460938,0.1380724012851715,0.7959336638450623,1.0,170.39608764648438,521.0,-0.10041652619838715,184.41517639160156,0.0,321.7397766113281,521000,521.0,-283.9569396972656,20890.08240199089,2.2927932739257812,1011.7321284384593
522.0,117.138916015625,590.9389721794159,24.939488240943323,325.85577392578125,0.0,1000.0,0.052214425057172775,398.0846887035709,185.58651733398438,672.5741488514636,522,0.6978211998939514,168.46316528320312,0.1380952000617981,0.8352654576301575,1.0,170.10623168945312,522.0,-0.10048715025186539,184.96908569335938,0.0,268.67169189453125,522000,522.0,-285.0858459472656,20930.66204714775,2.2932546138763428,1006.6407499452616
523.0,102.5230484008789,590.8730241031227,24.939177490930426,325.9321594238281,0.0,1000.0,-0.06388536840677261,398.8883432082903,187.49452209472656,743.2458570652641,523,0.6976813077926636,167.39727783203125,0.1380864381790161,0.8410545587539673,1.0,169.384033203125,523.0,-0.10053837299346924,186.31353759765625,0.0,338.87359619140625,523000,523.0,-285.59912109375,20971.020403146744,2.293494939804077,1003.5961860990504
524.0,88.38008880615234,588.6254159617522,24.93907817848191,326.000244140625,0.0,1000.0,0.18630367517471313,398.96899320976087,188.42788696289062,909.366911100703,524,0.6975236535072327,166.14450073242188,0.1380312442779541,0.832145094871521,1.0,168.0951690673828,524.0,-0.10072752833366394,187.16395568847656,0.0,313.7701416015625,524000,524.0,-283.8421630859375,21011.201627016068,2.2933506965637207,1003.64815793879
525.0,122.63455200195312,590.5177770232157,24.93868384077342,326.0719299316406,0.0,1000.0,-0.1959245651960373,399.76846517826374,188.57305908203125,-64.81859048485694,525,0.697407603263855,166.51234436035156,0.13801801204681396,0.8647335767745972,1.0,168.57411193847656,525.0,-0.10085473209619522,186.93067932128906,0.0,128.14920043945312,525000,525.0,-284.3846435546875,21051.632209300995,2.293700933456421,994.7797177315368
526.0,118.68212127685547,582.3096649237435,24.93836913615344,325.64959716796875,0.0,1000.0,0.38946864008903503,398.8765541519205,187.88027954101562,1142.4668731548902,526,0.6976975798606873,165.93994140625,0.1381363719701767,0.7646381258964539,1.0,167.7290496826172,526.0,-0.10037380456924438,186.8299102783203,0.0,365.8814392089844,526000,526.0,-284.5814208984375,21091.996719121933,2.2931387424468994,995.3279773303881
527.0,99.54764556884766,572.6326885902826,24.937920788060534,325.1015930175781,0.0,1000.0,0.12309450656175613,397.6941963425288,186.51380920410156,991.5910105161889,527,0.6979707479476929,165.9942626953125,0.1382637768983841,0.8529354333877563,1.0,167.68521118164062,527.0,-0.09991039335727692,185.8916015625,0.0,365.81829833984375,527000,527.0,-282.15692138671875,21132.47549700737,2.2930006980895996,995.3846984317411
528.0,78.20374298095703,560.6781521268733,24.93758275513048,324.5762023925781,0.0,1000.0,0.41095319390296936,396.27300082237144,186.7713623046875,1044.9360238430136,528,0.6984808444976807,168.27764892578125,0.13835451006889343,0.7644942402839661,1.0,169.75326538085938,528.0,-0.0994722992181778,185.2643280029297,0.0,368.3158874511719,528000,528.0,-283.8231201171875,21172.862068653107,2.2919397354125977,995.9529540675337
529.0,69.74992370605469,567.5621867800718,24.937238783601295,324.6553649902344,0.0,1000.0,0.19222719967365265,397.4345725935197,187.2303009033203,670.7805498719697,529,0.6983480453491211,167.63145446777344,0.1383529156446457,0.8486170768737793,1.0,169.75875854492188,529.0,-0.0996851697564125,186.89578247070312,0.0,303.7427062988281,529000,529.0,-284.0522155761719,21213.25478696823,2.2923903465270996,993.0089630987405
