total/duration,reference_perturbed_action_mean,rollout/actions_std,rollout/return_history,train/param_noise_distance,reference_actor_Q_std,rollout/episode_steps,reference_Q_std,rollout/actions_mean,eval/return,total/steps_per_second,eval/return_history,total/epochs,eval/Q,ret_rms_mean,param_noise_stddev,total/steps,reference_action_mean,reference_actor_Q_mean,eval/episodes,ret_rms_std,train/loss_critic,reference_perturbed_action_std,rollout/return,rollout/episodes,train/loss_actor,reference_Q_mean,rollout/Q_mean,obs_rms_std,reference_action_std,total/episodes,obs_rms_mean
671.9023220539093,-0.0038055304903537035,0.6566529870033264,190.25922345496997,0.21288008987903595,3.3083763122558594,1000.0,3.386401414871216,-0.08760107308626175,954.3726778445407,17.859738843166543,531.2557374026743,12,189.3066864013672,0.0,0.02733727610437334,12000,-0.0879741683602333,178.59547424316406,12.0,1.0,9.937030792236328,0.661677360534668,190.25922345496997,12.0,-172.10855102539062,176.6127166748047,81.12590789794922,1.5846891403198242,0.6295586228370667,12.0,0.019575418904423714
716.3743975162506,-0.027865687385201454,0.653652548789978,224.68286848779823,0.2346096709370613,2.703815460205078,1000.0,2.5757782459259033,-0.08110274374485016,1066.0136325384203,18.14693552013087,572.3909601054239,13,201.01417541503906,0.0,0.025245515830755405,13000,0.11546774953603745,196.27613830566406,13.0,1.0,23.098033905029297,0.5879237651824951,224.68286848779823,13.0,-190.17506408691406,193.8243865966797,89.75785827636719,1.6074435710906982,0.5952844619750977,13.0,0.021146155893802643
761.6124744415283,-0.06135065481066704,0.646771252155304,333.85978729207164,0.22123464941978455,2.9505631923675537,1000.0,3.0787439346313477,-0.06966229528188705,1010.2509669811427,18.38205185683947,603.666674882261,14,209.3736572265625,0.0,0.024748079434129402,14000,-0.021283140406012535,207.48178100585938,14.0,1.0,12.357882499694824,0.5805713534355164,333.85978729207164,14.0,-203.90213012695312,205.4966278076172,98.6430892944336,1.6481364965438843,0.6203664541244507,14.0,0.026318632066249847
806.3107540607452,0.030405929312109947,0.63858962059021,378.2695514883791,0.1876608207821846,2.9647066593170166,1000.0,2.932830810546875,-0.07433722168207169,1180.7748351784353,18.60324933588811,642.1405522353393,15,232.71910095214844,0.0,0.024748079434129402,15000,0.08290912955999374,221.75697326660156,15.0,1.0,19.013286590576172,0.6417462825775146,378.2695514883791,15.0,-219.05068969726562,219.3961639404297,107.04633331298828,1.6733860969543457,0.6316153407096863,15.0,0.026182306930422783
851.3430325984955,-0.11076954752206802,0.6368944048881531,405.4026841462375,0.21092499047517776,3.412341594696045,1000.0,3.443817138671875,-0.06932883709669113,-22.929657513471184,18.793834432595645,600.5736641260387,16,226.59951782226562,0.0,0.026270585008002556,16000,-0.01731725223362446,236.42034912109375,16.0,1.0,35.3437614440918,0.6284210085868835,405.4026841462375,16.0,-236.35133361816406,234.70718383789062,115.11454010009766,1.7077528238296509,0.6255630850791931,16.0,0.028224695473909378
895.9207258224487,0.12321963161230087,0.6388576030731201,441.75941123053184,0.1947617456316948,3.6571218967437744,1000.0,3.483576774597168,-0.0719488114118576,-247.5554489471868,18.974893101612448,550.683716298202,17,246.35597229003906,0.0,0.025245515830755405,17000,0.10109404474496841,252.5078125,17.0,1.0,37.58940505981445,0.6690841913223267,441.75941123053184,17.0,-255.96533203125,250.69049072265625,123.28204345703125,1.7474085092544556,0.6348320841789246,17.0,0.029696881771087646
939.9513444900513,0.0683962032198906,0.6419954299926758,491.6629768393536,0.19888394325971603,3.2626874446868896,1000.0,3.2963204383850098,-0.05757025256752968,872.68718113421,19.1499273930668,568.5727976779801,18,274.53466796875,0.0,0.025245515830755405,18000,0.12022154778242111,265.59808349609375,18.0,1.0,27.27259063720703,0.6479156613349915,491.6629768393536,18.0,-268.4823913574219,263.2886962890625,131.51806640625,1.7711683511734009,0.622724711894989,18.0,0.03381603583693504
985.581357717514,-0.032992225140333176,0.63986736536026,537.2924975890678,0.19379962980747223,3.7522389888763428,1000.0,3.6941723823547363,-0.05667228251695633,-96.8097983638634,19.277962038569477,533.5526610441989,19,272.1279602050781,0.0,0.02426044449968572,19000,0.06667659431695938,278.92095947265625,19.0,1.0,29.537181854248047,0.5992998480796814,537.2924975890678,19.0,-284.1146240234375,276.658935546875,139.73260498046875,1.7891262769699097,0.6138531565666199,19.0,0.03574381396174431
1031.0936794281006,0.2178303450345993,0.6363353729248047,566.4331330161231,0.18897206336259842,3.406830310821533,1000.0,3.3731517791748047,-0.061538513749837875,-88.256314210962,19.396879642490937,502.4622122814409,20,284.43994140625,0.0,0.024748079434129402,20000,0.08467429876327515,293.2689208984375,20.0,1.0,30.552043914794922,0.6179990768432617,566.4331330161231,20.0,-298.3373718261719,290.98992919921875,147.82667541503906,1.7968331575393677,0.6601555943489075,20.0,0.035047534853219986
1092.2969977855682,0.03967076167464256,0.6439868807792664,530.3039129922876,0.22746694833040237,2.8901867866516113,1000.0,2.8131563663482666,-0.060351308435201645,4.142718724571193,19.22554034532151,478.7327125882566,21,294.69830322265625,0.0,0.025245515830755405,21000,0.09112247824668884,306.22601318359375,21.0,1.0,53.16925811767578,0.6551640033721924,530.3039129922876,21.0,-310.7747802734375,303.4700012207031,154.33944702148438,1.8294607400894165,0.6537899971008301,21.0,0.040767014026641846
