reference_action_std,eval/return,param_noise_stddev,total/steps,total/episodes,reference_actor_Q_mean,rollout/actions_std,train/param_noise_distance,reference_Q_mean,ret_rms_mean,ret_rms_std,rollout/actions_mean,reference_perturbed_action_std,eval/return_history,reference_actor_Q_std,rollout/episodes,rollout/Q_mean,rollout/return,train/loss_critic,obs_rms_std,train/loss_actor,obs_rms_mean,total/epochs,eval/episodes,total/duration,rollout/episode_steps,eval/Q,reference_action_mean,rollout/return_history,reference_perturbed_action_mean,reference_Q_std,total/steps_per_second
0.8133196234703064,1819.2673415792153,0.016294603698363365,492000,4457.0,597.31201171875,0.7901139259338379,0.21267449855804443,546.4453735351562,0.0,1.0,0.23213087022304535,0.8085542321205139,943.6142714193686,446.6452941894531,4457.0,673.2462158203125,532.3355498644315,2327.164794921875,5.836489200592041,-766.9572143554688,1.97171151638031,492,492.0,6374.105015993118,110.36683868072694,983.6546630859375,0.2735288739204407,884.6410625730297,0.2888362407684326,424.2721252441406,77.18730688708992
0.8284868597984314,900.4466247927539,0.0156587938752642,493000,4462.0,602.4161376953125,0.790182888507843,0.20192906260490417,558.2877197265625,0.0,1.0,0.2320374846458435,0.8382338881492615,944.9585100363116,445.3806457519531,4462.0,673.5968627929688,532.8114358573457,2236.23046875,5.835264682769775,-744.1853637695312,1.9717717170715332,493,493.0,6387.9035630226135,110.46414164051994,918.5562744140625,0.22745497524738312,896.2778757024705,0.2225874960422516,428.3747863769531,77.17712002632729
0.8090513348579407,665.3225667539281,0.016294603698363365,494000,4467.0,599.21826171875,0.7902095317840576,0.2122676521539688,555.064697265625,0.0,1.0,0.2320212423801422,0.8284523487091064,942.2940001651032,448.66436767578125,4467.0,674.0753173828125,533.319415591202,2654.483642578125,5.834044933319092,-764.573486328125,1.9718858003616333,494,494.0,6401.200104475021,110.56570405193642,819.0252075195312,0.24755233526229858,900.022434341112,0.1836518943309784,432.2601318359375,77.17302879731085
0.8152760863304138,827.3153961983446,0.01695622994987775,495000,4473.0,611.665283203125,0.7901920676231384,0.1798197478055954,567.8265991210938,0.0,1.0,0.2321552336215973,0.8137761354446411,941.6857266233814,450.9260559082031,4473.0,674.4990844726562,533.7572864583244,2278.399169921875,5.8334059715271,-747.2874755859375,1.9722312688827515,495,495.0,6414.7226758003235,110.64721663313213,890.6828002929688,0.23373955488204956,898.6759989088861,0.2401319444179535,431.4025573730469,77.16623539586487
0.8103048205375671,892.4193373228405,0.016294603698363365,496000,4482.0,593.7125854492188,0.7901723384857178,0.2179473489522934,548.17578125,0.0,1.0,0.23225371539592743,0.8044905662536621,943.2960929930072,446.6209716796875,4482.0,674.8855590820312,533.7595778629535,2377.70068359375,5.834176540374756,-759.1280517578125,1.97225821018219,496,496.0,6428.350554704666,110.64770191878625,966.7980346679688,0.25524502992630005,878.5429146305482,0.2756013572216034,425.3834533691406,77.15820656933471
0.817567765712738,1088.6738877470889,0.01662212523270047,497000,4489.0,579.6373291015625,0.7901524305343628,0.18440726399421692,538.3650512695312,0.0,1.0,0.23229850828647614,0.8235836029052734,943.6688500283476,439.11883544921875,4489.0,675.3482055664062,534.0199955638545,2400.549072265625,5.833984375,-763.557373046875,1.9724427461624146,497,497.0,6442.345073699951,110.6890175985743,926.2570190429688,0.1872476190328598,880.94093067181,0.17418187856674194,418.7720642089844,77.145821019265
0.8123273849487305,946.7884954689829,0.01695622994987775,498000,4495.0,592.987060546875,0.790165901184082,0.2044878900051117,547.8345947265625,0.0,1.0,0.23235975205898285,0.8107110857963562,944.3908406035774,446.3183288574219,4495.0,675.673828125,534.346579949789,2277.989501953125,5.833507061004639,-750.4564208984375,1.9725762605667114,498,498.0,6456.09552359581,110.74905450500556,858.95556640625,0.23605546355247498,879.034672588995,0.23699922859668732,426.768310546875,77.13640515074538
0.8106302618980408,1016.8179440914103,0.016294603698363365,499000,4501.0,591.3250732421875,0.7902122139930725,0.1958347111940384,544.301025390625,0.0,1.0,0.23226484656333923,0.8217989802360535,945.5492542910423,442.9432067871094,4501.0,676.122314453125,534.8761459339081,2437.9365234375,5.832408428192139,-764.3777465820312,1.972604751586914,499,499.0,6470.076218128204,110.8566985114419,1006.5428466796875,0.27046337723731995,892.5369722844625,0.22134488821029663,421.6243591308594,77.12428465709186
0.8231312036514282,705.7855416846567,0.016294603698363365,500000,4508.0,603.7719116210938,0.790168046951294,0.19720979034900665,558.069580078125,0.0,1.0,0.232463076710701,0.8225287199020386,943.9284079883713,452.4337463378906,4508.0,676.5282592773438,535.1920866347806,2562.509765625,5.833227157592773,-758.4511108398438,1.9729541540145874,500,500.0,6483.458713293076,110.9117125110914,769.3954467773438,0.23457759618759155,876.8961743331478,0.24747832119464874,430.2978210449219,77.11933122591603
0.7917946577072144,1105.0381625993423,0.016294603698363365,501000,4514.0,587.6641845703125,0.790099024772644,0.24344198405742645,544.177490234375,0.0,1.0,0.23263019323349,0.799413800239563,946.8000980003204,449.4064025878906,4514.0,676.8464965820312,535.4569346713286,2397.860595703125,5.833557605743408,-768.1749877929688,1.9730757474899292,501,501.0,6497.425272464752,110.9563579973416,907.3834228515625,0.30148714780807495,878.3276156495408,0.28401628136634827,428.81964111328125,77.10746626408667
0.7989381551742554,582.4729037202907,0.0156587938752642,502000,4520.0,572.7095947265625,0.7900828719139099,0.2093014121055603,529.552001953125,0.0,1.0,0.23264078795909882,0.8000124096870422,943.519452495868,440.3731384277344,4520.0,677.19677734375,535.9236303048652,2261.04638671875,5.836352825164795,-749.314697265625,1.9730416536331177,502,502.0,6510.659896850586,111.05,839.9074096679688,0.2548791766166687,890.1632886541124,0.2586878538131714,421.3080749511719,77.10431937058077
0.7961989045143127,1207.5441584002765,0.01662212523270047,503000,4525.0,577.64892578125,0.7900239825248718,0.20506878197193146,533.0360107421875,0.0,1.0,0.23272977769374847,0.7802498936653137,949.6683831029437,440.79571533203125,4525.0,677.6778564453125,536.3790166680662,2272.71240234375,5.835598468780518,-763.3594360351562,1.9732329845428467,503,503.0,6524.980249166489,111.14209944751381,897.5543212890625,0.27838489413261414,890.4435154803522,0.3115491271018982,423.0567932128906,77.08835594778299
0.8061255216598511,1379.0816067563826,0.01662212523270047,504000,4530.0,570.1004028320312,0.7899974584579468,0.1876572072505951,524.5142211914062,0.0,1.0,0.232785165309906,0.7933344841003418,952.0105904692273,428.4989013671875,4530.0,678.15185546875,536.8708727173807,2395.75,5.835201263427734,-760.3696899414062,1.9734289646148682,504,504.0,6539.4860010147095,111.24326710816777,999.6786499023438,0.26968657970428467,887.6675138443529,0.2849862575531006,412.3645324707031,77.07027737681464
0.82024747133255,1077.9890787832874,0.017297050171870294,505000,4535.0,570.7745971679688,0.7900466322898865,0.1790274679660797,525.9349365234375,0.0,1.0,0.23266950249671936,0.8230831623077393,950.786882833569,446.19354248046875,4535.0,678.4743041992188,537.295447097346,2429.00390625,5.834140777587891,-759.302978515625,1.9733105897903442,505,505.0,6553.5058352947235,111.32480705622933,969.0343627929688,0.2437242865562439,889.891907378147,0.22023677825927734,426.7998962402344,77.0579919651951
0.815166711807251,842.6441839117031,0.01695622994987775,506000,4541.0,559.9913330078125,0.7900609970092773,0.19147147238254547,513.438232421875,0.0,1.0,0.23262827098369598,0.8196836113929749,950.4260520484859,434.04931640625,4541.0,678.9725341796875,537.7546761360123,2285.68212890625,5.832971572875977,-754.5239868164062,1.9734991788864136,506,506.0,6567.232127428055,111.41796961021801,927.5607299804688,0.21394754946231842,878.3351494946016,0.2012595236301422,414.41375732421875,77.04920279682064
0.7971945405006409,1045.3731739923246,0.01662212523270047,507000,4547.0,553.6066284179688,0.7900804877281189,0.1879255771636963,511.0641784667969,0.0,1.0,0.23252232372760773,0.8028100728988647,949.6320778756132,432.76318359375,4547.0,679.5435180664062,538.0823250636554,2476.280029296875,5.8316826820373535,-757.85888671875,1.9735620021820068,507,507.0,6581.143260478973,111.48515504728393,1011.500244140625,0.2863306701183319,851.3307876699662,0.27054309844970703,414.0224609375,77.03828650025477
0.823384165763855,1033.8475384135431,0.01662212523270047,508000,4552.0,587.5036010742188,0.7900629639625549,0.19123472273349762,537.2073974609375,0.0,1.0,0.23254971206188202,0.8211843967437744,950.5973515689201,436.3395080566406,4552.0,680.01953125,538.4929616128006,2509.509765625,5.831239700317383,-774.4212646484375,1.9737625122070312,508,508.0,6594.986448764801,111.56920035149385,926.1405639648438,0.2324780821800232,850.4404556217193,0.2483145147562027,413.63519287109375,77.02820982977838
0.8124242424964905,966.4176744626799,0.015973535632157008,509000,4558.0,584.6045532226562,0.7900604009628296,0.2221173495054245,538.5703735351562,0.0,1.0,0.23255696892738342,0.8099802732467651,951.2990317850501,441.19415283203125,4558.0,680.5858154296875,538.8660925384307,2353.379150390625,5.8298749923706055,-758.7440795898438,1.973771572113037,509,509.0,6608.751105070114,111.64633611232998,933.1236572265625,0.21424363553524017,821.7099037040971,0.2141970694065094,419.69525146484375,77.01909058271303
0.8181472420692444,908.3005995741511,0.016294603698363365,510000,4563.0,591.889892578125,0.7900322675704956,0.19912996888160706,544.8544921875,0.0,1.0,0.23248198628425598,0.8231920003890991,952.6679947987901,444.3995666503906,4563.0,681.115234375,539.3871664279214,2434.571533203125,5.8291192054748535,-770.7665405273438,1.9737859964370728,510,510.0,6622.464769363403,111.74775367083059,915.816650390625,0.21176640689373016,829.6921971651172,0.19206546247005463,422.14678955078125,77.01060220951915
0.8014755845069885,1355.4340543409785,0.015973535632157008,511000,4568.0,587.030029296875,0.7900148630142212,0.18143370747566223,531.75927734375,0.0,1.0,0.23244203627109528,0.8020926713943481,958.3228703915042,440.9877014160156,4568.0,681.7305908203125,539.9022784968606,2300.09375,5.828014850616455,-778.4592895507812,1.9738597869873047,511,511.0,6636.900426626205,111.85507880910683,979.8683471679688,0.2989845871925354,831.8982447816564,0.27907678484916687,415.1673278808594,76.9937722660337
0.7947486042976379,1059.0236202278124,0.015973535632157008,512000,4576.0,605.4608154296875,0.7900012731552124,0.1825115829706192,558.19384765625,0.0,1.0,0.23244889080524445,0.8008279800415039,959.3520547463228,453.334716796875,4576.0,682.3153686523438,539.966445532325,2277.45703125,5.828405380249023,-767.8358764648438,1.9740358591079712,512,512.0,6650.834467172623,111.86625874125875,1039.1627197265625,0.31399059295654297,814.687214183409,0.2858198285102844,431.7615661621094,76.98282110720754
0.8119776248931885,1025.7671271303602,0.015973535632157008,513000,4580.0,602.543212890625,0.789954423904419,0.19424322247505188,555.6561279296875,0.0,1.0,0.23266339302062988,0.8061107397079468,963.754880105759,450.1833190917969,4580.0,682.6907348632812,540.3272869521223,2098.971435546875,5.827460289001465,-774.1663818359375,1.9742467403411865,513,513.0,6664.779304265976,111.9414847161572,1069.6221923828125,0.23356977105140686,829.2754462813657,0.2634616196155548,432.8502197265625,76.97179104965115
0.8082941174507141,859.4872301633404,0.01662212523270047,514000,4584.0,584.1937255859375,0.7899647951126099,0.19973619282245636,541.4432373046875,0.0,1.0,0.23252876102924347,0.8107021450996399,966.4144249196198,448.38079833984375,4584.0,683.357666015625,541.1123870364639,2474.97119140625,5.825634956359863,-768.785400390625,1.974103569984436,514,514.0,6678.479924917221,112.09925828970331,942.637451171875,0.255082905292511,867.4000126013609,0.24847523868083954,432.52191162109375,76.96362132979998
0.7893644571304321,871.9232131387122,0.017644720880324885,515000,4589.0,576.1396484375,0.7899428606033325,0.19633308053016663,529.4223022460938,0.0,1.0,0.2326204925775528,0.7903823256492615,967.2447319564956,437.70965576171875,4589.0,683.8868408203125,541.6383539530829,2421.6376953125,5.8243513107299805,-758.3369750976562,1.9742521047592163,515,515.0,6692.155405521393,112.20636304205709,936.0094604492188,0.31058797240257263,883.626462045544,0.31262391805648804,419.1930847167969,76.95577415537853
0.7980258464813232,825.2780555020687,0.01662212523270047,516000,4596.0,592.4025268554688,0.7899105548858643,0.21359486877918243,541.5166015625,0.0,1.0,0.23276372253894806,0.8018224239349365,965.8090917378897,455.8187255859375,4596.0,684.26611328125,541.897117666839,2337.713134765625,5.824026584625244,-768.70654296875,1.9744020700454712,516,516.0,6705.835680007935,112.25718015665797,947.8706665039062,0.26020509004592896,876.5172800251785,0.26036807894706726,430.89288330078125,76.94790397837328
0.8105219006538391,957.3042946751742,0.015973535632157008,517000,4602.0,617.7723388671875,0.789871096611023,0.2063029259443283,567.84326171875,0.0,1.0,0.23285135626792908,0.8057771921157837,966.2021065253615,453.4405517578125,4602.0,684.8455810546875,542.2317357886377,2253.4931640625,5.823399543762207,-784.7017211914062,1.9746026992797852,517,517.0,6719.5967836380005,112.32051282051282,883.7044677734375,0.2565764784812927,872.4170929706484,0.2572909891605377,431.82940673828125,76.9391403452776
