eval/Q,train/loss_critic,param_noise_stddev,rollout/actions_std,reference_Q_std,obs_rms_std,obs_rms_mean,reference_actor_Q_std,rollout/actions_mean,train/param_noise_distance,reference_perturbed_action_std,total/steps,rollout/return,reference_actor_Q_mean,total/steps_per_second,rollout/episode_steps,rollout/return_history,reference_action_mean,ret_rms_std,reference_Q_mean,reference_perturbed_action_mean,total/episodes,train/loss_actor,eval/return,total/epochs,total/duration,eval/episodes,eval/return_history,rollout/Q_mean,rollout/episodes,ret_rms_mean,reference_action_std
82.51351165771484,5.298426628112793,0.02426044449968572,0.47899308800697327,33.84552001953125,1.0425713062286377,0.08620774000883102,33.87114715576172,0.5937482714653015,0.178087517619133,0.6917541027069092,14000,201.3438017150116,52.74042892456055,52.381608099722754,193.14705882352942,201.3438017150116,0.3063318729400635,1.0,49.915245056152344,0.2684422433376312,68.0,-78.11018371582031,384.5315339913898,14,267.2693815231323,14.0,300.68559145031656,42.249977111816406,68.0,0.0,0.6851626038551331
94.19235229492188,14.085770606994629,0.02426044449968572,0.48705601692199707,37.87788009643555,1.128566026687622,0.06998160481452942,38.356666564941406,0.5825545787811279,0.17596055567264557,0.6351214647293091,15000,206.64595092670058,57.67771911621094,52.52556658194606,201.3783783783784,206.64595092670058,0.39619067311286926,1.0,54.960693359375,0.4378085434436798,74.0,-83.58647155761719,253.45183938297419,15,285.5752155780792,15.0,297.536674645827,45.21748733520508,74.0,0.0,0.6594739556312561
110.22250366210938,13.155298233032227,0.02426044449968572,0.4918319582939148,38.7751579284668,1.1720163822174072,0.0707995817065239,38.25980758666992,0.5759979486465454,0.1757311373949051,0.6661056876182556,16000,211.8849492687645,63.352115631103516,52.64067836027032,198.55,211.8849492687645,0.35472729802131653,1.0,60.1767578125,0.3878869116306305,80.0,-91.26112365722656,354.10575225544414,16,303.94745087623596,16.0,301.07224199642815,48.5308837890625,80.0,0.0,0.6906154155731201
102.85366821289062,13.047538757324219,0.024748079434129402,0.5023189187049866,41.65241622924805,1.226311206817627,0.06250264495611191,40.60858917236328,0.566346287727356,0.2212386578321457,0.7011194229125977,17000,204.0031153806586,70.76519775390625,52.594382818081485,193.88505747126436,204.0031153806586,0.3367442190647125,1.0,67.25187683105469,0.24211399257183075,87.0,-97.80622863769531,293.46077392971836,17,323.22843408584595,17.0,300.6245085807393,50.734092712402344,87.0,0.0,0.6981106400489807
119.94363403320312,16.895315170288086,0.026798623766663407,0.49855101108551025,43.509071350097656,1.2293243408203125,0.06553255021572113,42.516990661621094,0.5649974942207336,0.1382109522819519,0.6915273666381836,18000,204.85613083149565,76.42386627197266,52.791522707113735,193.20454545454547,204.85613083149565,0.4331726133823395,1.0,72.46638488769531,0.3574717342853546,88.0,-106.02375793457031,333.65749657923004,18,340.9638342857361,18.0,302.4596745806555,54.15851974487305,88.0,0.0,0.7012449502944946
121.88642120361328,10.683422088623047,0.026270585008002556,0.49879878759384155,47.13417053222656,1.2299771308898926,0.06842567771673203,46.51173782348633,0.5654405355453491,0.23175962269306183,0.6933467984199524,19000,224.0684934377471,80.47361755371094,52.92370969951895,203.21505376344086,224.0684934377471,0.4385971128940582,1.0,76.56527709960938,0.3976472318172455,93.0,-110.77825164794922,333.5148801105102,19,359.0073354244232,19.0,304.0941590822268,57.77928161621094,93.0,0.0,0.6883465051651001
115.07854461669922,7.624467849731445,0.026270585008002556,0.5039039254188538,51.1078987121582,1.2517123222351074,0.06741149723529816,50.68017578125,0.5618318915367126,0.19590899348258972,0.6779683232307434,20000,230.36628878976555,83.35851287841797,53.016805043992,202.07142857142858,230.36628878976555,0.3568582236766815,1.0,79.97367858886719,0.3919311463832855,98.0,-117.77218627929688,207.0532865066059,20,377.2388770580292,20.0,299.24211545344576,61.13145065307617,98.0,0.0,0.700572669506073
108.61157989501953,23.65863800048828,0.02426044449968572,0.5053651332855225,55.69306945800781,1.2738772630691528,0.06810715794563293,55.36820983886719,0.5592896342277527,0.2347356081008911,0.6324325203895569,21000,232.98028531831287,86.69151306152344,53.08297512164157,202.40776699029126,240.14214474231122,0.41968831419944763,1.0,83.50445556640625,0.4678736925125122,103.0,-123.21602630615234,80.38763601755775,21,395.60706520080566,21.0,288.8204735755463,64.46086883544922,103.0,0.0,0.6653532981872559
132.03175354003906,11.42319107055664,0.025245515830755405,0.509443461894989,61.153743743896484,1.3343790769577026,0.05928153917193413,60.988197326660156,0.5559106469154358,0.20432808995246887,0.6496556997299194,22000,226.86585685236795,90.36474609375,53.20811682484325,199.71818181818182,249.77208773094742,0.40313029289245605,1.0,87.13899993896484,0.353479266166687,110.0,-128.45997619628906,75.59506850831744,22,413.47075057029724,22.0,279.1284097088541,66.81607055664062,110.0,0.0,0.6481727361679077
133.5406951904297,36.5810661315918,0.02426044449968572,0.5135751962661743,66.11711120605469,1.403935432434082,0.04952540248632431,65.95691680908203,0.552185595035553,0.2164386808872223,0.5580102801322937,23000,223.0197653611943,92.7916259765625,53.295102565560235,196.5042735042735,257.2053034313814,0.5145404934883118,1.0,89.27747344970703,0.5384451746940613,117.0,-132.35472106933594,205.14419740249824,23,431.559353351593,23.0,275.9117048259691,69.54121398925781,117.0,0.0,0.5705169439315796
