total/steps,rollout/actions_std,ret_rms_mean,total/episodes,total/epochs,rollout/return,rollout/Q_mean,eval/Q,ret_rms_std,rollout/episode_steps,eval/return,reference_Q_std,eval/return_history,reference_action_std,train/param_noise_distance,train/loss_actor,train/loss_critic,obs_rms_mean,rollout/episodes,rollout/actions_mean,eval/episodes,obs_rms_std,reference_Q_mean,reference_actor_Q_mean,reference_actor_Q_std,total/duration,rollout/return_history,reference_action_mean,total/steps_per_second
454000,0.6590509414672852,0.0,454.0,454,557.4871332264105,168.12193298339844,210.43441772460938,1.0,1000.0,825.6132491500196,1.3044513463974,879.6703398379924,0.8160530924797058,0.0,-207.4383544921875,73.53153991699219,0.19356779754161835,454.0,-0.019534854218363762,454.0,2.879542589187622,193.17481994628906,194.14248657226562,1.243622064590454,8362.0194606781,777.7642350845476,0.28354406356811523,54.29310492936641
455000,0.6590354442596436,0.0,455.0,455,557.5475131440203,168.2109832763672,209.32330322265625,1.0,1000.0,803.5891573476903,1.4664301872253418,879.4745957615212,0.8585350513458252,0.0,-207.31533813476562,24.96451187133789,0.19353441894054413,455.0,-0.019757768139243126,455.0,2.8795392513275146,192.44052124023438,193.33599853515625,1.3991953134536743,8380.6904463768,777.1740422311665,0.020777983590960503,54.291469528827285
456000,0.6589624285697937,0.0,456.0,456,558.5182591192621,168.30404663085938,211.62420654296875,1.0,1000.0,1080.8723702931188,0.9497725963592529,881.7538181435381,0.8664395213127136,0.0,-207.65325927734375,43.44978332519531,0.19362615048885345,456.0,-0.019551506265997887,456.0,2.8795506954193115,194.78070068359375,195.8974609375,1.1403921842575073,8399.308281183243,779.9853363622658,0.16781295835971832,54.29018494553477
457000,0.6588932275772095,0.0,457.0,457,559.227614555155,168.395751953125,210.67294311523438,1.0,1000.0,1041.9942286212124,1.2507692575454712,885.9428002697053,0.7711164355278015,0.0,-208.0046844482422,18.60173988342285,0.19367612898349762,457.0,-0.019522786140441895,457.0,2.879509449005127,194.6686248779297,195.2730255126953,1.6131764650344849,8417.943749904633,782.5176130399417,0.41498279571533203,54.288792319998265
458000,0.6588481664657593,0.0,458.0,458,559.8965845239097,168.48712158203125,209.97584533691406,1.0,1000.0,850.3139332507742,1.2217450141906738,885.4197863901791,0.8534079194068909,0.0,-207.92431640625,49.7351188659668,0.19374601542949677,458.0,-0.019414031878113747,458.0,2.8794195652008057,193.14842224121094,194.16061401367188,1.1263235807418823,8436.54012298584,784.4522743149209,0.26147201657295227,54.2876574192011
459000,0.658912718296051,0.0,459.0,459,560.5342829444726,168.57823181152344,211.1197967529297,1.0,1000.0,1077.0690198136228,1.4571657180786133,887.8244811248903,0.8415720462799072,0.0,-207.7406463623047,30.825023651123047,0.19382773339748383,459.0,-0.019208071753382683,459.0,2.879465341567993,192.4851531982422,193.34613037109375,1.3057912588119507,8455.193469047546,784.9537356195599,0.24105145037174225,54.2861617159075
460000,0.6589922308921814,0.0,460.0,460,560.8593626289205,168.6665802001953,210.1862030029297,1.0,1000.0,911.7468724865018,1.2772713899612427,888.1947009999484,0.8361395597457886,0.0,-207.48374938964844,43.071231842041016,0.19386905431747437,460.0,-0.01905609481036663,460.0,2.879164218902588,190.49920654296875,191.39610290527344,1.162551760673523,8473.964351177216,784.7951962664506,0.234214186668396,54.28391965516071
461000,0.6589990258216858,0.0,461.0,461,561.0308905399525,168.75396728515625,209.81260681152344,1.0,1000.0,874.7755895822913,1.4687435626983643,890.4064245938852,0.8115500807762146,0.0,-207.32992553710938,37.0388298034668,0.1939314603805542,461.0,-0.018933558836579323,461.0,2.8796563148498535,190.08984375,191.10035705566406,1.2871825695037842,8492.67261314392,785.0557968670682,0.21618081629276276,54.28208774779809
462000,0.6589637398719788,0.0,462.0,462,561.415938810312,168.84237670898438,210.35169982910156,1.0,1000.0,1017.1367032515788,1.416538119316101,893.2009341696742,0.7885258793830872,0.0,-207.38690185546875,45.72553634643555,0.19398939609527588,462.0,-0.018794693052768707,462.0,2.879922389984131,189.757568359375,191.15988159179688,1.2815510034561157,8511.328685045242,784.2490155131849,0.3074839115142822,54.28059673124282
463000,0.6588492393493652,0.0,463.0,463,561.8134329390425,168.9292755126953,210.14093017578125,1.0,1000.0,1021.2638577439415,1.2058171033859253,895.2980031918491,0.817326545715332,0.0,-207.05047607421875,43.652793884277344,0.19398459792137146,463.0,-0.018974652513861656,463.0,2.879808187484741,190.85885620117188,192.12759399414062,1.1492618322372437,8529.99927330017,784.2234677984158,0.1843133121728897,54.279019864543315
464000,0.658847987651825,0.0,464.0,464,562.2135195683278,169.01528930664062,210.14744567871094,1.0,1000.0,983.9692610769232,1.210734486579895,895.5254156271601,0.8581934571266174,0.0,-207.3668212890625,30.064210891723633,0.19407914578914642,464.0,-0.018667137250304222,464.0,2.8800482749938965,192.91563415527344,194.19827270507812,1.2526620626449585,8548.769828796387,782.7356440556748,0.23685477674007416,54.276815178369155
