total/episodes,param_noise_stddev,eval/episodes,rollout/episode_steps,rollout/return,train/loss_critic,train/loss_actor,reference_actor_Q_std,ret_rms_mean,reference_Q_mean,reference_Q_std,total/epochs,rollout/Q_mean,reference_perturbed_action_mean,train/param_noise_distance,eval/Q,total/steps,ret_rms_std,rollout/episodes,total/steps_per_second,obs_rms_std,reference_actor_Q_mean,reference_perturbed_action_std,eval/return_history,rollout/actions_mean,eval/return,reference_action_mean,rollout/return_history,total/duration,rollout/actions_std,obs_rms_mean,reference_action_std
93.0,0.023782417899897774,11.0,117.33333333333333,91.40105004412862,5.596680164337158,-52.67695236206055,23.448312759399414,0.0,42.89952087402344,24.31818962097168,11,24.8583927154541,0.5782060027122498,0.2559700906276703,64.83811950683594,11000,1.0,93.0,112.90101247694567,1.3473517894744873,46.64682388305664,0.5821411609649658,128.96701817937273,0.5992775559425354,168.17883289144194,0.5313588976860046,91.40105004412862,97.43048143386841,0.5534535050392151,-0.0027708590496331453,0.639295220375061
104.0,0.0211056883401964,12.0,115.3173076923077,95.14517829645557,11.038918495178223,-60.14493179321289,25.444313049316406,0.0,47.016517639160156,25.568740844726562,12,28.465578079223633,0.4995836317539215,0.20123568177223206,75.39217376708984,12000,1.0,104.0,113.32812411799527,1.4235272407531738,50.56288528442383,0.612910270690918,120.2414886250818,0.5904044508934021,24.260663527881718,0.502740204334259,99.04126681782856,105.88721990585327,0.5555855631828308,-0.0037379686255007982,0.6152560710906982
115.0,0.020689822899908242,13.0,112.83478260869565,97.39542273238496,14.267163276672363,-65.80685424804688,29.335779190063477,0.0,51.877376556396484,29.45596694946289,13,31.962417602539062,0.580064058303833,0.22790546715259552,82.22201538085938,13000,1.0,115.0,113.29102579036756,1.4929851293563843,56.728858947753906,0.5607796311378479,129.99147617603242,0.5829631686210632,246.99132678744,0.5789293646812439,112.74103474667358,114.74871826171875,0.5556632876396179,-0.01564585417509079,0.578365683555603
124.0,0.02240411346542305,14.0,112.75,101.80694970894481,13.9806547164917,-73.50665283203125,30.795881271362305,0.0,57.523895263671875,30.85972785949707,14,36.07358932495117,0.5670095086097717,0.17641803622245789,66.31189727783203,14000,1.0,124.0,112.39040428233135,1.5190467834472656,62.08396911621094,0.5877630114555359,131.09908486951832,0.5791341066360474,145.49799788483475,0.46105828881263733,128.19446891696003,124.56579446792603,0.5533767938613892,-0.014828481711447239,0.6617771983146667
127.0,0.023782417899897774,15.0,114.94488188976378,107.23007938079115,15.809736251831055,-79.18118286132812,33.77661895751953,0.0,59.742366790771484,33.624385833740234,15,40.001407623291016,0.6281444430351257,0.2117311805486679,106.20879364013672,15000,1.0,127.0,112.40785481888464,1.4864262342453003,64.56123352050781,0.5424452424049377,141.42909007857406,0.5821491479873657,286.0491630053546,0.4879813492298126,138.44791752223864,133.44263195991516,0.5439203381538391,-0.0038997360970824957,0.6669281125068665
131.0,0.023313810312614227,16.0,121.65648854961832,114.88170068582434,16.765914916992188,-86.959228515625,36.580039978027344,0.0,64.23477172851562,36.53527069091797,16,43.15011215209961,0.415583997964859,0.1989966183900833,81.43112182617188,16000,1.0,131.0,112.43009938970599,1.478542685508728,68.43215942382812,0.6899634599685669,141.04697426482178,0.583908200263977,135.31523705853752,0.3533798158168793,153.1713324895387,142.31064534187317,0.5420674085617065,0.002689250512048602,0.7235530614852905
136.0,0.023313810312614227,17.0,124.5220588235294,123.47614665834466,14.918353080749512,-91.96833801269531,38.98331832885742,0.0,68.5319595336914,38.665977478027344,17,47.291831970214844,0.3887658417224884,0.24109545350074768,110.00996398925781,17000,1.0,136.0,112.35264972415979,1.462733507156372,73.5353012084961,0.6934912800788879,148.56499042770585,0.5817612409591675,268.85324903385094,0.3354770243167877,163.04154996487918,151.3092930316925,0.5396018624305725,0.010276354849338531,0.7309512495994568
142.0,0.02240411346542305,18.0,126.09154929577464,129.04985797652776,12.511371612548828,-97.57567596435547,40.93129348754883,0.0,73.07127380371094,40.856529235839844,18,51.11742401123047,0.4136977195739746,0.20325979590415955,119.73807525634766,18000,1.0,142.0,112.23617329552258,1.4524701833724976,78.02137756347656,0.6931049823760986,156.0803794465169,0.5808157920837402,283.84199276630477,0.36714687943458557,172.12619354450854,160.3761022090912,0.5360606908798218,0.018551934510469437,0.713756799697876
149.0,0.0211056883401964,19.0,127.00671140939598,134.76708613815708,14.151415824890137,-102.51296997070312,44.226173400878906,0.0,77.6664810180664,43.99333190917969,19,54.84328079223633,0.37323224544525146,0.19664353132247925,116.76287078857422,19000,1.0,149.0,112.41554563024317,1.4563652276992798,83.15420532226562,0.6917899250984192,155.47671627942648,0.5780014395713806,144.61077927179903,0.4278028905391693,183.6944346988326,169.0157699584961,0.5370580554008484,0.023502236232161522,0.6786373853683472
157.0,0.021962663920618616,20.0,127.19108280254777,135.04805354070646,25.82291030883789,-107.17516326904297,46.884864807128906,0.0,81.64856719970703,46.555267333984375,20,57.13779830932617,0.45168283581733704,0.2014797180891037,114.22223663330078,20000,1.0,157.0,112.31214315454974,1.4870526790618896,86.65281677246094,0.6416882276535034,164.32025438031366,0.5743423104286194,332.34747829717,0.4035899341106415,186.47916336420755,178.07513451576233,0.5396401286125183,0.02200521156191826,0.6697551608085632
