reference_action_std,eval/return,reference_actor_Q_std,total/epochs,ret_rms_mean,rollout/Q_mean,eval/Q,total/episodes,reference_Q_std,rollout/return_history,obs_rms_std,train/loss_critic,reference_actor_Q_mean,train/param_noise_distance,rollout/return,eval/episodes,total/steps_per_second,total/duration,reference_perturbed_action_mean,rollout/actions_mean,rollout/episode_steps,total/steps,param_noise_stddev,reference_perturbed_action_std,reference_action_mean,reference_Q_mean,rollout/actions_std,rollout/episodes,obs_rms_mean,eval/return_history,train/loss_actor,ret_rms_std
0.6334645748138428,4263.656331738613,3.7478411197662354,920,0.0,445.54522705078125,813.9525146484375,920.0,3.1880011558532715,3796.9793054705365,2.7901692390441895,207.5901336669922,741.1852416992188,0.19936662912368774,2198.8776271561806,920.0,76.07857874064797,12092.760080814362,0.03628033399581909,0.009587917476892471,1000.0,920000,0.018361167303396805,0.6303794980049133,0.03750746324658394,736.7515258789062,0.6662006974220276,920.0,0.13314604759216309,4178.896334691373,-762.7611083984375,1.0
0.6208658814430237,4006.30558224852,4.353944301605225,921,0.0,445.94244384765625,812.1602172851562,921.0,3.1276626586914062,3795.898364521987,2.791008710861206,404.9490661621094,743.0235595703125,0.19458240270614624,2200.835326374802,921.0,76.07390943035143,12106.647428750992,0.09791593998670578,0.009570308960974216,1000.0,921000,0.018361167303396805,0.6220587491989136,0.0841653048992157,737.654541015625,0.6662170886993408,921.0,0.1332913637161255,4181.608803658662,-765.588623046875,1.0
0.6537119746208191,4280.857491348506,3.686307668685913,922,0.0,446.3229064941406,815.7532958984375,922.0,2.878931999206543,3790.0822341017497,2.7913875579833984,598.2853393554688,742.826171875,0.24197804927825928,2201.9872474676026,922.0,76.06871383423002,12120.620338201523,-0.09741339832544327,0.00965055637061596,1000.0,922000,0.017999379770019416,0.6814440488815308,0.07618974149227142,738.051513671875,0.6662493348121643,922.0,0.13337086141109467,4185.543373236105,-768.14306640625,1.0
0.6489174962043762,4330.486327737552,3.699398994445801,923,0.0,446.72174072265625,818.9700317382812,923.0,3.0708231925964355,3793.5906676488644,2.7924270629882812,410.30584716796875,745.6547241210938,0.19987599551677704,2204.0669129475746,923.0,76.06524867507002,12134.319102048874,-0.07056954503059387,0.009555676020681858,1000.0,923000,0.017644720880324885,0.6683047413825989,-0.010672141797840595,741.136474609375,0.6663174033164978,923.0,0.1335025429725647,4187.892131840332,-766.5578002929688,1.0
0.6326140761375427,3987.933846748702,4.103982925415039,924,0.0,447.1235046386719,813.0908203125,924.0,3.134978771209717,3795.9085657837845,2.7933003902435303,1005.0111083984375,747.407470703125,0.1667805016040802,2206.28572442334,924.0,76.06170219899776,12148.032101392746,-0.011166076175868511,0.00955610629171133,1000.0,924000,0.018730226766195082,0.6629986763000488,0.02946302853524685,741.7044677734375,0.6663590669631958,924.0,0.13365548849105835,4184.356981978067,-768.9945068359375,1.0
0.6160443425178528,4426.3568703816945,3.8055672645568848,925,0.0,447.47735595703125,818.9743041992188,925.0,3.1338000297546387,3780.124138670674,2.7938077449798584,683.9215087890625,745.8976440429688,0.19554345309734344,2206.6936262158233,925.0,76.05819901955499,12161.739456415176,0.0999189019203186,0.009463438764214516,1000.0,925000,0.018730226766195082,0.5849636793136597,0.11129746586084366,740.5135498046875,0.6664648652076721,925.0,0.1336866170167923,4186.033043140135,-768.8445434570312,1.0
0.5791422128677368,4708.611162127816,3.8471500873565674,926,0.0,447.87335205078125,823.0045776367188,926.0,3.286482095718384,3776.583159363636,2.794729232788086,231.8768768310547,748.7654418945312,0.18113647401332855,2208.7362062044567,926.0,76.05422580076353,12175.523322343826,0.1115986779332161,0.009402480907738209,1000.0,926000,0.017644720880324885,0.6016491651535034,0.1006806492805481,744.0524291992188,0.6665111780166626,926.0,0.13380542397499084,4190.99084426201,-768.9625854492188,1.0
0.6711877584457397,4726.321262701046,3.877856969833374,927,0.0,448.27313232421875,821.0717163085938,927.0,3.233208417892456,3795.990505975047,2.7956931591033936,824.6417846679688,746.44873046875,0.18897145986557007,2210.960886771391,927.0,76.05053277141633,12189.263720035553,0.13269919157028198,0.009445796720683575,1000.0,927000,0.017999379770019416,0.6432111859321594,0.02399776317179203,742.2158813476562,0.6665830612182617,927.0,0.13389058411121368,4202.688898965845,-772.018310546875,1.0
0.64798504114151,4595.059110580735,3.493603467941284,928,0.0,448.675048828125,821.3908081054688,928.0,3.4831182956695557,3842.94400797543,2.7965195178985596,584.3819580078125,747.2628173828125,0.19613417983055115,2213.4811247601547,928.0,76.0475437370117,12202.892485380173,0.06360913068056107,0.009532778523862362,1000.0,928000,0.017644720880324885,0.6651523113250732,0.00860877800732851,742.7212524414062,0.6666070818901062,928.0,0.13403132557868958,4206.444066262316,-770.1310424804688,1.0
0.6761932969093323,4123.257711061454,3.4914815425872803,929,0.0,449.07623291015625,816.8365478515625,929.0,3.0642683506011963,3847.461055614698,2.7974493503570557,184.6787567138672,748.5374755859375,0.21955040097236633,2216.167425938625,929.0,76.04454532130057,12216.523829221725,0.059319090098142624,0.009438697248697281,1000.0,929000,0.01695622994987775,0.6682001948356628,0.07856280356645584,743.8828125,0.6666688919067383,929.0,0.1341405063867569,4210.6696873764795,-770.683349609375,1.0
