rollout/episodes,reference_action_std,eval/return,eval/episodes,rollout/return_history,rollout/return,total/duration,ret_rms_std,total/epochs,rollout/Q_mean,obs_rms_std,ret_rms_mean,total/episodes,reference_Q_std,rollout/actions_mean,total/steps_per_second,eval/Q,total/steps,reference_actor_Q_mean,reference_actor_Q_std,rollout/actions_std,eval/return_history,reference_action_mean,train/loss_critic,train/loss_actor,obs_rms_mean,reference_Q_mean,train/param_noise_distance,rollout/episode_steps
555.0,0.8866264224052429,876.8740026076787,555.0,923.6872832265877,801.9405625130026,10274.78942656517,1.0,555,274.64227294921875,2.8088529109954834,0.0,555.0,1.9739731550216675,-0.05815403163433075,54.01570552531847,295.67987060546875,555000,385.08148193359375,3.105233669281006,0.6696180701255798,1261.8844862605151,0.13119032979011536,111.25599670410156,-331.6054992675781,0.1619616150856018,381.7036437988281,0.0,1000.0
556.0,0.9111394882202148,389.7998611617614,556.0,909.0609152695876,799.8165913750031,10293.544803380966,1.0,556,274.37579345703125,2.808685064315796,0.0,556.0,3.367166042327881,-0.058492787182331085,54.0144343489309,211.40939331054688,556000,385.077880859375,3.3471362590789795,0.6700453162193298,1250.9532172959991,0.13987644016742706,69.21696472167969,-329.75653076171875,0.16216391324996948,383.32940673828125,0.0,1000.0
557.0,0.8803490996360779,1097.548528166088,557.0,901.0861064917705,798.8021224392253,10312.28375840187,1.0,557,274.21856689453125,2.8100624084472656,0.0,557.0,2.168797016143799,-0.058730389922857285,54.0132538096799,328.3240966796875,557000,385.2061462402344,2.167783737182617,0.6704053282737732,1249.3871875070754,0.17418010532855988,158.0088348388672,-329.1614990234375,0.1621808409690857,383.0218505859375,0.0,1000.0
558.0,0.8718258738517761,806.9191666013616,558.0,906.1928927495585,799.2017390294478,10331.02523303032,1.0,558,274.4287109375,2.8097875118255615,0.0,558.0,1.492696762084961,-0.05892529711127281,54.01206438020926,282.91754150390625,558000,384.246337890625,1.642289400100708,0.6703938245773315,1244.881690223782,0.12128136307001114,39.806217193603516,-328.7665100097656,0.1621294617652893,382.128173828125,0.0,1000.0
559.0,0.8722233772277832,209.0458098324299,559.0,908.5791513620203,800.5069318604238,10349.850189447403,1.0,559,274.6419372558594,2.8093478679656982,0.0,559.0,1.508392572402954,-0.059051357209682465,54.01044360718868,210.51914978027344,559000,383.4697265625,1.7697193622589111,0.6703146696090698,1230.3324485948294,0.09219419211149216,87.22248077392578,-328.11273193359375,0.16213886439800262,381.793701171875,0.0,1000.0
560.0,0.8519386053085327,1164.278013334591,560.0,893.7042514369513,798.8161979224262,10368.59682393074,1.0,560,274.4541015625,2.810542345046997,0.0,560.0,2.8541321754455566,-0.05922134593129158,54.009236689338614,342.8790283203125,560000,381.7991943359375,2.828030824661255,0.6706310510635376,1226.047722547835,0.07082340866327286,86.33012390136719,-327.9041442871094,0.16211462020874023,379.7081298828125,0.0,1000.0
561.0,0.8879839181900024,1073.1953416574124,561.0,894.6960221312792,799.9121251570758,10387.335236787796,1.0,561,274.6631774902344,2.810516357421875,0.0,561.0,2.3260390758514404,-0.05897270143032074,54.008076875497565,307.8128356933594,561000,379.2232666015625,3.160440444946289,0.6705986857414246,1219.4344082850303,0.12486562132835388,141.45150756835938,-325.1703186035156,0.1621904820203781,376.0116882324219,0.0,1000.0
562.0,0.9017235636711121,1447.872001691913,562.0,898.3511571373936,801.16636334889,10406.133772611618,1.0,562,274.87017822265625,2.8105571269989014,0.0,562.0,2.5987350940704346,-0.059122711420059204,54.00660920573149,363.4854431152344,562000,382.3916015625,2.9673869609832764,0.6705667972564697,1221.1254253982127,0.15638291835784912,204.79159545898438,-328.74285888671875,0.16220875084400177,379.3304748535156,0.0,1000.0
563.0,0.8921268582344055,652.7461044964898,563.0,896.3413878749633,801.4598464487614,10424.92392206192,1.0,563,275.0707092285156,2.810551643371582,0.0,563.0,2.054856300354004,-0.05896344780921936,54.0051902737191,265.4027404785156,563000,382.60589599609375,2.88802433013916,0.6705371737480164,1211.16725735292,0.10792908072471619,107.11860656738281,-328.5957946777344,0.1622193455696106,379.9686584472656,0.0,1000.0
564.0,0.8878632187843323,960.8179436403987,564.0,901.0175200319306,802.5819970135125,10443.920878887177,1.0,564,275.2752990722656,2.8107945919036865,0.0,564.0,3.3538875579833984,-0.05913729965686798,54.00270708103023,298.589599609375,564000,381.2907409667969,3.2792439460754395,0.670550525188446,1204.1247287706442,0.08795848488807678,89.37054443359375,-329.5282287597656,0.16222837567329407,379.6256408691406,0.0,1000.0
