rollout/episodes,reference_actor_Q_mean,eval/Q,eval/episodes,total/steps,total/episodes,reference_action_std,total/duration,reference_action_mean,reference_perturbed_action_std,train/loss_critic,rollout/actions_mean,obs_rms_mean,rollout/episode_steps,reference_Q_std,param_noise_stddev,rollout/Q_mean,eval/return,reference_perturbed_action_mean,rollout/return,total/epochs,train/param_noise_distance,reference_actor_Q_std,rollout/actions_std,obs_rms_std,train/loss_actor,eval/return_history,rollout/return_history,total/steps_per_second,reference_Q_mean,ret_rms_mean,ret_rms_std
9943.0,1976.13720703125,2447.21337890625,1585.0,1585000,9943.0,0.8713856935501099,21047.128576040268,0.2713642716407776,0.8734924793243408,13970.361328125,0.22175009548664093,1.9477614164352417,159.40078447148747,1308.017333984375,0.012332335652468109,1925.382568359375,478.49919632514303,0.2654081881046295,774.124947539728,1585,0.1939261257648468,1302.594482421875,0.8198190927505493,6.176034450531006,-2989.754150390625,1363.9500105912766,1270.6511404079772,75.30718474368707,1866.92431640625,0.0,1.0
9947.0,1976.2113037109375,3200.4697265625,1586.0,1586000,9947.0,0.8804638981819153,21062.839389801025,0.23247244954109192,0.8819029331207275,13728.0927734375,0.22172993421554565,1.9477291107177734,159.43058208505076,1312.450439453125,0.013091022799070031,1926.0816650390625,2183.3711007607117,0.2412738800048828,774.2713095527173,1586,0.18842265009880066,1307.7593994140625,0.8198375105857849,6.17657470703125,-2963.569580078125,1370.274463281503,1283.7317220974596,75.29848994471122,1867.408935546875,0.0,1.0
9950.0,2002.43798828125,2047.4339599609375,1587.0,1587000,9950.0,0.8694705367088318,21076.705436229706,0.290730357170105,0.8746398091316223,13336.81640625,0.22171978652477264,1.947650671005249,159.4421105527638,1302.57275390625,0.012580215599082718,1926.9715576171875,618.8770129867485,0.25544503331184387,774.3309259329405,1587,0.19486992061138153,1295.607666015625,0.8198444843292236,6.1769208908081055,-3018.0185546875,1360.7467782113076,1294.2517964577166,75.29639794993926,1891.8865966796875,0.0,1.0
9953.0,2012.9237060546875,3074.08984375,1588.0,1588000,9953.0,0.8891212344169617,21091.65582370758,0.23597656190395355,0.8893575668334961,15627.14453125,0.2217606008052826,1.9476372003555298,159.53843062393247,1303.18603515625,0.012580215599082718,1927.6741943359375,1390.785604588502,0.2086058109998703,774.828278712862,1588,0.21654489636421204,1298.14599609375,0.8198454976081848,6.177085876464844,-2989.83447265625,1363.5792256634752,1334.8591741371406,75.29043775762005,1900.3287353515625,0.0,1.0
9956.0,2059.468994140625,2762.54443359375,1589.0,1589000,9956.0,0.8771296739578247,21105.915906906128,0.24093446135520935,0.8947552442550659,14426.865234375,0.22176770865917206,1.9476110935211182,159.57282040980314,1304.0123291015625,0.01208933992007461,1928.38134765625,998.4922330399198,0.20575571060180664,774.9937950034293,1589,0.22496841847896576,1291.894287109375,0.8198533654212952,6.177443981170654,-2983.865966796875,1367.6797807597845,1304.3277557787183,75.28694831386392,1949.31640625,0.0,1.0
9960.0,2027.195068359375,3029.66748046875,1590.0,1590000,9960.0,0.8856921792030334,21121.11306810379,0.2229674756526947,0.8846664428710938,13906.271484375,0.22176620364189148,1.9475901126861572,159.62128514056224,1307.03564453125,0.012332335652468109,1928.9381103515625,1712.7855396290204,0.2396388053894043,775.2253565463232,1590,0.20010772347450256,1297.832763671875,0.819869875907898,6.177925109863281,-2986.531494140625,1372.3820066061235,1302.2253222115162,75.28012348937948,1908.79052734375,0.0,1.0
9964.0,2025.831298828125,3161.254150390625,1591.0,1591000,9964.0,0.8829478025436401,21136.02793264389,0.21811296045780182,0.8684509992599487,13672.74609375,0.22177065908908844,1.9475977420806885,159.65987555198714,1309.8134765625,0.012833077932624282,1929.4990234375,1518.3712498851028,0.2546672224998474,775.4210565078442,1591,0.18351781368255615,1299.4813232421875,0.8198865056037903,6.178285598754883,-2998.091552734375,1381.002703000681,1292.3228238736297,75.2743138431774,1910.6162109375,0.0,1.0
9966.0,2055.938232421875,2951.837890625,1592.0,1592000,9966.0,0.8739457130432129,21150.386385917664,0.27984026074409485,0.8794340491294861,12430.53125,0.22178961336612701,1.9476029872894287,159.7317880794702,1306.04248046875,0.012580215599082718,1930.2291259765625,966.277806518068,0.2557982802391052,775.7897076928947,1592,0.21223439276218414,1293.8018798828125,0.8198971152305603,6.178390026092529,-3005.261474609375,1376.1227415729338,1331.1657004293031,75.27049250788082,1940.8641357421875,0.0,1.0
9969.0,2061.162353515625,3212.821533203125,1593.0,1593000,9969.0,0.8660808801651001,21166.356419801712,0.2933075726032257,0.8884334564208984,13614.79296875,0.22178290784358978,1.9475789070129395,159.72113552011234,1292.913330078125,0.012332335652468109,1931.0340576171875,2262.576554559292,0.19394086301326752,775.7412477124799,1593,0.1815146505832672,1283.4876708984375,0.8199093341827393,6.178552627563477,-3015.105224609375,1385.1585010435467,1331.335648916107,75.26094564436723,1943.451416015625,0.0,1.0
9973.0,2039.9471435546875,2817.915283203125,1594.0,1594000,9973.0,0.8848172426223755,21181.714711904526,0.24061517417430878,0.8873799443244934,14585.52734375,0.22178132832050323,1.9475806951522827,159.8292389451519,1298.580810546875,0.012833077932624282,1931.693603515625,1762.141889107303,0.23544804751873016,776.2908722823779,1594,0.18960918486118317,1290.1484375,0.8199213147163391,6.178468227386475,-2993.74462890625,1396.6568045343292,1392.6842591569646,75.25358648627922,1913.9383544921875,0.0,1.0
9980.0,2043.7652587890625,3051.840576171875,1595.0,1595000,9980.0,0.8944821953773499,21196.940391778946,0.20618365705013275,0.8960012793540955,15486.478515625,0.22175030410289764,1.9474903345108032,159.8190380761523,1311.7996826171875,0.012833077932624282,1932.07568359375,1704.8299930789358,0.18465125560760498,776.2424350769851,1595,0.2160646617412567,1302.958740234375,0.8199526071548462,6.179111480712891,-3005.421142578125,1404.6062829488246,1364.6821342926435,75.24670874757977,1919.138671875,0.0,1.0
9986.0,2042.3359375,2581.576171875,1596.0,1596000,9986.0,0.8944249749183655,21210.992574691772,0.21142446994781494,0.8912990689277649,15627.3876953125,0.22170846164226532,1.9474191665649414,159.8236531143601,1323.263427734375,0.012580215599082718,1932.2740478515625,797.5424234746837,0.20850135385990143,776.2685193088612,1596,0.18657538294792175,1314.580078125,0.8199929594993591,6.179861545562744,-3004.88720703125,1395.3680468812372,1354.0608775916928,75.24400352222519,1923.8988037109375,0.0,1.0
9992.0,2029.4478759765625,2392.37744140625,1597.0,1597000,9992.0,0.87521892786026,21224.97114801407,0.27650216221809387,0.8749144673347473,11589.7802734375,0.22173593938350677,1.947434902191162,159.82465972778223,1311.022705078125,0.012332335652468109,1932.6964111328125,832.8324996483891,0.264095664024353,776.2705325936141,1597,0.218898743391037,1296.810546875,0.8200103640556335,6.180737018585205,-3025.500244140625,1384.0498234817758,1296.3287301857936,75.24156282066016,1910.3514404296875,0.0,1.0
9996.0,2061.024658203125,3198.306884765625,1598.0,1598000,9996.0,0.8736411333084106,21241.198688983917,0.2705538272857666,0.8727817535400391,13964.9736328125,0.22171734273433685,1.9474101066589355,159.8549419767907,1299.640625,0.012580215599082718,1933.3150634765625,2364.0439699362423,0.2672061622142792,776.421729790801,1598,0.1818494349718094,1287.1712646484375,0.8200356364250183,6.181793212890625,-3003.02490234375,1367.6402422246572,1266.564954584694,75.23115919200703,1944.5052490234375,0.0,1.0
