eval/episodes,obs_rms_std,eval/return_history,rollout/episodes,total/steps,rollout/actions_mean,reference_action_std,eval/return,rollout/Q_mean,param_noise_stddev,reference_perturbed_action_std,total/episodes,reference_Q_mean,reference_actor_Q_mean,train/loss_critic,rollout/return,obs_rms_mean,train/loss_actor,ret_rms_mean,total/epochs,reference_action_mean,reference_perturbed_action_mean,rollout/episode_steps,total/steps_per_second,ret_rms_std,total/duration,reference_actor_Q_std,train/param_noise_distance,rollout/actions_std,eval/Q,reference_Q_std,rollout/return_history
488.0,1.5331406593322754,1584.0656911096573,1115.0,488000,0.5350615382194519,0.559083878993988,2586.0697165826036,415.2965393066406,0.019106704324195603,0.6233558058738708,1115.0,433.641845703125,444.07489013671875,592.6572875976562,751.2840417132285,0.044936053454875946,-709.3392944335938,0.0,488,0.5290253758430481,0.4515269100666046,437.61165919282513,92.87875610624285,1.0,5254.161666870117,273.7250061035156,0.207488551735878,0.5350419878959656,809.9733276367188,280.2546081542969,1095.7291839871568
489.0,1.5338062047958374,1577.7369595898333,1116.0,489000,0.5348788499832153,0.5396847724914551,1521.2766570666586,416.0989074707031,0.017999379770019416,0.6053740978240967,1116.0,435.62725830078125,446.5780944824219,424.193359375,751.4102564203112,0.04489130899310112,-713.57470703125,0.0,489,0.5975165963172913,0.5243510603904724,437.58870967741933,92.87866035197962,1.0,5264.933819532394,271.3601379394531,0.23718513548374176,0.535190224647522,742.9522094726562,278.27716064453125,1104.0695364146627
490.0,1.534441351890564,1578.6408384378103,1118.0,490000,0.5347740054130554,0.49089503288269043,1287.7981281417167,416.90264892578125,0.019106704324195603,0.5093296766281128,1118.0,434.7037658691406,446.2174377441406,426.1980895996094,754.2646642907955,0.044817399233579636,-718.3513793945312,0.0,490,0.6601749062538147,0.6674272418022156,438.15742397137745,92.88038591808534,1.0,5275.602541446686,273.3873291015625,0.1952204704284668,0.5351991653442383,753.982666015625,279.9591979980469,1134.773684552651
491.0,1.5352823734283447,1580.0313377087866,1121.0,491000,0.5346932411193848,0.5651521682739258,1806.2451087974466,417.6155090332031,0.019490749081111935,0.5315101146697998,1121.0,435.552001953125,446.9151611328125,238.19692993164062,754.08892025869,0.044674310833215714,-717.22412109375,0.0,491,0.6051919460296631,0.6377437114715576,437.70472792149866,92.84882975889232,1.0,5288.165734291077,271.4170837402344,0.22000440955162048,0.5353619456291199,738.7503051757812,278.7058410644531,1141.0929295625056
492.0,1.535456895828247,1561.1362672138766,1125.0,492000,0.5346698760986328,0.6845580339431763,301.01863456168746,418.0852355957031,0.018730226766195082,0.6623117923736572,1125.0,437.3120422363281,449.92242431640625,1081.24560546875,753.2348478364471,0.04459189623594284,-713.5921630859375,0.0,492,0.38420119881629944,0.40969014167785645,437.30755555555555,92.8557128471389,1.0,5298.54313659668,271.7708740234375,0.22284601628780365,0.5354152321815491,614.3089599609375,279.4934997558594,1126.2099778057175
493.0,1.537103533744812,1565.0158020898996,1127.0,493000,0.5345492959022522,0.5270484685897827,2382.6552951540134,418.8183288574219,0.019106704324195603,0.5915892720222473,1127.0,441.54302978515625,454.9282531738281,505.3827209472656,752.600667214443,0.04433378577232361,-718.8596801757812,0.0,493,0.6527903079986572,0.5443115830421448,436.8899733806566,92.84050343541588,1.0,5310.182320833206,267.1327209472656,0.1981634795665741,0.535563051700592,806.8080444335938,276.449462890625,1127.3023198008307
494.0,1.5383915901184082,1552.1813043042316,1129.0,494000,0.5345314741134644,0.60753333568573,1221.3991982580476,419.5693359375,0.019106704324195603,0.4870559573173523,1129.0,435.8031005859375,448.6669921875,377.8499755859375,754.8354552854228,0.04430033266544342,-713.6110229492188,0.0,494,0.5246819257736206,0.6903182864189148,437.3135518157662,92.84381313158022,1.0,5320.763800382614,265.24053955078125,0.20290179550647736,0.5356031060218811,775.4368896484375,274.7868957519531,1124.750918229173
495.0,1.540331244468689,1552.9705373471133,1131.0,495000,0.5342926383018494,0.5481271743774414,2074.410064712391,420.3016357421875,0.019106704324195603,0.6027502417564392,1131.0,426.8497619628906,438.7152099609375,916.1986694335938,756.7689381611542,0.04413974657654762,-713.689697265625,0.0,495,0.5577042102813721,0.48453542590141296,437.5764809902741,92.834169863716,1.0,5332.088397264481,267.20379638671875,0.20686107873916626,0.5357697010040283,791.5289306640625,275.4415588378906,1134.0137577140717
496.0,1.5422136783599854,1558.0549241350675,1132.0,496000,0.5340507626533508,0.574489414691925,2258.441129803186,421.03515625,0.019882513137642284,0.547305703163147,1132.0,424.4466247558594,435.97125244140625,477.2515869140625,757.4130305353001,0.043935686349868774,-709.7505493164062,0.0,496,0.5398584604263306,0.5817963480949402,437.7181978798587,92.81727187272928,1.0,5343.8329956531525,272.00189208984375,0.22861531376838684,0.5359058380126953,798.1958618164062,279.582275390625,1143.631768546238
497.0,1.543494462966919,1566.2545094426832,1134.0,497000,0.5339171886444092,0.5141860842704773,2280.531242770977,421.8101806640625,0.019490749081111935,0.42949289083480835,1134.0,425.09747314453125,436.76373291015625,318.4952392578125,759.8587155133364,0.04375303536653519,-717.7330322265625,0.0,497,0.6454117894172668,0.7213016152381897,438.0952380952381,92.79433310252504,1.0,5355.9305119514465,271.96917724609375,0.23141296207904816,0.5360357165336609,812.14990234375,279.42523193359375,1145.72157706691
498.0,1.543759822845459,1553.3877854937748,1138.0,498000,0.533867359161377,0.525160551071167,1120.6903702866962,422.4605712890625,0.019882513137642284,0.5448282361030579,1138.0,423.29901123046875,436.34674072265625,537.95361328125,758.9691119341344,0.043601952493190765,-716.8585815429688,0.0,498,0.643782913684845,0.62619549036026,437.30755711775043,92.79449980393385,1.0,5366.697391033173,273.670166015625,0.22137954831123352,0.5361605882644653,802.9617919921875,281.5325012207031,1098.898573405332
499.0,1.5440424680709839,1565.8065033786843,1141.0,499000,0.5339166522026062,0.5385405421257019,2702.5710574548348,423.1011047363281,0.020282151651708893,0.5224219560623169,1141.0,427.3182373046875,440.7291259765625,802.377197265625,758.7110390352391,0.04346567019820213,-718.0262451171875,0.0,499,0.6456977128982544,0.6771707534790039,437.13234005258545,92.77082778655921,1.0,5378.846043586731,266.033935546875,0.1657053381204605,0.5362090468406677,835.2998046875,274.6192932128906,1066.134327023758
500.0,1.5456291437149048,1554.483402491117,1142.0,500000,0.5337604880332947,0.622529149055481,1299.2129953390129,423.9403381347656,0.019106704324195603,0.6193966269493103,1142.0,429.06964111328125,441.8704833984375,387.6169128417969,760.9221997851876,0.043414123356342316,-716.7308349609375,0.0,500,0.48961830139160156,0.5346646904945374,437.62521891418567,92.77090138884184,1.0,5389.62101817131,271.7218017578125,0.1876213550567627,0.5363007187843323,795.2256469726562,279.4361877441406,1066.5915843721589
501.0,1.546402931213379,1541.656825956991,1146.0,501000,0.5335246920585632,0.5504802465438843,112.79849402551083,424.5873718261719,0.018730226766195082,0.5987004637718201,1146.0,430.1134338378906,442.1385498046875,217.4752960205078,760.3316337696184,0.04320469871163368,-717.0162353515625,0.0,501,0.6452533602714539,0.5562595129013062,436.93542757417106,92.78254328563378,1.0,5399.72264456749,274.3922119140625,0.20786401629447937,0.5364882946014404,494.42462158203125,280.8138427734375,1050.611914319702
502.0,1.5472869873046875,1553.7754415949373,1148.0,502000,0.5333771109580994,0.5339284539222717,2835.3114086454684,425.26336669921875,0.019106704324195603,0.5013965964317322,1148.0,425.02020263671875,436.9136962890625,267.6141357421875,761.849547914407,0.043091848492622375,-723.2907104492188,0.0,502,0.6239647269248962,0.6412951350212097,437.08710801393727,92.74742160570722,1.0,5412.549387454987,276.2716979980469,0.19156640768051147,0.5366084575653076,852.0734252929688,282.9204406738281,1044.2143063420065
503.0,1.5493478775024414,1564.3440834999212,1149.0,503000,0.5332339406013489,0.5576408505439758,2054.8313493218925,426.0484313964844,0.019106704324195603,0.5373072028160095,1149.0,426.38092041015625,439.3489685058594,673.3760375976562,763.8058549787456,0.043155819177627563,-718.5906372070312,0.0,503,0.5983452796936035,0.6123817563056946,437.57702349869453,92.7368914779944,1.0,5423.9471690654755,273.5610046386719,0.19927792251110077,0.5366308689117432,791.2196655273438,281.1960144042969,1073.348583417306
504.0,1.5497573614120483,1569.512592668911,1152.0,504000,0.5330862402915955,0.6023550033569336,2351.613279274546,426.7371520996094,0.018361167303396805,0.6318692564964294,1152.0,436.14678955078125,449.4427490234375,892.0957641601562,763.3296237128775,0.0430922731757164,-716.7772827148438,0.0,504,0.5151636004447937,0.49655112624168396,437.1111111111111,92.72520180335819,1.0,5435.415509462357,271.4388427734375,0.19625204801559448,0.5367565155029297,792.5731811523438,279.9885559082031,1051.5893812775598
