rollout/actions_std,reference_perturbed_action_mean,ret_rms_mean,rollout/episode_steps,rollout/return,total/duration,param_noise_stddev,obs_rms_std,total/epochs,total/episodes,eval/Q,train/param_noise_distance,reference_action_mean,rollout/actions_mean,eval/return_history,rollout/return_history,train/loss_actor,reference_perturbed_action_std,reference_actor_Q_std,train/loss_critic,eval/episodes,reference_actor_Q_mean,rollout/Q_mean,reference_Q_std,obs_rms_mean,total/steps,rollout/episodes,eval/return,reference_action_std,reference_Q_mean,total/steps_per_second,ret_rms_std
0.846612274646759,-0.11233687400817871,0.0,518.75,-954.3299947370958,139.15430808067322,0.02901906944733551,0.40113717317581177,11,20.0,-20.968618392944336,0.23280704021453857,0.03465721383690834,0.032248806208372116,-1651.7481515274055,-954.3299947370958,18.87352752685547,0.8923757672309875,3.6351101398468018,1.6465752124786377,11.0,-19.473529815673828,-7.467781066894531,3.745269536972046,0.024660268798470497,11000,20.0,-762.3972905640417,0.8759005665779114,-20.64731216430664,79.04893604603939,1.0
0.8479990363121033,0.056958019733428955,0.0,518.6363636363636,-962.2295376463564,151.25307822227478,0.028447279136688076,0.40949746966362,12,22.0,-25.496143341064453,0.2218877375125885,-0.13852429389953613,0.03909967094659805,-1615.9270273061272,-962.2295376463564,20.844106674194336,0.8876149654388428,4.922042369842529,2.162843704223633,12.0,-21.968231201171875,-8.749155044555664,4.667311191558838,0.023884763941168785,12000,22.0,-1221.8946608720657,0.8897899389266968,-23.057384490966797,79.33722831323364,1.0
0.8491237759590149,-0.1200818195939064,0.0,484.15384615384613,-904.0343844960281,160.39090204238892,0.02901906944733551,0.41450953483581543,13,26.0,-17.334083557128906,0.2201264649629593,-0.09285930544137955,0.027655165642499924,-1493.900824916359,-904.0343844960281,22.661954879760742,0.9148507118225098,5.002213954925537,2.8288114070892334,13.0,-23.388771057128906,-9.997406959533691,4.9122233390808105,0.02183602936565876,13000,26.0,-29.58639623914176,0.8986228704452515,-24.358322143554688,81.0519788495503,1.0
0.8499232530593872,-0.23292504251003265,0.0,485.89285714285717,-907.8712410771666,170.6388030052185,0.026270585008002556,0.43256354331970215,14,28.0,-27.49085235595703,0.2239653617143631,-0.2549435496330261,0.015289081260561943,-1422.1432382573294,-907.8712410771666,25.056201934814453,0.8653696179389954,6.618481159210205,3.5305604934692383,14.0,-24.781999588012695,-11.378433227539062,6.3769755363464355,0.02125895954668522,14000,28.0,-489.2946116899444,0.8879132270812988,-25.94179916381836,82.04464490747658,1.0
0.8514356017112732,-0.2918354272842407,0.0,487.56666666666666,-917.3198747475305,179.77566862106323,0.025245515830755405,0.45713382959365845,15,30.0,-12.56861686706543,0.21094614267349243,-0.15925662219524384,0.004955742508172989,-1328.6671519771671,-917.3198747475305,28.454669952392578,0.8535890579223633,7.8292460441589355,3.1801233291625977,15.0,-25.768030166625977,-12.886139869689941,7.603013038635254,0.020258387550711632,15000,30.0,-20.001944054895954,0.8911515474319458,-27.37737274169922,83.43732005034268,1.0
0.8507204651832581,-0.07078805565834045,0.0,430.6756756756757,-811.2460520661269,188.93833112716675,0.026798623766663407,0.467913419008255,16,37.0,-7.993041038513184,0.17947815358638763,-0.07798431813716888,-0.005037348717451096,-1245.9593551041435,-811.2460520661269,31.913799285888672,0.892604649066925,9.371792793273926,3.6695001125335693,16.0,-29.463520050048828,-14.069771766662598,8.870862007141113,0.01980658993124962,16000,37.0,-5.342402008790414,0.8912937641143799,-30.38080596923828,84.6837161339752,1.0
0.8494700193405151,-0.1033182293176651,0.0,298.3636363636364,-553.5268034582475,199.1575698852539,0.023782417899897774,0.4721348285675049,17,55.0,-39.9879035949707,0.22809135913848877,-0.000984586775302887,-0.004871001001447439,-1198.627153100321,-553.5268034582475,33.64460754394531,0.8928415179252625,11.118553161621094,4.566854000091553,17.0,-30.326168060302734,-15.016586303710938,10.608928680419922,0.019864298403263092,17000,55.0,-441.311921039164,0.8835350871086121,-32.00434494018555,85.35954726598982,1.0
0.8480043411254883,0.07279950380325317,0.0,275.87692307692305,-509.85828231742244,208.39414191246033,0.024748079434129402,0.4746952950954437,18,65.0,-9.016642570495605,0.2504170835018158,0.06056208908557892,0.0009023098391480744,-1133.1868545477087,-509.85828231742244,34.77191162109375,0.8841358423233032,11.933270454406738,5.376617431640625,18.0,-30.708044052124023,-15.877617835998535,11.535260200500488,0.020022543147206306,18000,65.0,-20.70177915329533,0.88535076379776,-32.3798828125,86.37478882473204,1.0
0.8442715406417847,0.0001409575343132019,0.0,204.06451612903226,-368.01948669334587,219.5540850162506,0.024748079434129402,0.4811535179615021,19,93.0,-44.988792419433594,0.21444153785705566,-0.00837983563542366,0.011411772109568119,-1128.4532432703254,-368.01948669334587,35.24653625488281,0.9153076410293579,12.485991477966309,6.80368185043335,19.0,-30.900901794433594,-15.668399810791016,12.244901657104492,0.020693844184279442,19000,93.0,-1043.248240277428,0.9206410050392151,-32.32177734375,86.53904115969279,1.0
0.8503072261810303,0.08398696035146713,0.0,212.53191489361703,-392.0826939157833,229.66589665412903,0.02426044449968572,0.47498634457588196,20,94.0,-56.05402755737305,0.23136281967163086,0.09355254471302032,0.021436957642436028,-1094.8094148601435,-392.0826939157833,37.68046569824219,0.851112961769104,15.583454132080078,4.911561965942383,20.0,-32.92658233642578,-17.379920959472656,15.271236419677734,0.021624553948640823,20000,94.0,-455.57667506668275,0.8681514859199524,-34.383445739746094,87.08302055885767,1.0
0.8510456085205078,0.005708217620849609,0.0,218.61458333333334,-405.165780536031,239.79499888420105,0.021962663920618616,0.47340095043182373,21,96.0,-56.970237731933594,0.21125943958759308,0.013413257896900177,0.03530997782945633,-1064.3948875553856,-405.165780536031,40.94718551635742,0.8667382597923279,17.036027908325195,7.6336164474487305,21.0,-31.994461059570312,-19.074665069580078,16.722902297973633,0.02176106721162796,21000,96.0,-456.1043414602298,0.869395911693573,-33.360107421875,87.57480388546831,1.0
0.8487382531166077,0.016257986426353455,0.0,211.12745098039215,-386.9032221566611,250.82586526870728,0.02152991267583435,0.47629690170288086,22,102.0,-60.902244567871094,0.19231665134429932,0.06504864990711212,0.037277933210134506,-1056.4992585916868,-393.57985526811103,43.034542083740234,0.8744315505027771,18.745134353637695,6.206275463104248,22.0,-34.027103424072266,-19.902793884277344,18.53371238708496,0.021735046058893204,22000,102.0,-890.6910503540124,0.8569004535675049,-35.206504821777344,87.71025259469002,1.0
0.8490273356437683,0.07456830143928528,0.0,214.23584905660377,-392.8095283184374,260.3087544441223,0.02152991267583435,0.47688353061676025,23,106.0,-10.073969841003418,0.1763831526041031,0.03548276424407959,0.0369863361120224,-1013.1155228043591,-344.2207835696489,44.803794860839844,0.8482966423034668,19.196796417236328,7.715429306030273,23.0,-32.633705139160156,-21.48647117614746,19.275148391723633,0.02164258249104023,23000,106.0,-58.673335483147014,0.854756772518158,-34.53935241699219,88.35661347277954,1.0
0.8504279255867004,0.13421273231506348,0.0,220.5185185185185,-406.8684040625346,270.49011158943176,0.0211056883401964,0.47822636365890503,24,108.0,-66.71167755126953,0.22207148373126984,0.15258292853832245,0.035729777067899704,-991.8272023437797,-326.25504578106813,47.318641662597656,0.8668496608734131,19.14168357849121,12.031567573547363,24.0,-30.816390991210938,-23.18020248413086,18.697265625,0.021378682926297188,24000,108.0,-502.19583175045693,0.8575112223625183,-32.03413009643555,88.72782764210186,1.0
0.8515057563781738,0.023829210549592972,0.0,225.18018018018017,-417.25435299138206,279.94208455085754,0.0211056883401964,0.4749339818954468,25,111.0,-2.6387805938720703,0.20025275647640228,0.012388881295919418,0.03956172987818718,-953.3866606101222,-309.8672448252591,50.699790954589844,0.8354921936988831,21.533634185791016,9.469010353088379,25.0,-32.96892166137695,-24.837120056152344,21.112815856933594,0.021403085440397263,25000,111.0,-30.81365900234163,0.8307173848152161,-34.317893981933594,89.3041860430178,1.0
0.8494939208030701,-0.15330928564071655,0.0,220.16521739130434,-402.1193582550453,291.61680364608765,0.020689822899908242,0.4764620363712311,26,115.0,-28.142724990844727,0.20016980171203613,-0.11537545919418335,0.032725002616643906,-945.1687585659745,-290.07573133136776,49.947975158691406,0.832397997379303,24.120906829833984,9.547163009643555,26.0,-33.279563903808594,-25.506582260131836,23.297422409057617,0.02104778401553631,26000,115.0,-739.7212074622797,0.8587003350257874,-34.395782470703125,89.15809951594612,1.0
0.8517448306083679,-0.01918400079011917,0.0,225.2991452991453,-413.91836546536257,301.83565497398376,0.019882513137642284,0.47855907678604126,27,117.0,-63.95033645629883,0.20123660564422607,0.014234419912099838,0.024040888994932175,-924.4743370462887,-295.4993764051668,54.01888656616211,0.8320322036743164,25.0157470703125,8.745757102966309,27.0,-32.81427001953125,-27.363527297973633,24.678455352783203,0.020709266886115074,27000,117.0,-386.4193775344597,0.8436683416366577,-34.598655700683594,89.45265264412589,1.0
0.8486253619194031,0.049847718328237534,0.0,231.864406779661,-429.995571757532,314.27618193626404,0.0211056883401964,0.4781937897205353,28,118.0,-69.06744384765625,0.1607549637556076,-0.06651470065116882,0.021200822666287422,-945.5929228648981,-317.52588319556963,52.99864196777344,0.8430208563804626,25.174455642700195,10.731226921081543,28.0,-32.71562957763672,-27.294910430908203,25.23236656188965,0.02051909826695919,28000,118.0,-1515.79473996735,0.8399986624717712,-34.39273452758789,89.09361131820822,1.0
