total/steps,rollout/actions_std,ret_rms_mean,total/episodes,total/epochs,rollout/return,rollout/Q_mean,eval/Q,ret_rms_std,rollout/episode_steps,eval/return,reference_Q_std,eval/return_history,reference_action_std,train/param_noise_distance,train/loss_actor,train/loss_critic,obs_rms_mean,rollout/episodes,rollout/actions_mean,eval/episodes,obs_rms_std,reference_Q_mean,reference_actor_Q_mean,reference_actor_Q_std,total/duration,rollout/return_history,reference_action_mean,total/steps_per_second
206000,0.6955978870391846,0.0,206.0,206,1204.0277940150966,294.3519287109375,478.29620361328125,1.0,1000.0,2556.3029553428905,10.442370414733887,1920.0023359812715,0.7168959379196167,0.0,-460.2481384277344,151.37684631347656,0.08422783017158508,206.0,0.021858198568224907,206.0,2.3594484329223633,446.92779541015625,450.50115966796875,10.249207496643066,2690.452746152878,1448.1963265633447,-0.001088390708900988,76.5670388727558
207000,0.6956376433372498,0.0,207.0,207,1206.5087009136357,295.2037048339844,479.904052734375,1.0,1000.0,2661.181239213949,10.526520729064941,1923.4524717431311,0.7223339080810547,0.0,-460.9642333984375,210.85694885253906,0.08431635051965714,207.0,0.022066865116357803,207.0,2.3589725494384766,448.19232177734375,451.6318664550781,10.43693733215332,2703.542736530304,1449.3924642798593,0.06011425331234932,76.56620226601687
208000,0.6954712867736816,0.0,208.0,208,1208.3388852657813,296.062744140625,446.22900390625,1.0,1000.0,993.4180036626254,11.82126235961914,1911.3529588554227,0.6996913552284241,0.0,-460.9759826660156,88.98504638671875,0.08429611474275589,208.0,0.021670766174793243,208.0,2.3591883182525635,447.853515625,450.55078125,11.89395523071289,2716.6439394950867,1453.9394908365214,0.08232426643371582,76.56505770817309
209000,0.6954342126846313,0.0,209.0,209,1211.4168960942384,296.91326904296875,473.9274597167969,1.0,1000.0,2043.3353112111497,11.169591903686523,1910.33871112379,0.705319881439209,0.0,-460.2869567871094,542.8560791015625,0.08441561460494995,209.0,0.021408578380942345,209.0,2.3601555824279785,448.80059814453125,452.4412536621094,10.29896354675293,2729.788586616516,1453.2596578030214,0.10248617082834244,76.56270563393655
210000,0.6961910128593445,0.0,210.0,210,1207.088718854412,297.5104675292969,472.3913879394531,1.0,1000.0,2101.174088678197,12.122631072998047,1910.6990106836984,0.7277392745018005,0.0,-462.60382080078125,78.16456604003906,0.08440656960010529,210.0,0.021480733528733253,210.0,2.3607749938964844,448.7232971191406,452.38336181640625,11.812165260314941,2742.8585426807404,1450.4134405775967,-0.013017828576266766,76.5624609261679
211000,0.6963120698928833,0.0,211.0,211,1210.408744389271,298.3591613769531,469.7195129394531,1.0,1000.0,1749.4092381532023,11.234729766845703,1913.5830686685786,0.7417678833007812,0.0,-462.66778564453125,260.73248291015625,0.08452516049146652,211.0,0.021320493891835213,211.0,2.3613500595092773,452.658447265625,455.45660400390625,10.519111633300781,2756.058979988098,1453.786974678185,-0.021467894315719604,76.55859382258619
212000,0.6965156197547913,0.0,212.0,212,1212.8940571325456,299.18878173828125,480.5541076660156,1.0,1000.0,2312.4602053430917,10.206731796264648,1916.1060299599226,0.7317754030227661,0.0,-463.3792724609375,219.25531005859375,0.08462328463792801,212.0,0.021612703800201416,212.0,2.3617801666259766,454.5093994140625,458.5191650390625,9.32292366027832,2769.2481846809387,1452.1645979638704,-0.06117777153849602,76.55507410738838
213000,0.6966003775596619,0.0,213.0,213,1213.1592813845307,299.9884948730469,480.65771484375,1.0,1000.0,2434.465634431859,8.850517272949219,1920.8631029834016,0.7391654849052429,0.0,-463.06854248046875,218.56625366210938,0.08463773131370544,213.0,0.021671196445822716,213.0,2.3611764907836914,456.5576171875,460.78387451171875,7.392010688781738,2782.4403512477875,1457.7932158342423,-0.07095286250114441,76.55150627199609
214000,0.6968770623207092,0.0,214.0,214,1216.008899387775,300.8175048828125,479.03704833984375,1.0,1000.0,2069.6537036266545,7.5396728515625,1924.992593704506,0.660486102104187,0.0,-465.119873046875,216.21852111816406,0.08480874449014664,214.0,0.021995117887854576,214.0,2.362488269805908,456.394287109375,459.1143798828125,6.377618789672852,2795.5600056648254,1460.4507668896943,0.050686974078416824,76.54995763509203
215000,0.6969290375709534,0.0,215.0,215,1219.3254016895378,301.6431884765625,476.9602966308594,1.0,1000.0,2038.9820533281666,9.19478702545166,1920.5156706288037,0.6934247016906738,0.0,-464.12249755859375,421.9669494628906,0.08487568795681,215.0,0.021537838503718376,215.0,2.3630216121673584,456.22308349609375,459.6058349609375,8.788995742797852,2808.698875427246,1463.6162343751782,0.07135865837335587,76.5478997698873
