eval/return,reference_perturbed_action_std,reference_actor_Q_std,total/episodes,total/steps_per_second,reference_Q_std,obs_rms_std,total/epochs,train/loss_critic,reference_action_std,eval/Q,eval/return_history,rollout/return,reference_actor_Q_mean,ret_rms_mean,train/param_noise_distance,rollout/actions_mean,total/steps,reference_Q_mean,rollout/return_history,train/loss_actor,reference_perturbed_action_mean,rollout/episodes,rollout/actions_std,total/duration,ret_rms_std,rollout/Q_mean,rollout/episode_steps,param_noise_stddev,reference_action_mean,eval/episodes,obs_rms_mean
-796.2516417411923,0.8289141654968262,4.804864406585693,11.0,71.35578071887612,5.043506145477295,0.3379201889038086,11,0.8348220586776733,0.8190703988075256,-9.690450668334961,-1889.1215939942056,-1555.448053559452,-6.050281524658203,0.0,0.19213177263736725,0.12510620057582855,11000,-7.173600196838379,-1555.448053559452,13.818868637084961,0.036240510642528534,11.0,0.8189069628715515,154.15709686279297,1.0,-9.36467170715332,911.2727272727273,0.03019736003336582,0.0026715081185102463,11.0,0.028652602806687355
-123.05729766322955,0.8209494352340698,4.763171195983887,15.0,73.0774232794104,5.029855728149414,0.3489106595516205,12,0.9857432842254639,0.7860339879989624,-11.081172943115234,-1741.9495692999574,-1303.6697790476294,-7.596261978149414,0.0,0.20642609894275665,0.11817288398742676,12000,-8.300678253173828,-1303.6697790476294,15.296137809753418,-0.05015198886394501,15.0,0.8164548277854919,164.20940232276917,1.0,-9.231816291809082,740.3333333333334,0.028447279136688076,0.30026501417160034,12.0,0.027673261240124702
-698.1867961005833,0.7891402244567871,4.7442708015441895,18.0,73.92175676534137,4.854440689086914,0.37095752358436584,13,1.6345868110656738,0.8376298546791077,-12.981451034545898,-1661.660125207698,-1176.4569408988655,-9.751285552978516,0.0,0.22145682573318481,0.1360788643360138,13000,-10.570926666259766,-1176.4569408988655,17.088655471801758,0.2778019309043884,18.0,0.8131324648857117,175.8616213798523,1.0,-9.512235641479492,679.1111111111111,0.02575295069895359,0.00036375224590301514,13.0,0.027141785249114037
-69.077455659671,0.8292311429977417,4.48839807510376,20.0,75.40654671056984,4.682961463928223,0.3728756308555603,14,1.7502042055130005,0.8346348404884338,-17.10930824279785,-1547.9042202399817,-1147.6340599306534,-11.884031295776367,0.0,0.2625814378261566,0.13246972858905792,14000,-12.47623348236084,-1147.6340599306534,18.609407424926758,-0.0010683238506317139,20.0,0.8156102299690247,185.66027235984802,1.0,-9.813162803649902,663.65,0.02575295069895359,-0.2281886786222458,14.0,0.026421213522553444
-513.5982116042572,0.837212085723877,4.6231184005737305,21.0,76.33538040213531,4.740774154663086,0.3713465929031372,15,1.9239331483840942,0.8277173042297363,-16.267681121826172,-1478.9504863309335,-1185.5354445846094,-15.997514724731445,0.0,0.19563472270965576,0.11583322286605835,15000,-16.29877471923828,-1185.5354445846094,21.3251895904541,-0.21146132051944733,21.0,0.8217605948448181,196.50128054618835,1.0,-10.135887145996094,679.6666666666666,0.02575295069895359,-0.059978533536195755,15.0,0.025953855365514755
-145.49071244162016,0.8178290724754333,4.77332878112793,31.0,77.43942849560565,4.903415679931641,0.38842207193374634,16,2.279392719268799,0.8089101314544678,-20.792213439941406,-1395.6092504628514,-890.1827981714167,-19.427791595458984,0.0,0.2052495926618576,0.11117725819349289,16000,-19.804691314697266,-890.1827981714167,24.200307846069336,0.12270339578390121,31.0,0.8224651217460632,206.61309504508972,1.0,-10.867300987243652,503.2903225806452,0.02426044449968572,0.18605592846870422,16.0,0.025356948375701904
-725.3453692546718,0.871014416217804,5.245962142944336,42.0,77.93331542928665,5.232680797576904,0.40493255853652954,17,3.680697441101074,0.8739104270935059,-25.45270347595215,-1356.1819633329585,-708.5108373418965,-22.65570068359375,0.0,0.19010579586029053,0.1169162467122078,17000,-23.26299476623535,-708.5108373418965,27.4252986907959,0.07512996345758438,42.0,0.8211226463317871,218.1352083683014,1.0,-11.535772323608398,404.35714285714283,0.024748079434129402,0.036399707198143005,17.0,0.02549065090715885
-428.3279856430443,0.8641725182533264,5.67779541015625,52.0,78.6109426547728,5.709796905517578,0.41587546467781067,18,3.1751129627227783,0.8664496541023254,-26.24042510986328,-1304.6345201279632,-602.8687613786826,-25.486133575439453,0.0,0.18423236906528473,0.12053988873958588,18000,-26.216156005859375,-602.8687613786826,30.286876678466797,0.010247018188238144,52.0,0.8218671679496765,228.97575569152832,1.0,-12.315974235534668,345.25,0.02426044449968572,-0.015056069940328598,18.0,0.02493918128311634
-25.536326579329504,0.8666190505027771,6.209803104400635,53.0,79.60149135169698,6.105136394500732,0.42411577701568604,19,4.542834281921387,0.8242287039756775,-25.90333366394043,-1237.313562572772,-596.3910980775561,-27.61629867553711,0.0,0.20518004894256592,0.12156497687101364,19000,-28.280719757080078,-596.3910980775561,31.80825424194336,-0.02445720136165619,53.0,0.8215593695640564,238.68899536132812,1.0,-13.269576072692871,341.79245283018867,0.023313810312614227,0.11296001821756363,19.0,0.024907907471060753
-414.3931442164412,0.8537499308586121,8.686317443847656,60.0,80.19149012878648,8.608963012695312,0.4293874502182007,20,3.966477632522583,0.8610454797744751,-41.37956619262695,-1196.1675416549556,-556.5230689727218,-27.822906494140625,0.0,0.23234695196151733,0.12249285727739334,20000,-28.867435455322266,-556.5230689727218,32.722267150878906,0.05334673821926117,60.0,0.8213494420051575,249.40302228927612,1.0,-14.320573806762695,319.5833333333333,0.021962663920618616,0.19135066866874695,20.0,0.024691451340913773
