total/steps,ret_rms_std,rollout/episodes,train/loss_critic,rollout/actions_std,rollout/episode_steps,total/epochs,rollout/Q_mean,reference_perturbed_action_mean,rollout/return_history,reference_Q_mean,train/loss_actor,param_noise_stddev,reference_action_std,eval/return_history,obs_rms_std,total/steps_per_second,reference_actor_Q_mean,total/episodes,reference_Q_std,eval/Q,rollout/return,ret_rms_mean,reference_actor_Q_std,obs_rms_mean,reference_action_mean,eval/return,total/duration,eval/episodes,train/param_noise_distance,reference_perturbed_action_std,rollout/actions_mean
21000,1.0,407.0,248.63938903808594,0.7659847140312195,51.47665847665848,21,170.25057983398438,0.0970907211303711,313.8513157174177,283.0401611328125,-292.66729736328125,0.017999379770019416,0.8275533318519592,303.565906145131,7.529780387878418,66.83500916671011,295.6810302734375,407.0,171.40911865234375,316.01171875,250.3499362938805,0.0,170.2942657470703,1.7604482173919678,0.06304361671209335,273.3198782618086,314.2065851688385,21.0,0.22032342851161957,0.8241007328033447,0.09321242570877075
22000,1.0,426.0,243.8524169921875,0.7687627077102661,51.539906103286384,22,176.09165954589844,0.09137918055057526,303.4367091254609,286.14508056640625,-299.43109130859375,0.019490749081111935,0.8121556043624878,304.0412527702378,7.536083698272705,66.84540181817123,297.90606689453125,426.0,178.35977172851562,269.6397399902344,250.23679125747267,0.0,177.11764526367188,1.765821099281311,0.14344047009944916,314.0235318974807,329.1176266670227,22.0,0.19487068057060242,0.8138211369514465,0.0956135019659996
23000,1.0,442.0,271.55682373046875,0.7718121409416199,52.00678733031674,23,180.40914916992188,0.10095921158790588,301.86262247377584,295.97845458984375,-305.9141845703125,0.019490749081111935,0.8334433436393738,298.9080780847184,7.512685775756836,66.88058161575447,311.626220703125,442.0,177.69386291503906,250.10470581054688,252.22864528941466,0.0,174.3500213623047,1.7712717056274414,0.08904997259378433,185.97823500329085,343.8965308666229,23.0,0.19412283599376678,0.8289897441864014,0.09772355854511261
24000,1.0,460.0,252.37533569335938,0.7749781608581543,52.11304347826087,24,184.9679718017578,0.05968698486685753,288.0111700804379,299.14599609375,-311.4980773925781,0.018361167303396805,0.8553884029388428,308.5334290748762,7.5081586837768555,66.81099235729175,313.279541015625,460.0,186.91009521484375,341.41314697265625,251.97399527727364,0.0,186.16189575195312,1.7719072103500366,0.05611680448055267,529.9165018485058,359.22232484817505,24.0,0.20955941081047058,0.8519924879074097,0.09937606006860733
25000,1.0,471.0,274.9709777832031,0.7789165377616882,52.953290870488324,25,191.65762329101562,-0.001965941861271858,289.0382300464993,299.7183837890625,-319.4547424316406,0.018361167303396805,0.8433331847190857,308.73271628220414,7.445163249969482,66.79586771226238,312.76751708984375,471.0,196.37083435058594,276.3169860839844,255.69654723908445,0.0,195.19699096679688,1.7732632160186768,-0.0014148327754810452,313.5156092580739,374.27464985847473,25.0,0.19989529252052307,0.8513087034225464,0.09575057774782181
26000,1.0,485.0,355.3851623535156,0.7817259430885315,53.4659793814433,26,196.73207092285156,0.02439715899527073,282.5950953534515,311.2728271484375,-327.3327941894531,0.017644720880324885,0.8421748876571655,314.8509948925245,7.401832103729248,66.76484165730906,323.0124206542969,485.0,205.7255401611328,365.61761474609375,258.19535410804076,0.0,205.61175537109375,1.774760127067566,0.03124528005719185,467.80796015053375,389.4265208244324,26.0,0.195274218916893,0.8381224870681763,0.09227631986141205
27000,1.0,498.0,308.30633544921875,0.7839601635932922,54.106425702811244,27,201.70457458496094,0.03550359606742859,304.8394463444493,309.30950927734375,-340.25335693359375,0.017297050171870294,0.8349881768226624,316.7848721728865,7.36053991317749,66.76713819396979,323.9232177734375,498.0,210.66436767578125,379.2453918457031,261.33395044231827,0.0,210.47384643554688,1.775712013244629,-0.0025407136417925358,367.0656814622979,404.3905539512634,27.0,0.18418017029762268,0.8246625661849976,0.09137500822544098
28000,1.0,511.0,371.6875,0.7858736515045166,54.731898238747554,28,208.1903076171875,0.057442162185907364,322.57747898389835,327.1742248535156,-343.6123352050781,0.01695622994987775,0.8179957866668701,317.9792179840064,7.3229079246521,66.75134550991208,341.94818115234375,511.0,223.94662475585938,367.83721923828125,264.56679066368616,0.0,224.2042236328125,1.7765071392059326,0.0110250823199749,350.22655488424476,419.46720004081726,28.0,0.20097364485263824,0.8199754357337952,0.09109625220298767
29000,1.0,525.0,374.6421203613281,0.7872393727302551,55.12,29,214.23190307617188,0.02991984784603119,334.28065522826915,323.85699462890625,-347.41131591796875,0.01695622994987775,0.8181859850883484,319.5510017157067,7.294285774230957,66.70288060654758,338.59613037109375,525.0,227.67210388183594,357.7720947265625,266.4482599459705,0.0,229.80975341796875,1.7786614894866943,-0.04932680353522301,363.5609462033146,434.76383233070374,29.0,0.20264607667922974,0.8244106769561768,0.09171361476182938
30000,1.0,537.0,434.691162109375,0.7888220548629761,55.865921787709496,30,219.84120178222656,0.03739197924733162,345.8673821288111,315.7447509765625,-350.7063293457031,0.01662212523270047,0.7955518960952759,321.8121105832787,7.268074035644531,66.66989631756682,334.8327331542969,537.0,230.46058654785156,401.6630859375,269.7581370890348,0.0,232.7323760986328,1.7781507968902588,0.001321223913691938,387.3842677428653,449.9782009124756,30.0,0.23465853929519653,0.8031817078590393,0.09031464159488678
