reference_action_mean,param_noise_stddev,eval/episodes,ret_rms_mean,reference_Q_std,eval/Q,rollout/Q_mean,eval/return,reference_perturbed_action_std,ret_rms_std,reference_actor_Q_std,reference_action_std,total/steps,total/epochs,rollout/actions_mean,rollout/episode_steps,rollout/actions_std,obs_rms_std,total/episodes,total/duration,rollout/episodes,reference_Q_mean,rollout/return_history,train/loss_critic,train/loss_actor,train/param_noise_distance,obs_rms_mean,eval/return_history,total/steps_per_second,reference_perturbed_action_mean,rollout/return,reference_actor_Q_mean
0.2747354805469513,0.020689822899908242,12.0,0.0,100.07164764404297,196.67538452148438,114.65342712402344,253.03633118187048,0.7320634126663208,1.0,98.6120834350586,0.733616054058075,12000,12,0.2085447758436203,50.14225941422594,0.6919991374015808,6.747009754180908,239.0,130.9468789100647,239.0,190.2732696533203,325.06318855583737,50.506587982177734,-215.29324340820312,0.2184409350156784,1.86783766746521,286.99997672018145,91.64021395455855,0.2938336730003357,248.98546993890648,197.51222229003906
0.19232627749443054,0.020282151651708893,13.0,0.0,107.96589660644531,213.94802856445312,122.80216217041016,364.4151408238875,0.7567111253738403,1.0,107.25001525878906,0.7591823935508728,13000,13,0.21461740136146545,51.125984251968504,0.6965849995613098,6.82635498046875,254.0,142.00472140312195,254.0,207.22802734375,325.72653573312016,53.8121223449707,-227.65463256835938,0.1921764314174652,1.8894760608673096,292.9549893435435,91.5462519242279,0.21198691427707672,253.89429557729227,214.27816772460938
0.23894532024860382,0.019106704324195603,14.0,0.0,118.08861541748047,256.4219970703125,131.07333374023438,673.2656111192483,0.7598114609718323,1.0,116.76496124267578,0.7555283308029175,14000,14,0.21371695399284363,52.40449438202247,0.7015051245689392,6.841108798980713,267.0,153.52190971374512,267.0,216.20968627929688,337.13472243479004,62.095909118652344,-244.8876953125,0.20003534853458405,1.904719591140747,320.12003375609385,91.19219547297328,0.25318050384521484,259.48756945655026,223.97940063476562
0.1740637868642807,0.019882513137642284,15.0,0.0,128.6607208251953,248.23658752441406,140.4229736328125,479.08396784744446,0.7945557832717896,1.0,126.9571304321289,0.7891858220100403,15000,15,0.20848695933818817,53.83812949640288,0.7061419486999512,6.834975719451904,278.0,164.714022397995,278.0,220.16856384277344,346.1241932317376,65.44127655029297,-251.4875946044922,0.1882837414741516,1.909246563911438,330.7176293621839,91.06692788884615,0.19869105517864227,265.4047193316248,227.62908935546875
0.21542517840862274,0.019490749081111935,16.0,0.0,137.9888916015625,251.99615478515625,148.93995666503906,321.6443957471775,0.7769651412963867,1.0,135.27674865722656,0.7870065569877625,16000,16,0.20652396976947784,54.95189003436426,0.7101361155509949,6.797759532928467,291.0,175.60158276557922,291.0,228.33184814453125,352.42238261204955,85.99232482910156,-267.9212341308594,0.1949099898338318,1.9112834930419922,330.15055226124593,91.11535185511016,0.24409033358097076,270.11549402283094,236.90118408203125
0.2164711058139801,0.019882513137642284,17.0,0.0,142.1544952392578,323.89434814453125,156.62986755371094,408.2934850020942,0.7937145233154297,1.0,139.1757049560547,0.7941700220108032,17000,17,0.20809367299079895,55.69078947368421,0.7140457034111023,6.864697456359863,304.0,186.68912959098816,304.0,242.17315673828125,356.33583323825746,77.54180908203125,-274.4145812988281,0.19808341562747955,1.918081521987915,334.74719536364876,91.06047061896325,0.231734961271286,273.70862249032075,251.69541931152344
0.24802909791469574,0.019490749081111935,18.0,0.0,149.21524047851562,270.0470886230469,164.94114685058594,423.55268242591285,0.7660821676254272,1.0,146.92913818359375,0.7745813727378845,18000,18,0.20573797821998596,56.562893081761004,0.7172189950942993,6.835049152374268,318.0,197.86950063705444,318.0,248.24993896484375,357.02043528267853,119.78389739990234,-289.63836669921875,0.21785129606723785,1.9203903675079346,339.68083353377455,90.96904748861125,0.2746213376522064,277.2767842724536,258.8258361816406
0.13269726932048798,0.018730226766195082,19.0,0.0,159.38906860351562,292.3410339355469,171.5378875732422,292.29464120767716,0.7984289526939392,1.0,157.51744079589844,0.7986159920692444,19000,19,0.20355255901813507,57.048048048048045,0.7217317819595337,6.865453720092773,333.0,208.79680228233337,333.0,255.07080078125,353.91306851733805,96.5226821899414,-299.22662353515625,0.19477149844169617,1.9276375770568848,337.18682341134837,90.99756218636122,0.12219789624214172,279.19378884693606,265.5365295410156
0.16146822273731232,0.017999379770019416,20.0,0.0,170.83058166503906,323.4587707519531,180.19451904296875,256.6586413197003,0.8007937669754028,1.0,170.4137420654297,0.8025327920913696,20000,20,0.1990084946155548,57.44956772334294,0.7253036499023438,6.82668399810791,347.0,219.63417387008667,347.0,264.19378662109375,353.6684683272291,138.95687866210938,-308.5853271484375,0.19108113646507263,1.9227148294448853,333.160414306766,91.06051051886841,0.14686977863311768,280.6699848851572,274.14385986328125
0.1014268770813942,0.018361167303396805,21.0,0.0,182.0894775390625,309.67205810546875,187.2241973876953,352.13200703763647,0.7974151968955994,1.0,181.59716796875,0.8152841925621033,21000,21,0.1981365829706192,58.17777777777778,0.7283725738525391,6.789809703826904,360.0,230.6513032913208,360.0,269.184326171875,357.5216129757688,147.7307891845703,-317.953857421875,0.1934383660554886,1.926281213760376,334.0638234844265,91.04652651139045,0.167874276638031,284.1907060121927,281.59564208984375
