eval/return_history,total/steps,total/steps_per_second,eval/return,total/episodes,obs_rms_std,ret_rms_mean,reference_Q_mean,train/loss_actor,reference_action_std,total/epochs,total/duration,rollout/episode_steps,rollout/return,reference_Q_std,train/loss_critic,rollout/actions_std,ret_rms_std,rollout/return_history,rollout/episodes,reference_actor_Q_std,rollout/actions_mean,train/param_noise_distance,eval/episodes,reference_action_mean,reference_actor_Q_mean,obs_rms_mean,eval/Q,rollout/Q_mean
1969.6650891054053,778000,29.32489910008007,2050.4470020655976,778.0,2.270381212234497,0.0,200.42633056640625,-438.4080810546875,0.6632910966873169,778,26530.355563879013,1000.0,1323.2156287885516,105.11033630371094,156.63616943359375,0.6809871196746826,1.0,1639.1368250464043,778.0,105.7301025390625,-0.13620354235172272,0.0,778.0,-0.6654148697853088,201.4501953125,0.06283687800168991,454.1430358886719,432.957763671875
1964.3885546237352,779000,29.32465636303867,1655.0259388374095,779.0,2.2706680297851562,0.0,195.49014282226562,-436.12030029296875,0.690007746219635,779,26564.67616724968,1000.0,1323.8964561830812,107.50801086425781,222.12289428710938,0.6809797286987305,1.0,1638.817935199599,779.0,108.2148666381836,-0.13626153767108917,0.0,779.0,-0.6241915822029114,196.15884399414062,0.06287195533514023,450.0694885253906,432.9831237792969
1962.843272046519,780000,29.324341580976093,1840.0258218655417,780.0,2.2710211277008057,0.0,187.4357452392578,-435.50628662109375,0.6080120205879211,780,26599.06268811226,1000.0,1324.6026194262374,110.23722839355469,142.17242431640625,0.6810111999511719,1.0,1638.0062446946697,780.0,110.78154754638672,-0.136161670088768,0.0,780.0,-0.7405899167060852,188.58248901367188,0.06292872130870819,449.34271240234375,433.0074157714844
1964.9181334068342,781000,29.32406906174656,2006.7820519599798,781.0,2.271045207977295,0.0,188.42620849609375,-435.8516540527344,0.9398545622825623,781,26633.41156220436,1000.0,1325.0294650164121,109.35493469238281,143.04959106445312,0.6810086965560913,1.0,1637.0312848656238,781.0,110.33251190185547,-0.1362859308719635,0.0,781.0,-0.11210907250642776,189.19403076171875,0.06293448805809021,452.3121643066406,433.030029296875
1962.7805180007852,782000,29.323710110784948,1190.495074362465,782.0,2.2715256214141846,0.0,190.3502655029297,-434.46307373046875,0.5668286085128784,782,26667.839678049088,1000.0,1325.3979712028245,110.58474731445312,250.20802307128906,0.6810563802719116,1.0,1636.7189888294538,782.0,110.86663055419922,-0.13614003360271454,0.0,782.0,-0.7847760319709778,191.49801635742188,0.06296812742948532,396.09820556640625,433.046142578125
1971.0055642858806,783000,29.323431826581647,2214.699766546084,783.0,2.275169849395752,0.0,187.5457763671875,-434.8324279785156,0.6778925657272339,783,26702.195180654526,1000.0,1323.4657576208635,109.5279312133789,185.4839324951172,0.6813386678695679,1.0,1641.5146316383825,783.0,109.99937438964844,-0.13586075603961945,0.0,783.0,-0.6636219024658203,188.8614501953125,0.06313814222812653,453.88580322265625,432.73382568359375
1971.4178104666298,784000,29.323180109465437,2227.8995547803734,784.0,2.2755985260009766,0.0,190.53147888183594,-431.7362060546875,0.9398709535598755,784,26736.527111768723,1000.0,1324.2254786245696,108.08045196533203,207.26283264160156,0.6814277768135071,1.0,1646.7977774966726,784.0,108.60493469238281,-0.13580872118473053,0.0,784.0,0.22033239901065826,191.15069580078125,0.06316526234149933,452.9678039550781,432.7576599121094
1963.693121334644,785000,29.322950668015064,1060.295754063963,785.0,2.275984048843384,0.0,189.24334716796875,-431.7010498046875,0.6973519325256348,785,26770.839295387268,1000.0,1324.6152247989414,107.32691955566406,153.4436798095703,0.6815348267555237,1.0,1644.5403700004929,785.0,108.01441955566406,-0.1357828825712204,0.0,785.0,-0.6450429558753967,190.75570678710938,0.06319315731525421,343.48028564453125,432.7719421386719
1962.6506599973197,786000,29.32268626336251,2041.6074049914648,786.0,2.276524543762207,0.0,186.10284423828125,-429.7730407714844,0.683613121509552,786,26805.183977365494,1000.0,1324.8045053675862,108.6345443725586,123.84048461914062,0.6815532445907593,1.0,1645.1476525392175,786.0,108.76860809326172,-0.13573572039604187,0.0,786.0,-0.6325376033782959,188.1864776611328,0.06321949511766434,447.6792907714844,432.7846984863281
1966.1801375609787,787000,29.322407342186697,2089.8081974855636,787.0,2.277045249938965,0.0,185.33847045898438,-429.195556640625,0.8368423581123352,787,26839.54256606102,1000.0,1325.0944514909909,109.3901596069336,237.03536987304688,0.6815602779388428,1.0,1641.0728982694245,787.0,110.09103393554688,-0.13587722182273865,0.0,787.0,-0.4468630850315094,186.53456115722656,0.06322198361158371,445.1216125488281,432.7953186035156
