total/steps,reference_actor_Q_std,reference_actor_Q_mean,ret_rms_mean,reference_Q_mean,obs_rms_std,param_noise_stddev,reference_Q_std,eval/return_history,eval/return,obs_rms_mean,total/episodes,train/loss_actor,rollout/actions_std,reference_action_mean,eval/episodes,train/param_noise_distance,reference_perturbed_action_std,reference_perturbed_action_mean,ret_rms_std,total/steps_per_second,rollout/actions_mean,rollout/episodes,train/loss_critic,reference_action_std,eval/Q,rollout/return,rollout/episode_steps,rollout/return_history,rollout/Q_mean,total/epochs,total/duration
855000,5.50447940826416,517.6219482421875,0.0,514.9385986328125,2.4626455307006836,0.017999379770019416,5.557641983032227,2779.821653181207,1551.800605251024,0.13800063729286194,855.0,-534.47998046875,0.7559299468994141,0.1888183355331421,855.0,0.24060213565826416,0.7345448732376099,0.146981343626976,1.0,44.49911584560156,0.0875268206000328,855.0,245.5767059326172,0.6912347674369812,537.0751953125,1707.8366710017337,1000.0,2577.2872212412303,373.6009826660156,855,19213.864899396896
856000,6.004328727722168,518.0723266601562,0.0,515.3998413085938,2.4637832641601562,0.017999379770019416,5.779362678527832,2781.8726416624017,2953.3949521955874,0.13800935447216034,856.0,-534.7413940429688,0.7559510469436646,0.16123561561107635,856.0,0.22882743179798126,0.7171486616134644,0.12336914986371994,1.0,44.49815426907777,0.08753029257059097,856.0,284.99041748046875,0.7161872386932373,560.2207641601562,1707.03131184655,1000.0,2559.307238251819,373.7812194824219,856,19236.752940893173
857000,5.911738872528076,514.138427734375,0.0,511.607666015625,2.464627981185913,0.019106704324195603,5.492650985717773,2783.0164514972503,3086.894653164626,0.1380162537097931,857.0,-533.9999389648438,0.7559587955474854,0.21611595153808594,857.0,0.25597792863845825,0.7384893298149109,0.2820936441421509,1.0,44.496851513382175,0.08746004849672318,857.0,424.5838317871094,0.7552050948143005,561.035888671875,1707.1402628820329,1000.0,2552.4371701824057,373.9768981933594,857,19259.78964471817
858000,5.758693695068359,514.6622314453125,0.0,511.6204833984375,2.4650890827178955,0.017999379770019416,5.274386405944824,2773.4599448864697,1706.11888946361,0.13807927072048187,858.0,-535.3339233398438,0.7559934854507446,0.24222946166992188,858.0,0.18467698991298676,0.7212844491004944,0.20970062911510468,1.0,44.49590138464637,0.0873044803738594,858.0,190.0492401123047,0.6837670207023621,537.7183227539062,1708.8463188592516,1000.0,2556.598983454457,374.1959228515625,858,19282.674882411957
859000,5.68032169342041,513.91064453125,0.0,511.0626220703125,2.4659535884857178,0.018361167303396805,4.855876445770264,2767.136816084477,2375.1569903972672,0.13813015818595886,859.0,-533.0068359375,0.7560667395591736,0.1807071566581726,859.0,0.18788273632526398,0.7392026782035828,0.17859436571598053,1.0,44.495154180025594,0.08723561465740204,859.0,523.4093627929688,0.7376219630241394,548.0527954101562,1709.6597399877191,1000.0,2553.598345389034,374.3996887207031,859,19305.473052740097
860000,4.887423992156982,515.6708984375,0.0,513.048095703125,2.46726393699646,0.017999379770019416,4.479535102844238,2764.134970296595,2905.999597761571,0.13812895119190216,860.0,-535.0054931640625,0.7561172246932983,0.21926838159561157,860.0,0.21347320079803467,0.6589475274085999,0.2776193916797638,1.0,44.4941812031158,0.08706988394260406,860.0,340.3357849121094,0.6641150116920471,557.1697998046875,1709.2656453422687,1000.0,2537.7406346425546,374.582763671875,860,19328.370064258575
861000,6.6497650146484375,513.3972778320312,0.0,510.679931640625,2.4679059982299805,0.017644720880324885,6.403581142425537,2762.506576563437,3104.3009846049854,0.1381959617137909,861.0,-531.9523315429688,0.7561402320861816,0.16336952149868011,861.0,0.23034746944904327,0.6613203287124634,0.07424985617399216,1.0,44.49303764936703,0.08693281561136246,861.0,282.6133728027344,0.6812800168991089,561.5802001953125,1710.962522270308,1000.0,2539.7558213658194,374.79864501953125,861,19351.342265844345
862000,5.779508590698242,515.7650756835938,0.0,513.1525268554688,2.468341112136841,0.017999379770019416,5.6969404220581055,2760.0274643795833,2504.59027988512,0.13826584815979004,862.0,-533.22021484375,0.7560777068138123,0.18106870353221893,862.0,0.2046377956867218,0.6752235293388367,0.22969819605350494,1.0,44.491530776469034,0.08668794482946396,862.0,338.1432800292969,0.6947144865989685,552.9412841796875,1712.5740170536496,1000.0,2542.4908928862446,375.0142517089844,862,19374.47385954857
863000,6.769537925720215,514.9242553710938,0.0,511.25738525390625,2.468870162963867,0.018730226766195082,6.692849636077881,2757.752251412828,2504.5171182637955,0.13825182616710663,863.0,-537.053466796875,0.7560715079307556,0.28811171650886536,863.0,0.27104607224464417,0.7027301788330078,0.23463241755962372,1.0,44.49030220175984,0.08636344224214554,863.0,401.09625244140625,0.7105889916419983,556.1798706054688,1713.413467663352,1000.0,2541.481268336954,375.2270812988281,863,19397.485683202744
864000,6.112593173980713,517.2063598632812,0.0,513.5997314453125,2.4693875312805176,0.018361167303396805,6.235374927520752,2747.5199796689294,2112.6952366715723,0.1382615715265274,864.0,-536.0546264648438,0.7560457587242126,0.2657592296600342,864.0,0.22970882058143616,0.7771629691123962,0.22219590842723846,1.0,44.48919741818732,0.08628610521554947,864.0,377.9911804199219,0.749735414981842,548.3126220703125,1713.7768138062033,1000.0,2532.4820318436687,375.42462158203125,864,19420.44474029541
