ret_rms_std,reference_actor_Q_std,train/loss_critic,rollout/Q_mean,train/param_noise_distance,eval/return,total/steps_per_second,ret_rms_mean,rollout/return_history,rollout/episode_steps,reference_Q_std,rollout/actions_mean,total/episodes,eval/Q,reference_perturbed_action_std,reference_action_mean,rollout/actions_std,total/epochs,eval/episodes,reference_perturbed_action_mean,rollout/episodes,reference_Q_mean,obs_rms_mean,train/loss_actor,total/duration,param_noise_stddev,reference_action_std,total/steps,eval/return_history,rollout/return,obs_rms_std,reference_actor_Q_mean
1.0,324.4030456542969,881.4874877929688,278.8385925292969,0.19434449076652527,406.4298627581587,73.28542062487574,0.0,394.4999204304819,59.61477987421384,319.674560546875,0.23971933126449585,636.0,504.7595520019531,0.7902014255523682,0.1653987020254135,0.7475382089614868,38,38.0,0.15996497869491577,636.0,457.7055358886719,2.0593268871307373,-440.8670654296875,518.5205962657928,0.018361167303396805,0.792168378829956,38000,340.0774527203762,294.18268399548435,6.430351257324219,484.57421875
1.0,336.1002502441406,965.387939453125,286.2799072265625,0.21370086073875427,531.6299913405886,73.24816448028851,0.0,396.60935191885363,60.1112828438949,332.15087890625,0.23827099800109863,647.0,638.859130859375,0.7581151127815247,0.22716796398162842,0.7490659952163696,39,39.0,0.3048855662345886,647.0,478.9471435546875,2.0565643310546875,-442.86346435546875,532.4365501403809,0.017999379770019416,0.7623836994171143,39000,344.9890562747406,296.30244836983843,6.404092788696289,502.28302001953125
1.0,342.1452941894531,885.1806030273438,292.91754150390625,0.2159012109041214,268.0061302552397,73.24905262147247,0.0,391.7832099265529,60.62974203338391,334.0996398925781,0.23677927255630493,659.0,405.32269287109375,0.7979271411895752,0.16292428970336914,0.7506831288337708,40,40.0,0.17236757278442383,659.0,479.5306396484375,2.053025484085083,-444.6239318847656,546.0821480751038,0.017999379770019416,0.809415340423584,40000,343.0644831242531,298.1554231837069,6.377472400665283,508.2859191894531
1.0,355.08349609375,900.9999389648438,299.8317565917969,0.21660096943378448,396.5423141450423,73.22756897152705,0.0,376.6160612272002,60.8112927191679,348.7926940917969,0.2350136935710907,673.0,523.7726440429688,0.7936549186706543,0.2250472456216812,0.7523998022079468,41,41.0,0.20645026862621307,673.0,484.0775146484375,2.0471789836883545,-465.6006774902344,559.8984177112579,0.017999379770019416,0.7907715439796448,41000,344.36882046622355,298.3902355423381,6.393003940582275,513.2100830078125
1.0,366.027099609375,1104.7601318359375,305.78570556640625,0.18751882016658783,392.0788205835368,73.1978394350754,0.0,380.2279030250301,61.25693430656934,358.90936279296875,0.23368103802204132,685.0,647.1090087890625,0.7883663773536682,0.28007373213768005,0.753799557685852,42,42.0,0.28552699089050293,685.0,491.3091125488281,2.0450809001922607,-464.8968505859375,573.7874276638031,0.017644720880324885,0.7819842100143433,42000,345.50477284996913,300.01496235534097,6.376760482788086,519.187255859375
1.0,375.1708068847656,1112.410888671875,311.39215087890625,0.19810199737548828,261.2472387341784,73.19808824519353,0.0,384.98112741737066,61.67144906743185,368.9259948730469,0.23335646092891693,697.0,559.8203735351562,0.8004681468009949,0.259882390499115,0.7552169561386108,43,43.0,0.28104597330093384,697.0,498.6221923828125,2.0440726280212402,-479.52520751953125,587.4470362663269,0.018730226766195082,0.8028846383094788,43000,343.54529531239257,301.55441058519267,6.361414909362793,529.574951171875
1.0,384.09979248046875,1191.5654296875,316.3681945800781,0.20970484614372253,334.5450522218096,73.15045663945448,0.0,375.0443769611403,61.84669479606188,378.6818542480469,0.23394940793514252,711.0,572.52490234375,0.7896885275840759,0.2329781949520111,0.7566062808036804,44,44.0,0.24996690452098846,711.0,513.2250366210938,2.044238567352295,-498.6873474121094,601.500004529953,0.017999379770019416,0.7903412580490112,44000,343.34074433306114,302.42035490743166,6.358959674835205,547.17138671875
1.0,395.39306640625,1278.789794921875,321.5400085449219,0.2067047506570816,405.2221740928706,73.09381366048991,0.0,380.9364752095778,62.322714681440445,388.87701416015625,0.23197458684444427,722.0,477.5671691894531,0.7945417761802673,0.20603634417057037,0.7582256197929382,45,45.0,0.26751792430877686,722.0,520.6834716796875,2.0433921813964844,-498.8009338378906,615.6471765041351,0.01695622994987775,0.8106104731559753,45000,344.7158872166125,304.3604035935274,6.35095739364624,553.4367065429688
1.0,397.644775390625,1223.384765625,326.3680725097656,0.18612180650234222,527.7930233946668,73.02081792740654,0.0,384.4994051119702,62.682128240109144,392.3099670410156,0.23139110207557678,733.0,644.0333862304688,0.8196821212768555,0.17690201103687286,0.759761393070221,46,46.0,0.20783087611198425,733.0,535.3893432617188,2.0445234775543213,-494.76226806640625,629.9573369026184,0.017999379770019416,0.8209346532821655,46000,348.6958249596136,305.9589744519986,6.338082790374756,569.1400146484375
1.0,405.29547119140625,1149.50390625,329.99176025390625,0.20729710161685944,521.9066481173702,72.94327653416742,0.0,380.9924599616689,63.08322147651007,399.3237609863281,0.22913537919521332,745.0,609.2052612304688,0.8380368947982788,0.17620384693145752,0.7618821859359741,47,47.0,0.1502159833908081,745.0,527.833740234375,2.045222759246826,-511.384033203125,644.3362874984741,0.017999379770019416,0.8248429894447327,47000,352.38116162254465,307.70545808718094,6.321661949157715,557.2322998046875
1.0,417.3755187988281,1431.065673828125,335.2940979003906,0.22046487033367157,441.4891633443641,72.91338260253634,0.0,383.87458759769504,63.47883597883598,408.5850524902344,0.2274298369884491,756.0,682.5010375976562,0.826292872428894,0.14970579743385315,0.7635707259178162,48,48.0,0.14372742176055908,756.0,554.1842041015625,2.0448312759399414,-519.8475341796875,658.3153638839722,0.017644720880324885,0.820652425289154,48000,354.23757832508255,309.35282105127726,6.309715747833252,583.098388671875
1.0,434.6264343261719,1471.37890625,341.839111328125,0.19593924283981323,468.62727574696476,72.8855063970169,0.0,395.5564728490715,63.87581699346405,427.8569030761719,0.22752127051353455,765.0,675.6832885742188,0.8009288311004639,0.2254989594221115,0.7646702527999878,49,49.0,0.2326134443283081,765.0,559.4002685546875,2.0458834171295166,-535.349365234375,672.2872958183289,0.01695622994987775,0.7973542809486389,49000,356.57206194593726,311.17021803905385,6.311363697052002,588.7362060546875
1.0,434.1302185058594,1587.203125,348.31451416015625,0.18777944147586823,409.9438260833058,72.87576844277935,0.0,407.34815429293513,64.40979381443299,426.40972900390625,0.22974690794944763,776.0,731.931396484375,0.8172610998153687,0.1474042683839798,0.7650461792945862,50,50.0,0.14561380445957184,776.0,542.3948974609375,2.0497260093688965,-538.3135375976562,686.0991117954254,0.01662212523270047,0.8174609541893005,50000,357.6394972286846,313.541081755307,6.303936958312988,573.413818359375
1.0,449.7547912597656,1625.70263671875,355.35455322265625,0.2059832066297531,414.7173751271219,72.85852197659317,0.0,423.2301110887856,64.9031847133758,442.75628662109375,0.2289479374885559,785.0,644.4957885742188,0.818457841873169,0.14933359622955322,0.7661029100418091,51,51.0,0.1747417449951172,785.0,569.9000854492188,2.0487730503082275,-541.34423828125,699.9867498874664,0.017297050171870294,0.8156380653381348,51000,358.7586713051246,315.7111596462256,6.314939498901367,601.443359375
