eval/episodes,total/epochs,total/duration,ret_rms_std,reference_perturbed_action_mean,rollout/episodes,train/param_noise_distance,rollout/return_history,reference_action_std,rollout/actions_std,ret_rms_mean,reference_action_mean,rollout/actions_mean,rollout/Q_mean,total/steps_per_second,rollout/return,total/steps,obs_rms_std,reference_actor_Q_std,obs_rms_mean,rollout/episode_steps,reference_Q_std,eval/Q,reference_perturbed_action_std,param_noise_stddev,total/episodes,reference_Q_mean,train/loss_actor,eval/return,eval/return_history,train/loss_critic,reference_actor_Q_mean
248.0,248,23149.43412256241,1.0,0.011938710696995258,248.0,0.2027292177081108,1468.2724364616051,0.8355475664138794,0.6682050228118896,0.0,-0.08685124665498734,-0.04143458232283592,261.9424743652344,10.713004848714155,934.6650685207217,248000,2.0960028171539307,3.6159956455230713,0.05754925683140755,1000.0,3.5317225456237793,386.8011474609375,0.8684877753257751,0.019882513137642284,248.0,360.6224365234375,-367.8138732910156,2036.9982846638802,1635.7221507799968,122.85775756835938,362.6432189941406
249.0,249,23181.80787730217,1.0,-0.15259940922260284,249.0,0.1973089575767517,1469.9543695685177,0.809980034828186,0.6685711741447449,0.0,-0.03873811289668083,-0.04172440990805626,262.43572998046875,10.741181245134962,937.8841023782617,249000,2.0956897735595703,4.762627124786377,0.057666923850774765,1000.0,4.675880432128906,385.806396484375,0.7915616035461426,0.020282151651708893,249.0,358.2753601074219,-367.0770263671875,1971.8186046233118,1638.6192080870874,163.4544677734375,360.2098388671875
250.0,250,23214.7578830719,1.0,0.03785465657711029,250.0,0.19012296199798584,1474.5081543856054,0.8085785508155823,0.6687132120132446,0.0,-0.009762361645698547,-0.04229424148797989,262.9236145019531,10.769011732071473,941.2281577697518,250000,2.0944228172302246,4.231051445007324,0.05773640424013138,1000.0,4.212458610534668,383.2839050292969,0.8252921104431152,0.019882513137642284,250.0,358.66754150390625,-366.3516540527344,1669.1337893896912,1639.0859265041495,90.53453063964844,360.7126770019531
251.0,251,23247.646188497543,1.0,0.11274602264165878,251.0,0.16232893615961075,1474.8029499132772,0.8391903638839722,0.668607234954834,0.0,0.012538135051727295,-0.042615894228219986,263.39801025390625,10.796791983361723,943.4248224929751,251000,2.0942158699035645,3.8810393810272217,0.05776934698224068,1000.0,3.5562639236450195,385.6437683105469,0.8564361333847046,0.020282151651708893,251.0,360.1180725097656,-368.06573486328125,1756.8648257455648,1640.120061446313,111.54993438720703,362.09283447265625
252.0,252,23280.572287082672,1.0,0.08087774366140366,252.0,0.1913784146308899,1470.5410504280062,0.8334949612617493,0.6689500212669373,0.0,0.046219777315855026,-0.04243110865354538,263.8663635253906,10.82447617234149,944.772144440219,252000,2.0957539081573486,4.858085632324219,0.05779173597693443,1000.0,4.881825923919678,388.0392150878906,0.8398447632789612,0.020689822899908242,252.0,359.2242736816406,-368.48846435546875,1722.96840547619,1642.9128194979298,96.30946350097656,361.077880859375
253.0,253,23313.49938750267,1.0,0.11052310466766357,253.0,0.2228095382452011,1474.2335208383565,0.8302605152130127,0.6689181327819824,0.0,0.1611635386943817,-0.04313955828547478,264.3612365722656,10.852081697165636,949.5341526958339,253000,2.095365047454834,4.510254383087158,0.05787910893559456,1000.0,4.280576229095459,384.0847473144531,0.8477134704589844,0.0211056883401964,253.0,361.76318359375,-368.5581359863281,1680.3433194680183,1645.4002126794187,162.80072021484375,363.8013610839844
254.0,254,23345.800310134888,1.0,0.07415085285902023,254.0,0.18320383876562119,1488.5611252204353,0.796834409236908,0.6691345572471619,0.0,0.10096164792776108,-0.043478481471538544,264.84100341796875,10.879901165338651,954.2393667895618,254000,2.095794200897217,4.266809463500977,0.0580320842564106,1000.0,4.331378936767578,382.99151611328125,0.8521153926849365,0.020689822899908242,254.0,361.56402587890625,-368.3583679199219,1515.1218269297956,1643.304786977854,41.03826141357422,363.1844482421875
255.0,255,23378.214021205902,1.0,0.07432743161916733,255.0,0.18043337017297745,1489.1744642859676,0.81163090467453,0.6691076159477234,0.0,0.1370663344860077,-0.04429877549409866,265.2994079589844,10.907591134579173,955.9613697427825,255000,2.096135377883911,4.050112724304199,0.057952236384153366,1000.0,4.27665376663208,384.87884521484375,0.8747462034225464,0.0211056883401964,255.0,360.261474609375,-368.3752746582031,1660.7462541280452,1644.8130260592816,102.46171569824219,361.7928466796875
256.0,256,23410.448806285858,1.0,0.12833301723003387,256.0,0.2099767103791237,1491.6172500215266,0.8405504822731018,0.6691057085990906,0.0,0.16730152070522308,-0.04488397762179375,265.772216796875,10.93528800401564,959.2879134562477,256000,2.095494508743286,4.882897853851318,0.058053385466337204,1000.0,4.806436061859131,384.91705322265625,0.7954580187797546,0.021962663920618616,256.0,359.3074645996094,-368.172607421875,1716.8960300257884,1644.1549607898323,123.12556457519531,361.68121337890625
257.0,257,23442.721959352493,1.0,-0.010590623132884502,257.0,0.21256345510482788,1498.8163879813949,0.83293616771698,0.6690661311149597,0.0,0.06278985738754272,-0.04533062130212784,266.240478515625,10.962890761815721,963.3003928772124,257000,2.094595432281494,4.170098304748535,0.058130405843257904,1000.0,3.9805777072906494,385.5600891113281,0.8212085366249084,0.020689822899908242,257.0,359.5155944824219,-366.9149475097656,1872.9357802497966,1645.9932520017476,119.36882781982422,361.3712463378906
