eval/episodes,train/loss_critic,eval/return_history,reference_action_mean,rollout/episode_steps,rollout/actions_mean,rollout/episodes,train/param_noise_distance,eval/return,rollout/Q_mean,reference_actor_Q_mean,rollout/return_history,reference_perturbed_action_mean,total/duration,obs_rms_mean,ret_rms_std,eval/Q,rollout/return,total/epochs,reference_perturbed_action_std,train/loss_actor,rollout/actions_std,total/steps_per_second,total/episodes,total/steps,reference_action_std,reference_Q_mean,reference_actor_Q_std,reference_Q_std,obs_rms_std,param_noise_stddev,ret_rms_mean
31.0,14.198071479797363,-40.686114185986945,0.336586594581604,1000.0,0.2100995033979416,31.0,0.22270623594522476,476.9033039688542,88.86030578613281,159.36715698242188,-82.67055281468234,0.3051396608352661,1247.5890617370605,0.09350962936878204,1.0,164.6231231689453,-82.67055281468234,31,0.7176618576049805,-149.82249450683594,0.7659341096878052,24.84792545138032,31.0,31000,0.6780785918235779,157.839111328125,2.81601619720459,2.775197982788086,1.8698662519454956,0.019490749081111935,0.0
32.0,15.118705749511719,-20.749013121811128,0.31153634190559387,1000.0,0.21532653272151947,32.0,0.20543251931667328,597.301119867639,91.28926086425781,160.8120574951172,-58.269859458624325,0.46420642733573914,1287.659339427948,0.0943247526884079,1.0,165.92674255371094,-58.269859458624325,32,0.5851891040802002,-153.31085205078125,0.7639605402946472,24.851293366315527,32.0,32000,0.6524294018745422,159.68077087402344,2.3325510025024414,2.3848841190338135,1.8672374486923218,0.019882513137642284,0.0
33.0,11.420034408569336,-16.87531705330824,0.4290138781070709,1000.0,0.22291691601276398,33.0,0.19953936338424683,107.0829571387842,93.60449981689453,161.22451782226562,-37.549436236375065,0.42065557837486267,1327.8354630470276,0.09556423127651215,1.0,160.64381408691406,-37.549436236375065,33,0.6073446273803711,-155.3501434326172,0.762462317943573,24.852476770181916,33.0,33000,0.6103169918060303,159.88499450683594,2.186333179473877,2.1877126693725586,1.866852045059204,0.0211056883401964,0.0
34.0,11.256402969360352,10.00209608313298,0.2986077070236206,1000.0,0.22923338413238525,34.0,0.21696678549051285,896.9567295856932,95.46842956542969,160.42933654785156,-38.03591222519678,0.306558758020401,1368.1600089073181,0.09703551977872849,1.0,167.6023712158203,-38.03591222519678,34,0.6684971451759338,-155.67123413085938,0.7607794404029846,24.850894470416602,34.0,34000,0.6765558123588562,159.33277893066406,2.896016836166382,3.0145602226257324,1.8695367574691772,0.019882513137642284,0.0
35.0,16.813068389892578,38.91212582999413,0.36857590079307556,1000.0,0.2317083179950714,35.0,0.17150987684726715,1021.8531372232735,97.59468841552734,162.70965576171875,-14.008523192464878,0.4193173348903656,1408.1641643047333,0.0976453423500061,1.0,172.299072265625,-14.008523192464878,35,0.6198488473892212,-157.50462341308594,0.7603946328163147,24.855056595820198,35.0,35000,0.6385207176208496,161.3775634765625,2.8812716007232666,2.9050073623657227,1.8728747367858887,0.020282151651708893,0.0
36.0,21.25751304626465,62.208125815713046,0.427988201379776,1000.0,0.23543979227542877,36.0,0.1984172984957695,877.5681253158749,99.67508697509766,164.22467041015625,10.82399260219955,0.2673614025115967,1448.3592264652252,0.09792788326740265,1.0,174.32969665527344,10.82399260219955,36,0.70265793800354,-158.87469482421875,0.7593502998352051,24.855712134246794,36.0,36000,0.5938936471939087,162.7744903564453,3.1153666973114014,3.288717746734619,1.8755569458007812,0.019106704324195603,0.0
37.0,9.43805980682373,93.65853909749539,0.3888188898563385,1000.0,0.23625333607196808,37.0,0.18541236221790314,1225.87341724166,101.71751403808594,167.09178161621094,33.96564421845712,0.373690128326416,1488.3174602985382,0.09845506399869919,1.0,178.45555114746094,33.96564421845712,37,0.6517630815505981,-162.08843994140625,0.7580633163452148,24.860287530711528,37.0,37000,0.6759892106056213,165.6800537109375,3.117683172225952,3.2190914154052734,1.8742352724075317,0.019882513137642284,0.0
38.0,29.842317581176758,104.9495225170797,0.1774240881204605,1000.0,0.23969361186027527,38.0,0.19710083305835724,522.7159090416988,103.7822494506836,170.49197387695312,63.40731077183273,0.27250024676322937,1528.439890384674,0.09955038130283356,1.0,178.31993103027344,63.40731077183273,38,0.728334367275238,-165.5625457763672,0.7575597167015076,24.86195253019486,38.0,38000,0.7511116862297058,168.7930908203125,3.297049045562744,3.4176619052886963,1.878117561340332,0.020282151651708893,0.0
39.0,23.810718536376953,135.69766012299297,0.23234057426452637,1000.0,0.24318671226501465,39.0,0.20341657102108002,1304.126889147698,105.8807144165039,175.12026977539062,89.9055714434792,0.19956375658512115,1568.5321309566498,0.10117640346288681,1.0,188.1961669921875,89.9055714434792,39,0.7522355914115906,-171.63211059570312,0.7572694420814514,24.864010899294648,39.0,39000,0.745445191860199,173.65036010742188,3.2584192752838135,3.250704288482666,1.8761729001998901,0.019882513137642284,0.0
40.0,14.94278335571289,159.2387003693121,0.23996466398239136,1000.0,0.2449759989976883,40.0,0.19389097392559052,1077.3392699757574,107.89563751220703,179.97061157226562,108.80876231184918,0.3020893931388855,1608.668292760849,0.10253798961639404,1.0,193.7135467529297,108.80876231184918,40,0.7371472716331482,-176.91983032226562,0.7572243809700012,24.865287753854272,40.0,40000,0.7558746933937073,178.23141479492188,3.1532225608825684,3.15878963470459,1.891351342201233,0.020282151651708893,0.0
41.0,29.838172912597656,175.19218339486702,0.21029441058635712,1000.0,0.24602006375789642,41.0,0.21404771506786346,813.3315044170629,109.93413543701172,183.7471923828125,125.30575670094197,0.28592434525489807,1648.6890699863434,0.10340722650289536,1.0,193.38690185546875,125.30575670094197,41,0.7158340215682983,-181.37283325195312,0.7565964460372925,24.86824274290823,41.0,41000,0.7635239958763123,182.06651306152344,3.19498348236084,3.351696014404297,1.898970603942871,0.019882513137642284,0.0
42.0,19.686132431030273,200.10140264950255,0.21787285804748535,1000.0,0.2486644834280014,42.0,0.15459821000695229,1221.3793920895594,111.98870086669922,188.400390625,141.9389544333516,0.21090249717235565,1688.8474555015564,0.10448335111141205,1.0,204.29867553710938,141.9389544333516,42,0.7430567145347595,-187.0619354248047,0.7562869787216187,24.869031162750446,42.0,42000,0.7470137476921082,186.96102905273438,3.293199300765991,3.560183048248291,1.9091812372207642,0.019882513137642284,0.0
43.0,25.740707397460938,216.28255116362274,0.15050767362117767,1000.0,0.2502410113811493,43.0,0.23717998713254929,895.8907887566713,114.12162780761719,193.90347290039062,161.87519200052694,0.12614290416240692,1728.8495585918427,0.10527750104665756,1.0,204.1902313232422,161.87519200052694,43,0.7990368604660034,-193.35751342773438,0.756152868270874,24.872031106641654,43.0,43000,0.7823402285575867,192.16415405273438,3.2810919284820557,3.308143377304077,1.9187626838684082,0.017999379770019416,0.0
44.0,31.35538101196289,238.61670569209116,0.18576772511005402,1000.0,0.25225237011909485,44.0,0.18761012703180313,1198.985350416233,116.38185119628906,199.07179260253906,186.02979516447996,0.17465995252132416,1768.9054958820343,0.10642436891794205,1.0,216.34912109375,186.02979516447996,44,0.7980728149414062,-199.275390625,0.7568670511245728,24.87413833154504,44.0,44000,0.7857164740562439,197.6578826904297,3.228787899017334,3.4129114151000977,1.9183003902435303,0.017999379770019416,0.0
45.0,28.365835189819336,247.74042560191856,0.11963363736867905,1000.0,0.25438398122787476,45.0,0.18295245617628098,649.1841016343249,118.5971450805664,204.88510131835938,206.9405507326738,0.16506625711917877,1808.9960660934448,0.10734298825263977,1.0,212.2478485107422,206.9405507326738,45,0.7715513706207275,-205.5253143310547,0.7570579648017883,24.875675985950704,45.0,45000,0.7863225340843201,203.22805786132812,2.92366361618042,2.784942388534546,1.9248771667480469,0.017999379770019416,0.0
46.0,37.97011947631836,264.9474192477939,0.1364673227071762,1000.0,0.2567354738712311,46.0,0.21178479492664337,1039.2621333121845,120.8740005493164,209.6892852783203,228.53807160275122,0.055079516023397446,1849.0320518016815,0.1082281693816185,1.0,224.28045654296875,228.53807160275122,46,0.8009162545204163,-211.3096160888672,0.7562564611434937,24.877881351585,46.0,46000,0.8036819100379944,207.89102172851562,3.180929660797119,3.11494779586792,1.9263770580291748,0.017999379770019416,0.0
47.0,28.684404373168945,281.7843430059001,0.09670539945363998,1000.0,0.25341805815696716,47.0,0.19652289152145386,1056.2828358787872,122.89208221435547,215.64273071289062,235.86526112426785,0.09808540344238281,1889.0733790397644,0.1079675629734993,1.0,229.15304565429688,235.86526112426785,47,0.8054437637329102,-216.98419189453125,0.7566857933998108,24.879922887850228,47.0,47000,0.8171574473381042,213.9080810546875,3.4017412662506104,3.12125563621521,1.945261836051941,0.017644720880324885,0.0
48.0,18.618545532226562,298.7207284456578,0.1353079080581665,1000.0,0.25338464975357056,48.0,0.18697436898946762,1094.7308441142661,125.04129028320312,220.50746154785156,247.62724349578738,0.1270732283592224,1929.943046092987,0.10867041349411011,1.0,235.05149841308594,247.62724349578738,48,0.8068792223930359,-222.48312377929688,0.7564271092414856,24.871200265299073,48.0,48000,0.8181318640708923,218.51963806152344,3.49782657623291,3.383180856704712,1.9541501998901367,0.018730226766195082,0.0
49.0,19.569278717041016,317.0655876494327,0.19819891452789307,1000.0,0.25582998991012573,49.0,0.18547505885362625,1197.6188294306291,127.40302276611328,225.53750610351562,266.523176016871,0.18142522871494293,1970.8890807628632,0.1089293360710144,1.0,244.0550994873047,266.523176016871,49,0.8109520673751831,-228.44969177246094,0.7563251256942749,24.86187603263487,49.0,49000,0.8010775446891785,223.76736450195312,3.331434488296509,3.0688109397888184,1.9574699401855469,0.017999379770019416,0.0
50.0,62.15232467651367,334.83802236031255,0.12460882216691971,1000.0,0.2570974826812744,50.0,0.20084932446479797,1205.6873231934226,129.61416625976562,231.55731201171875,278.463942720595,0.1329805850982666,2011.7233448028564,0.10979903489351273,1.0,249.7391815185547,278.463942720595,50,0.8184788227081299,-234.24559020996094,0.7566985487937927,24.854312164329865,50.0,50000,0.8341575860977173,229.47738647460938,3.1327362060546875,2.9537978172302246,1.9773615598678589,0.017644720880324885,0.0
51.0,46.2164192199707,352.3121693892889,0.1699998378753662,1000.0,0.2593041956424713,51.0,0.20536930114030838,1226.01952083811,131.95651245117188,236.96824645996094,294.1755243253815,0.25082021951675415,2052.3957319259644,0.11043833196163177,1.0,252.9107208251953,294.1755243253815,51,0.8107690811157227,-239.9720458984375,0.7568997740745544,24.84900899308619,51.0,51000,0.8084652423858643,235.06764221191406,3.2110507488250732,2.874413251876831,1.9798685312271118,0.017999379770019416,0.0
52.0,37.007572174072266,369.693778629981,0.1543010175228119,1000.0,0.2617340385913849,52.0,0.20095795392990112,1256.1558499052783,134.33497619628906,241.87283325195312,313.16859532277454,0.150459423661232,2092.484112739563,0.11174994707107544,1.0,256.6191101074219,313.16859532277454,52,0.8296712040901184,-244.44009399414062,0.7571614384651184,24.85084578822419,52.0,52000,0.8335994482040405,240.16494750976562,2.8636081218719482,2.6016595363616943,1.9793299436569214,0.018361167303396805,0.0
53.0,32.402931213378906,388.1606100388127,0.18863864243030548,1000.0,0.26211386919021606,53.0,0.17453139275312424,1348.4358432980612,136.58615112304688,243.79937744140625,327.07782210110327,0.22824133932590485,2132.621861219406,0.11258969455957413,1.0,259.32421875,327.07782210110327,53,0.7962939739227295,-246.51278686523438,0.7573826313018799,24.85203821820305,53.0,53000,0.8102186322212219,241.99966430664062,2.893829584121704,2.511355400085449,1.989349126815796,0.019106704324195603,0.0
54.0,45.7940559387207,406.4378189907805,0.2490159273147583,1000.0,0.2644370198249817,54.0,0.18792734295129776,1375.1298934450701,138.87095642089844,245.37606811523438,345.8717008934262,0.21380974352359772,2172.635059595108,0.11407201737165451,1.0,260.38531494140625,345.8717008934262,54,0.826278030872345,-248.54612731933594,0.7575943470001221,24.854611344651428,54.0,54000,0.8164310455322266,243.35223388671875,2.484365463256836,2.496241807937622,1.9919466972351074,0.018730226766195082,0.0
55.0,51.719940185546875,420.04732516821133,0.286467045545578,1000.0,0.2668316662311554,55.0,0.22569205611944199,1154.9606587494777,141.09274291992188,247.26956176757812,363.83054128377114,0.2820185422897339,2212.7222361564636,0.11499575525522232,1.0,259.6595153808594,363.83054128377114,55,0.8273271322250366,-250.25274658203125,0.7577069401741028,24.856260357167983,55.0,55000,0.8278059363365173,245.41859436035156,2.2516326904296875,2.039551258087158,1.9927729368209839,0.018730226766195082,0.0
