ret_rms_mean,eval/return,reference_action_std,eval/return_history,rollout/return_history,train/param_noise_distance,reference_Q_std,ret_rms_std,rollout/episodes,eval/episodes,reference_perturbed_action_mean,obs_rms_mean,total/steps,rollout/return,reference_action_mean,total/epochs,reference_actor_Q_std,eval/Q,total/duration,reference_actor_Q_mean,train/loss_actor,reference_perturbed_action_std,obs_rms_std,rollout/episode_steps,param_noise_stddev,rollout/Q_mean,total/episodes,reference_Q_mean,rollout/actions_std,total/steps_per_second,rollout/actions_mean,train/loss_critic
0.0,-397.3039506501206,0.8354450464248657,-418.73382852396355,-455.4013459605485,0.28221702575683594,2.6636462211608887,1.0,11.0,11.0,0.2870451509952545,0.09573223441839218,11000,-455.4013459605485,0.24127422273159027,11,2.8239500522613525,-2.2029218673706055,125.98835706710815,-5.589322566986084,5.612917900085449,0.8087857961654663,1.077601432800293,1000.0,0.0477256850533856,-2.5594348907470703,11.0,-6.2174763679504395,0.7142879962921143,87.30965508297572,0.41699060797691345,0.17423969507217407
0.0,129.0639422609815,0.8747876882553101,-373.08401429188484,-453.9475329846898,0.29265308380126953,2.5511178970336914,1.0,12.0,12.0,0.020572582259774208,0.08926060050725937,12000,-453.9475329846898,0.041625022888183594,12,2.6184051036834717,-1.3210668563842773,137.2910885810852,-5.712053298950195,5.273685932159424,0.8642474412918091,1.130100965499878,1000.0,0.04235412222587577,-2.4472007751464844,12.0,-6.4207305908203125,0.7245267629623413,87.40552736540293,0.40199580788612366,0.16269022226333618
0.0,-346.44392546263526,0.855990469455719,-371.03477668963484,-381.69650650996414,0.2503952383995056,1.8250325918197632,1.0,13.0,13.0,-0.01907988451421261,0.09081628173589706,13000,-381.69650650996414,-0.0081193121150136,13,1.6783839464187622,-6.816498279571533,148.8325901031494,-5.158478260040283,4.225802421569824,0.8342381715774536,1.2271422147750854,1000.0,0.039113321278561465,-2.1914074420928955,13.0,-5.857475280761719,0.7194637656211853,87.34646081876465,0.401054322719574,0.12901915609836578
0.0,598.5732257015237,0.8633964657783508,-301.77706223312356,-348.6718268870098,0.15908287465572357,1.4705944061279297,1.0,14.0,14.0,0.16980962455272675,0.09004724025726318,14000,-348.6718268870098,0.06314299255609512,14,1.6920642852783203,5.301907062530518,160.2106432914734,-4.831772804260254,2.8454184532165527,0.8689592480659485,1.3155937194824219,1000.0,0.039899499036260555,-1.9779176712036133,14.0,-5.5730133056640625,0.7191194891929626,87.3849559078894,0.3965253531932831,0.2076553851366043
0.0,693.5804327203338,0.8943834900856018,-235.41989590289307,-303.2675605308342,0.20744988322257996,2.641012668609619,1.0,15.0,15.0,0.014742672443389893,0.09060970693826675,15000,-303.2675605308342,0.07310453802347183,15,3.155780792236328,8.946869850158691,171.6134912967682,-3.5865063667297363,0.7301118969917297,0.876333475112915,1.3462203741073608,1000.0,0.03834263432855746,-1.3786014318466187,15.0,-4.6451921463012695,0.7150449752807617,87.40571552186864,0.3977532684803009,0.2721344828605652
0.0,739.4583552394483,0.8899284601211548,-174.4900052064967,-229.72108321039084,0.2518223226070404,3.864995241165161,1.0,16.0,16.0,-0.05972016975283623,0.0914597436785698,16000,-229.72108321039084,-0.059162382036447525,16,4.244706153869629,12.700319290161133,183.07846879959106,-1.6554267406463623,-2.4802091121673584,0.8536580801010132,1.396794319152832,1000.0,0.0368465179454358,-0.6122147440910339,16.0,-2.6751456260681152,0.7089734077453613,87.39422011178488,0.39439818263053894,0.2921490967273712
0.0,1038.343495026896,0.8367092609405518,-103.14685813394419,-185.3870266812494,0.19877386093139648,4.882569313049316,1.0,17.0,17.0,0.1689901202917099,0.08999983966350555,17000,-185.3870266812494,0.12017665058374405,17,5.497729778289795,17.24589729309082,194.6099991798401,0.11808697134256363,-5.134528636932373,0.8370020985603333,1.417682409286499,1000.0,0.037587132956139066,0.2617045044898987,17.0,-1.0446466207504272,0.7055751085281372,87.35419593877195,0.38784271478652954,0.33844733238220215
0.0,1176.981585269116,0.8436917662620544,-32.02861127821862,-166.89860337633775,0.22080224752426147,6.434493064880371,1.0,18.0,18.0,-0.01813407801091671,0.08718384057283401,18000,-166.89860337633775,0.057074595242738724,18,6.922361373901367,21.250873565673828,206.10661482810974,2.0905418395996094,-8.24124813079834,0.8334265947341919,1.4165363311767578,1000.0,0.03834263432855746,1.0561177730560303,18.0,1.0741732120513916,0.7098454833030701,87.33344155408,0.3719574511051178,0.5502986311912537
0.0,960.5654256214139,0.8464374542236328,20.213180137551515,-112.91015052740676,0.20540015399456024,7.639730930328369,1.0,19.0,19.0,0.069923035800457,0.08697222173213959,19000,-112.91015052740676,0.14063790440559387,19,8.105145454406738,25.277475357055664,217.37125849723816,3.3386356830596924,-10.877568244934082,0.8273171782493591,1.435099720954895,1000.0,0.03612049597631193,2.180807590484619,19.0,2.365630626678467,0.7058517932891846,87.4080599769882,0.36579573154449463,0.2827807664871216
0.0,1122.551112587376,0.8353124856948853,75.33007676004274,-64.93299495054524,0.21181124448776245,9.38977336883545,1.0,20.0,20.0,0.03627082705497742,0.08594436943531036,20000,-64.93299495054524,0.06651345640420914,20,10.073545455932617,29.63667106628418,228.51365900039673,5.533227920532227,-14.433014869689941,0.8125717043876648,1.490431547164917,1000.0,0.03612049597631193,3.385652780532837,20.0,4.323304176330566,0.7052692174911499,87.52212050468842,0.3549705445766449,1.182605266571045
