total/episodes,reference_perturbed_action_std,reference_actor_Q_mean,reference_Q_mean,rollout/Q_mean,eval/return_history,train/loss_actor,total/steps,rollout/episode_steps,rollout/actions_mean,eval/Q,total/duration,total/steps_per_second,train/param_noise_distance,ret_rms_std,rollout/return_history,eval/return,reference_actor_Q_std,reference_action_std,rollout/actions_std,param_noise_stddev,reference_perturbed_action_mean,reference_Q_std,obs_rms_std,eval/episodes,train/loss_critic,rollout/return,obs_rms_mean,total/epochs,rollout/episodes,ret_rms_mean,reference_action_mean
755.0,0.8812069296836853,40.901248931884766,40.62468719482422,238.86041259765625,1215.3294409543719,-294.8623352050781,755000,1000.0,-0.045752570033073425,316.3753356933594,8723.81402516365,86.54471516955991,0.2578868567943573,1.0,1203.3598453672062,1798.1875758643932,161.16253662109375,0.8903841972351074,0.7401235103607178,0.019882513137642284,0.32020819187164307,159.70013427734375,2.3884801864624023,755.0,75.29698181152344,1044.8727275293795,0.1847297102212906,755,755.0,0.0,0.3027817904949188
756.0,0.8984571099281311,40.500343322753906,40.1533088684082,238.96449279785156,1219.3890683061736,-296.5782470703125,756000,1000.0,-0.04585825279355049,315.88641357421875,8735.281506538391,86.54557949095643,0.1805752068758011,1.0,1212.3463490595082,1707.83059326228,161.3900909423828,0.8961464762687683,0.7399579882621765,0.020282151651708893,0.3190862238407135,159.9866180419922,2.3885345458984375,756.0,135.6421661376953,1046.0820832810364,0.18477103114128113,756,756.0,0.0,0.3141731917858124
757.0,0.9001889824867249,38.46996307373047,38.03648376464844,239.06729125976562,1224.721180616528,-296.7726745605469,757000,1000.0,-0.04597898945212364,316.64013671875,8746.857700109482,86.54536588499946,0.24580484628677368,1.0,1217.5956364866956,1718.052139090827,162.26600646972656,0.8974261283874512,0.7398465871810913,0.019882513137642284,0.283460408449173,161.1171112060547,2.3881843090057373,757.0,189.98648071289062,1046.8847546025738,0.18480096757411957,757,757.0,0.0,0.3074718415737152
758.0,0.8774826526641846,37.50115203857422,37.28430938720703,239.1691436767578,1228.3638839724538,-295.2987060546875,758000,1000.0,-0.046158526092767715,314.77496337890625,8758.347363710403,86.54600788508569,0.19155095517635345,1.0,1220.7111726338942,1474.5232044207376,162.47958374023438,0.7999152541160583,0.7398067116737366,0.020689822899908242,0.3383750915527344,160.9717559814453,2.3876686096191406,758.0,96.38651275634766,1047.649695517328,0.1848403364419937,758,758.0,0.0,0.4061693847179413
759.0,0.8478206992149353,37.16981506347656,36.69755935668945,239.26744079589844,1229.069041545647,-296.2221374511719,759000,1000.0,-0.04613898694515228,315.7288513183594,8769.850552558899,86.54651472692841,0.17403526604175568,1.0,1225.2816699717443,1489.9173743999308,162.44285583496094,0.8865349292755127,0.7398570775985718,0.019490749081111935,0.3516784608364105,161.21961975097656,2.3875977993011475,759.0,72.2577133178711,1048.0563607948793,0.1848762035369873,759,759.0,0.0,0.3211974799633026
760.0,0.8821643590927124,38.196441650390625,37.48790740966797,239.36572265625,1230.4178323597373,-293.4822692871094,760000,1000.0,-0.04618389159440994,316.0319519042969,8781.394713401794,86.54661643213919,0.1883063018321991,1.0,1225.7829620157308,1488.8724979098647,162.3178253173828,0.892985463142395,0.7398674488067627,0.019882513137642284,0.3323725163936615,161.4560089111328,2.3875184059143066,760.0,97.34600830078125,1048.3994809266574,0.18489797413349152,760,760.0,0.0,0.31253504753112793
761.0,0.8952531814575195,38.27280807495117,37.83721160888672,239.46681213378906,1234.6045676857707,-297.75079345703125,761000,1000.0,-0.04607273265719414,317.7379455566406,8793.054329156876,86.5455814911323,0.1610121726989746,1.0,1228.163561584307,1723.2664063604614,162.6147918701172,0.8947062492370605,0.7397681474685669,0.018361167303396805,0.3214775025844574,161.20281982421875,2.3871400356292725,761.0,192.34669494628906,1049.013396626578,0.18495582044124603,761,761.0,0.0,0.31084543466567993
762.0,0.8895835876464844,37.05266571044922,36.40928649902344,239.56858825683594,1237.2136052799115,-295.28778076171875,762000,1000.0,-0.045893941074609756,316.6021423339844,8804.865016698837,86.54306438029788,0.1735004037618637,1.0,1230.169587009383,1649.927730131593,163.48817443847656,0.8789359927177429,0.7396885752677917,0.019490749081111935,0.2985694408416748,162.35987854003906,2.3869266510009766,762.0,158.06256103515625,1049.7221573923953,0.18502593040466309,762,762.0,0.0,0.3081412613391876
763.0,0.7496134042739868,37.48813247680664,36.58892059326172,239.66966247558594,1251.411758230446,-296.4610595703125,763000,1000.0,-0.04602877050638199,317.7896728515625,8816.601141691208,86.54128589213244,0.20193332433700562,1.0,1231.687862706898,1699.1357380378963,163.37681579589844,0.7646448016166687,0.7395597100257874,0.018361167303396805,0.5063671469688416,162.15028381347656,2.3866336345672607,763.0,68.60672760009766,1050.426583352934,0.18505898118019104,763,763.0,0.0,0.5278077721595764
764.0,0.7670645117759705,37.869476318359375,37.02284240722656,239.77133178710938,1252.7135645909825,-297.3458251953125,764000,1000.0,-0.04625922068953514,315.4907531738281,8828.301128387451,86.53986637852144,0.20412276685237885,1.0,1234.9094612748,1460.3062958131295,163.82815551757812,0.760703980922699,0.7394503355026245,0.019882513137642284,0.5104432106018066,162.63206481933594,2.3862199783325195,764.0,202.59124755859375,1051.2519990410017,0.18509481847286224,764,764.0,0.0,0.4995022714138031
765.0,0.8907285332679749,38.499732971191406,37.71189498901367,239.8690643310547,1255.6859972254094,-295.8219909667969,765000,1000.0,-0.04648736119270325,317.626220703125,8840.035472869873,86.53811428107839,0.19654133915901184,1.0,1234.3578018782985,1629.3527625153133,164.2268829345703,0.8867858648300171,0.7394060492515564,0.018730226766195082,0.3254038393497467,163.2725372314453,2.386040687561035,765.0,8.219831466674805,1051.683694205816,0.18507793545722961,765,765.0,0.0,0.32835763692855835
766.0,0.9001098275184631,37.89323806762695,36.5697135925293,239.96884155273438,1260.2231881842072,-298.5043640136719,766000,1000.0,-0.04662592336535454,318.8065490722656,8851.786478281021,86.53620394927938,0.19825652241706848,1.0,1234.4022826650476,1694.6596783690115,164.4352569580078,0.8971582651138306,0.7393305897712708,0.017999379770019416,0.31134510040283203,163.3656463623047,2.385775327682495,766.0,70.8445816040039,1052.1876055814532,0.18513040244579315,766,766.0,0.0,0.3227430582046509
