total/steps,train/param_noise_distance,rollout/return_history,eval/return,rollout/Q_mean,rollout/actions_mean,total/epochs,reference_actor_Q_std,rollout/actions_std,reference_actor_Q_mean,total/duration,reference_Q_std,train/loss_actor,reference_action_std,eval/return_history,obs_rms_mean,ret_rms_mean,reference_action_mean,rollout/episodes,ret_rms_std,train/loss_critic,total/steps_per_second,total/episodes,obs_rms_std,reference_Q_mean,eval/episodes,rollout/episode_steps,rollout/return,eval/Q
23000,0.0,-1.4108586550469153,1170.858313662099,60.533077239990234,-0.028875377029180527,23,103.2953109741211,0.7206688523292542,114.11784362792969,921.0467429161072,102.65691375732422,-125.3110122680664,0.7908382415771484,83.70209691469135,0.10653077065944672,0.0,-0.18875600397586823,23.0,1.0,6.914929389953613,24.97158822491481,23.0,2.3900158405303955,113.09581756591797,23.0,1000.0,-1.4108586550469153,202.20875549316406
24000,0.0,39.45324746625831,469.73621277724897,66.63465118408203,-0.020876677706837654,24,109.79823303222656,0.717410683631897,117.22482299804688,961.0437533855438,109.1770248413086,-131.1758575439453,0.7254714369773865,99.78685174229793,0.10914942622184753,0.0,-0.35295966267585754,24.0,1.0,8.839524269104004,24.972848442595176,24.0,2.4139246940612793,116.26698303222656,24.0,1000.0,39.45324746625831,158.56082153320312
25000,0.0,40.2831919667441,1090.6587542914338,66.89804077148438,-0.028965026140213013,25,117.59636688232422,0.7213762998580933,123.53814697265625,1001.012699842453,117.05655670166016,-133.69900512695312,0.7947320938110352,139.42172784426336,0.1091654822230339,0.0,-0.20846672356128693,25.0,1.0,26.267623901367188,24.97470811702458,25.0,2.3967392444610596,122.32416534423828,25.0,1000.0,40.2831919667441,220.98805236816406
26000,0.0,71.61250185070374,882.650175448229,73.0134048461914,-0.019059939309954643,26,124.91667175292969,0.719302773475647,127.68351745605469,1040.9520723819733,124.05855560302734,-144.89584350585938,0.7086017727851868,168.0074373674928,0.11175588518381119,0.0,-0.46162018179893494,26.0,1.0,20.360164642333984,24.97713457691201,26.0,2.4158263206481934,126.5053482055664,26.0,1000.0,71.61250185070374,215.9530029296875
27000,0.0,66.41105947324591,-237.5489499683967,71.91561126708984,-0.026599332690238953,27,132.57981872558594,0.7224360108375549,134.72015380859375,1080.9148633480072,131.63919067382812,-147.36703491210938,0.7671806216239929,152.98683042912654,0.11154917627573013,0.0,-0.3889155089855194,27.0,1.0,29.187335968017578,24.978840531779404,27.0,2.3971457481384277,132.98741149902344,27.0,1000.0,66.41105947324591,23.7803955078125
28000,0.0,62.927611543082705,-288.1842925111684,71.23385620117188,-0.025461779907345772,28,137.08364868164062,0.72723388671875,140.87698364257812,1120.8066244125366,136.07774353027344,-148.64404296875,0.8048701286315918,137.23071889554458,0.11329947412014008,0.0,-0.2865411937236786,28.0,1.0,25.897687911987305,24.982007948673587,28.0,2.3837475776672363,139.35401916503906,28.0,1000.0,62.927611543082705,17.543310165405273
29000,0.0,76.51558888104682,341.16023749098593,77.46995544433594,-0.02806391380727291,29,141.59478759765625,0.7255904674530029,146.86334228515625,1160.7753574848175,140.6562957763672,-157.43252563476562,0.8267645239830017,144.26277126090463,0.11227470636367798,0.0,-0.2803860008716583,29.0,1.0,19.042503356933594,24.9833008712707,29.0,2.382413148880005,145.34487915039062,29.0,1000.0,76.51558888104682,140.84295654296875
30000,0.0,100.03301993862479,687.7647134404258,83.64551544189453,-0.02110143005847931,30,144.01885986328125,0.7232692837715149,150.43881225585938,1201.2902028560638,142.74302673339844,-166.6886749267578,0.898636519908905,162.37950266688867,0.11404021084308624,0.0,0.029707754030823708,30.0,1.0,41.0365104675293,24.973149642505273,30.0,2.3874006271362305,148.4446258544922,30.0,1000.0,100.03301993862479,266.4042053222656
31000,0.0,115.45163849418978,104.62983743228956,89.60092163085938,-0.01752256602048874,31,147.05685424804688,0.7214912176132202,154.46701049804688,1241.9832892417908,146.35751342773438,-173.0567626953125,0.8242784738540649,160.51661023996613,0.11499577760696411,0.0,0.14723841845989227,31.0,1.0,11.857388496398926,24.96007818182881,31.0,2.3953568935394287,153.205078125,31.0,1000.0,115.45163849418978,267.6862487792969
32000,0.0,122.68978845931879,904.748001847144,95.28577423095703,-0.016526848077774048,32,148.32725524902344,0.7187355160713196,156.89889526367188,1282.2067799568176,147.20425415039062,-181.17893981933594,0.8648440837860107,183.7738412276904,0.11371681839227676,0.0,0.11255917698144913,32.0,1.0,22.710693359375,24.95697300951544,32.0,2.389221668243408,155.20790100097656,32.0,1000.0,122.68978845931879,277.0873107910156
33000,0.0,142.42656743284638,403.60875585260874,100.83258056640625,-0.01314238179475069,33,148.56216430664062,0.7154895663261414,159.88800048828125,1322.0255901813507,147.9555206298828,-187.51438903808594,0.8569742441177368,190.4355053072334,0.11476626992225647,0.0,0.10072463750839233,33.0,1.0,13.29503059387207,24.961695329568606,33.0,2.3879587650299072,158.73233032226562,33.0,1000.0,142.42656743284638,276.8614807128906
34000,0.0,130.3255694887208,840.2340446389092,98.0517349243164,-0.0067262910306453705,34,143.5648193359375,0.7183618545532227,165.57479858398438,1362.0328805446625,143.3702850341797,-187.04159545898438,0.803199827671051,209.54722705228266,0.11699047684669495,0.0,0.302385538816452,34.0,1.0,34.827632904052734,24.962686647038772,34.0,2.370635747909546,164.4322967529297,34.0,1000.0,130.3255694887208,281.4678039550781
35000,0.0,142.24257492403282,310.806006233874,103.2708740234375,-0.006429912056773901,35,142.03729248046875,0.7150945067405701,167.5324249267578,1402.0391051769257,141.64126586914062,-191.85121154785156,0.8627783060073853,212.44033502889957,0.11685030907392502,0.0,0.008608867414295673,35.0,1.0,36.30378723144531,24.963640365497003,35.0,2.371004104614258,166.3824920654297,35.0,1000.0,142.24257492403282,279.4688720703125
36000,0.0,151.8488274322245,138.02557808601813,108.18683624267578,-0.0025762312579900026,36,140.54336547851562,0.7132113575935364,169.01144409179688,1441.8827109336853,140.10911560058594,-195.15704345703125,0.8554995656013489,210.37325844715284,0.11673328280448914,0.0,-0.07992950826883316,36.0,1.0,14.094856262207031,24.967356725352747,36.0,2.3769571781158447,167.4521484375,36.0,1000.0,151.8488274322245,278.2445068359375
37000,0.0,161.83357449542456,325.20118400584,112.8869857788086,-0.00023258195142261684,37,140.73109436035156,0.7115209698677063,172.06797790527344,1481.770416021347,140.34750366210938,-198.5499267578125,0.8504153490066528,213.47671589468493,0.11677046865224838,0.0,-0.09880655258893967,37.0,1.0,21.2353515625,24.97013005519943,37.0,2.387349843978882,171.08648681640625,37.0,1000.0,161.83357449542456,283.0328369140625
