total/episodes,reference_action_mean,rollout/actions_std,train/param_noise_distance,ret_rms_std,obs_rms_std,reference_actor_Q_mean,reference_actor_Q_std,param_noise_stddev,total/epochs,ret_rms_mean,reference_perturbed_action_mean,train/loss_actor,rollout/actions_mean,rollout/episode_steps,eval/return_history,eval/episodes,reference_Q_mean,rollout/episodes,reference_perturbed_action_std,total/steps_per_second,rollout/return_history,rollout/Q_mean,obs_rms_mean,eval/Q,train/loss_critic,reference_action_std,eval/return,total/duration,rollout/return,reference_Q_std,total/steps
741.0,0.4686192572116852,0.7072482705116272,0.2238975390791893,1.0,2.8101558685302734,229.55252075195312,61.37773513793945,0.025752950698953586,741,0.0,0.4903666079044342,-245.66795349121094,0.19625823199748993,1000.0,1030.7436679325845,741.0,228.17764282226562,741.0,0.5847657322883606,30.536551637664665,981.3259757981796,200.9247589111328,0.19019539654254913,256.8962097167969,60.76480484008789,0.5725765228271484,1311.8394906326673,24266.00124311447,806.4721489533147,60.9709587097168,741000
742.0,0.48835834860801697,0.7072349190711975,0.2097763940691948,1.0,2.81075119972229,228.50839233398438,61.12595748901367,0.025752950698953586,742,0.0,0.4853709638118744,-245.9856414794922,0.19624541699886322,1000.0,1032.334468963298,742.0,227.2655792236328,742.0,0.6107265949249268,30.536119421140324,983.1309803414144,200.999755859375,0.19018912315368652,255.5615234375,45.95933532714844,0.5655434131622314,1049.3704354559452,24299.092814207077,806.9746503566289,61.42012023925781,742000
743.0,0.5305222868919373,0.7074411511421204,0.20250523835420609,1.0,2.8124735355377197,228.01510620117188,62.740726470947266,0.0247480794341294,743,0.0,0.4421275556087494,-245.4730224609375,0.19624345004558563,1000.0,1038.4233952956365,743.0,226.8274688720703,743.0,0.5751999616622925,30.535616518900177,976.6267466799878,200.8590850830078,0.19020625948905945,233.7708740234375,84.90931701660156,0.5248469710350037,1022.475296735528,24332.241647720337,806.0554087090896,62.284847259521484,743000
744.0,0.4277666509151459,0.7074279189109802,0.19321881234645844,1.0,2.8128883838653564,227.966064453125,59.6693229675293,0.02285443614607805,744,0.0,0.43030843138694763,-246.3153076171875,0.1961686760187149,1000.0,1033.5692800867007,744.0,226.8876495361328,744.0,0.6026407480239868,30.535144919366193,995.2748056662163,200.93275451660156,0.19022142887115479,175.80081176757812,85.84911346435547,0.6004078388214111,579.893809749508,24365.36659526825,806.5877346997909,59.694950103759766,744000
745.0,0.43189573287963867,0.7074408531188965,0.1875370666384697,1.0,2.813236713409424,227.68296813964844,59.75945281982422,0.02378241789989777,745,0.0,0.46987876296043396,-246.4765625,0.19612464308738708,1000.0,1024.1619272548164,745.0,226.3653106689453,745.0,0.5518546104431152,30.5345936571296,994.7799756138951,201.0074005126953,0.19024978578090668,116.43107604980469,40.075294494628906,0.5893926024436951,278.26647223843685,24398.556220054626,807.2169236766006,59.718448638916016,745000
746.0,0.34138333797454834,0.7074044942855835,0.22954009473323822,1.0,2.8135287761688232,228.64837646484375,61.11028289794922,0.025752950698953586,746,0.0,0.44586578011512756,-245.79302978515625,0.19623012840747833,1000.0,1022.3974715565189,746.0,227.39083862304688,746.0,0.6252557039260864,30.534123874955696,991.634992157123,201.06991577148438,0.19023571908473969,257.1415710449219,63.50055694580078,0.6472288370132446,1169.3895607611564,24431.681847333908,807.1715318387687,61.08536148071289,746000
747.0,0.33526721596717834,0.7074829339981079,0.20614184439182281,1.0,2.8139126300811768,228.70233154296875,61.30807113647461,0.0252455158307554,747,0.0,0.38937893509864807,-247.7780303955078,0.19608506560325623,1000.0,1022.8306770027369,747.0,226.83734130859375,747.0,0.6678327322006226,30.533717737304283,994.0780477851965,201.1463165283203,0.19025397300720215,246.0388946533203,40.895565032958984,0.6924696564674377,1306.2369348558132,24464.757499456406,807.8287659565298,61.60159683227539,747000
748.0,0.3708007335662842,0.7077987194061279,0.1743503361940384,1.0,2.813447952270508,229.85354614257812,60.020843505859375,0.02378241789989777,748,0.0,0.3129773437976837,-246.87069702148438,0.19593699276447296,1000.0,1021.2485251068154,748.0,228.601806640625,748.0,0.6562045812606812,30.53343540852204,984.4748775473115,201.01177978515625,0.19023503363132477,257.39190673828125,71.9692611694336,0.6472520232200623,1163.6855563496197,24497.734696149826,807.0117267519348,60.08061218261719,748000
749.0,0.49322009086608887,0.7078294157981873,0.17365042865276337,1.0,2.8136074542999268,230.81553649902344,60.16402816772461,0.0252455158307554,749,0.0,0.46103382110595703,-247.5415496826172,0.19581255316734314,1000.0,1023.45348880934,749.0,229.69366455078125,749.0,0.6173912286758423,30.533049179361754,984.3286747177381,201.08595275878906,0.19023719429969788,257.5830383300781,82.18916320800781,0.5941551327705383,1173.8350437666709,24530.795977830887,807.3818201759453,59.745452880859375,749000
750.0,0.3615560531616211,0.7077914476394653,0.20474790036678314,1.0,2.8140313625335693,228.56594848632812,60.29513931274414,0.0252455158307554,750,0.0,0.46428337693214417,-246.12611389160156,0.19582435488700867,1000.0,1020.6432088629789,750.0,227.2404022216797,750.0,0.5846680402755737,30.53244804070613,986.5045079929339,201.16213989257812,0.1902618557214737,256.7237854003906,85.7441635131836,0.6374780535697937,1022.3811089764691,24564.030994176865,807.9091478200421,60.54205322265625,750000
