eval/episodes,rollout/episode_steps,total/steps_per_second,total/episodes,reference_actor_Q_mean,train/param_noise_distance,total/steps,obs_rms_std,train/loss_critic,reference_Q_std,param_noise_stddev,reference_actor_Q_std,ret_rms_mean,reference_action_mean,rollout/episodes,ret_rms_std,rollout/return,eval/return_history,train/loss_actor,total/epochs,reference_action_std,obs_rms_mean,rollout/actions_mean,eval/return,reference_Q_mean,rollout/Q_mean,rollout/actions_std,reference_perturbed_action_mean,total/duration,eval/Q,reference_perturbed_action_std,rollout/return_history
33.0,744.0227272727273,74.01702824196568,44.0,83.0541000366211,0.18842428922653198,33000,0.3819098174571991,6.362679481506348,11.664868354797363,0.034711086666206405,7.998678684234619,0.0,0.03843196481466293,44.0,1.0,-71.45609248211039,47.12704434534068,-77.30769348144531,33,0.4102577269077301,0.02448756992816925,0.08390738815069199,197.6013381814334,81.38153076171875,40.84743881225586,0.5235553979873657,0.06189035624265671,445.84335231781006,84.63704681396484,0.4171009659767151,-71.45609248211039
34.0,736.0444444444445,74.01031247297654,45.0,85.95143127441406,0.23105615377426147,34000,0.3819093108177185,12.46971321105957,6.047361373901367,0.034027141129503384,3.7785487174987793,0.0,0.14741641283035278,45.0,1.0,-65.91399405882792,57.196749987051405,-78.35807800292969,34,0.40475621819496155,0.02431652322411537,0.08519754558801651,389.4970361635052,84.69441223144531,41.78385925292969,0.5218539834022522,0.06897290050983429,459.3954391479492,87.31607055664062,0.4165046513080597,-65.91399405882792
35.0,743.1489361702128,74.31348601109826,47.0,87.32662963867188,0.3027469515800476,35000,0.38197052478790283,13.69936752319336,8.958386421203613,0.034027141129503384,4.805593967437744,0.0,0.03527778014540672,47.0,1.0,-57.6434263214225,57.759155861180865,-80.15406799316406,35,0.4247768819332123,0.024200888350605965,0.08584098517894745,76.8809555815827,85.6347885131836,42.986717224121094,0.5190495848655701,0.057764891535043716,470.97777104377747,86.8868637084961,0.42006152868270874,-57.6434263214225
36.0,748.5,74.32190339050418,48.0,89.84364318847656,0.18992535769939423,36000,0.3818594515323639,10.003888130187988,6.462939262390137,0.034711086666206405,3.728217601776123,0.0,0.028521105647087097,48.0,1.0,-53.571150335138235,57.16456634212861,-81.27761840820312,36,0.46025407314300537,0.024090908467769623,0.08796494454145432,36.353933175299886,88.58141326904297,44.22219467163086,0.5167229175567627,0.06743715703487396,484.3794138431549,89.16045379638672,0.3745012879371643,-53.571150335138235
37.0,753.6326530612245,74.3397656018229,49.0,90.7310791015625,0.17626918852329254,37000,0.38232386112213135,7.097963809967041,9.379103660583496,0.034027141129503384,6.233846664428711,0.0,-0.03743736445903778,49.0,1.0,-46.11474547060149,56.539057873050076,-82.41312408447266,37,0.4658507704734802,0.023826513439416885,0.08852279186248779,34.020752986222554,89.29399108886719,45.417694091796875,0.5148017406463623,0.14653174579143524,497.7147789001465,79.51473236083984,0.531167209148407,-46.11474547060149
38.0,758.56,74.14805078855784,50.0,91.07894897460938,0.18955422937870026,38000,0.3814583420753479,9.122415542602539,15.485950469970703,0.03335667202186392,10.27984619140625,0.0,0.1067865863442421,50.0,1.0,-44.56235580243816,55.30218498430935,-84.2182846069336,38,0.3935360908508301,0.024061169475317,0.08744242787361145,9.537888100902226,89.31820678710938,46.64597702026367,0.5145987272262573,0.11077065020799637,512.4881854057312,76.16087341308594,0.41767656803131104,-44.56235580243816
39.0,749.0576923076923,74.28441529242413,52.0,93.06968688964844,0.17961157858371735,39000,0.3828270137310028,4.428187370300293,13.268033027648926,0.032055106170371106,8.485053062438965,0.0,0.06287168711423874,52.0,1.0,-46.695785447426246,54.15454783943341,-85.54254913330078,39,0.4202027916908264,0.024028297513723373,0.08825523406267166,10.544336334147953,91.1664810180664,47.29275131225586,0.5147750377655029,0.09564561396837234,525.0091805458069,76.66368103027344,0.4472936987876892,-46.695785447426246
40.0,718.1454545454545,74.54838687001592,55.0,95.16699981689453,0.14981108903884888,40000,0.3834593594074249,11.581491470336914,9.184924125671387,0.030804326970036475,5.484068393707275,0.0,0.1226799488067627,55.0,1.0,-40.980969908308865,55.778082098898174,-86.93399047851562,40,0.395403653383255,0.02384939044713974,0.08669432997703552,119.09591821802431,93.5987319946289,48.42928695678711,0.5143409371376038,0.01621115207672119,536.5642595291138,95.7230453491211,0.5049465298652649,-40.980969908308865
41.0,711.4736842105264,74.70919602329609,57.0,95.9968490600586,0.2298419177532196,41000,0.38459479808807373,7.385134696960449,14.26284122467041,0.03142349394213421,9.025260925292969,0.0,0.15619274973869324,57.0,1.0,-41.009695812380876,55.58402588037119,-88.78236389160156,41,0.37507492303848267,0.02384195290505886,0.08600214868783951,47.821777139291854,94.21245574951172,49.5551872253418,0.5130021572113037,0.1401984542608261,548.7945551872253,81.6020278930664,0.3837508261203766,-41.009695812380876
42.0,689.2166666666667,74.75525488321934,60.0,97.02994537353516,0.24007514119148254,42000,0.3863368034362793,13.010912895202637,14.96980094909668,0.03269941380439557,10.400389671325684,0.0,0.11184263229370117,60.0,1.0,-33.11477969667319,57.0615444441247,-90.15743255615234,42,0.3987693786621094,0.023824336007237434,0.08464105427265167,117.63980555801841,95.10922241210938,50.20819091796875,0.514197587966919,0.006878446787595749,561.8334131240845,96.26002502441406,0.4361685812473297,-33.11477969667319
