total/epochs,train/loss_critic,obs_rms_mean,rollout/episode_steps,eval/episodes,rollout/Q_mean,rollout/return_history,total/duration,train/param_noise_distance,eval/Q,rollout/return,reference_Q_mean,total/steps_per_second,total/steps,obs_rms_std,total/episodes,eval/return_history,rollout/episodes,reference_actor_Q_std,reference_perturbed_action_std,reference_perturbed_action_mean,ret_rms_mean,reference_action_std,ret_rms_std,param_noise_stddev,reference_Q_std,rollout/actions_mean,reference_actor_Q_mean,eval/return,train/loss_actor,rollout/actions_std,reference_action_mean
101,174.7506866455078,-0.03752908855676651,196.921875,101.0,236.76144409179688,289.50176974694443,1418.7174146175385,0.2875766456127167,378.2320556640625,239.32446480744545,252.0316162109375,71.19106240563617,101000,1.851638913154602,512.0,288.03130113616174,512.0,170.1916046142578,0.6590732932090759,0.39819371700286865,0.0,0.7100386023521423,1.0,0.02152991267583435,169.50100708007812,0.5287090539932251,263.9165344238281,349.9628814337974,-379.8333740234375,0.5415596961975098,0.2161443680524826
102,138.65179443359375,-0.03916206583380699,196.56286266924565,102.0,238.36007690429688,287.6732521988968,1428.7794206142426,0.2369873970746994,375.0605773925781,239.52313414694103,249.17520141601562,71.38960607099833,102000,1.8567975759506226,517.0,291.76834707649215,517.0,169.67669677734375,0.5603102445602417,0.5330716967582703,0.0,0.6259490251541138,1.0,0.021962663920618616,169.94061279296875,0.5271323919296265,260.53759765625,456.4978717705163,-378.9847717285156,0.542535662651062,0.3294483721256256
103,112.0356674194336,-0.040972620248794556,196.48565965583174,103.0,239.8885955810547,288.73369089963705,1495.6042709350586,0.17824968695640564,421.75311279296875,240.43788694696062,251.75564575195312,68.86848480019647,103000,1.8627182245254517,523.0,294.83549320371463,523.0,169.90994262695312,0.6558195352554321,0.31594908237457275,0.0,0.7295843362808228,1.0,0.0211056883401964,169.20742797851562,0.5256156325340271,263.8360595703125,615.6346167056528,-377.4671936035156,0.5437222719192505,0.1625228375196457
104,326.7645568847656,-0.04216117784380913,196.77272727272728,104.0,241.35177612304688,297.65434240325663,1512.8827941417694,0.1836956888437271,389.0981750488281,242.19652153002068,249.2303466796875,68.74293263345446,104000,1.8694064617156982,528.0,295.597952904135,528.0,168.74317932128906,0.611237645149231,0.490316241979599,0.0,0.6382656693458557,1.0,0.02240411346542305,167.92469787597656,0.5241492390632629,261.6623229980469,358.72920624164766,-382.51287841796875,0.5447381138801575,0.434427946805954
105,294.5882263183594,-0.0424959622323513,197.3490566037736,105.0,243.15328979492188,304.1334625640305,1528.7564716339111,0.20859408378601074,390.57208251953125,243.39267407627304,251.72036743164062,68.68327424823761,105000,1.8728476762771606,530.0,296.70153251977166,530.0,168.1403350830078,0.7057110667228699,0.17792226374149323,0.0,0.6777159571647644,1.0,0.0211056883401964,166.266357421875,0.5237058997154236,263.31549072265625,385.78397022827687,-380.6287841796875,0.5448251962661743,0.3170728385448456
106,206.1090850830078,-0.04292129725217819,199.22368421052633,106.0,244.8500518798828,307.4394736052259,1539.1728069782257,0.19678865373134613,413.451416015625,245.668634363905,244.15328979492188,68.86816055963465,106000,1.8786942958831787,532.0,303.370044843715,532.0,172.41738891601562,0.6918824315071106,0.312958687543869,0.0,0.7095029354095459,1.0,0.020282151651708893,170.84768676757812,0.5226966142654419,256.282470703125,659.507982654558,-385.0118713378906,0.545242190361023,0.2576453983783722
107,305.5160827636719,-0.04331463202834129,199.88951310861424,107.0,246.5050811767578,311.71937013071596,1549.1420590877533,0.249806746840477,394.4061584472656,247.007919422449,256.246826171875,69.07048928941309,107000,1.8819557428359985,534.0,304.57827370744036,534.0,175.555419921875,0.6929677724838257,0.31054216623306274,0.0,0.7206612825393677,1.0,0.019882513137642284,173.22776794433594,0.5213884711265564,267.30548095703125,405.2077312379177,-384.858154296875,0.5459495782852173,0.27296367287635803
108,160.4092559814453,-0.04439741373062134,200.21150278293135,108.0,248.0694122314453,298.1382081898092,1582.9509453773499,0.2071637064218521,406.8689270019531,247.35990235191278,250.62869262695312,68.22700369546483,108000,1.8894022703170776,539.0,309.48244586243015,539.0,178.1681671142578,0.6555731892585754,0.30789458751678467,0.0,0.6714724898338318,1.0,0.020689822899908242,176.89552307128906,0.5210086107254028,262.5649719238281,535.4611438344369,-387.52850341796875,0.5460244417190552,0.30752697587013245
109,149.28245544433594,-0.04594782739877701,200.66666666666666,109.0,249.4780731201172,301.80762491252113,1598.8891806602478,0.17065215110778809,423.5791015625,249.0975934952308,255.24984741210938,68.17232946375269,109000,1.893653392791748,543.0,313.5170655852486,543.0,177.0911407470703,0.6869362592697144,0.43893861770629883,0.0,0.6693466305732727,1.0,0.02240411346542305,175.60223388671875,0.5197346806526184,267.4342041015625,383.68609222732255,-387.9449462890625,0.5471449494361877,0.3811914026737213
110,153.259033203125,-0.04593244567513466,201.0879120879121,110.0,251.02357482910156,310.549552252366,1619.8792288303375,0.21882572770118713,419.3328552246094,250.88264413715535,255.5552215576172,67.90629698945362,110000,1.895458459854126,546.0,318.3972223371069,546.0,174.92428588867188,0.7076050043106079,0.3002718389034271,0.0,0.6852490901947021,1.0,0.021962663920618616,174.5719757080078,0.519222617149353,267.906005859375,472.3830591299881,-387.2431640625,0.5476468205451965,0.31154561042785645
