eval/episodes,rollout/Q_mean,rollout/return_history,ret_rms_std,reference_perturbed_action_mean,train/loss_actor,eval/Q,ret_rms_mean,rollout/actions_mean,reference_perturbed_action_std,param_noise_stddev,total/steps,eval/return,rollout/actions_std,train/param_noise_distance,reference_action_std,reference_Q_mean,total/episodes,rollout/episodes,total/steps_per_second,total/duration,rollout/return,reference_actor_Q_std,total/epochs,rollout/episode_steps,obs_rms_mean,obs_rms_std,reference_actor_Q_mean,reference_Q_std,eval/return_history,reference_action_mean,train/loss_critic
233.0,191.8370819091797,1366.0881596531842,1.0,0.19706368446350098,-312.6690673828125,342.74920654296875,0.0,0.05885825306177139,0.7612687349319458,0.018361167303396805,233000,2104.618242078664,0.8109512329101562,0.17423127591609955,0.7442452311515808,314.3680419921875,233.0,233.0,39.19194482912765,5945.099203824997,802.7615492130205,2.4931640625,233,1000.0,0.08626273274421692,2.450855016708374,316.7383728027344,2.8806819915771484,1522.5099782085904,0.1451972872018814,61.68537139892578
234.0,192.46258544921875,1381.4778142004816,1.0,0.05222877860069275,-312.2130432128906,336.9001770019531,0.0,0.058978788554668427,0.7417766451835632,0.017297050171870294,234000,1451.6152009318732,0.8110033869743347,0.17597264051437378,0.772128701210022,316.484130859375,234.0,234.0,39.198281624943654,5969.649441242218,806.628162965135,2.1157772541046143,234,1000.0,0.08649124950170517,2.453422784805298,319.9775390625,2.4614317417144775,1532.7565807910858,0.09560692310333252,116.1294174194336
235.0,193.08338928222656,1396.9802970525539,1.0,0.03284785896539688,-312.4051513671875,341.6201171875,0.0,0.05860944837331772,0.7541230320930481,0.01662212523270047,235000,1810.277785342531,0.8109385371208191,0.14445550739765167,0.7387961149215698,316.4686279296875,235.0,235.0,39.20319797650301,5994.408929109573,809.721373968829,2.158909320831299,235,1000.0,0.08653105050325394,2.4558215141296387,319.6796875,2.1884713172912598,1541.8486239800454,0.08693943172693253,109.7099380493164
236.0,193.71267700195312,1400.037052823029,1.0,0.07632152736186981,-313.2080993652344,343.0966796875,0.0,0.05834133177995682,0.7425435185432434,0.018361167303396805,236000,2021.1989280278024,0.8109477758407593,0.2429768592119217,0.7490857839584351,317.5157470703125,236.0,236.0,39.21174633568782,6018.604679822922,813.3274074766765,1.908416509628296,236,1000.0,0.08656832575798035,2.4570236206054688,320.35284423828125,2.1285994052886963,1554.6439297821282,0.03155722841620445,94.76039123535156
237.0,194.34681701660156,1425.0573577400241,1.0,0.07026692479848862,-314.2003479003906,343.2893371582031,0.0,0.058569636195898056,0.7692149877548218,0.017644720880324885,237000,1797.996189058483,0.8110918998718262,0.21276748180389404,0.8034875392913818,317.39178466796875,237.0,237.0,39.21823153599292,6043.107777118683,818.458960652145,2.1394646167755127,237,1000.0,0.0867564007639885,2.4583675861358643,321.066650390625,2.3473875522613525,1571.284496686656,0.047370750457048416,41.599117279052734
238.0,194.9730682373047,1430.602682738365,1.0,0.14463789761066437,-315.7985534667969,335.779296875,0.0,0.058519672602415085,0.7707869410514832,0.017297050171870294,238000,1381.1028257414341,0.811051607131958,0.131621316075325,0.7295414805412292,319.013427734375,238.0,238.0,39.223910553263615,6067.727481603622,822.2789659831524,2.0408642292022705,238,1000.0,0.08685838431119919,2.459703207015991,321.9222717285156,2.190995693206787,1573.688080931419,0.11343389004468918,127.83219909667969
239.0,195.50399780273438,1419.4691610983116,1.0,-0.07318530976772308,-315.1661376953125,340.5799255371094,0.0,0.0584685392677784,0.7403127551078796,0.017999379770019416,239000,1735.6980054062092,0.8108696937561035,0.21843689680099487,0.7804344892501831,318.2585144042969,239.0,239.0,39.231394977554125,6092.059691905975,820.2040614572035,1.9719122648239136,239,1000.0,0.0868242010474205,2.4625813961029053,321.0937194824219,2.2876524925231934,1584.7847355114147,0.07499931007623672,81.15209197998047
240.0,196.11277770996094,1422.6653853632918,1.0,0.16154102981090546,-313.8828125,343.1564025878906,0.0,0.05845899134874344,0.7030973434448242,0.017644720880324885,240000,2016.6740304039492,0.8107504844665527,0.19714385271072388,0.6956948041915894,318.51202392578125,240.0,240.0,39.240085339872365,6116.1946494579315,823.4571132250974,2.2637155055999756,240,1000.0,0.08684762567281723,2.4633562564849854,321.21856689453125,2.3463897705078125,1590.4446701518477,0.12095174938440323,91.74177551269531
241.0,196.7130126953125,1423.23441862839,1.0,0.0700586661696434,-314.6122131347656,343.0177307128906,0.0,0.05843668058514595,0.7448856234550476,0.018361167303396805,241000,1871.848679395423,0.8109270334243774,0.18322695791721344,0.703452467918396,318.97161865234375,241.0,241.0,39.24780822115894,6140.470281600952,827.2302218132406,2.08796763420105,241,1000.0,0.08701329678297043,2.4667751789093018,321.3111572265625,2.3616929054260254,1597.3425855821583,0.09121719747781754,93.31912994384766
242.0,197.3238067626953,1435.0934666127919,1.0,0.1322583556175232,-313.69842529296875,344.73614501953125,0.0,0.0582716278731823,0.811117947101593,0.018361167303396805,242000,1792.5067728585698,0.8111329078674316,0.20008237659931183,0.7935441732406616,318.96441650390625,242.0,242.0,39.25629991493168,6164.615629196167,832.140819252039,2.435737133026123,242,1000.0,0.0872306227684021,2.469197988510132,321.95611572265625,2.7385172843933105,1600.7776154623714,0.11524102836847305,63.650028228759766
