total/episodes,param_noise_stddev,eval/episodes,rollout/episode_steps,rollout/return,train/loss_critic,train/loss_actor,reference_actor_Q_std,ret_rms_mean,reference_Q_mean,reference_Q_std,total/epochs,rollout/Q_mean,reference_perturbed_action_mean,train/param_noise_distance,eval/Q,total/steps,ret_rms_std,rollout/episodes,total/steps_per_second,obs_rms_std,reference_actor_Q_mean,reference_perturbed_action_std,eval/return_history,rollout/actions_mean,eval/return,reference_action_mean,rollout/return_history,total/duration,rollout/actions_std,obs_rms_mean,reference_action_std
17.0,0.03612049597631193,15.0,861.2941176470588,-1960.285357762795,3.0302350521087646,40.970577239990234,4.659855842590332,0.0,-36.97294235229492,4.925528526306152,15,-22.09888458251953,0.39157894253730774,0.20261158049106598,-41.904483795166016,15000,1.0,17.0,75.78247074497624,0.3565252423286438,-35.54393768310547,0.8118564486503601,-2165.4126202917114,0.18582536280155182,-2125.2290088806485,0.4851868450641632,-1960.285357762795,197.9349558353424,0.882739782333374,0.030589211732149124,0.8143447041511536
18.0,0.032055106170371106,16.0,869.0,-1965.60997102875,2.0450353622436523,45.19257354736328,4.046969413757324,0.0,-41.326683044433594,4.062681674957275,16,-23.234750747680664,0.40305233001708984,0.21913285553455353,-45.85358810424805,16000,1.0,18.0,76.50160114827621,0.36939266324043274,-40.397769927978516,0.8266556859016418,-2092.5530724837126,0.20615068078041077,-999.6598553637357,0.2019241750240326,-1965.60997102875,209.1459493637085,0.8772748708724976,0.029773849993944168,0.8893506526947021
20.0,0.028447279136688076,17.0,832.6,-1884.683936682437,4.246443271636963,48.644378662109375,4.061180114746094,0.0,-43.76482391357422,4.033205986022949,17,-24.778865814208984,0.13781827688217163,0.20371514558792114,-40.15606689453125,17000,1.0,20.0,77.84170316096755,0.37697550654411316,-42.97383117675781,0.9152616262435913,-1973.7709823826813,0.20799118280410767,-73.25754076617808,0.17736124992370605,-1884.683936682437,218.39193272590637,0.8765408992767334,0.029343057423830032,0.9038059115409851
24.0,0.02733727610437334,18.0,749.7916666666666,-1695.432746010194,4.231005668640137,53.03126907348633,5.052362442016602,0.0,-47.48302459716797,4.934366703033447,18,-26.01490020751953,0.14638054370880127,0.2125674933195114,-54.37544631958008,18000,1.0,24.0,78.36578316843915,0.3835546374320984,-46.520320892333984,0.9030055403709412,-1925.1721166468544,0.21193860471248627,-1098.9913991377973,0.1916830837726593,-1695.432746010194,229.69208335876465,0.8758713006973267,0.02863227389752865,0.9057942628860474
26.0,0.02901906944733551,19.0,696.1153846153846,-1573.2212602115117,6.336492538452148,57.30266571044922,5.349623680114746,0.0,-51.335411071777344,5.121002674102783,19,-27.793874740600586,0.19819222390651703,0.19059716165065765,-63.86785888671875,19000,1.0,26.0,78.57476592794215,0.3872778117656708,-50.427330017089844,0.9131540656089783,-1912.7185172226662,0.20071052014827728,-1688.5537275872775,0.3655361235141754,-1573.2212602115117,241.80791091918945,0.8799684047698975,0.027814798057079315,0.8769365549087524
29.0,0.028447279136688076,20.0,672.5172413793103,-1529.9379150079747,4.029813766479492,61.76026916503906,5.995050430297852,0.0,-56.03580856323242,6.022327423095703,20,-29.105905532836914,0.36813899874687195,0.21369412541389465,-53.92135238647461,20000,1.0,29.0,79.66404282762817,0.3909192681312561,-55.36964797973633,0.8596650958061218,-1821.347304262808,0.203127920627594,-85.29425802550635,0.2845339775085449,-1529.9379150079747,251.05429363250732,0.881565511226654,0.02781251072883606,0.878982424736023
52.0,0.02733727610437334,21.0,403.5192307692308,-922.2090420067495,9.737117767333984,66.01922607421875,6.685168266296387,0.0,-59.62809753417969,6.034177780151367,21,-30.788833618164062,0.1467554271221161,0.24372896552085876,-70.68508911132812,21000,1.0,52.0,80.39645443761931,0.3992094397544861,-58.45843505859375,0.9232577085494995,-1760.082948627308,0.2039078027009964,-534.7958359173057,0.11054864525794983,-922.2090420067495,261.20554876327515,0.883726179599762,0.027772091329097748,0.9343408942222595
59.0,0.02901906944733551,22.0,359.59322033898303,-820.4675916999034,12.750999450683594,68.58147430419922,9.236285209655762,0.0,-62.272560119628906,8.795755386352539,22,-32.56631851196289,0.05248427391052246,0.1736546903848648,-50.846717834472656,22000,1.0,59.0,81.3722294440216,0.4060935080051422,-61.35087585449219,0.9342846870422363,-1681.9412670868408,0.19723573327064514,-40.96595473703014,0.2330767661333084,-820.4675916999034,270.3625075817108,0.8870082497596741,0.02737833745777607,0.9074563384056091
62.0,0.027886755354071244,23.0,358.8709677419355,-824.574639290598,14.000566482543945,69.83407592773438,11.14943790435791,0.0,-64.07759094238281,10.300397872924805,23,-34.57027816772461,0.12489964067935944,0.20590735971927643,-47.57014465332031,23000,1.0,62.0,82.2652084547462,0.4036712348461151,-62.66105651855469,0.9279812574386597,-1610.7922497711527,0.20051102340221405,-45.513868826013876,-0.009068548679351807,-824.574639290598,279.58356189727783,0.8879435062408447,0.026977473869919777,0.9251080751419067
105.0,0.025245515830755405,24.0,228.54285714285714,-526.168433576111,12.084088325500488,68.82733154296875,10.98689079284668,0.0,-64.19889831542969,10.628870010375977,24,-35.316261291503906,0.27497339248657227,0.19719599187374115,-46.08118438720703,24000,1.0,105.0,83.09192971269026,0.4205823242664337,-61.84211730957031,0.9149793386459351,-1545.6507379797683,0.20146667957305908,-47.39596677792595,0.2807758152484894,-446.4759853296983,288.83671474456787,0.8888896107673645,0.027272572740912437,0.9134213924407959
