eval/episodes,rollout/Q_mean,obs_rms_std,train/loss_actor,eval/return,rollout/return_history,ret_rms_mean,train/loss_critic,ret_rms_std,reference_action_mean,reference_Q_mean,rollout/episode_steps,rollout/actions_std,reference_actor_Q_std,rollout/episodes,reference_Q_std,param_noise_stddev,reference_perturbed_action_mean,total/duration,total/episodes,eval/Q,eval/return_history,total/steps,total/epochs,rollout/actions_mean,reference_action_std,reference_perturbed_action_std,reference_actor_Q_mean,rollout/return,train/param_noise_distance,obs_rms_mean,total/steps_per_second
557.0,104.72191619873047,0.36507463455200195,-117.38763427734375,27.770670342118535,207.76119330898598,0.0,24.26366424560547,1.0,-0.02626693993806839,-89.74394226074219,847.5746951219512,0.531531810760498,103.45787811279297,656.0,103.1693344116211,0.030804326970036468,0.16684451699256897,7878.86000418663,656.0,101.89469909667969,385.41360210698355,557000,557,0.019928909838199615,0.8935614824295044,0.8703059554100037,-88.69351196289062,-68.01280630683553,0.1906624734401703,0.019386185333132744,70.69550667279582
558.0,104.80632019042969,0.365134060382843,-117.7169418334961,545.5070769904936,205.91172479507546,0.0,27.245542526245117,1.0,-0.03181080520153046,-90.18270874023438,847.8066971080669,0.5313172340393066,104.12354278564453,657.0,103.96337127685547,0.02960235274322695,0.038029760122299194,7892.620307445526,657.0,142.65235900878906,386.7937068546543,558000,558,0.02002205327153206,0.9035331606864929,0.8861100673675537,-88.39058685302734,-67.77288764490525,0.18345943093299866,0.019405703991651535,70.69895399296088
559.0,104.89104461669922,0.36531582474708557,-114.7171401977539,526.5176397298009,203.80189201665277,0.0,42.6169548034668,1.0,-0.09839056432247162,-91.15333557128906,848.0379939209727,0.5310211181640625,103.53284454345703,658.0,103.05691528320312,0.030197360033365813,-0.029619254171848297,7907.742233753204,658.0,153.1701202392578,388.447728318257,559000,559,0.02017095685005188,0.8962543606758118,0.8897374272346497,-89.32215881347656,-66.98257475376137,0.2149425745010376,0.019409194588661194,70.69021516836736
560.0,104.97747802734375,0.3654573857784271,-119.7617416381836,-3.5928379347542787,213.0520530257323,0.0,20.465187072753906,1.0,-0.1292225569486618,-89.81634521484375,848.268588770865,0.5307673215866089,102.98236083984375,659.0,102.6080093383789,0.0320551061703711,-0.05763044208288193,7921.822411298752,659.0,99.2435302734375,385.4527643915993,560000,560,0.020078081637620926,0.8954579830169678,0.8989775776863098,-87.83277130126953,-65.74351950134208,0.1975335031747818,0.019409624859690666,70.69080458068362
561.0,104.949951171875,0.36547890305519104,-119.70744323730469,537.0216632765199,211.24662752524353,0.0,19.140701293945312,1.0,0.08812905102968216,-90.3427963256836,847.4266263237519,0.5310934782028198,104.28457641601562,661.0,104.19686126708984,0.0320551061703711,-0.1716957688331604,7936.038703918457,661.0,135.0353546142578,389.9570331473669,561000,561,0.01994227059185505,0.8716233968734741,0.9015364050865173,-88.82389831542969,-64.569358799668,0.21081535518169403,0.01939726434648037,70.69017943712946
562.0,104.82061004638672,0.36552655696868896,-118.70675659179688,263.7164812936491,194.78234388176207,0.0,29.598825454711914,1.0,0.04678943008184433,-89.7989501953125,847.6570996978852,0.5315258502960205,103.89586639404297,662.0,103.84140014648438,0.030804326970036468,0.10369103401899338,7950.303761959076,662.0,146.83946228027344,388.8122447267861,562000,562,0.019827108830213547,0.9018942713737488,0.8706781268119812,-87.69297790527344,-66.6358386893055,0.20240147411823273,0.01938176341354847,70.68912293503546
563.0,104.83065795898438,0.36557838320732117,-117.32103729248047,424.5912293402281,179.49540237245418,0.0,26.810998916625977,1.0,-0.018237575888633728,-90.51195526123047,847.6189759036145,0.5314522981643677,105.65972900390625,664.0,105.14533233642578,0.030804326970036468,0.018470969051122665,7964.577739238739,664.0,142.5125274658203,387.0995241119698,563000,563,0.01998617872595787,0.8977850079536438,0.8976765275001526,-89.03987121582031,-67.27271788606119,0.16796931624412537,0.019382670521736145,70.68799105648657
564.0,104.91571044921875,0.3656754791736603,-117.78364562988281,356.9189796581219,173.74016497035208,0.0,46.718624114990234,1.0,-0.23912498354911804,-91.15696716308594,845.8918918918919,0.5312026739120483,106.60330200195312,666.0,105.91209411621094,0.02960235274322695,-0.0818801298737526,7979.556022167206,666.0,119.34639739990234,385.4925122417764,564000,564,0.019938411191105843,0.8536799550056458,0.8878999352455139,-89.83642578125,-66.44899326407287,0.18430085480213165,0.019367873668670654,70.68062413913857
565.0,105.00440979003906,0.36568447947502136,-117.1295394897461,274.7382024379068,175.91247196734332,0.0,45.582481384277344,1.0,-0.3076741695404053,-91.25592041015625,844.7799401197605,0.5309691429138184,106.66775512695312,668.0,106.71066284179688,0.030197360033365813,-0.2570587992668152,7994.699081897736,668.0,143.00515747070312,382.86952086014804,565000,565,0.020152853801846504,0.8414501547813416,0.8331557512283325,-89.26640319824219,-65.067977852782,0.2347603440284729,0.01938175968825817,70.67182819667599
566.0,105.0944595336914,0.36570149660110474,-120.66836547851562,641.0659356967165,172.65758282543126,0.0,24.466367721557617,1.0,-0.36441856622695923,-88.77143859863281,845.0119581464872,0.5307242274284363,104.67723846435547,669.0,104.720947265625,0.030197360033365813,-0.2444254606962204,8009.0131504535675,669.0,155.54905700683594,384.0862635241828,566000,566,0.02036726474761963,0.8159343600273132,0.8656291961669922,-86.71685028076172,-64.36414033441145,0.1944817304611206,0.019394630566239357,70.67037965444547
