reference_Q_mean,train/loss_actor,ret_rms_std,reference_actor_Q_mean,rollout/actions_std,total/steps_per_second,obs_rms_mean,eval/Q,rollout/Q_mean,eval/episodes,rollout/actions_mean,reference_perturbed_action_mean,total/epochs,total/episodes,rollout/episode_steps,total/duration,rollout/episodes,rollout/return,total/steps,reference_action_mean,reference_action_std,eval/return_history,param_noise_stddev,reference_Q_std,rollout/return_history,obs_rms_std,reference_perturbed_action_std,ret_rms_mean,reference_actor_Q_std,train/loss_critic,train/param_noise_distance,eval/return
-75.72234344482422,69.0435562133789,1.0,-76.29417419433594,0.7799638509750366,70.25020592839286,0.019575536251068115,-66.44461822509766,-29.454967498779297,21.0,-0.34415796399116516,-0.005020081996917725,21,24.0,858.2083333333334,298.93150806427,24.0,-1632.0907444430602,21000,-0.003205031156539917,0.992003858089447,-2154.101407520798,0.025752950698953586,5.551769256591797,-1632.0907444430602,0.2735174894332886,0.966099202632904,0.0,5.332452774047852,9.01779842376709,0.3924964666366577,-2372.96146238486
-80.52935791015625,74.3133316040039,1.0,-77.9663314819336,0.7877484560012817,70.1344202477609,0.019415229558944702,-52.76227951049805,-31.660789489746094,22.0,-0.33692705631256104,-0.6938358545303345,22,28.0,781.4285714285714,313.68335151672363,28.0,-1518.0365622128866,22000,-0.7523836493492126,0.6179327368736267,-2184.2843857570765,0.02285443614607805,4.775461673736572,-1518.0365622128866,0.27860862016677856,0.6323965787887573,0.0,5.092504501342773,12.19854736328125,0.22382722795009613,-2818.1269287189216
-77.3663330078125,76.26529693603516,1.0,-76.21717834472656,0.7853277325630188,69.99788091481979,0.01874871551990509,-55.23188781738281,-33.957908630371094,23.0,-0.3535689413547516,-0.7472224235534668,23,29.0,788.9655172413793,328.58137559890747,29.0,-1556.788239591819,23000,-0.763261079788208,0.6344515085220337,-2216.552112758107,0.0252455158307554,6.949431896209717,-1556.788239591819,0.2797633111476898,0.6479016542434692,0.0,8.07197093963623,8.453930854797363,0.10340069979429245,-2926.442106780776
-77.72438049316406,74.22978973388672,1.0,-75.86373901367188,0.785009503364563,70.27625147891025,0.018106045201420784,-55.51608657836914,-35.003326416015625,24.0,-0.367562472820282,-0.1694231629371643,24,30.0,796.0,341.50939321517944,30.0,-1602.1116629645696,24000,-0.11104747653007507,0.986158013343811,-2203.3805492061797,0.023313810312614223,8.815980911254883,-1602.1116629645696,0.27798402309417725,0.9363073706626892,0.0,9.673420906066895,3.7448391914367676,0.17389510571956635,-1900.4345875118584
-77.75213623046875,74.7371597290039,1.0,-76.94534301757812,0.7918475270271301,70.52298966630677,0.01838596910238266,-53.14789962768555,-36.01315689086914,25.0,-0.36301374435424805,-0.07833296060562134,25,31.0,802.5806451612904,354.49433040618896,31.0,-1638.4331430175532,25000,-0.10616853833198547,0.9853008389472961,-2191.420379316369,0.01949074908111193,9.763790130615234,-1638.4331430175532,0.27689653635025024,0.9895011186599731,0.0,10.129175186157227,5.645686149597168,0.27066799998283386,-1904.3763019609094
-78.8846664428711,76.41993713378906,1.0,-77.63870239257812,0.8026740550994873,71.32658623558588,0.018914666026830673,-66.48221588134766,-37.314903259277344,26.0,-0.34990260004997253,-0.08873461186885834,26,32.0,808.75,364.520459651947,32.0,-1679.2956219221855,26000,-0.1165393590927124,0.9458461403846741,-2113.652014923453,0.017999379770019412,9.174375534057617,-1679.2956219221855,0.2797551453113556,0.8802801966667175,0.0,9.540105819702148,6.188760280609131,0.3095465302467346,-169.44290510055697
-81.70294189453125,78.52989959716797,1.0,-81.27229309082031,0.8093506693840027,71.92262568918107,0.019141608849167824,-81.55451965332031,-38.66706848144531,27.0,-0.3360099196434021,0.009933851659297943,27,33.0,814.5454545454545,375.40342473983765,33.0,-1694.6303610364266,27000,0.04382611811161041,0.9861376285552979,-2061.823598159403,0.014751292160020392,7.479681968688965,-1694.6303610364266,0.2886179983615875,0.9676839113235474,0.0,7.219507217407227,4.189197540283203,0.45295441150665283,-714.284762294101
-87.07255554199219,81.90402221679688,1.0,-87.25740051269531,0.8196501731872559,72.49299607533679,0.018942683935165405,-85.04220581054688,-40.36720657348633,28.0,-0.3200080692768097,0.7344508171081543,28,35.0,799.0571428571428,386.2442100048065,35.0,-1684.0849074701405,28000,0.7410356402397156,0.6593239903450012,-2013.2661439692274,0.012833077932624282,3.543661594390869,-1684.0849074701405,0.3083929121494293,0.657555341720581,0.0,2.934566020965576,11.34184455871582,0.23746982216835022,-702.214880834487
-91.00336456298828,85.75103759765625,1.0,-90.60496520996094,0.8346312642097473,73.13089586912089,0.019953781738877296,-93.83592224121094,-42.1913948059082,29.0,-0.29083961248397827,0.6262345314025879,29,36.0,804.6388888888889,396.5492238998413,36.0,-1718.6870305489695,29000,0.6243343353271484,0.7771637439727783,-1956.0062228639656,0.01161761804096316,3.958934783935547,-1718.6870305489695,0.30645278096199036,0.7727885842323303,0.0,4.808481693267822,8.175715446472168,0.2324584573507309,-352.7284319166357
-96.3022232055664,90.4281234741211,1.0,-95.37757873535156,0.8494191765785217,73.60335008151655,0.020668314769864082,-98.35923767089844,-43.99551010131836,30.0,-0.2579810321331024,0.5679110288619995,30,42.0,708.4761904761905,407.59014320373535,42.0,-1524.5547963154613,30000,0.6283867955207825,0.7710245251655579,-1918.2335562415594,0.010310046129879225,6.280661582946777,-1524.5547963154613,0.3181488513946533,0.8132339119911194,0.0,7.207963943481445,13.610451698303223,0.2924407124519348,-822.8262241917785
