obs_rms_mean,eval/return,reference_perturbed_action_std,total/duration,eval/Q,reference_actor_Q_std,total/steps_per_second,rollout/episode_steps,train/loss_critic,rollout/actions_std,ret_rms_std,reference_actor_Q_mean,rollout/Q_mean,total/episodes,reference_Q_std,obs_rms_std,total/epochs,reference_Q_mean,reference_action_std,total/steps,ret_rms_mean,eval/episodes,param_noise_stddev,train/param_noise_distance,rollout/return_history,train/loss_actor,rollout/actions_mean,eval/return_history,rollout/episodes,reference_action_mean,reference_perturbed_action_mean,rollout/return
0.06232120096683502,413.35899726172886,0.8022323250770569,119.92664647102356,27.834884643554688,5.799976825714111,91.72273488576035,1000.0,0.41861802339553833,0.7549352049827576,1.0,13.324151992797852,9.432038307189941,11.0,5.724910736083984,2.3833515644073486,11,12.808258056640625,0.8118487000465393,11000,0.0,11.0,0.025245515830755405,0.21667352318763733,-186.4715106609984,-22.75275230407715,0.0978403240442276,-31.356394297741954,11.0,0.16636396944522858,0.12403479218482971,-186.4715106609984
0.06085049360990524,581.276576498157,0.7759096026420593,131.28534626960754,32.15878677368164,5.753632545471191,91.40395589433724,1000.0,1.3693476915359497,0.7396326065063477,1.0,16.358047485351562,11.10548210144043,12.0,5.957831382751465,2.359541654586792,12,15.2987642288208,0.8057557344436646,12000,0.0,12.0,0.02240411346542305,0.2024751454591751,-141.53196657846797,-25.838720321655273,0.10151971131563187,19.696353268582964,12.0,0.2848229706287384,0.34390053153038025,-141.53196657846797
0.05800897628068924,999.8906554054192,0.7736127376556396,142.72618699073792,35.94599151611328,5.450559139251709,91.08349542641129,1000.0,0.6756958961486816,0.7247331738471985,1.0,19.612403869628906,12.786550521850586,13.0,5.651915550231934,2.3489809036254883,13,18.619726181030273,0.7921646237373352,13000,0.0,13.0,0.022854436146078055,0.2131546139717102,-91.96137336351157,-29.000015258789062,0.09680871665477753,95.09591497141652,13.0,0.24871838092803955,0.32879146933555603,-91.96137336351157
0.05663372576236725,790.740475256566,0.8021825551986694,154.15408492088318,39.08391571044922,5.282139301300049,90.81822260620112,1000.0,1.6264773607254028,0.714916467666626,1.0,22.539005279541016,14.528727531433105,14.0,5.506435394287109,2.3510587215423584,14,21.30767250061035,0.8048241138458252,14000,0.0,14.0,0.021962663920618616,0.19718171656131744,-18.38247228087757,-32.424076080322266,0.08968735486268997,144.7848121346415,14.0,0.31642165780067444,0.32627061009407043,-18.38247228087757
0.052784424275159836,1079.4893877567279,0.7867946624755859,165.47483682632446,43.30875015258789,4.775026321411133,90.64822354678239,1000.0,1.2935737371444702,0.7053512930870056,1.0,26.209379196166992,16.07067108154297,15.0,5.072849750518799,2.329360246658325,15,24.860565185546875,0.7918193936347961,15000,0.0,15.0,0.02240411346542305,0.1610928475856781,-3.3340109886163836,-36.1970329284668,0.0851726233959198,207.09845050944725,15.0,0.37768056988716125,0.37285366654396057,-3.3340109886163836
0.05105132237076759,1344.1087730076756,0.7701873183250427,176.73355674743652,47.81367111206055,4.353847503662109,90.53176032022608,1000.0,1.4833641052246094,0.6998392343521118,1.0,30.651473999023438,17.900056838989258,16.0,4.636001110076904,2.3444271087646484,16,29.26961898803711,0.783915638923645,16000,0.0,16.0,0.023782417899897774,0.15552136301994324,72.30609309671868,-39.59020233154297,0.08705760538578033,278.1615956655865,16.0,0.2962423264980316,0.19460374116897583,72.30609309671868
0.050312161445617676,1387.7828318564293,0.8053109049797058,188.06442046165466,52.216922760009766,5.1282267570495605,90.39455713243862,1000.0,3.1796319484710693,0.6939942240715027,1.0,33.20915222167969,19.739139556884766,17.0,5.194611072540283,2.3492956161499023,17,32.029151916503906,0.8035005331039429,17000,0.0,17.0,0.023313810312614227,0.22812528908252716,123.07144950936912,-43.788360595703125,0.08063109219074249,343.4334330885772,17.0,0.311151921749115,0.24007892608642578,123.07144950936912
0.051246367394924164,1364.7712392287392,0.7564836740493774,199.48543286323547,57.011260986328125,5.015587329864502,90.23215250178471,1000.0,3.961007595062256,0.6891858577728271,1.0,36.313228607177734,20.53896141052246,18.0,5.117218494415283,2.31124210357666,18,34.981388092041016,0.8082790970802307,18000,0.0,18.0,0.024748079434129402,0.1729823350906372,109.58207874995502,-47.53658676147461,0.06781460344791412,400.17442231858627,18.0,0.2437165379524231,0.292475163936615,109.58207874995502
0.05065189301967621,1063.1037809172353,0.7465612888336182,210.91577053070068,58.17279815673828,5.531040668487549,90.08335390090889,1000.0,0.8066667318344116,0.6876239776611328,1.0,39.54678726196289,22.58577537536621,19.0,5.534506797790527,2.3382225036621094,19,38.294010162353516,0.7641858458518982,19000,0.0,19.0,0.02426044449968572,0.18506021797657013,177.66101617845757,-52.181358337402344,0.06728877872228622,435.0654411921994,19.0,0.2866670787334442,0.2613694369792938,177.66101617845757
0.04537063464522362,681.6177383916613,0.8217867612838745,222.3538179397583,58.52315139770508,6.251418590545654,89.94673527674054,1000.0,1.8360708951950073,0.6861910223960876,1.0,42.252220153808594,24.68338394165039,20.0,6.169676303863525,2.3411037921905518,20,41.21870803833008,0.805594265460968,20000,0.0,20.0,0.024748079434129402,0.2061551809310913,230.22873877220113,-57.50772476196289,0.07068444788455963,447.3930560521725,20.0,0.22936005890369415,0.21670007705688477,230.22873877220113
0.043561503291130066,1458.387656363601,0.7996023893356323,233.58915209770203,72.13835906982422,6.158271789550781,89.90143511123516,1000.0,7.708559036254883,0.6854868531227112,1.0,46.5106201171875,26.817100524902344,21.0,6.111286163330078,2.3358521461486816,21,45.27107238769531,0.7921001315116882,21000,0.0,21.0,0.024748079434129402,0.1637050062417984,269.8845770874958,-62.4970588684082,0.0756978988647461,495.5356560670024,21.0,0.23765814304351807,0.16841967403888702,269.8845770874958
0.050535451620817184,1435.8919210830984,0.7397221326828003,244.85853099822998,77.453857421875,7.661404132843018,89.84779868731236,1000.0,5.7954487800598145,0.6950513124465942,1.0,49.23291778564453,27.785987854003906,22.0,7.518039703369141,2.301858901977539,22,48.15632629394531,0.7560093402862549,22000,0.0,22.0,0.02575295069895359,0.2191762775182724,238.81410036073086,-66.44575500488281,0.08355676382780075,538.2791226586431,22.0,-0.0029801626224070787,0.0802510529756546,238.81410036073086
0.05261247977614403,1431.0180799130778,0.7096007466316223,256.3101408481598,82.0942153930664,8.978466033935547,89.73503710735108,1000.0,2.6960272789001465,0.6948464512825012,1.0,50.94793701171875,30.062780380249023,23.0,8.814125061035156,2.3263001441955566,23,49.88991165161133,0.7326646447181702,23000,0.0,23.0,0.02575295069895359,0.18067532777786255,287.786866948853,-71.60675048828125,0.08294439315795898,577.0938599305751,23.0,-0.23963411152362823,-0.23289887607097626,287.786866948853
0.05237823724746704,1535.7269356373567,0.6995725035667419,267.7337725162506,88.34185028076172,10.686186790466309,89.6412872176717,1000.0,4.925320625305176,0.6920846700668335,1.0,52.28727722167969,32.332035064697266,24.0,10.385528564453125,2.3331496715545654,24,51.38041687011719,0.7310187220573425,24000,0.0,24.0,0.02575295069895359,0.21258701384067535,313.0859219489523,-76.35160827636719,0.08385320752859116,617.0369047516909,24.0,-0.16044825315475464,-0.1915702223777771,313.0859219489523
