eval/episodes,rollout/Q_mean,rollout/return_history,ret_rms_std,train/loss_actor,eval/Q,ret_rms_mean,rollout/actions_mean,total/steps,eval/return,rollout/actions_std,train/param_noise_distance,reference_action_std,reference_Q_mean,total/episodes,rollout/episodes,total/steps_per_second,total/duration,reference_actor_Q_std,rollout/return,total/epochs,rollout/episode_steps,obs_rms_mean,obs_rms_std,reference_actor_Q_mean,reference_Q_std,eval/return_history,reference_action_mean,train/loss_critic
876.0,523.7433471679688,2466.4371041623717,1.0,-587.4033813476562,612.2462158203125,0.0,0.01885516196489334,876000,2814.167058840255,0.6822140216827393,0.0,0.8524886965751648,554.160888671875,876.0,876.0,45.45912666892173,19270.057834148407,10.759295463562012,1908.6552132920854,876,1000.0,0.12497454881668091,2.7597103118896484,558.4306030273438,11.416104316711426,3185.4693688035663,-0.09852522611618042,471.65789794921875
877.0,523.836669921875,2462.9175512737556,1.0,-588.8556518554688,614.6939697265625,0.0,0.019082192331552505,877000,3277.094634753237,0.6822442412376404,0.0,0.8133576512336731,554.531982421875,877.0,877.0,45.435790501950066,19301.964163303375,11.154581069946289,1909.0064125012132,877,1000.0,0.1250549703836441,2.759683609008789,559.6419677734375,9.119668960571289,3188.067602948703,-0.16702492535114288,185.52281188964844
878.0,523.9251708984375,2464.0941952991097,1.0,-587.1322631835938,593.2064819335938,0.0,0.019021805375814438,878000,2872.222658088521,0.6822949647903442,0.0,0.8700680136680603,557.21240234375,878.0,878.0,45.41539625666653,19332.650871038437,10.8651762008667,1909.091940873852,878,1000.0,0.12503628432750702,2.7594521045684814,561.7119140625,9.349814414978027,3186.0407823111395,0.006812617182731628,402.2293395996094
879.0,524.0172119140625,2461.8244703334303,1.0,-584.4007568359375,611.4535522460938,0.0,0.01911330781877041,879000,3342.8469218643513,0.6823464632034302,0.0,0.8468302488327026,558.5648193359375,879.0,879.0,45.397782340053936,19362.179267168045,11.322877883911133,1909.6066728887126,879,1000.0,0.12505470216274261,2.75948429107666,562.3167724609375,10.412795066833496,3196.6535300065566,-0.023398349061608315,348.5396423339844
880.0,524.1106567382812,2462.1470620635023,1.0,-586.1068115234375,608.3264770507812,0.0,0.019189506769180298,880000,3125.28166523514,0.6823649406433105,0.0,0.8228064775466919,559.8070068359375,880.0,880.0,45.37424197396295,19394.263390779495,10.005379676818848,1910.4737482028145,880,1000.0,0.12509499490261078,2.7596452236175537,563.1985473632812,9.258026123046875,3200.6330385573897,0.11034870147705078,362.3097229003906
881.0,524.1586303710938,2454.7645346811023,1.0,-583.5213012695312,349.2726135253906,0.0,0.019292563199996948,881000,874.0362069410791,0.682384729385376,0.0,0.8229732513427734,556.5682373046875,881.0,881.0,45.369729870572954,19418.233313560486,9.444549560546875,1910.672887143396,881,1000.0,0.12510721385478973,2.760014533996582,559.2850341796875,9.512168884277344,3180.5132445828112,0.17157049477100372,340.3717041015625
882.0,524.2454223632812,2454.6665572924603,1.0,-583.0147094726562,607.7874145507812,0.0,0.019257802516222,882000,2804.63649704211,0.6824221014976501,0.0,0.8170243501663208,553.183837890625,882.0,882.0,45.349812007669584,19448.81270623207,7.466517448425293,1911.1620707597458,882,1000.0,0.12509940564632416,2.760270595550537,556.77880859375,7.947180271148682,3174.438105134084,0.2323320508003235,489.51971435546875
883.0,524.336181640625,2451.1399460479292,1.0,-583.8078002929688,606.73974609375,0.0,0.019352547824382782,883000,2984.323584228733,0.6824018955230713,0.0,0.8049166202545166,552.873779296875,883.0,883.0,45.332564137522205,19478.271675109863,8.692933082580566,1912.1403204334613,883,1000.0,0.12514294683933258,2.7604923248291016,556.0599975585938,8.746997833251953,3178.733254115477,0.16371919214725494,350.2322998046875
884.0,524.4059448242188,2444.207457321101,1.0,-583.8204956054688,609.1455078125,0.0,0.019443776458501816,884000,3080.255228457549,0.682337760925293,0.0,0.8498439788818359,550.1593627929688,884.0,884.0,45.317373037395406,19506.867692232132,10.454360961914062,1911.2217161901979,884,1000.0,0.12508928775787354,2.7602787017822266,553.1281127929688,9.407476425170898,3179.1404271626725,0.007198164705187082,237.66685485839844
885.0,524.4950561523438,2444.7544890135196,1.0,-583.7017822265625,607.0189819335938,0.0,0.0193722452968359,885000,2872.480118056195,0.6823724508285522,0.0,0.7986864447593689,549.634521484375,885.0,885.0,45.304877190103944,19534.32069325447,11.222304344177246,1911.8138678426271,885,1000.0,0.1251063197851181,2.7609658241271973,552.4588623046875,11.240998268127441,3176.0872950430344,0.03953239694237709,363.06182861328125
886.0,524.5827026367188,2446.6614176320186,1.0,-582.420166015625,601.3209838867188,0.0,0.019281582906842232,886000,2630.2307008474286,0.6824078559875488,0.0,0.8392196893692017,548.568115234375,886.0,886.0,45.28971772213795,19562.939328432083,10.21523666381836,1912.168683563658,886,1000.0,0.12505927681922913,2.7612059116363525,550.9940185546875,9.97072696685791,3171.7260220870307,-0.044469211250543594,622.951171875
887.0,524.66845703125,2443.2978023452974,1.0,-585.3585815429688,457.64691162109375,0.0,0.01925257220864296,887000,1368.8428650076855,0.6824538111686707,0.0,0.8305955529212952,548.8406982421875,887.0,887.0,45.28723844357724,19586.091589689255,10.00953483581543,1912.6307389543413,887,1000.0,0.12505818903446198,2.761425256729126,552.0147705078125,11.422797203063965,3153.125786718143,-0.08002258092164993,138.93521118164062
888.0,524.760986328125,2447.8349500411978,1.0,-586.65673828125,610.1846923828125,0.0,0.01918705180287361,888000,3401.3692484802764,0.6824583411216736,0.0,0.7917861938476562,548.406005859375,888.0,888.0,45.289148846560934,19607.34574651718,10.579824447631836,1913.5345800935095,888,1000.0,0.12507186830043793,2.7618041038513184,551.195068359375,11.2571382522583,3153.7103582225245,0.0028070833068341017,242.33242797851562
