eval/return_history,train/param_noise_distance,rollout/actions_mean,total/epochs,obs_rms_std,obs_rms_mean,reference_actor_Q_std,ret_rms_std,eval/episodes,ret_rms_mean,rollout/return_history,total/duration,eval/Q,total/steps_per_second,rollout/episodes,rollout/return,eval/return,train/loss_actor,reference_Q_std,reference_Q_mean,reference_action_std,rollout/episode_steps,total/episodes,train/loss_critic,total/steps,rollout/Q_mean,reference_action_mean,rollout/actions_std,reference_actor_Q_mean
2387.004715502448,0.0,-0.2987867593765259,779,2.180859088897705,0.026614928618073463,13.234469413757324,1.0,779.0,0.0,1842.5259790513485,10477.89252281189,478.93505859375,74.34701189232511,779.0,1441.1801128983707,2586.2675379361067,-461.3950500488281,13.84362506866455,437.4970397949219,0.8399907350540161,1000.0,779.0,100.47069549560547,779000,408.0548400878906,-0.16070131957530975,0.6237803101539612,439.8442077636719
2384.7603674147144,0.0,-0.29864558577537537,780,2.1811373233795166,0.026640567928552628,13.124401092529297,1.0,780.0,0.0,1843.7524812278082,10491.662489652634,478.0069580078125,74.34474762882168,780.0,1441.809303596006,2279.395210542988,-461.27886962890625,13.932694435119629,438.24853515625,0.7719914317131042,1000.0,780.0,148.83627319335938,780000,408.1397399902344,-0.2703486382961273,0.6239021420478821,440.8125915527344
2380.09001921844,0.0,-0.29855167865753174,781,2.1809451580047607,0.02664925344288349,12.778299331665039,1.0,781.0,0.0,1834.562373581465,10505.427067279816,477.37445068359375,74.34252743827057,781.0,1441.9062631234247,2047.958308954299,-462.7983093261719,13.193861961364746,436.6622009277344,0.7657703757286072,1000.0,781.0,355.9421081542969,781000,408.2218017578125,-0.23698951303958893,0.623859167098999,439.0223693847656
2380.3295273587223,0.0,-0.29850780963897705,782,2.181077003479004,0.02663150057196617,12.177729606628418,1.0,782.0,0.0,1837.518842236873,10519.255137681961,479.2742614746094,74.33986435015994,782.0,1442.2588141687177,2185.4596941820155,-463.3391418457031,12.33481216430664,437.7225341796875,0.7935147881507874,1000.0,782.0,77.64054870605469,782000,408.3066101074219,-0.18203723430633545,0.6238108277320862,440.18109130859375
2382.077713992899,0.0,-0.2985019087791443,783,2.1810667514801025,0.02666904777288437,11.519451141357422,1.0,783.0,0.0,1839.563617865469,10533.054250001907,478.60980224609375,74.33741262652836,783.0,1443.136172623104,2092.173775526562,-463.5892333984375,12.3197660446167,435.81536865234375,0.8397138714790344,1000.0,783.0,79.76585388183594,783000,408.3964538574219,-0.13817612826824188,0.6237802505493164,438.6156311035156
2380.007011702207,0.0,-0.29859206080436707,784,2.18115496635437,0.026710664853453636,13.099857330322266,1.0,784.0,0.0,1845.168669223595,10546.942222833633,480.2670593261719,74.33434102849989,784.0,1443.9009729655334,2486.0465101807413,-461.3753662109375,13.172269821166992,437.90936279296875,0.8559538125991821,1000.0,784.0,70.12037658691406,784000,408.48486328125,-0.0867021456360817,0.6237739324569702,440.99029541015625
2377.2106629912764,0.0,-0.2986651659011841,785,2.1813509464263916,0.02674226276576519,13.489079475402832,1.0,785.0,0.0,1853.296847206933,10560.92904138565,478.1488037109375,74.33058180050074,785.0,1444.8796931423938,2058.830424569926,-462.22491455078125,12.379454612731934,436.9342041015625,0.8398695588111877,1000.0,785.0,334.5684814453125,785000,408.57464599609375,-0.05707209184765816,0.6237460970878601,437.6884765625
2378.512612286902,0.0,-0.2986432909965515,786,2.1812636852264404,0.026766600087285042,13.875890731811523,1.0,786.0,0.0,1853.6000230678326,10574.719732522964,479.12939453125,74.32821104304318,786.0,1445.7307085225668,2351.993204025745,-463.3387145996094,13.725460052490234,437.4799499511719,0.8218110203742981,1000.0,786.0,145.02732849121094,786000,408.66357421875,-0.16479933261871338,0.6237614154815674,439.93701171875
2381.9875830621536,0.0,-0.2986278533935547,787,2.1812307834625244,0.026773083955049515,13.31789779663086,1.0,787.0,0.0,1856.770258993508,10588.509728431702,481.464111328125,74.32585134117501,787.0,1446.0251962732466,2516.5120846461095,-462.12347412109375,13.508105278015137,438.8083801269531,0.8196086883544922,1000.0,787.0,273.4334716796875,787000,408.74652099609375,-0.257830411195755,0.6237470507621765,441.3466796875
2382.2777233748943,0.0,-0.2986159920692444,788,2.181001663208008,0.026773540303111076,12.643141746520996,1.0,788.0,0.0,1853.4313305561798,10602.407603502274,478.4497985839844,74.3227415384126,788.0,1445.8519012089546,2322.031955718034,-462.25372314453125,13.190775871276855,437.80419921875,0.8450090289115906,1000.0,788.0,348.2845458984375,788000,408.82427978515625,-0.20326541364192963,0.6237145066261292,440.5533447265625
