eval/episodes,rollout/return_history,reference_action_std,obs_rms_std,reference_perturbed_action_std,eval/return,ret_rms_mean,param_noise_stddev,reference_actor_Q_mean,total/episodes,rollout/Q_mean,train/loss_actor,obs_rms_mean,reference_actor_Q_std,rollout/episodes,rollout/episode_steps,eval/return_history,rollout/actions_mean,total/epochs,eval/Q,train/param_noise_distance,rollout/actions_std,train/loss_critic,total/steps,reference_Q_mean,ret_rms_std,total/duration,reference_action_mean,reference_perturbed_action_mean,rollout/return,total/steps_per_second,reference_Q_std
131.0,-397.41044692018653,0.6785892844200134,0.41641363501548767,0.7077069282531738,-38.32392480676535,0.0,0.022854436146078055,81.31352233886719,186.0,35.127254486083984,-21.083740234375,0.01933741196990013,15.965632438659668,186.0,699.5483870967741,-355.2056106528798,0.061006031930446625,131,89.90128326416016,0.19762922823429108,0.6461967825889587,29.15252685546875,131000,80.6153335571289,1.0,1882.3386294841766,0.09212915599346161,-0.061336200684309006,-436.7731733819603,69.5942791313263,16.100618362426758
132.0,-382.7128853133616,0.6764892935752869,0.4167703092098236,0.6685716509819031,48.37933745764073,0.0,0.0211056883401964,80.06596374511719,188.0,34.76696014404297,-21.43048667907715,0.019284537062048912,16.460187911987305,188.0,699.3776595744681,-355.12695038425596,0.06101752817630768,132,78.66439819335938,0.20024903118610382,0.6469741463661194,34.269168853759766,132000,79.34272766113281,1.0,1896.1713054180145,0.07610199600458145,-0.11197301745414734,-435.3012440227248,69.61396347620625,16.536701202392578
133.0,-408.5280016390253,0.6728720664978027,0.4169786870479584,0.6828283667564392,142.00892762071265,0.0,0.02152991267583435,79.85049438476562,189.0,34.215309143066406,-18.250717163085938,0.019349010661244392,16.714738845825195,189.0,700.968253968254,-340.0266098703388,0.06154344230890274,133,76.97247314453125,0.18097303807735443,0.6479457020759583,36.52135467529297,133000,79.15846252441406,1.0,1911.388521194458,0.14446477591991425,0.25000816583633423,-446.20478251217094,69.58292284652109,16.829933166503906
134.0,-401.5504310341208,0.6610064506530762,0.4168078303337097,0.6741925477981567,-240.5669530372767,0.0,0.020689822899908242,80.21881103515625,191.0,34.63147735595703,-22.931180953979492,0.01941308006644249,16.565826416015625,191.0,700.1989528795812,-341.8438637832406,0.06249874085187912,134,37.46784973144531,0.21508195996284485,0.6469910740852356,30.661718368530273,134000,79.36131286621094,1.0,1924.4501390457153,-0.005637140944600105,0.10132580995559692,-441.24818943230736,69.63027894630054,16.952119827270508
135.0,-402.1978534876778,0.6733519434928894,0.4172229468822479,0.6575706005096436,-98.00180083538183,0.0,0.019490749081111935,80.7705078125,192.0,33.871212005615234,-18.96456527709961,0.01936977170407772,15.433055877685547,192.0,701.7604166666666,-339.5443011967077,0.061445146799087524,135,80.39383697509766,0.1638859361410141,0.6485890746116638,19.694068908691406,135000,80.00715637207031,1.0,1940.1801891326904,0.08031763881444931,-0.07617680728435516,-447.3983758207252,69.5811660979532,15.749801635742188
136.0,-398.7254775430676,0.6770918965339661,0.4170213043689728,0.64534592628479,-191.92735466360148,0.0,0.019882513137642284,81.38972473144531,193.0,34.3044548034668,-20.820018768310547,0.019327033311128616,14.9755859375,193.0,703.3056994818653,-323.7948563802857,0.06153392046689987,136,41.137359619140625,0.19832828640937805,0.6474920511245728,38.935081481933594,136000,80.54637908935547,1.0,1953.7451267242432,0.0581616647541523,0.0026409998536109924,-444.07859416092447,69.60989851732866,15.416048049926758
137.0,-370.3656007700434,0.669098973274231,0.4170220196247101,0.661595344543457,-299.64436612804934,0.0,0.019490749081111935,81.31120300292969,195.0,34.738624572753906,-17.967510223388672,0.01935853622853756,14.823131561279297,195.0,702.4820512820513,-312.89044197203236,0.061933837831020355,137,2.1909639835357666,0.2188505232334137,0.6463096141815186,37.86923599243164,137000,80.67868041992188,1.0,1966.5337426662445,-0.015353858470916748,0.004336398094892502,-437.5748503436742,69.66572554928763,14.963554382324219
138.0,-344.4191061108041,0.6433984637260437,0.41692715883255005,0.677815318107605,-241.23485713998397,0.0,0.019490749081111935,81.17521667480469,198.0,35.12781524658203,-20.623769760131836,0.0193774476647377,14.685586929321289,198.0,694.939393939394,-302.494001660928,0.06227535381913185,138,46.78458023071289,0.18963053822517395,0.6455599069595337,40.825035095214844,138000,80.38822174072266,1.0,1982.0317471027374,-0.0783982127904892,-0.04607756435871124,-430.91899299211326,69.62552451630678,15.006860733032227
139.0,-344.91284127791107,0.6579092741012573,0.41679808497428894,0.6689091324806213,-494.1379636847008,0.0,0.019882513137642284,80.9457015991211,199.0,35.526527404785156,-22.318214416503906,0.019374996423721313,14.524308204650879,199.0,696.4723618090452,-295.7075536048949,0.062477145344018936,139,-14.221639633178711,0.1907983422279358,0.6446201801300049,30.866884231567383,139000,80.64110565185547,1.0,1995.8084547519684,0.07503855228424072,0.1352386623620987,-429.14129545337937,69.64596210074399,14.459473609924316
140.0,-323.9237360696093,0.6573258638381958,0.41663405299186707,0.6482496857643127,130.60964295339562,0.0,0.019882513137642284,80.20121765136719,201.0,35.940338134765625,-24.213308334350586,0.01943807117640972,14.939242362976074,201.0,695.6766169154229,-284.0453443191202,0.06345317512750626,140,91.09365844726562,0.22184938192367554,0.6435032486915588,64.02545928955078,140000,79.81327056884766,1.0,2011.347841501236,0.1404450535774231,0.2725284993648529,-422.1031352747896,69.60506636957751,14.849006652832031
141.0,-299.4616655782861,0.6475198268890381,0.4164212644100189,0.6584441661834717,-158.61825675579647,0.0,0.020689822899908242,79.36322021484375,203.0,36.332977294921875,-19.008895874023438,0.019506113603711128,16.441699981689453,203.0,694.5714285714286,-283.9437845151814,0.06486853212118149,141,40.87451171875,0.19297678768634796,0.6425915956497192,47.295467376708984,141000,78.82862854003906,1.0,2025.4914026260376,-0.06857609748840332,-0.057948239147663116,-417.3081028150224,69.61273684854665,16.570627212524414
142.0,-298.89412080031155,0.6557114124298096,0.4169566035270691,0.6364828944206238,62.365766972082824,0.0,0.020282151651708893,79.15282440185547,204.0,35.51667404174805,-18.148788452148438,0.01943766325712204,16.3922061920166,204.0,692.156862745098,-279.82058248897454,0.06327509880065918,142,70.71994018554688,0.1717701405286789,0.6441148519515991,54.25308609008789,142000,78.54751586914062,1.0,2040.288402557373,0.023618636652827263,-0.0005885101854801178,-415.0217491189149,69.59800380280157,16.6265926361084
143.0,-322.864297791633,0.6647254228591919,0.4174247980117798,0.6601041555404663,-942.503313709453,0.0,0.020689822899908242,79.19853210449219,205.0,34.75597381591797,-22.881742477416992,0.019351845607161522,16.53728485107422,205.0,693.6585365853658,-288.06002861265625,0.0622490793466568,143,-27.46329689025879,0.17225879430770874,0.6456859111785889,18.586856842041016,143000,78.92852020263672,1.0,2055.0380222797394,0.01297733560204506,-0.08878274261951447,-423.98060025338117,69.5850872099019,16.396249771118164
144.0,-336.87867890658777,0.6215854287147522,0.4171367585659027,0.6568242311477661,96.49744631870705,0.0,0.02152991267583435,77.73379516601562,206.0,34.769718170166016,-19.38302230834961,0.019473746418952942,17.07685089111328,206.0,695.1456310679612,-279.6112881997605,0.06257888674736023,144,83.46189880371094,0.18065738677978516,0.6462424993515015,18.38196563720703,144000,77.27133178710938,1.0,2068.4351856708527,-0.13077686727046967,0.12350369244813919,-430.0893872708306,69.6178449281681,17.085201263427734
145.0,-335.7258245914461,0.637527585029602,0.4167437255382538,0.6524401903152466,-419.50567463175605,0.0,0.021962663920618616,78.34159851074219,207.0,35.103336334228516,-20.794252395629883,0.019678905606269836,17.188098907470703,207.0,696.6183574879227,-274.495301924991,0.06353385001420975,145,19.915544509887695,0.1861751824617386,0.6460077166557312,45.56501388549805,145000,77.39620971679688,1.0,2082.381556749344,-0.05348341166973114,0.16720309853553772,-431.63564575553255,69.63181148528278,17.818910598754883
146.0,-324.5438802264017,0.6468987464904785,0.4164055585861206,0.6264371275901794,116.71406333193508,0.0,0.020689822899908242,79.30972290039062,208.0,35.44325256347656,-22.664804458618164,0.019699640572071075,15.503081321716309,208.0,698.0769230769231,-262.0195222707614,0.06373997032642365,146,88.89189910888672,0.21416446566581726,0.6451945900917053,40.062156677246094,146000,78.44078063964844,1.0,2094.8856081962585,-0.04951375722885132,0.053474195301532745,-432.01202543972977,69.69354289741345,16.100303649902344
147.0,-328.4367320398048,0.6417210698127747,0.4165361523628235,0.6327641010284424,357.4945531007111,0.0,0.020282151651708893,78.50685119628906,210.0,35.64512634277344,-19.83477020263672,0.019623858854174614,15.405953407287598,210.0,697.6809523809524,-260.2002822908228,0.0630565956234932,147,90.66361236572266,0.197640061378479,0.6450642347335815,42.398128509521484,147000,77.89446258544922,1.0,2110.0235407352448,0.032887980341911316,-0.05033745616674423,-429.6020450693603,69.66746918320037,15.688542366027832
148.0,-300.7025201187918,0.627254068851471,0.4162875711917877,0.6269031167030334,336.9450335576406,0.0,0.02152991267583435,78.06583404541016,213.0,36.03005599975586,-20.820451736450195,0.019682252779603004,16.22977066040039,213.0,691.8356807511738,-253.1653644309625,0.0637226477265358,148,94.58609771728516,0.21373187005519867,0.6440123915672302,31.423725128173828,148000,77.54624938964844,1.0,2124.6531999111176,-0.049302082508802414,0.019995294511318207,-424.05423274788524,69.65842708174276,16.494564056396484
149.0,-285.373107430961,0.6276968121528625,0.41597437858581543,0.6249250769615173,153.99249420072923,0.0,0.020689822899908242,77.606201171875,215.0,36.40808868408203,-18.436988830566406,0.019769690930843353,16.25705909729004,215.0,690.8418604651163,-251.64053524232895,0.06467299908399582,149,88.67149353027344,0.2502208650112152,0.6429260969161987,25.8591251373291,149000,77.11824035644531,1.0,2139.335369825363,0.03661632537841797,0.1466454416513443,-416.6645045550055,69.64779907890883,16.380268096923828
150.0,-262.9985962069759,0.6748173832893372,0.4157506227493286,0.6250518560409546,20.56245033696164,0.0,0.020689822899908242,77.30493927001953,216.0,36.761451721191406,-21.65066909790039,0.019809303805232048,16.421234130859375,216.0,692.2731481481482,-251.56361887190414,0.06497923284769058,150,88.14927673339844,0.2095189094543457,0.6420425772666931,35.935691833496094,150000,76.48219299316406,1.0,2154.1845483779907,-0.011696681380271912,-0.11730974912643433,-413.4455340171601,69.63191715071191,16.612768173217773
151.0,-265.6978581876547,0.7029480338096619,0.41559338569641113,0.6969200372695923,2.027736114902978,0.0,0.020689822899908242,76.94766998291016,217.0,37.10972213745117,-22.989377975463867,0.019839078187942505,17.854347229003906,217.0,693.6912442396314,-246.4211478207713,0.0650443583726883,151,88.737548828125,0.21141986548900604,0.641472578048706,34.239967346191406,151000,76.45722198486328,1.0,2165.848045349121,0.08925259113311768,0.06549016386270523,-411.68685192246136,69.71864915650615,17.783748626708984
152.0,-267.36919386903077,0.6599434614181519,0.41520383954048157,0.6429194211959839,141.5639096249998,0.0,0.020689822899908242,77.05643463134766,218.0,37.471580505371094,-20.833345413208008,0.01994592696428299,17.827402114868164,218.0,695.0963302752293,-240.0024634905966,0.06658796966075897,152,88.03416442871094,0.18307363986968994,0.641075849533081,27.883071899414062,152000,76.41801452636719,1.0,2178.0456516742706,-0.02893809601664543,0.29111191630363464,-411.09427133535854,69.78733429354757,17.73621940612793
