eval/return_history,reference_perturbed_action_mean,eval/return,rollout/actions_std,reference_actor_Q_std,obs_rms_std,total/episodes,rollout/actions_mean,ret_rms_mean,eval/episodes,total/epochs,ret_rms_std,rollout/return_history,rollout/return,train/loss_actor,rollout/episodes,rollout/episode_steps,param_noise_stddev,total/steps_per_second,train/loss_critic,reference_action_mean,reference_Q_std,rollout/Q_mean,reference_Q_mean,total/steps,train/param_noise_distance,eval/Q,reference_action_std,total/duration,obs_rms_mean,reference_perturbed_action_std,reference_actor_Q_mean
-560.6975272903741,0.3167455196380615,29.837525588660707,0.6236748695373535,4.909084320068359,0.3847586214542389,15.0,0.04198484867811203,0.0,14.0,14,1.0,-514.9067695796481,-514.9067695796481,-32.75115966796875,15.0,923.4,0.027886755354071244,68.18622022856378,1.585445523262024,0.21274837851524353,4.849557876586914,16.534259796142578,34.335044860839844,14000,0.17206121981143951,34.28155517578125,0.4383513033390045,205.32007718086243,0.017858682200312614,0.4120715260505676,35.14762878417969
-524.9339758265302,0.1525905728340149,-24.24425533271481,0.6165532469749451,5.317668914794922,0.3837103247642517,16.0,0.056574586778879166,0.0,15.0,15,1.0,-490.96591720770624,-490.96591720770624,-35.14518356323242,16.0,928.1875,0.027886755354071244,68.11145067739842,3.1890475749969482,0.10623949021100998,5.267244815826416,17.70110511779785,36.89943313598633,15000,0.19562599062919617,35.468631744384766,0.44495075941085815,220.2272870540619,0.017821310088038445,0.47198548913002014,37.63306427001953
-491.25213821377656,0.2537630498409271,13.975425977525665,0.6145066618919373,5.57316255569458,0.382896363735199,18.0,0.05143195763230324,0.0,16.0,16,1.0,-462.91472616167005,-462.91472616167005,-37.330604553222656,18.0,887.0,0.02733727610437334,67.7714882732098,2.9813551902770996,0.23614586889743805,5.631870746612549,18.852285385131836,39.38060760498047,16000,0.24121999740600586,37.33716583251953,0.44453662633895874,236.08748173713684,0.016694670543074608,0.4228600859642029,40.126033782958984
-463.35769525450945,0.04880868270993233,-17.04660790623507,0.6086090803146362,6.0480804443359375,0.3843373954296112,19.0,0.062468647956848145,0.0,17.0,17,1.0,-441.5457090467051,-441.5457090467051,-39.797367095947266,19.0,892.9473684210526,0.026798623766663407,68.06334664219372,2.0731143951416016,0.1125459149479866,6.230289459228516,19.919687271118164,41.98490905761719,17000,0.18080981075763702,39.91120147705078,0.47052809596061707,249.76732468605042,0.017092417925596237,0.4752628803253174,42.776756286621094
-442.7073098752033,0.16529664397239685,-91.65075842699899,0.602059543132782,5.6983256340026855,0.38708770275115967,21.0,0.06263936311006546,0.0,18.0,18,1.0,-386.37423423881694,-386.37423423881694,-41.86981964111328,21.0,841.1428571428571,0.026270585008002556,67.69305925319605,3.3699839115142822,0.11881422251462936,5.718442916870117,21.329965591430664,43.868431091308594,18000,0.1726909577846527,41.026058197021484,0.48555999994277954,265.90613865852356,0.017725327983498573,0.5112199187278748,44.599143981933594
-415.4401547181295,0.19720792770385742,75.36863810919809,0.6021634340286255,6.316867351531982,0.3854103684425354,23.0,0.06271915882825851,0.0,19.0,19,1.0,-373.385902451227,-373.385902451227,-43.329742431640625,23.0,823.2173913043479,0.027886755354071244,67.69095743948732,5.203458309173584,0.11002649366855621,6.383450031280518,22.27364730834961,45.560813903808594,19000,0.17032390832901,43.93411636352539,0.45494598150253296,280.6874170303345,0.017306869849562645,0.4820159375667572,46.514747619628906
-392.8163802034851,0.037812862545251846,37.0353355747594,0.5962534546852112,6.114192008972168,0.38652926683425903,24.0,0.06664913892745972,0.0,20.0,20,1.0,-351.44689173545436,-351.44689173545436,-45.030784606933594,24.0,830.5833333333334,0.027886755354071244,67.92062028180528,2.0273685455322266,0.1374635547399521,6.144820213317871,23.26048469543457,48.238040924072266,20000,0.20290182530879974,49.0517692565918,0.44598308205604553,294.46138620376587,0.017231319099664688,0.5113308429718018,48.875606536865234
-390.1660377932883,0.17435644567012787,-337.1591895893525,0.5920271873474121,6.211404800415039,0.3872436583042145,25.0,0.06289315968751907,0.0,21.0,21,1.0,-329.75935196290214,-329.75935196290214,-47.187522888183594,25.0,825.08,0.027886755354071244,67.95493567102375,3.010648727416992,0.0858343243598938,6.240016460418701,24.74958038330078,49.72651672363281,21000,0.2448006123304367,45.114994049072266,0.4629838168621063,309.0283257961273,0.016906578093767166,0.46944594383239746,50.37821960449219
-369.63985363499694,0.07593123614788055,61.41001368912244,0.5901014804840088,7.117775917053223,0.3885751962661743,26.0,0.061768822371959686,0.0,22.0,22,1.0,-318.66782659394414,-318.66782659394414,-48.955848693847656,26.0,831.8076923076923,0.028447279136688076,68.03154471969384,4.050004482269287,0.10658684372901917,7.305374622344971,25.80792808532715,51.29859924316406,22000,0.23233287036418915,50.268795013427734,0.4194677770137787,323.37939834594727,0.016476226970553398,0.5005542635917664,51.984134674072266
-354.4074666022939,0.01049969345331192,-19.29495188282687,0.59232097864151,6.8244524002075195,0.3874512314796448,28.0,0.06260233372449875,0.0,23.0,23,1.0,-313.0379904433406,-313.0379904433406,-50.267616271972656,28.0,808.8571428571429,0.027886755354071244,68.30700580320988,2.9349637031555176,0.1597229242324829,6.789914608001709,26.317842483520508,53.086402893066406,23000,0.20330654084682465,47.59747314453125,0.427781879901886,336.7150957584381,0.01642437092959881,0.388326495885849,53.78120422363281
