total/epochs,total/steps_per_second,train/loss_critic,rollout/episodes,reference_Q_std,total/episodes,eval/return_history,rollout/return_history,total/duration,eval/Q,rollout/Q_mean,eval/episodes,reference_action_std,reference_perturbed_action_mean,eval/return,obs_rms_std,train/param_noise_distance,rollout/actions_mean,reference_actor_Q_mean,param_noise_stddev,reference_actor_Q_std,train/loss_actor,rollout/actions_std,reference_perturbed_action_std,rollout/episode_steps,total/steps,ret_rms_mean,obs_rms_mean,reference_Q_mean,rollout/return,reference_action_mean,ret_rms_std
26,62.13699947985202,2.2567782402038574,29.0,2.3382346630096436,29.0,-329.19980242288534,-380.5145733414627,418.4302463531494,51.76358413696289,13.920296669006348,26.0,0.3824234902858734,0.040369533002376556,324.33274145079724,0.37763288617134094,0.21178685128688812,-0.0421321801841259,54.3292236328125,0.03540877950819716,2.0008018016815186,-34.17310333251953,0.59763503074646,0.35920247435569763,889.551724137931,26000,0.0,0.015294699929654598,53.09183120727539,-380.5145733414627,0.03689994663000107,1.0
27,61.84757234765221,2.427039861679077,30.0,2.0629324913024902,30.0,-305.45979291945446,-433.21762138159437,436.55715131759644,57.24240493774414,14.351388931274414,27.0,0.37814632058143616,0.06444479525089264,311.78045416974817,0.3737030625343323,0.2185923010110855,-0.05354964733123779,57.108001708984375,0.034711086666206405,2.1780943870544434,-34.52629470825195,0.608213484287262,0.438454270362854,893.2333333333333,27000,0.0,0.014732489362359047,56.1939697265625,-433.21762138159437,0.07660531252622604,1.0
28,61.44025301889911,2.359421491622925,31.0,1.9987841844558716,31.0,-286.76606095007793,-409.79441975075235,455.72728991508484,53.89651107788086,15.957505226135254,28.0,0.3316476047039032,-0.08313778787851334,217.96470222308972,0.37262043356895447,0.21299172937870026,-0.050578296184539795,59.08469009399414,0.03269941380439557,2.005364179611206,-36.85436248779297,0.6037576198577881,0.41037896275520325,896.6774193548387,28000,0.0,0.01531758438795805,58.10539245605469,-409.79441975075235,0.0054980311542749405,1.0
29,61.45403685446529,2.6631996631622314,32.0,2.228040933609009,32.0,-287.8666818176882,-423.3896276165249,471.89739656448364,40.088871002197266,17.094884872436523,29.0,0.3515200912952423,0.11020581424236298,-318.68406611077694,0.3709407150745392,0.18494027853012085,-0.046576183289289474,60.986358642578125,0.03335667202186392,2.3435449600219727,-38.1767463684082,0.6067897081375122,0.4040587544441223,899.90625,29000,0.0,0.016261527314782143,59.87196350097656,-423.3896276165249,-0.0937155932188034,1.0
30,61.59847160272707,3.706979990005493,33.0,2.3082098960876465,33.0,-290.8141774275791,-401.15021397093716,487.0250709056854,46.10597229003906,18.709026336669922,30.0,0.3474709987640381,0.09332381188869476,-376.2915501144162,0.36923643946647644,0.19082485139369965,-0.041301045566797256,64.82933044433594,0.034027141129503384,2.2171452045440674,-41.032989501953125,0.6015762090682983,0.3258439898490906,902.939393939394,30000,0.0,0.017613323405385017,63.74342346191406,-401.15021397093716,-0.06475485861301422,1.0
31,61.5852535561979,3.597144842147827,34.0,2.0682547092437744,34.0,-281.1468654440178,-415.31105522280797,503.3672544956207,61.75862503051758,19.077590942382812,31.0,0.35439810156822205,-0.03487473726272583,8.872494062822373,0.36916929483413696,0.2118522673845291,-0.03825909271836281,66.89884948730469,0.034027141129503384,2.1462502479553223,-42.79638671875,0.6050376296043396,0.3214433193206787,905.7941176470588,31000,0.0,0.01737457513809204,65.79666137695312,-415.31105522280797,-0.03477795422077179,1.0
32,61.574570822403516,2.7328524589538574,35.0,2.1801469326019287,35.0,-276.0904249326186,-388.6747424931472,519.6950554847717,70.748779296875,20.682315826416016,32.0,0.375762015581131,-0.03851424530148506,-119.34076907924513,0.37051576375961304,0.18602265417575836,-0.03642036020755768,69.88916015625,0.03335667202186392,2.180142641067505,-44.915313720703125,0.5995773673057556,0.3224947452545166,901.7714285714286,32000,0.0,0.017566876485943794,68.73458099365234,-388.6747424931472,0.13992731273174286,1.0
33,61.66206000089486,4.257693290710449,36.0,2.322286367416382,36.0,-252.9130765561311,-367.2354782788369,535.1751141548157,70.03148651123047,21.845947265625,33.0,0.3710256814956665,0.09675567597150803,488.762071491468,0.3703608214855194,0.190365731716156,-0.03550860658288002,72.91058349609375,0.034027141129503384,2.3302230834960938,-46.99447250366211,0.599086344242096,0.37938833236694336,890.25,33000,0.0,0.01742021180689335,71.73614501953125,-367.2354782788369,-0.034454651176929474,1.0
34,61.65020161798287,5.716589450836182,37.0,2.0246994495391846,37.0,-233.87932278825517,-367.74480296911935,551.4986019134521,72.48003387451172,23.271804809570312,34.0,0.35579824447631836,0.08202511072158813,394.23455155165095,0.3704907298088074,0.1783369481563568,-0.0306365005671978,76.25114440917969,0.034027141129503384,2.017284631729126,-48.20659637451172,0.5947913527488708,0.34168511629104614,893.2162162162163,34000,0.0,0.017786575481295586,75.21672058105469,-367.74480296911935,-0.0012717321515083313,1.0
35,61.71122785436349,6.6940460205078125,39.0,2.090956687927246,39.0,-216.98775430920955,-336.35113123713427,567.1577315330505,74.11256408691406,24.45057487487793,35.0,0.31163957715034485,-0.06406957656145096,357.3255739783414,0.3710814416408539,0.18000461161136627,-0.02585698664188385,78.49653625488281,0.03335667202186392,1.9869909286499023,-51.58732986450195,0.5910851955413818,0.36859068274497986,886.3333333333334,35000,0.0,0.01815061829984188,77.22406005859375,-336.35113123713427,-0.16593874990940094,1.0
