rollout/Q_mean,param_noise_stddev,eval/return_history,reference_action_mean,total/epochs,obs_rms_mean,eval/Q,total/steps_per_second,total/episodes,reference_actor_Q_std,rollout/actions_std,reference_perturbed_action_mean,eval/return,total/duration,rollout/actions_mean,rollout/return,rollout/return_history,rollout/episode_steps,train/loss_critic,total/steps,train/param_noise_distance,rollout/episodes,train/loss_actor,ret_rms_std,reference_Q_std,obs_rms_std,ret_rms_mean,eval/episodes,reference_perturbed_action_std,reference_actor_Q_mean,reference_Q_mean,reference_action_std
64.42206573486328,0.018730226766195082,390.7848548877141,-0.1284414678812027,796,0.017927812412381172,103.43201446533203,68.14069581068053,1256.0,2.7864997386932373,0.5611463189125061,-0.0725361555814743,589.1959581247617,11681.712235689163,0.03920672461390495,-143.628123679988,309.54277943262497,633.5605095541401,35.92362976074219,796000,0.26263564825057983,1256.0,-76.97806549072266,1.0,2.8557095527648926,0.3879711329936981,0.0,796.0,0.4649120271205902,107.59722900390625,107.0589599609375,0.3348856568336487
64.47107696533203,0.017999379770019416,394.79773404135085,-0.10778364539146423,797,0.017947401851415634,104.97586059570312,68.12942974111067,1257.0,2.6790952682495117,0.560962975025177,-0.01979861408472061,819.5786945862076,11698.321900367737,0.039211735129356384,-143.13466651202287,311.3280318937217,633.8520286396181,44.482975006103516,797000,0.18896320462226868,1257.0,-73.92186737060547,1.0,2.7297680377960205,0.3879302442073822,0.0,797.0,0.40136346220970154,108.23724365234375,107.7933120727539,0.3565387427806854
64.52303314208984,0.018361167303396805,399.7598961636585,-0.029719170182943344,798,0.017959337681531906,105.71062469482422,68.11873816978571,1258.0,2.609259843826294,0.5607823133468628,-0.09337206184864044,688.9684009175282,11714.83825802803,0.0392690971493721,-142.51557777406381,313.54402894787364,634.1430842607314,56.248592376708984,798000,0.1501903235912323,1258.0,-77.60641479492188,1.0,2.688809394836426,0.38793906569480896,0.0,798.0,0.4092279374599457,107.37711334228516,106.95217895507812,0.37289950251579285
64.57754516601562,0.018730226766195082,401.58523798430986,-0.03627154976129532,799,0.01795906014740467,110.73963928222656,68.10681864159426,1259.0,2.61206316947937,0.5606005787849426,0.04558146372437477,577.4965212098358,11731.5713160038,0.039344288408756256,-142.03865698989625,313.66672350046167,634.4336775218427,22.403200149536133,799000,0.19521522521972656,1259.0,-76.9316177368164,1.0,2.6907434463500977,0.38790076971054077,0.0,799.0,0.3620326519012451,107.80859375,107.28530883789062,0.3608943223953247
64.6244125366211,0.017999379770019416,405.6421682872938,-0.2132766991853714,800,0.0179708581417799,108.16441345214844,68.09460547329941,1260.0,2.498828172683716,0.560408890247345,-0.20947951078414917,556.4626993585891,11748.36089348793,0.03936401754617691,-141.50597251209192,317.05646557231864,634.7238095238096,17.955379486083984,800000,0.32002753019332886,1260.0,-77.2243881225586,1.0,2.533348321914673,0.3878469467163086,0.0,800.0,0.3853287994861603,108.1121597290039,107.48004150390625,0.3175467848777771
64.67407989501953,0.019490749081111935,404.99823084199767,-0.05952180176973343,801,0.01797124184668064,102.65868377685547,68.0883406328317,1261.0,2.50934100151062,0.5602231025695801,-0.019440587610006332,384.35099434049687,11764.12866806984,0.03927263617515564,-140.98043794547033,322.8207350797318,635.0134813639968,24.1879825592041,801000,0.2433391809463501,1261.0,-76.34469604492188,1.0,2.5132265090942383,0.38783177733421326,0.0,801.0,0.4182971715927124,108.91791534423828,108.38417053222656,0.35978004336357117
64.72242736816406,0.019106704324195603,409.61589617921726,-0.10495362430810928,802,0.017980145290493965,107.74937438964844,68.07592461780526,1262.0,2.470947742462158,0.5600747466087341,-0.10708339512348175,775.8316339589676,11780.963747501373,0.03924330323934555,-140.56754147121018,326.32347380121115,635.3026941362916,23.353246688842773,802000,0.15871886909008026,1262.0,-79.78410339355469,1.0,2.4939613342285156,0.3877994418144226,0.0,802.0,0.2972136437892914,109.15083312988281,108.5767822265625,0.3307039737701416
64.77680206298828,0.019106704324195603,412.2899134654172,0.0834805816411972,803,0.017980920150876045,104.72563934326172,68.06497525643074,1263.0,2.543273687362671,0.559830904006958,0.028922535479068756,694.252999842292,11797.550751686096,0.03917326778173447,-139.90812395013646,330.02538807364084,635.5914489311164,29.017698287963867,803000,0.20408648252487183,1263.0,-78.90545654296875,1.0,2.5563981533050537,0.38775503635406494,0.0,803.0,0.3524278402328491,108.74732971191406,108.20569610595703,0.3308224380016327
64.82672882080078,0.019882513137642284,413.954693431867,-0.05509691312909126,804,0.017979027703404427,111.48445129394531,68.05390850237588,1264.0,2.6925456523895264,0.5595775246620178,-0.11083826422691345,680.7185154566679,11814.163472652435,0.03907477855682373,-139.61235928636924,331.50602898025625,635.4113924050633,31.443674087524414,804000,0.1678319275379181,1264.0,-77.0167007446289,1.0,2.6990489959716797,0.3877490162849426,0.0,804.0,0.34382736682891846,108.80150604248047,108.32870483398438,0.3426826596260071
64.87672424316406,0.018730226766195082,414.9542075969514,-0.1534108966588974,805,0.01797204650938511,108.23258972167969,68.04719010035477,1267.0,2.6661453247070312,0.5593973994255066,-0.2315240055322647,516.9170422056661,11830.02558684349,0.03896697238087654,-138.47382878405972,340.2951405873392,635.2549329123915,29.800905227661133,805000,0.23971351981163025,1267.0,-77.22575378417969,1.0,2.673072576522827,0.3877781331539154,0.0,805.0,0.33327361941337585,109.35270690917969,108.71673583984375,0.3159445822238922
