train/loss_actor,total/episodes,rollout/return,eval/episodes,rollout/Q_mean,reference_Q_std,total/steps_per_second,reference_Q_mean,ret_rms_mean,eval/Q,reference_action_mean,train/loss_critic,reference_perturbed_action_mean,rollout/episodes,total/duration,rollout/return_history,train/param_noise_distance,reference_perturbed_action_std,reference_action_std,reference_actor_Q_std,reference_actor_Q_mean,rollout/actions_mean,rollout/episode_steps,total/steps,total/epochs,ret_rms_std,rollout/actions_std,eval/return,obs_rms_mean,param_noise_stddev,obs_rms_std,eval/return_history
-108.24687194824219,29.0,-195.05848699550307,29.0,53.37869644165039,2.100961923599243,23.845817316287693,110.9852523803711,0.0,88.85469818115234,0.4017868936061859,11.075582504272461,0.48273828625679016,29.0,1216.1461951732635,-195.05848699550307,0.20102480798959732,0.536993682384491,0.5898278951644897,2.058295249938965,112.13067626953125,-0.0015763150295242667,1000.0,29000,29,1.0,0.723559558391571,-494.80666866770997,0.06591695547103882,0.019106704324195603,1.8429267406463623,-177.30273726291207
-113.78289794921875,30.0,-196.18469019965676,30.0,54.733829498291016,2.2912209033966064,23.832119521296786,118.54000854492188,0.0,91.60154724121094,0.19396989047527313,7.708118915557861,0.2748282253742218,30.0,1258.8053686618805,-196.18469019965676,0.2032836377620697,0.6132786273956299,0.6429633498191833,2.2357659339904785,119.55928039550781,-0.007327097002416849,1000.0,30000,30,1.0,0.7268997430801392,-578.1852507563221,0.06906034052371979,0.019106704324195603,1.9615545272827148,-190.6654877126924
-117.5479965209961,31.0,-206.65861667288158,31.0,55.96327590942383,2.1302289962768555,23.793332270375327,124.84478759765625,0.0,124.31845092773438,0.31678304076194763,9.724780082702637,0.2781132161617279,31.0,1302.8860206604004,-206.65861667288158,0.25241757929325104,0.6254279613494873,0.6122222542762756,2.0536422729492188,125.87733459472656,-0.013200993649661541,1000.0,31000,31,1.0,0.7320681810379028,-293.0489744359776,0.07148241996765137,0.018730226766195082,2.0219497680664062,-193.96818083279837
-122.3887710571289,32.0,-201.1680596245008,32.0,58.20388412475586,2.2567856311798096,23.814662748442355,128.47735595703125,0.0,130.246826171875,0.27819105982780457,7.377202987670898,0.21263767778873444,32.0,1343.7099797725677,-201.1680596245008,0.1941879615187645,0.6482069492340088,0.647007405757904,2.1660823822021484,129.69354248046875,-0.001938468893058598,1000.0,32000,32,1.0,0.731704831123352,150.7122976967319,0.07347065955400467,0.018730226766195082,2.0426442623138428,-183.19691587875053
-126.47344970703125,33.0,-198.26278271844845,33.0,59.6864128112793,2.325079917907715,23.819695051300275,132.24166870117188,0.0,133.53456115722656,0.20009922981262207,6.085222244262695,0.21278853714466095,33.0,1385.4081645011902,-198.26278271844845,0.22451741248369217,0.6356549859046936,0.635202169418335,2.23630690574646,133.26783752441406,-0.001124824397265911,1000.0,33000,33,1.0,0.7380962371826172,268.1889948536956,0.07656020671129227,0.017644720880324885,2.146204710006714,-169.51855494746428
-129.46026611328125,34.0,-187.34767719805825,34.0,61.20560836791992,1.9509471654891968,23.830454395681265,135.82659912109375,0.0,138.36212158203125,0.26786065101623535,9.122039794921875,0.2318243831396103,34.0,1426.745769739151,-187.34767719805825,0.17973558604717255,0.666549801826477,0.6564456224441528,2.0090837478637695,137.16354370117188,-0.0008711832342669368,1000.0,34000,34,1.0,0.7424401640892029,266.23241925970166,0.079971082508564,0.01662212523270047,2.2442262172698975,-156.70234982372412
-131.0653076171875,35.0,-171.59991734067654,35.0,63.48668670654297,2.3379628658294678,23.850205856987923,138.99124145507812,0.0,130.03036499023438,0.19150693714618683,9.50354290008545,0.1639636605978012,35.0,1467.4925746917725,-171.59991734067654,0.20191410928964615,0.7026018500328064,0.6772533059120178,2.2891573905944824,140.1393280029297,0.005007028114050627,1000.0,35000,35,1.0,0.7427051663398743,148.29583709771978,0.08256619423627853,0.01695622994987775,2.239001512527466,-147.98811591168288
-134.69497680664062,36.0,-159.023670680613,36.0,65.68053436279297,2.455838680267334,23.86956103646299,142.40621948242188,0.0,145.26719665527344,0.09138130396604538,14.183379173278809,0.05641679838299751,36.0,1508.1969854831696,-159.023670680613,0.1718108206987381,0.6927585601806641,0.7026060223579407,2.4979028701782227,143.63351440429688,0.007931816391646862,1000.0,36000,36,1.0,0.7411969304084778,290.13120547583287,0.08391047269105911,0.01662212523270047,2.241748571395874,-135.81813476202967
-139.03353881835938,37.0,-149.99386175394147,37.0,67.87638854980469,2.814194679260254,23.887516508491142,146.80780029296875,0.0,127.26963806152344,0.049675438553094864,13.027156829833984,-0.012837931513786316,37.0,1548.9261927604675,-149.99386175394147,0.1902572587132454,0.7160342335700989,0.7140270471572876,2.663098096847534,148.1988525390625,0.011048424057662487,1000.0,37000,37,1.0,0.7384037375450134,-205.7251817479465,0.08379719406366348,0.01695622994987775,2.229959487915039,-137.70751441029768
-141.9111785888672,38.0,-142.6470963519583,38.0,70.01118469238281,2.2370762825012207,23.902262586536956,148.82354736328125,0.0,149.35694885253906,0.06473075598478317,15.801446914672852,0.0583406426012516,38.0,1589.8076536655426,-142.6470963519583,0.2129560112953186,0.6417126059532166,0.6525678038597107,2.3981852531433105,149.7713623046875,0.007067446131259203,1000.0,38000,38,1.0,0.735599935054779,65.93191675619099,0.08404785394668579,0.016294603698363365,2.233494997024536,-132.34858201117956
