ret_rms_std,rollout/return_history,train/loss_critic,train/loss_actor,eval/episodes,reference_perturbed_action_std,eval/return_history,reference_perturbed_action_mean,reference_action_std,train/param_noise_distance,reference_actor_Q_std,reference_actor_Q_mean,rollout/episodes,total/duration,eval/Q,total/episodes,obs_rms_mean,total/steps,total/steps_per_second,rollout/Q_mean,reference_action_mean,reference_Q_mean,total/epochs,rollout/actions_std,rollout/episode_steps,ret_rms_mean,reference_Q_std,param_noise_stddev,rollout/actions_mean,obs_rms_std,eval/return,rollout/return
1.0,164.27209878377525,6.0941901206970215,-58.820960998535156,11.0,0.6709182262420654,218.52153537686843,0.4504354000091553,0.6311662197113037,0.19688186049461365,26.012765884399414,51.15111541748047,63.0,134.27409172058105,60.52756118774414,63.0,0.0673401951789856,11000,81.92198404805116,32.977413177490234,0.5082228779792786,49.456520080566406,11,0.4820480942726135,174.0793650793651,0.0,26.45804214477539,0.025245515830755405,0.587996244430542,1.218132495880127,172.1333854061761,164.27209878377525
1.0,162.26673112191327,7.388218879699707,-64.5386962890625,12.0,0.6325872540473938,219.37698566331184,0.47764667868614197,0.5978198647499084,0.2419222742319107,27.83809471130371,56.882568359375,69.0,146.30612897872925,75.85489654541016,69.0,0.06739777326583862,12000,82.01980384392935,35.59537887573242,0.532752275466919,54.604976654052734,12,0.48843252658843994,171.05797101449275,0.0,28.398160934448242,0.02426044449968572,0.5815697312355042,1.2646790742874146,228.78693881418954,162.26673112191327
1.0,174.47388626011852,9.00185775756836,-69.98550415039062,13.0,0.6139455437660217,223.46319993696326,0.46598020195961,0.6030418276786804,0.18431702256202698,28.848068237304688,61.682273864746094,73.0,158.16673183441162,81.5220718383789,73.0,0.07333046197891235,13000,82.19174695731841,39.063255310058594,0.5044364929199219,59.493560791015625,13,0.49135681986808777,176.91780821917808,0.0,29.619815826416016,0.022854436146078055,0.575671374797821,1.2656354904174805,272.49777122078035,174.47388626011852
1.0,178.07352885568423,9.755404472351074,-76.12752532958984,14.0,0.6787056922912598,230.78130045887733,0.4085657596588135,0.6612836718559265,0.23177789151668549,30.01449966430664,67.73688507080078,79.0,169.81621766090393,105.48401641845703,79.0,0.06738811731338501,14000,82.44206703482102,41.8426513671875,0.47157594561576843,64.87252807617188,14,0.49773892760276794,176.15189873417722,0.0,31.037561416625977,0.023782417899897774,0.5709800124168396,1.329309105873108,325.9166072437603,178.07352885568423
1.0,183.1969458485885,9.373822212219238,-81.79341125488281,15.0,0.6428123712539673,224.10796683476784,0.4826875627040863,0.6653545498847961,0.22563913464546204,33.1158332824707,73.62718963623047,86.0,181.50133872032166,94.70126342773438,86.0,0.06668592989444733,15000,82.64401852767456,45.40571594238281,0.45178306102752686,70.7887954711914,15,0.5016104578971863,173.6046511627907,0.0,33.60549545288086,0.023313810312614227,0.5686035752296448,1.3590129613876343,130.68129609723496,183.1969458485885
1.0,170.57789283412885,17.37872314453125,-90.79325866699219,16.0,0.7200263142585754,209.2733513629732,0.36662665009498596,0.7207390069961548,0.1740986704826355,37.183494567871094,81.0291748046875,94.0,193.01048040390015,80.74421691894531,94.0,0.0466839075088501,16000,82.89705287773943,47.42741394042969,0.2992929518222809,78.42715454101562,16,0.5104683637619019,168.46808510638297,0.0,37.780677795410156,0.023313810312614227,0.5606868267059326,1.476458191871643,-13.245880713946221,170.57789283412885
1.0,169.27384030353784,15.561964988708496,-96.25318145751953,17.0,0.7263774275779724,202.87312196609477,0.3659003674983978,0.6161067485809326,0.17011244595050812,41.64933776855469,84.58843994140625,95.0,204.5573000907898,100.63379669189453,95.0,0.03784704580903053,17000,83.1062982961488,50.35731506347656,0.45335185527801514,82.18201446533203,17,0.5409094095230103,169.0,0.0,42.47275924682617,0.022854436146078055,0.538958728313446,1.4601973295211792,100.46945161604016,169.27384030353784
1.0,175.01908635304454,13.448539733886719,-102.50788879394531,18.0,0.5725924372673035,203.54830235419925,0.5518137812614441,0.5822603702545166,0.16617265343666077,44.35049057006836,90.40830993652344,103.0,216.30630159378052,116.62218475341797,103.0,0.025254836305975914,18000,83.215328760064,52.772499084472656,0.5133991241455078,87.59846496582031,18,0.5442488193511963,174.39805825242718,0.0,45.14802169799805,0.022854436146078055,0.5360603928565979,1.5216318368911743,215.02636895197506,169.7478897831295
1.0,183.48062403422043,16.366086959838867,-107.86466979980469,19.0,0.5852639079093933,202.71385669438953,0.5322205424308777,0.5700286626815796,0.2139759510755539,46.56588363647461,98.33621215820312,110.0,228.05552768707275,126.95985412597656,110.0,0.021625038236379623,19000,83.31304306761167,54.81676483154297,0.5583743453025818,94.96537780761719,19,0.5450302362442017,172.43636363636364,0.0,47.34952163696289,0.021962663920618616,0.5367302894592285,1.5334231853485107,187.69383481781455,166.17361339033386
1.0,187.19812634530027,17.5779972076416,-112.23175811767578,20.0,0.510766327381134,200.44232338893897,0.562370240688324,0.5637056827545166,0.18973290920257568,49.53693389892578,103.0628662109375,116.0,239.64506936073303,124.91719055175781,116.0,0.017298879101872444,20000,83.4567556651641,57.58095169067383,0.5053803324699402,99.57563018798828,20,0.5472686886787415,171.97413793103448,0.0,50.222599029541016,0.024748079434129402,0.5339217782020569,1.5654195547103882,157.28319058537824,163.6911954183465
