total/steps,reference_actor_Q_std,total/steps_per_second,total/epochs,rollout/Q_mean,train/param_noise_distance,reference_action_mean,reference_Q_mean,eval/return_history,eval/episodes,total/duration,rollout/episodes,rollout/return_history,reference_perturbed_action_mean,reference_action_std,rollout/return,total/episodes,eval/Q,rollout/actions_std,reference_Q_std,reference_actor_Q_mean,rollout/actions_mean,eval/return,ret_rms_mean,reference_perturbed_action_std,obs_rms_mean,param_noise_stddev,train/loss_critic,obs_rms_std,rollout/episode_steps,train/loss_actor,ret_rms_std
205000,191.61886596679688,82.99273221478933,205,301.8207092285156,0.19752660393714905,0.5378985404968262,356.28790283203125,1011.3921009289536,205.0,2470.0958087444305,575.0,933.372936450721,0.4943137466907501,0.6059141159057617,577.4281459942042,575.0,502.59185791015625,0.5507900714874268,194.40391540527344,363.7147521972656,0.6267701387405396,998.8453155272603,0.0,0.7149112820625305,0.06305178254842758,0.019106704324195603,267.9349060058594,1.3068721294403076,356.06434782608693,-501.2598571777344,1.0
206000,189.0943145751953,82.98093159534425,206,302.756103515625,0.201137974858284,0.4297287166118622,358.7677001953125,1018.8031299799487,206.0,2482.498039484024,578.0,922.660521050765,0.4857827126979828,0.7066565752029419,578.8403725276916,578.0,539.19970703125,0.5511738061904907,192.3178253173828,366.737060546875,0.6264253854751587,1155.2945619752952,0.0,0.6544845700263977,0.06290888041257858,0.018361167303396805,309.2728271484375,1.3076921701431274,356.3771626297578,-503.2297668457031,1.0
207000,192.4437255859375,82.98118250365121,207,303.72320556640625,0.18264557421207428,0.49063798785209656,354.358154296875,1024.403814921779,207.0,2494.541458129883,580.0,901.9401204304729,0.4871128499507904,0.635290801525116,579.8241957844151,580.0,533.2606811523438,0.551456868648529,195.06204223632812,362.1190185546875,0.6259666085243225,1059.197661003233,0.0,0.6824058890342712,0.06262911856174469,0.019490749081111935,331.49664306640625,1.309857726097107,356.43275862068964,-508.1534423828125,1.0
208000,193.42288208007812,82.96842842357272,208,305.1017761230469,0.17124326527118683,0.4871911108493805,357.30755615234375,1026.775149126824,208.0,2506.977701663971,581.0,902.6442677442398,0.5220487713813782,0.6160924434661865,580.6227214975407,581.0,509.4324645996094,0.5507261753082275,195.53533935546875,364.2704162597656,0.625801682472229,1109.1701384957119,0.0,0.6266666650772095,0.0626860111951828,0.018361167303396805,300.6617126464844,1.3079098463058472,357.5404475043029,-509.4513244628906,1.0
209000,200.19769287109375,82.90673781266065,209,305.9250183105469,0.1927177757024765,0.5182408690452576,357.0156555175781,1042.3750437584076,209.0,2520.9048807621,585.0,860.6039209150501,0.46551012992858887,0.6278928518295288,579.8487341519901,585.0,567.0578002929688,0.5508342981338501,203.00384521484375,364.90960693359375,0.6254642009735107,2111.731257256534,0.0,0.6571653485298157,0.06240561604499817,0.019106704324195603,232.1089324951172,1.3077939748764038,357.04786324786323,-509.9223327636719,1.0
210000,202.71444702148438,82.91304011206358,210,307.1357116699219,0.1795792430639267,0.4593569338321686,356.28009033203125,1042.8134672170856,210.0,2532.774093389511,586.0,879.3700989581455,0.48135700821876526,0.6866624355316162,582.2074801167454,586.0,503.8243103027344,0.5509580373764038,206.20394897460938,364.9268493652344,0.6251556277275085,849.6986604197676,0.0,0.7015044689178467,0.06252487748861313,0.019106704324195603,146.98773193359375,1.3097325563430786,357.88907849829354,-509.8882751464844,1.0
211000,197.0714569091797,82.92355143980609,211,308.202392578125,0.216186061501503,0.4306751787662506,362.0758056640625,1035.8528181732024,211.0,2544.5123410224915,588.0,869.3789752846709,0.5242353081703186,0.682752251625061,584.5179835407296,588.0,532.9169921875,0.5512192845344543,201.05409240722656,371.64898681640625,0.6246591210365295,696.0107609379468,0.0,0.6280269026756287,0.062434520572423935,0.017999379770019416,342.517578125,1.3112249374389648,358.42687074829934,-514.3734130859375,1.0
212000,195.45205688476562,82.93178755087374,212,308.9739685058594,0.2257929891347885,0.39565929770469666,367.6246337890625,1032.6081101981615,212.0,2556.3177433013916,590.0,862.2782222468118,0.44368836283683777,0.7029216885566711,585.7996700770416,590.0,513.2997436523438,0.5515127778053284,198.766845703125,377.07867431640625,0.624119758605957,736.9260082616853,0.0,0.6912007927894592,0.06201209872961044,0.017644720880324885,156.48280334472656,1.3142873048782349,358.52033898305086,-520.6416625976562,1.0
213000,196.75038146972656,82.92354836169973,213,309.80133056640625,0.21824884414672852,0.47707533836364746,364.0791015625,1035.546714050834,213.0,2568.631036758423,591.0,857.4985630481017,0.5713252425193787,0.6655449867248535,586.2065177664172,591.0,549.2875366210938,0.5512242913246155,200.465087890625,373.89593505859375,0.6240347027778625,1098.9089010579312,0.0,0.6054595112800598,0.06210756301879883,0.017999379770019416,161.14625549316406,1.3139333724975586,359.3248730964467,-520.1650390625,1.0
214000,192.09353637695312,82.93475914983951,214,310.91107177734375,0.22435778379440308,0.4757586419582367,374.66546630859375,1034.2734131434515,214.0,2580.3414900302887,593.0,854.8912422925684,0.510226309299469,0.6401329040527344,588.4307714171606,593.0,515.1334228515625,0.5511071085929871,196.27908325195312,384.59326171875,0.6237709522247314,550.5953117480633,0.0,0.6324273347854614,0.06226583942770958,0.017297050171870294,125.1364974975586,1.313819169998169,360.7284991568297,-521.1642456054688,1.0
