eval/return_history,total/steps,total/steps_per_second,train/loss_actor,rollout/episodes,ret_rms_std,reference_action_std,train/loss_critic,obs_rms_mean,eval/episodes,reference_action_mean,reference_actor_Q_std,train/param_noise_distance,rollout/return,eval/return,obs_rms_std,rollout/return_history,rollout/actions_mean,total/epochs,rollout/episode_steps,reference_Q_mean,eval/Q,reference_perturbed_action_std,param_noise_stddev,total/episodes,rollout/actions_std,reference_Q_std,reference_actor_Q_mean,rollout/Q_mean,ret_rms_mean,reference_perturbed_action_mean,total/duration
-50.43393459064522,814000,80.12744063804563,87.775390625,14616.0,1.0,0.749868631362915,85.35917663574219,0.01685938611626625,814.0,0.03327944874763489,3.03078031539917,0.20786796510219574,-98.52741657803749,-37.93769329747242,0.5647902488708496,-19.866820385369177,0.018167976289987564,814,55.68958675424193,-21.25463104248047,-21.4406795501709,0.6645222306251526,0.010944321720492653,14616.0,0.8351335525512695,2.9404609203338623,-20.59008026123047,-80.50911712646484,0.0,0.09273649007081985,10158.816923618317
-49.74346114473211,815000,80.07934380228617,88.35868835449219,14643.0,1.0,0.6932166218757629,94.53333282470703,0.016862595453858376,815.0,-0.19312052428722382,2.961822032928467,0.20973913371562958,-98.38418848709448,-23.84539726871951,0.5648146271705627,-18.699706954269097,0.018121078610420227,815,55.65696920030049,-21.441421508789062,-19.23171615600586,0.7196193337440491,0.010944321720492653,14643.0,0.8349554538726807,2.887141227722168,-20.758686065673828,-80.4324722290039,0.0,-0.14894860982894897,10177.40607380867
-52.58663423086847,816000,80.01832534812787,91.56884002685547,14662.0,1.0,0.7554296851158142,105.23482513427734,0.016858456656336784,816.0,0.06656754016876221,2.6857402324676514,0.2502310276031494,-98.28412322461222,-302.55617839603326,0.5647773742675781,-19.76636762615721,0.01804831437766552,816,55.65298049379348,-20.881555557250977,-32.395355224609375,0.7321838140487671,0.011164302587074557,14662.0,0.8347486257553101,2.640965461730957,-20.486488342285156,-80.35578918457031,0.0,0.11008583009243011,10197.664053201675
-52.339270022289284,817000,79.97497640257549,85.05876159667969,14682.0,1.0,0.7230733036994934,50.29963684082031,0.016855716705322266,817.0,0.07125331461429596,2.817899465560913,0.19440031051635742,-98.20949412064046,-11.936862975803148,0.5647876262664795,-25.13995545148311,0.01800023578107357,817,55.64582481950688,-21.582963943481445,-14.844264030456543,0.7541223168373108,0.011164302587074557,14682.0,0.8345984220504761,2.8623101711273193,-20.886966705322266,-80.28295135498047,0.0,-0.07235389947891235,10215.69541811943
-52.02120051445039,818000,79.92870073347031,85.90301513671875,14717.0,1.0,0.6956121325492859,67.31118774414062,0.01686069369316101,818.0,-0.016517460346221924,2.8207411766052246,0.225341334939003,-98.03125849916468,-17.595828452858168,0.5648935437202454,-26.58797872866887,0.017987914383411407,818,55.58082489637834,-20.70901107788086,-17.039562225341797,0.7649291753768921,0.010310046129879225,14717.0,0.8344665765762329,2.8575332164764404,-20.184162139892578,-80.20528411865234,0.0,-0.06013551354408264,10234.121066570282
-51.85206728708704,819000,79.885022633199,85.66114044189453,14745.0,1.0,0.7082518935203552,37.33149719238281,0.016868676990270615,819.0,0.06292352080345154,2.892150402069092,0.2054845690727234,-97.91192033394056,-29.926843540844636,0.5649915933609009,-29.955511389708292,0.017921367660164833,819,55.543506273312985,-20.724964141845703,-17.8912296295166,0.7323408722877502,0.010106897490323717,14745.0,0.834372341632843,2.894026517868042,-20.062501907348633,-80.13150787353516,0.0,0.11178325116634369,10252.234686851501
-51.60820274449,820000,79.84428491486548,86.52998352050781,14753.0,1.0,0.6828926801681519,135.41802978515625,0.01687467470765114,820.0,0.010643675923347473,2.776977300643921,0.1859830617904663,-97.8744164824166,-28.200344010176064,0.5649219751358032,-31.04234216644224,0.018170993775129318,820,55.52748593506406,-19.84335708618164,-18.211421966552734,0.7042691111564636,0.010106897490323717,14753.0,0.8343952298164368,2.7947988510131836,-19.509784698486328,-80.0517578125,0.0,0.03414765000343323,10269.989904403687
-50.570300162742775,821000,79.7970770210994,88.57010650634766,14792.0,1.0,0.6665284633636475,75.42787170410156,0.016877396032214165,821.0,-0.1380293071269989,2.772977828979492,0.24253931641578674,-97.83410600509819,-55.950157820498816,0.5650306940078735,-50.5156003645165,0.018254850059747696,821,55.50141968631693,-20.835962295532227,-19.363529205322266,0.6988329887390137,0.009907751681525063,14792.0,0.8343546390533447,2.696106433868408,-20.038097381591797,-79.9730453491211,0.0,-0.051613323390483856,10288.597410440445
-50.70880746843497,822000,79.75566520493085,88.44412994384766,14830.0,1.0,0.6750538349151611,88.02166748046875,0.01687631942331791,822.0,-2.130866050720215e-06,2.797536611557007,0.23096850514411926,-97.67306742607438,-38.22105635057775,0.5651773810386658,-54.23928738149617,0.018153846263885498,822,55.427983816588,-19.597938537597656,-18.283544540405273,0.6237821578979492,0.010728675346037303,14830.0,0.8342692255973816,2.73420786857605,-18.79677391052246,-79.89723205566406,0.0,0.09181252121925354,10306.477889537811
-50.623678054785344,823000,79.70643458375847,86.83216094970703,14833.0,1.0,0.6276589632034302,56.90068054199219,0.016865981742739677,823.0,0.15438884496688843,2.8919684886932373,0.2134753316640854,-97.66402789655837,-51.89140717226621,0.5652565360069275,-54.635781489760504,0.01804199628531933,823,55.42209937301962,-19.15580940246582,-19.726037979125977,0.7506709098815918,0.010517278057089798,14833.0,0.8344384431838989,2.826198101043701,-18.92363739013672,-80.12433624267578,0.0,-0.09716042876243591,10325.389716625214
-50.792233569845415,824000,79.66266633351633,85.15153503417969,14856.0,1.0,0.7454763650894165,87.04962158203125,0.016866885125637054,824.0,0.06211548671126366,2.7070579528808594,0.18323485553264618,-97.76197985177986,-42.04087790294932,0.5652919411659241,-62.66770661015218,0.018044115975499153,824,55.46223747980614,-19.179121017456055,-19.10177230834961,0.7697193026542664,0.010310046129879225,14856.0,0.8343116641044617,2.636453151702881,-18.78727912902832,-80.07550811767578,0.0,0.04359731078147888,10343.615622282028
-50.48454190539862,825000,79.62057563927347,85.74222564697266,14887.0,1.0,0.6215817332267761,39.36640930175781,0.016878774389624596,825.0,0.08204855769872665,2.7723941802978516,0.15660478174686432,-97.60976967821557,-5.269497772698569,0.5652884840965271,-60.782990822703844,0.018105654045939445,825,55.413582320145096,-20.485490798950195,-14.536389350891113,0.6255045533180237,0.010517278057089798,14887.0,0.8341339230537415,2.7866225242614746,-19.984102249145508,-79.9990234375,0.0,0.12218485027551651,10361.643248319626
-50.17954426804443,826000,79.58143936881515,79.78079223632812,14912.0,1.0,0.7299726605415344,65.4322509765625,0.016880296170711517,826.0,0.012068182229995728,2.970278739929199,0.17662957310676575,-97.49646606639254,-14.73207974256141,0.5653020739555359,-59.90177268957334,0.01808754727244377,826,55.3911614806867,-20.724365234375,-14.22954273223877,0.6935337781906128,0.010728675346037303,14912.0,0.8339555263519287,2.821291923522949,-20.025718688964844,-79.92350006103516,0.0,-0.06887692213058472,10379.30460357666
-50.30970083338693,827000,79.55501131305199,84.6391372680664,14928.0,1.0,0.7055701017379761,108.9050521850586,0.01688273251056671,827.0,-0.08057043701410294,3.008584499359131,0.196909561753273,-97.45474411452408,-41.50882520146488,0.5652573108673096,-63.61311525365175,0.018148697912693024,827,55.39804394426581,-20.982410430908203,-20.59590721130371,0.7687059044837952,0.010728675346037303,14928.0,0.8338272571563721,3.0744826793670654,-20.58499526977539,-79.8525161743164,0.0,-0.05325049161911011,10395.322511434555
-50.24533440517557,828000,79.53792267938898,85.52330780029297,14944.0,1.0,0.648834764957428,70.02454376220703,0.016881342977285385,828.0,-0.17206843197345734,2.7513649463653564,0.22234702110290527,-97.38743721962224,-15.146754662105668,0.5652304887771606,-34.249585134102105,0.01808331348001957,828,55.40437633832976,-21.394920349121094,-16.43364143371582,0.6409357786178589,0.010106897490323717,14944.0,0.8336528539657593,2.773892641067505,-20.626251220703125,-79.77980041503906,0.0,-0.27299878001213074,10410.12855386734
