rollout/episodes,reference_action_std,reference_action_mean,eval/return,rollout/return_history,reference_actor_Q_mean,eval/return_history,total/epochs,reference_Q_mean,total/steps,reference_perturbed_action_std,ret_rms_std,train/loss_critic,rollout/Q_mean,obs_rms_std,reference_actor_Q_std,rollout/actions_mean,total/steps_per_second,param_noise_stddev,reference_perturbed_action_mean,rollout/actions_std,total/duration,total/episodes,obs_rms_mean,rollout/return,rollout/episode_steps,train/param_noise_distance,eval/Q,train/loss_actor,reference_Q_std,ret_rms_mean,eval/episodes
1272.0,0.701946496963501,0.44414082169532776,1607.2281383767224,943.4251285782291,433.07513427734375,1282.370315341979,482,423.46697998046875,482000,0.72049480676651,1.0,545.0142822265625,416.2862854003906,1.9147562980651855,240.64712524414062,0.4350399374961853,79.48491191848053,0.015047793132436803,0.3511343002319336,0.6183149218559265,6064.043959617615,1272.0,-0.08251398801803589,542.354939574475,378.70990566037733,0.16099125146865845,664.9163818359375,-621.9140014648438,244.89195251464844,0.0,482.0
1274.0,0.6352026462554932,0.5254967212677002,389.9825334342505,951.3186491797339,428.65142822265625,1269.3004717444817,483,420.1499938964844,483000,0.7418466806411743,1.0,464.9029541015625,416.7952575683594,1.916222095489502,242.5439910888672,0.43511641025543213,79.49532294517951,0.014460633428115275,0.3778558075428009,0.6183184385299683,6075.829144477844,1274.0,-0.0825931504368782,543.2925460078529,378.97488226059653,0.20695018768310547,537.277099609375,-620.1431884765625,246.0743408203125,0.0,483.0
1275.0,0.7244555354118347,0.37509357929229736,1927.298603428125,964.4534195503444,435.5790100097656,1269.4251681917815,484,425.06365966796875,484000,0.6749467253684998,1.0,608.8729858398438,417.3135986328125,1.9176841974258423,240.47804260253906,0.4351361393928528,79.4741887213041,0.014751292160020392,0.465069442987442,0.6184043288230896,6090.027564764023,1275.0,-0.08247416466474533,544.6763881481609,379.4619607843137,0.18642544746398926,672.4762573242188,-622.9180297851562,244.93663024902344,0.0,484.0
1277.0,0.7025354504585266,0.4714216887950897,1633.9473591079407,971.0065291474045,429.42327880859375,1266.33991387375,485,417.7287902832031,485000,0.7324590086936951,1.0,396.3476867675781,417.8330078125,1.918736219406128,240.7666473388672,0.435054212808609,79.45506945046279,0.014460633428115275,0.36417803168296814,0.6184982061386108,6104.078737258911,1277.0,-0.08251073956489563,544.8520548135632,379.2028191072827,0.21193136274814606,666.64599609375,-622.261962890625,244.7421112060547,0.0,485.0
1278.0,0.7845741510391235,0.3347778618335724,1183.8417684875685,988.3181555105599,443.566162109375,1263.9520414924032,486,430.47955322265625,486000,0.7547551989555359,1.0,270.75494384765625,418.3500061035156,1.920158863067627,239.83233642578125,0.4349445402622223,79.44825531671657,0.015047793132436803,0.36673974990844727,0.6186391711235046,6117.189081907272,1278.0,-0.08248178660869598,546.548641394845,379.6885758998435,0.20074839890003204,649.8988647460938,-625.3154907226562,244.40211486816406,0.0,486.0
1280.0,0.7323391437530518,0.4222753047943115,1267.2845504338104,994.3183629054978,436.09429931640625,1258.9183573374778,487,425.7451477050781,487000,0.7594600915908813,1.0,501.8922119140625,418.9198303222656,1.9209343194961548,246.99169921875,0.4348578155040741,79.43762389541159,0.014460633428115275,0.3584582507610321,0.6187378764152527,6130.596260547638,1280.0,-0.08251331001520157,547.9861733228527,380.22578125,0.19501841068267822,631.22900390625,-625.606689453125,250.2204132080078,0.0,487.0
1281.0,0.7137750387191772,0.4341992437839508,2296.517959692024,994.382630381416,439.4584655761719,1271.3419957652202,488,428.3426208496094,488000,0.7762810587882996,1.0,398.1685485839844,419.427490234375,1.921834111213684,247.9649658203125,0.4348096251487732,79.41253769922108,0.014751292160020392,0.35300779342651367,0.6188113689422607,6145.125368595123,1281.0,-0.08252336829900742,548.5332643545203,380.39500390320063,0.19237229228019714,686.1121826171875,-626.6065063476562,251.95176696777344,0.0,488.0
1283.0,0.7010809183120728,0.44093552231788635,560.0972949505751,1017.9453119713762,439.92926025390625,1264.8257919249177,489,429.70867919921875,489000,0.725208580493927,1.0,398.7588195800781,419.8420104980469,1.922773003578186,241.9340362548828,0.4348040223121643,79.4119790657904,0.014460633428115275,0.4108690321445465,0.6188629865646362,6157.761155843735,1283.0,-0.08264213800430298,550.3375123143355,381.0888542478566,0.2351604551076889,606.7665405273438,-626.312744140625,246.42352294921875,0.0,489.0
1285.0,0.6524684429168701,0.5452473759651184,989.091127794298,1008.3282414614866,435.90313720703125,1261.4921184435962,490,423.85247802734375,490000,0.5863764882087708,1.0,366.2080383300781,420.14453125,1.9231748580932617,243.36163330078125,0.4349706768989563,79.3824190474484,0.014175701821503062,0.5835086703300476,0.6188428401947021,6172.65139913559,1285.0,-0.08261462301015854,550.3414974958343,381.1891050583658,0.1815662384033203,664.2387084960938,-628.648681640625,248.53660583496094,0.0,490.0
1288.0,0.7004503607749939,0.38711532950401306,2293.4362234373953,984.5419729788881,442.4531555175781,1265.3422318823132,491,432.4186706542969,491000,0.6318171620368958,1.0,285.23223876953125,420.6098327636719,1.9238128662109375,237.83282470703125,0.4349363446235657,79.35536834906031,0.014751292160020392,0.5190208554267883,0.6188963055610657,6187.357077598572,1288.0,-0.08277024328708649,550.2875546707259,381.02872670807454,0.23877686262130737,691.4596557617188,-629.6307983398438,243.05772399902344,0.0,491.0
