ret_rms_std,eval/return,eval/return_history,reference_action_mean,reference_perturbed_action_std,total/steps,rollout/return_history,train/loss_critic,total/epochs,rollout/return,obs_rms_std,total/episodes,train/loss_actor,obs_rms_mean,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,reference_Q_std,total/steps_per_second,reference_action_std,reference_actor_Q_mean,eval/Q,reference_actor_Q_std,rollout/episode_steps,reference_Q_mean,rollout/episodes,total/duration,ret_rms_mean,train/param_noise_distance,param_noise_stddev,eval/episodes,reference_perturbed_action_mean
1.0,231.93369768188253,225.25495300593727,-0.02383427321910858,0.7657951712608337,17000,250.07582649188913,134.2471466064453,17,198.08795609793185,6.730202674865723,425.0,-256.9575500488281,1.4956042766571045,143.51454162597656,0.10115723311901093,0.6786870360374451,139.78868103027344,86.37020287229095,0.779387354850769,235.23434448242188,249.94833374023438,140.2411651611328,39.98117647058824,214.66415405273438,425.0,196.82713985443115,0.0,0.21747234463691711,0.02152991267583435,17.0,0.02193193882703781
1.0,272.41808117950904,227.8751267933579,0.06206032633781433,0.7546862363815308,18000,247.13003845005915,147.70645141601562,18,200.88670493272812,6.716320514678955,444.0,-263.3754577636719,1.515030026435852,148.96995544433594,0.09998495876789093,0.6840392351150513,145.68785095214844,86.33788453858509,0.7540476322174072,244.7884521484375,276.5555419921875,148.03726196289062,40.484234234234236,224.29412841796875,444.0,208.48321795463562,0.0,0.2064126580953598,0.02152991267583435,18.0,0.07830099761486053
1.0,395.98243407926594,236.72287980840568,0.03191927447915077,0.7610380053520203,19000,259.5640810474465,165.73597717285156,19,205.92314848935155,6.675363540649414,457.0,-275.3808288574219,1.5226399898529053,157.23744201660156,0.09510274231433868,0.6877742409706116,156.56324768066406,86.24295806065409,0.7524937391281128,245.70071411132812,300.13232421875,159.9073486328125,41.44857768052516,225.98794555664062,457.0,220.30784225463867,0.0,0.18145056068897247,0.020689822899908242,19.0,0.029502209275960922
1.0,420.7638124491973,245.92492644044523,0.12107518315315247,0.756413996219635,20000,275.07408158413574,168.6390380859375,20,210.04545331851875,6.665894985198975,473.0,-284.168701171875,1.5369813442230225,164.02232360839844,0.0949978455901146,0.6921868324279785,163.74392700195312,86.12911142328609,0.748339056968689,239.2236328125,327.91571044921875,168.68212890625,42.2600422832981,218.68966674804688,473.0,232.20952439308167,0.0,0.1982908546924591,0.02240411346542305,20.0,0.13481085002422333
1.0,366.1962161129276,251.65213071056345,0.24763286113739014,0.7446404695510864,21000,289.44428201097986,189.59848022460938,21,214.21883003357794,6.631012439727783,486.0,-292.0735778808594,1.5607811212539673,170.91920471191406,0.10166221112012863,0.6950589418411255,170.98301696777344,86.03438211952653,0.7376217842102051,248.50930786132812,314.28790283203125,176.45681762695312,43.12551440329218,225.08139038085938,486.0,244.08846187591553,0.0,0.19367356598377228,0.0211056883401964,21.0,0.284775972366333
1.0,246.11471570091362,251.40043002830663,0.062322258949279785,0.7772307395935059,22000,306.8074744233487,248.97564697265625,22,218.28302901362275,6.596590518951416,500.0,-298.38214111328125,1.5778123140335083,177.74314880371094,0.1048012226819992,0.6983548998832703,174.56979370117188,86.02662426136571,0.7716317772865295,263.2452392578125,265.74591064453125,181.69174194335938,43.974,234.09852600097656,500.0,255.73478198051453,0.0,0.1990576833486557,0.020689822899908242,22.0,0.04859001561999321
1.0,216.87546437685924,249.8993445652002,0.19933387637138367,0.7185750603675842,23000,319.3005878602798,253.9372100830078,23,220.51209766884344,6.5605149269104,517.0,-312.9646911621094,1.587306261062622,183.58590698242188,0.10706090182065964,0.7010758519172668,181.0382843017578,86.01557422802058,0.728201150894165,281.98211669921875,374.252685546875,187.3256378173828,44.456479690522244,251.6399688720703,517.0,267.39343667030334,0.0,0.21800146996974945,0.0211056883401964,23.0,0.19628268480300903
1.0,402.2475454248252,256.24718626768464,0.12710684537887573,0.7597008943557739,24000,331.9452056334319,298.40167236328125,24,224.03084107513564,6.520151138305664,529.0,-317.7344970703125,1.595573902130127,191.09779357910156,0.10705555230379105,0.7040712237358093,189.76438903808594,85.91859439788155,0.7587000727653503,279.80584716796875,420.4237060546875,196.3291015625,45.26086956521739,253.342529296875,529.0,279.33417868614197,0.0,0.19104407727718353,0.0211056883401964,24.0,0.0366116464138031
1.0,171.84936675282023,252.87127348709006,0.14623485505580902,0.7531886100769043,25000,353.2508058026251,295.8358154296875,25,228.52060348148126,6.489234447479248,541.0,-323.101806640625,1.6043137311935425,198.28909301757812,0.10575932264328003,0.7077370882034302,194.9479522705078,85.92377032444821,0.776551365852356,283.08154296875,454.73193359375,201.8595733642578,46.195933456561924,254.94244384765625,541.0,290.95557498931885,0.0,0.19265954196453094,0.020689822899908242,25.0,0.17401094734668732
1.0,264.2294246643652,253.3081254554468,0.1216731071472168,0.800011932849884,26000,344.68758252071535,302.4504699707031,26,230.73476611129638,6.472912311553955,556.0,-337.9129638671875,1.611459732055664,204.7180938720703,0.10676269978284836,0.7105226516723633,200.41094970703125,85.91102621606043,0.7966151237487793,285.88226318359375,370.6558532714844,209.52317810058594,46.71762589928058,254.61965942382812,556.0,302.63868498802185,0.0,0.19865868985652924,0.021962663920618616,26.0,0.10693163424730301
1.0,337.130932682608,256.4126738712676,0.23457735776901245,0.7762224078178406,27000,350.8495848976589,318.84210205078125,27,234.3000970098304,6.443928241729736,568.0,-341.0765686035156,1.6211700439453125,211.40487670898438,0.10780596733093262,0.7131345272064209,205.82000732421875,85.85498733689404,0.7601206302642822,292.5391845703125,416.2358093261719,214.98541259765625,47.431338028169016,262.9915771484375,568.0,314.4837689399719,0.0,0.1862649768590927,0.0211056883401964,27.0,0.16422291100025177
1.0,297.4936895050749,257.8798530010464,0.16871659457683563,0.777496874332428,28000,356.355258333345,447.9007568359375,28,237.353422250779,6.415709018707275,580.0,-343.5725402832031,1.6305993795394897,217.74874877929688,0.11076746881008148,0.7146245241165161,209.45240783691406,85.03976036792106,0.7781675457954407,302.0776062011719,418.3937072753906,219.02146911621094,48.141379310344824,270.31292724609375,580.0,329.25774812698364,0.0,0.22278481721878052,0.020282151651708893,28.0,0.14414846897125244
