rollout/return,reference_Q_std,rollout/episode_steps,obs_rms_mean,total/episodes,ret_rms_std,reference_Q_mean,rollout/return_history,ret_rms_mean,train/param_noise_distance,total/duration,eval/return,rollout/actions_std,reference_actor_Q_mean,eval/Q,train/loss_critic,rollout/Q_mean,reference_action_std,reference_actor_Q_std,reference_action_mean,eval/return_history,total/steps_per_second,obs_rms_std,rollout/episodes,total/steps,train/loss_actor,rollout/actions_mean,total/epochs,eval/episodes
-95.66449565286376,7.036393165588379,1000.0,0.12232330441474915,11.0,1.0,31.047019958496094,-95.66449565286376,0.0,0.0,246.1965024471283,28.703463417574973,0.7084808945655823,31.53643798828125,32.105892181396484,0.8188582062721252,10.249465942382812,0.5707729458808899,7.031012058258057,0.16710896790027618,-138.1273187867162,44.679757391607524,2.473824977874756,11.0,11000,-26.122892379760742,0.014591362327337265,11,11.0
-96.82993723175805,5.834976673126221,1000.0,0.12079847604036331,12.0,1.0,32.38927459716797,-96.82993723175805,0.0,0.0,268.20387172698975,104.51389108856299,0.6963227987289429,32.89727020263672,31.609477996826172,1.044417142868042,12.084436416625977,0.5326675772666931,5.534177303314209,0.20564593374729156,-117.90721796377625,44.74208341114124,2.3936069011688232,12.0,12000,-29.091716766357422,0.02460726536810398,12,12.0
-85.54621447833046,4.749349594116211,1000.0,0.11936384439468384,13.0,1.0,33.715179443359375,-85.54621447833046,0.0,0.0,290.081307888031,95.737762240421,0.6862173676490784,34.30054473876953,29.55525016784668,0.7341973781585693,13.59292984008789,0.5916204452514648,4.587085247039795,0.13317586481571198,-101.47298871729953,44.81502132849557,2.3497228622436523,13.0,13000,-31.485759735107422,0.020472217351198196,13,13.0
-58.035074774240556,3.938878297805786,1000.0,0.12434353679418564,14.0,1.0,35.149139404296875,-58.035074774240556,0.0,0.0,312.0598306655884,347.0330366190317,0.6995496153831482,35.74996566772461,33.27286148071289,0.8104970455169678,14.896583557128906,0.6098430752754211,3.782581090927124,0.07407239824533463,-69.43684405041873,44.86319168391388,2.3907768726348877,14.0,14000,-33.6246452331543,0.019147969782352448,14,14.0
-30.523247187732327,3.3649771213531494,1000.0,0.12819445133209229,15.0,1.0,36.92533493041992,-30.523247187732327,0.0,0.0,333.882581949234,-50.641882012116184,0.7001368403434753,37.62608337402344,41.72742462158203,1.6104475259780884,16.229333877563477,0.6401121616363525,3.0378105640411377,0.09051007032394409,-68.18384658119857,44.92597341385335,2.4149556159973145,15.0,15000,-35.933433532714844,0.021789677441120148,15,15.0
-28.918324861715277,2.2546091079711914,1000.0,0.13090693950653076,16.0,1.0,38.966209411621094,-28.918324861715277,0.0,0.0,355.8127386569977,764.4827902230452,0.7004464864730835,39.560462951660156,42.610965728759766,1.8713912963867188,17.626636505126953,0.6816945672035217,2.003058433532715,0.12845291197299957,-16.142181780933313,44.967473790824414,2.4264729022979736,16.0,16000,-39.192970275878906,0.031345024704933167,16,16.0
-39.06404852391986,1.8452540636062622,1000.0,0.12905681133270264,17.0,1.0,41.72389221191406,-39.06404852391986,0.0,0.0,377.6888601779938,479.381048257337,0.7024338245391846,42.59087371826172,45.52446746826172,2.5313732624053955,18.83263397216797,0.6874703764915466,1.7434420585632324,0.02191019058227539,13.006243515435528,45.010594148814434,2.377471685409546,17.0,17000,-42.658058166503906,0.029092641547322273,17,17.0
-17.77070892784597,2.2919228076934814,1000.0,0.13177044689655304,18.0,1.0,46.29425811767578,-17.77070892784597,0.0,0.0,399.71269488334656,545.5431548394871,0.7037752866744995,47.07106018066406,50.2503662109375,2.1950364112854004,20.37104034423828,0.6193719506263733,2.1718544960021973,0.05230780318379402,42.59162747788284,45.03234505787508,2.385390520095825,18.0,18000,-46.47275924682617,0.029054386541247368,18,18.0
17.827485125029597,1.8606950044631958,1000.0,0.13621944189071655,19.0,1.0,49.46597671508789,17.827485125029597,0.0,0.0,421.5384681224823,587.2567029112395,0.7065393328666687,50.381385803222656,54.785030364990234,2.376565456390381,22.06509780883789,0.6862613558769226,1.833617925643921,0.11772048473358154,71.25821039542792,45.072991996733634,2.433622360229492,19.0,19000,-50.3111457824707,0.03072810359299183,19,19.0
44.97548685864357,1.4124033451080322,1000.0,0.13900046050548553,20.0,1.0,52.948768615722656,44.97548685864357,0.0,0.0,443.4327006340027,722.009668691457,0.7099254727363586,53.820960998535156,59.58816146850586,0.9502768516540527,23.786779403686523,0.7652055621147156,1.441667079925537,0.09673471003770828,103.79578331022938,45.10267278756119,2.4838876724243164,20.0,20000,-54.51351547241211,0.02588488906621933,20,20.0
64.33957773301051,1.3455135822296143,1000.0,0.1412554532289505,21.0,1.0,56.82727813720703,64.33957773301051,0.0,0.0,465.30077719688416,420.25624477507637,0.7148614525794983,58.031402587890625,62.92585754394531,4.009478569030762,25.55297088623047,0.8609762787818909,1.269512414932251,-0.00355519843287766,118.86532909426971,45.132097406994454,2.5230190753936768,21.0,21000,-59.317081451416016,0.020317263901233673,21,21.0
81.21279486448735,1.608609914779663,1000.0,0.14395038783550262,22.0,1.0,62.12316131591797,81.21279486448735,0.0,0.0,487.5123679637909,147.5113779679971,0.7163321375846863,63.09099197387695,66.67647552490234,4.813436508178711,27.38945770263672,0.8034012317657471,1.559688687324524,0.13320223987102509,120.1674222248937,45.12706024646745,2.568065881729126,22.0,22000,-64.58132934570312,0.019093170762062073,22,22.0
90.60115642027301,1.8338319063186646,1000.0,0.1455800086259842,23.0,1.0,67.23461151123047,90.60115642027301,0.0,0.0,509.8736209869385,529.2068910603613,0.7138611674308777,68.53459167480469,74.08187103271484,3.3974971771240234,29.223222732543945,0.7779108881950378,1.8624125719070435,0.09043526649475098,137.95174695687055,45.10921736935513,2.5957133769989014,23.0,23000,-70.0075912475586,0.016970796510577202,23,23.0
104.45288980111916,1.1901867389678955,1000.0,0.14829795062541962,24.0,1.0,72.82489013671875,104.45288980111916,0.0,0.0,532.179069519043,386.10683488385445,0.7129252552986145,74.12655639648438,79.04691314697266,7.899372100830078,31.170034408569336,0.7546983361244202,1.3488807678222656,0.1744368076324463,148.29154228716152,45.09760224446634,2.6291909217834473,24.0,24000,-75.51307678222656,0.018283097073435783,24,24.0
117.70656373999249,1.743025541305542,1000.0,0.14951498806476593,25.0,1.0,78.69957733154297,117.70656373999249,0.0,0.0,554.5673294067383,328.99382595459804,0.7131822109222412,80.16484069824219,84.37506103515625,5.559760570526123,33.193397521972656,0.7506057620048523,1.95308518409729,0.16071510314941406,155.51963363385897,45.08018895874077,2.6565194129943848,25.0,25000,-81.59182739257812,0.013953815214335918,25,25.0
125.13157652837276,1.814424753189087,1000.0,0.15071821212768555,26.0,1.0,84.8001480102539,125.13157652837276,0.0,0.0,576.8686509132385,419.29177675618075,0.7130261063575745,86.25702667236328,90.56532287597656,8.598731994628906,35.25141525268555,0.7915220260620117,1.8579694032669067,0.08775734901428223,165.6647160616406,45.070918585781186,2.674588680267334,26.0,26000,-87.38936614990234,0.011263247579336166,26,26.0
