rollout/return_history,reference_actor_Q_mean,total/epochs,reference_perturbed_action_std,eval/return,eval/episodes,reference_Q_std,total/steps_per_second,rollout/Q_mean,total/duration,obs_rms_mean,rollout/return,total/episodes,rollout/episodes,rollout/actions_mean,obs_rms_std,reference_perturbed_action_mean,rollout/episode_steps,reference_action_std,train/loss_critic,train/param_noise_distance,eval/Q,reference_Q_mean,reference_action_mean,eval/return_history,ret_rms_std,total/steps,ret_rms_mean,param_noise_stddev,train/loss_actor,rollout/actions_std,reference_actor_Q_std
-497.44041149583353,4.064209938049316,24,0.7331861853599548,-158.19126305313432,24.0,1.4726616144180298,79.6675310060136,-6.36248779296875,301.25196170806885,0.1299290955066681,-497.44041149583353,24.0,24.0,0.3085367679595947,1.6935144662857056,0.3998490273952484,1000.0,0.7544441819190979,1.1634989976882935,0.22383783757686615,5.422550201416016,3.0900990962982178,0.34645700454711914,-439.33060044246446,1.0,24000,0.0,0.025245515830755405,7.644744396209717,0.8430784940719604,1.3279212713241577
-484.7513286476578,4.928934097290039,25,0.7775871753692627,-251.74330595829073,25.0,1.4423260688781738,79.65418027515913,-5.912126064300537,313.85672307014465,0.13003434240818024,-484.7513286476578,25.0,25.0,0.3084360957145691,1.720030426979065,0.3217519521713257,1000.0,0.7429522275924683,0.6993523240089417,0.21641607582569122,3.2046613693237305,4.06135892868042,0.3789968192577362,-431.82710866309753,1.0,25000,0.0,0.024748079434129402,6.97698974609375,0.8374052047729492,1.3178842067718506
-472.28622734061145,5.987457752227783,26,0.7193477749824524,-484.6206337231212,26.0,1.626307725906372,79.64781209870583,-5.512238502502441,326.43708992004395,0.1295149177312851,-472.28622734061145,26.0,26.0,0.30172282457351685,1.7338284254074097,0.5366861820220947,1000.0,0.740801215171814,1.0136888027191162,0.19880063831806183,2.3567748069763184,4.958824157714844,0.4195963144302368,-433.85762885771385,1.0,26000,0.0,0.023782417899897774,5.998969078063965,0.8343979716300964,1.4944415092468262
-472.7413446921962,7.272287368774414,27,0.7561964392662048,-578.5466962367138,27.0,1.7115594148635864,79.66081956063547,-5.243843078613281,338.93701004981995,0.13099119067192078,-472.7413446921962,27.0,27.0,0.3019286096096039,1.7308311462402344,0.4294264018535614,1000.0,0.7652172446250916,0.4694732427597046,0.20367328822612762,-25.552593231201172,6.236936092376709,0.3343309462070465,-439.2164832050842,1.0,27000,0.0,0.023782417899897774,5.172951698303223,0.8336493372917175,1.6804137229919434
-476.35007485392094,8.622257232666016,28,0.769019603729248,-245.22543261392784,28.0,1.5930877923965454,79.66638944005555,-6.030080318450928,351.4656581878662,0.13407252728939056,-476.35007485392094,28.0,28.0,0.30310043692588806,1.816460132598877,0.30013319849967957,1000.0,0.7303565144538879,0.6744692325592041,0.23079802095890045,5.2237420082092285,7.553042411804199,0.4192237854003906,-432.2882313982572,1.0,28000,0.0,0.02426044449968572,4.1718316078186035,0.8347504734992981,1.538605809211731
-452.437544443799,9.512046813964844,29,0.7658969759941101,48.59253412780545,29.0,1.7463489770889282,79.67072835621246,-5.319983959197998,363.99817848205566,0.13260279595851898,-452.437544443799,29.0,29.0,0.2991563081741333,1.842005968093872,0.3952484130859375,1000.0,0.7735454440116882,1.4751009941101074,0.2489694356918335,10.639223098754883,8.17741870880127,0.36956191062927246,-415.70613603528955,1.0,29000,0.0,0.02575295069895359,3.460235834121704,0.830873966217041,1.6583168506622314
-436.7086217518253,10.423221588134766,30,0.7379462718963623,160.00942929055864,30.0,1.8301821947097778,79.67482934173947,-4.751560211181641,376.5304582118988,0.13269531726837158,-436.7086217518253,30.0,30.0,0.2951248586177826,1.845513105392456,0.36527955532073975,1000.0,0.7805352807044983,0.706087052822113,0.18639862537384033,13.502687454223633,9.4205904006958,0.31521812081336975,-396.51561719109463,1.0,30000,0.0,0.024748079434129402,1.7769215106964111,0.8293533325195312,1.855850338935852
-414.4808135322262,12.156210899353027,31,0.8134761452674866,530.9241984633638,31.0,1.7871274948120117,79.67630427789129,-4.160765647888184,389.0742709636688,0.13276807963848114,-414.4808135322262,31.0,31.0,0.28771325945854187,1.8733457326889038,0.2845626771450043,1000.0,0.7341305613517761,0.5989433526992798,0.1660090833902359,16.037906646728516,10.96242904663086,0.382754921913147,-366.5982037828863,1.0,31000,0.0,0.026270585008002556,0.5471349954605103,0.8286569714546204,1.6647127866744995
-385.36521807105987,13.051666259765625,32,0.7275610566139221,479.14039654078977,32.0,1.821315050125122,79.68545633820095,-3.51762056350708,401.57892632484436,0.13395549356937408,-385.36521807105987,32.0,32.0,0.2810576558113098,1.9056286811828613,0.35348352789878845,1000.0,0.7448960542678833,0.8200773596763611,0.23009328544139862,19.567808151245117,11.691987991333008,0.33599305152893066,-340.1688725227713,1.0,32000,0.0,0.026798623766663407,-1.216495156288147,0.8265584111213684,1.6267993450164795
-361.22811975817496,14.16537857055664,33,0.6680436134338379,407.6735167965129,33.0,1.9076488018035889,79.68674895902717,-2.846473217010498,414.1215500831604,0.13415852189064026,-361.22811975817496,33.0,33.0,0.27857956290245056,1.9458786249160767,0.43187904357910156,1000.0,0.6396792531013489,0.8131021857261658,0.20610512793064117,21.108505249023438,12.989441871643066,0.47488972544670105,-317.5069819373385,1.0,33000,0.0,0.024748079434129402,-3.747483253479004,0.8232800364494324,1.8076812028884888
-332.4454895356274,15.465356826782227,34,0.5136755704879761,775.7050688207501,34.0,2.000673294067383,79.68871969384601,-2.115020751953125,426.66013622283936,0.13481003046035767,-332.4454895356274,34.0,34.0,0.2752198278903961,1.9579927921295166,0.6115307807922363,1000.0,0.6085824966430664,0.6229771375656128,0.26027557253837585,24.156021118164062,14.094114303588867,0.4910869896411896,-285.35368632680644,1.0,34000,0.0,0.023782417899897774,-7.29179573059082,0.8201076984405518,1.9079376459121704
-303.85718098469545,17.21194839477539,35,0.5083250403404236,536.333957582872,35.0,1.8939911127090454,79.68729283616385,-1.3203094005584717,439.21682810783386,0.13621339201927185,-303.85718098469545,35.0,35.0,0.2736527621746063,1.9890004396438599,0.6093246340751648,1000.0,0.6027828454971313,0.8926745057106018,0.24397245049476624,27.490787506103516,15.933609008789062,0.510032594203949,-261.87689650081563,1.0,35000,0.0,0.025245515830755405,-10.089354515075684,0.8166491389274597,1.865483045578003
-281.2683290303403,20.175270080566406,36,0.5478381514549255,420.483772981472,36.0,2.090271472930908,79.68907212986036,-0.5048643946647644,451.7557933330536,0.13714663684368134,-281.2683290303403,36.0,36.0,0.270242303609848,2.00714373588562,0.5546610355377197,1000.0,0.4926319122314453,0.8326185345649719,0.1920686960220337,30.309171676635742,18.390865325927734,0.6231127381324768,-242.92243345964096,1.0,36000,0.0,0.026798623766663407,-13.426431655883789,0.8143959045410156,1.9863007068634033
-264.62746634712863,23.219459533691406,37,0.546433687210083,437.8090542691742,37.0,2.0391578674316406,79.68700632562157,0.35789528489112854,464.31660199165344,0.13787727057933807,-264.62746634712863,37.0,37.0,0.26698940992355347,2.018770217895508,0.559554398059845,1000.0,0.5557373762130737,1.2556023597717285,0.21445457637310028,33.38440704345703,21.27930450439453,0.5681443214416504,-224.524285142646,1.0,37000,0.0,0.024748079434129402,-17.138999938964844,0.8105886578559875,1.879502534866333
-270.9030905095301,26.434829711914062,38,0.6824352145195007,481.1173452722077,38.0,2.0515291690826416,79.68727621888647,0.001612664433196187,476.8640842437744,0.14188745617866516,-270.9030905095301,38.0,38.0,0.27615538239479065,2.0001680850982666,0.38101914525032043,1000.0,0.7334925532341003,1.880828857421875,0.2381884604692459,36.586639404296875,24.650192260742188,0.3472946584224701,-205.95476855278142,1.0,38000,0.0,0.02575295069895359,-18.365022659301758,0.8107894659042358,2.033017158508301
-275.84156978826803,30.595619201660156,39,0.7331705093383789,474.2355375788725,39.0,1.8106366395950317,79.67728229987722,-0.23974959552288055,489.4745261669159,0.14514730870723724,-275.84156978826803,39.0,39.0,0.2829558849334717,1.9904230833053589,0.35168465971946716,1000.0,0.7659409642219543,0.9549698829650879,0.18205568194389343,40.02853775024414,28.665054321289062,0.31533199548721313,-188.5139914724826,1.0,39000,0.0,0.02733727610437334,-18.9256649017334,0.8108752369880676,1.6359164714813232
-263.003711827364,34.0037841796875,40,0.7610609531402588,472.51077724768356,40.0,1.7171640396118164,79.67700659597918,0.7756019234657288,502.0268921852112,0.14519406855106354,-263.003711827364,40.0,40.0,0.28042036294937134,2.0028207302093506,0.3149862587451935,1000.0,0.7955957651138306,1.856447458267212,0.2167983204126358,42.46894836425781,32.099700927734375,0.27437254786491394,-171.98837225447846,1.0,40000,0.0,0.02733727610437334,-21.1215763092041,0.8072497844696045,1.56028413772583
-243.60361376943249,36.0775260925293,41,0.7270700335502625,555.9768666308177,41.0,1.8233659267425537,79.67871613371219,1.832696795463562,514.5665240287781,0.14571112394332886,-243.60361376943249,41.0,41.0,0.278927743434906,2.010363817214966,0.29240676760673523,1000.0,0.7000374794006348,1.7467292547225952,0.2542381286621094,39.54688262939453,34.566650390625,0.3101862668991089,-154.2331225255688,1.0,41000,0.0,0.026798623766663407,-23.733518600463867,0.8029931783676147,1.6625316143035889
-250.49650874832298,39.39637756347656,42,0.6495038270950317,664.9782638785157,42.0,1.7532074451446533,79.68895243067978,1.3108397722244263,527.0492172241211,0.1465907096862793,-250.49650874832298,42.0,42.0,0.27234265208244324,1.9945251941680908,0.39921247959136963,1000.0,0.5267637372016907,2.4854724407196045,0.20287801325321198,48.94976806640625,37.797454833984375,0.5461423993110657,-134.72808951594774,1.0,42000,0.0,0.026270585008002556,-23.65497589111328,0.8088433742523193,1.582419514656067
-229.9007166217806,42.58990478515625,43,0.6837396025657654,532.5270146342522,43.0,1.5129780769348145,79.69138481537811,2.4565279483795166,539.5815382003784,0.14732953906059265,-229.9007166217806,43.0,43.0,0.27061793208122253,2.018232822418213,0.3496367037296295,1000.0,0.6691568493843079,1.444227933883667,0.21066394448280334,51.49418258666992,41.18906021118164,0.3857913017272949,-119.21052895431521,1.0,43000,0.0,0.02575295069895359,-25.058740615844727,0.8060688376426697,1.4275957345962524
-218.36952691073517,43.97795104980469,44,0.6638895869255066,719.7013143263879,44.0,1.673709511756897,79.69366444642979,3.5813755989074707,552.114152431488,0.14733071625232697,-218.36952691073517,44.0,44.0,0.26721176505088806,2.0201799869537354,0.394113689661026,1000.0,0.7242431044578552,2.485913038253784,0.1953614354133606,54.278236389160156,42.45159149169922,0.2965029776096344,-100.1443506979356,1.0,44000,0.0,0.025245515830755405,-27.874555587768555,0.8046392202377319,1.5484827756881714
-196.32965745934294,46.57817840576172,45,0.5642547607421875,613.122060500138,45.0,1.5452828407287598,79.69474933848704,4.750138282775879,564.6545145511627,0.14805543422698975,-196.32965745934294,45.0,45.0,0.2639533579349518,2.0408382415771484,0.5174118876457214,1000.0,0.6482322812080383,3.7688469886779785,0.20566602051258087,56.68301773071289,44.90678405761719,0.40700003504753113,-84.29398600464508,1.0,45000,0.0,0.02575295069895359,-30.730064392089844,0.801297128200531,1.4385950565338135
-188.39679708596958,48.37568664550781,46,0.6228592395782471,625.0629512207882,46.0,2.0774428844451904,79.701772399014,5.818338394165039,577.151531457901,0.14798831939697266,-188.39679708596958,46.0,46.0,0.2689844071865082,2.033106803894043,0.4882296025753021,1000.0,0.6773083806037903,4.390150547027588,0.18020980060100555,58.880001068115234,46.728660583496094,0.40824493765830994,-68.87318302148347,1.0,46000,0.0,0.025245515830755405,-33.119354248046875,0.7968189120292664,1.8431971073150635
-174.99777102371132,51.396484375,47,0.5070872902870178,625.9338233507144,47.0,1.7522627115249634,79.70352115666478,6.957744598388672,589.6853654384613,0.1484064757823944,-174.99777102371132,47.0,47.0,0.26996150612831116,2.0450940132141113,0.6242348551750183,1000.0,0.7278897166252136,3.1217174530029297,0.1987420618534088,61.49011993408203,49.52775573730469,0.4058823585510254,-54.09005522633033,1.0,47000,0.0,0.02575295069895359,-34.22456359863281,0.7934107184410095,1.4563895463943481
-157.5634012716385,53.36247253417969,48,0.6384279727935791,642.6101088979116,48.0,1.6097257137298584,79.71062607347405,8.14453125,602.1781833171844,0.15001216530799866,-157.5634012716385,48.0,48.0,0.27169445157051086,2.069631338119507,0.5180306434631348,1000.0,0.67742919921875,3.679290771484375,0.24210487306118011,64.52820587158203,51.92246627807617,0.4748758375644684,-39.57546847374193,1.0,48000,0.0,0.025245515830755405,-36.41115188598633,0.7903326153755188,1.3975908756256104
-142.79292877728028,55.04279327392578,49,0.6642214059829712,620.2443737422466,49.0,1.6902941465377808,79.711936497336,9.304025650024414,614.7134563922882,0.15040461719036102,-142.79292877728028,49.0,49.0,0.26991191506385803,2.0766477584838867,0.45576298236846924,1000.0,0.6728842258453369,4.530910491943359,0.24745787680149078,67.96949005126953,53.36266326904297,0.424833208322525,-26.10975740810951,1.0,49000,0.0,0.025245515830755405,-37.61590576171875,0.7876652479171753,1.4524563550949097
-131.35307247332398,58.12335205078125,50,0.6448337435722351,717.7159852801369,50.0,1.7891029119491577,79.71776791923892,10.457893371582031,627.212744474411,0.15051409602165222,-131.35307247332398,50.0,50.0,0.2680698335170746,2.0959668159484863,0.48524752259254456,1000.0,0.6367178559303284,4.353716850280762,0.19064442813396454,70.31109619140625,56.47050476074219,0.5215961337089539,-11.233242554344578,1.0,50000,0.0,0.025245515830755405,-39.72654342651367,0.7851116061210632,1.5414557456970215
-114.32328782319343,60.0087890625,51,0.6784064769744873,739.7243960702536,51.0,1.7008459568023682,79.72396488691432,11.63899040222168,639.707270860672,0.15103653073310852,-114.32328782319343,51.0,51.0,0.2665849030017853,2.1071078777313232,0.4729437828063965,1000.0,0.6706175804138184,4.677772045135498,0.2330547720193863,72.16433715820312,58.20950698852539,0.49018171429634094,3.4914170265298963,1.0,51000,0.0,0.02575295069895359,-41.89931106567383,0.7829685807228088,1.4926435947418213
-99.33288347351196,62.334407806396484,52,0.6853411793708801,623.5050488077369,52.0,1.4910361766815186,79.72757963062494,12.826425552368164,652.2209784984589,0.15162883698940277,-99.33288347351196,52.0,52.0,0.2655373215675354,2.116666793823242,0.47999870777130127,1000.0,0.6393685936927795,6.008474826812744,0.28368234634399414,75.86713409423828,60.97137451171875,0.4742310345172882,15.414756099245416,1.0,52000,0.0,0.023313810312614227,-45.3053092956543,0.7807390689849854,1.3337032794952393
-83.52603038589609,64.26551818847656,53,0.5353285670280457,551.0526806093894,53.0,1.4716092348098755,79.73351139779405,14.035104751586914,664.7142345905304,0.15235674381256104,-83.52603038589609,53.0,53.0,0.2636445164680481,2.141403913497925,0.5676617622375488,1000.0,0.5648550391197205,7.556729316711426,0.23657433688640594,77.55891418457031,62.72532653808594,0.5855551362037659,25.521132033399077,1.0,53000,0.0,0.02426044449968572,-45.92436218261719,0.7788518667221069,1.3029594421386719
-68.42386501411232,66.95161437988281,54,0.4824088215827942,616.1975656532275,54.0,1.6777634620666504,79.72284502319712,15.229474067687988,677.3466248512268,0.1530790776014328,-68.42386501411232,54.0,54.0,0.2622234523296356,2.145519495010376,0.6407545208930969,1000.0,0.6514561772346497,7.545330047607422,0.1912398338317871,79.27869415283203,65.22003173828125,0.5194421410560608,36.45958450784034,1.0,54000,0.0,0.023313810312614227,-48.683799743652344,0.7763508558273315,1.5513386726379395
-60.03733810434495,69.11937713623047,55,0.6184365153312683,713.7714825758169,55.0,1.9529969692230225,79.725955520229,16.414100646972656,689.8631649017334,0.15340754389762878,-60.03733810434495,55.0,55.0,0.26263847947120667,2.151090621948242,0.5321025252342224,1000.0,0.6140574812889099,4.356680870056152,0.21818022429943085,82.72071075439453,67.04051971435547,0.5331411957740784,48.77434629089446,1.0,55000,0.0,0.023782417899897774,-49.48799133300781,0.7731395363807678,1.6874197721481323
