reference_actor_Q_std,rollout/actions_mean,rollout/episodes,total/epochs,obs_rms_std,reference_perturbed_action_mean,reference_Q_std,total/episodes,reference_perturbed_action_std,total/steps_per_second,rollout/return_history,eval/episodes,rollout/Q_mean,ret_rms_mean,eval/return,param_noise_stddev,total/duration,train/loss_actor,total/steps,rollout/return,train/param_noise_distance,reference_action_mean,eval/return_history,ret_rms_std,obs_rms_mean,eval/Q,reference_Q_mean,rollout/actions_std,reference_action_std,rollout/episode_steps,train/loss_critic,reference_actor_Q_mean
3.534268617630005,0.04175712913274765,57765.0,934,0.7100148797035217,-0.8434129953384399,2.933849573135376,57765.0,0.17266853153705597,92.55759426426874,-25.772534812919435,934.0,-56.49424362182617,0.0,-21.119002452702752,0.008792626553888941,10091.014221191406,58.565731048583984,934000,-35.85745932756553,0.24823923408985138,-0.8320784568786621,-27.513740072288577,1.0,0.02242380566895008,-8.9502534866333,703.1951904296875,0.9300469756126404,0.20441722869873047,16.168700770362676,45.620479583740234,706.0907592773438
4.333347797393799,0.04178355261683464,57831.0,935,0.7099457383155823,-0.7076160907745361,4.2095842361450195,57831.0,0.322020024061203,92.55254745701176,-22.768774130335228,935.0,-56.44453430175781,0.0,-15.652957006619047,0.008792626553888941,10102.369148015976,59.48329162597656,935000,-35.8427517121674,0.1743229180574417,-0.7614557147026062,-27.46845471078608,1.0,0.022424543276429176,-8.345038414001465,704.756591796875,0.9299781322479248,0.28962764143943787,16.167764693676403,43.459808349609375,706.7156982421875
5.378303050994873,0.04180888459086418,57895.0,936,0.7099277973175049,-0.8035458326339722,5.291813850402832,57895.0,0.19295193254947662,92.54812759466037,-22.003284478235,936.0,-56.39805603027344,0.0,-14.899769266548148,0.00896935834762211,10113.65680027008,55.2144660949707,936000,-35.82703312258858,0.1176261305809021,-0.8734546899795532,-27.20757744113512,1.0,0.022434068843722343,-8.741403579711914,709.5533447265625,0.9299085140228271,0.188226580619812,16.16683651437948,42.03456115722656,709.556396484375
4.926423072814941,0.04185057058930397,57966.0,937,0.7099190354347229,-0.8700183629989624,4.681164264678955,57966.0,0.18427923321723938,92.54396042978854,-21.964182781763736,937.0,-56.350914001464844,0.0,-15.895468120152671,0.008449541294664952,10124.917883872986,60.410945892333984,937000,-35.81074966196902,0.23770077526569366,-0.7885229587554932,-27.2539769891756,1.0,0.022439630702137947,-9.552292823791504,699.7721557617188,0.9298532605171204,0.19871333241462708,16.16451023013491,27.769315719604492,700.879638671875
4.409738540649414,0.04172699898481369,58024.0,938,0.7098943591117859,-0.8432885408401489,3.898282289505005,58024.0,0.2963418960571289,92.53948817579536,-24.86467162258038,938.0,-56.3040885925293,0.0,-18.034480610104296,0.008449541294664952,10136.21339917183,61.42851257324219,938000,-35.801219731400984,0.19376371800899506,-0.8335240483283997,-27.191971663260116,1.0,0.02243499457836151,-9.970377922058105,697.2044677734375,0.9297970533370972,0.23258426785469055,16.165466014063146,45.04474639892578,696.9606323242188
4.2100348472595215,0.04164745286107063,58084.0,939,0.7098565101623535,-0.7514214515686035,3.7929089069366455,58084.0,0.35709232091903687,92.53541635477968,-26.464744903722675,939.0,-56.258148193359375,0.0,-16.40688230319574,0.009149642450409314,10147.466094493866,59.064002990722656,939000,-35.7919174110193,0.2344444990158081,-0.7580803632736206,-27.159743703214914,1.0,0.022426476702094078,-7.717050552368164,680.77392578125,0.9297457933425903,0.35415616631507874,16.16610426279182,29.2220458984375,680.7822265625
4.123282432556152,0.04164866358041763,58152.0,940,0.7098225355148315,-0.8565652370452881,3.964503049850464,58152.0,0.17762823402881622,92.53070760124244,-21.542298250780387,940.0,-56.21309280395508,0.0,-12.60591753487417,0.008792626553888941,10158.789707422256,61.3416633605957,940000,-35.77417536844439,0.21214477717876434,-0.839230477809906,-27.037299922091137,1.0,0.022424235939979553,-8.318788528442383,654.7551879882812,0.9296947717666626,0.1824759542942047,16.164035630760765,50.652496337890625,655.3424072265625
11.792549133300781,0.04159613326191902,58233.0,941,0.7098212242126465,-0.40148478746414185,13.116747856140137,58233.0,0.5938162207603455,92.5259473211981,-21.103190082189016,941.0,-56.166290283203125,0.0,-20.960751635021897,0.008792626553888941,10170.120136499405,61.23606491088867,941000,-35.75487106416783,0.1415584832429886,-0.47741544246673584,-27.002310141042344,1.0,0.022419746965169907,-8.82094669342041,632.8028564453125,0.9296553134918213,0.5574299693107605,16.159102227259456,54.11040115356445,637.7274169921875
4.010552883148193,0.04161117598414421,58311.0,942,0.7097970843315125,-0.17627283930778503,3.2434446811676025,58311.0,0.6264907121658325,92.52127416574274,-23.177255856968994,942.0,-56.118675231933594,0.0,-26.60914698168731,0.00896935834762211,10181.442143917084,56.3199577331543,942000,-35.737859019761025,0.19421522319316864,-0.24735452234745026,-27.100417796143184,1.0,0.022425929084420204,-10.4881591796875,640.87646484375,0.9296165108680725,0.6590816378593445,16.154636346486942,53.07087326049805,645.6597900390625
3.2637779712677,0.04160767421126366,58390.0,943,0.7097645401954651,-0.16942915320396423,2.9858791828155518,58390.0,0.7549105286598206,92.51679231155374,-23.090569197496347,943.0,-56.07025909423828,0.0,-21.869621590567256,0.00896935834762211,10192.744219064713,59.761817932128906,943000,-35.719673504644156,0.20332175493240356,-0.06645429134368896,-27.092781122036367,1.0,0.0224330835044384,-10.829578399658203,645.5637817382812,0.9295810461044312,0.7877772450447083,16.149546155163556,53.32358932495117,650.0022583007812
3.380939245223999,0.04164644330739975,58440.0,944,0.7097195982933044,-0.35043662786483765,2.2209982872009277,58440.0,0.6308305859565735,92.51255070688443,-27.52450699670608,944.0,-56.02436065673828,0.0,-32.23227955005346,0.008449541294664952,10204.020889997482,56.87587356567383,944000,-35.7165664273932,0.19489678740501404,-0.21920858323574066,-27.201385022799577,1.0,0.022439491003751755,-12.137381553649902,647.83154296875,0.9295331239700317,0.6630011796951294,16.15321697467488,23.44888687133789,649.9263916015625
3.348238945007324,0.04162551090121269,58504.0,945,0.7097047567367554,-0.44875460863113403,3.8663136959075928,58504.0,0.6911692023277283,92.50839937431856,-28.09322969299926,945.0,-55.978145599365234,0.0,-34.78855966867147,0.008283051950460692,10215.288626670837,54.830814361572266,945000,-35.70679562470299,0.21475689113140106,-0.39422816038131714,-27.365852607578745,1.0,0.02243710868060589,-14.314547538757324,657.2890625,0.9294873476028442,0.6642225384712219,16.152536578695475,32.87033462524414,665.1317749023438
2.2597501277923584,0.04168736934661865,58587.0,946,0.7097136974334717,-0.01731056720018387,2.4655871391296387,58587.0,0.7664602994918823,92.49964321073386,-21.560307444985828,946.0,-55.92970657348633,0.0,-18.934895129598935,0.008449541294664952,10227.066474676132,56.26239776611328,946000,-35.684868507987154,0.18455085158348083,-0.11290670186281204,-27.349458062858194,1.0,0.022445308044552803,-6.7566680908203125,679.3993530273438,0.9294471740722656,0.7630428075790405,16.1467219690375,35.4981689453125,685.193115234375
6.347241401672363,0.04169002175331116,58651.0,947,0.7097131013870239,-0.33587056398391724,4.5188889503479,58651.0,0.6406242847442627,92.49596774003149,-21.686860892678233,947.0,-55.88135528564453,0.0,-19.510877475262397,0.009149642450409314,10238.284145116806,57.185401916503906,947000,-35.6693989404873,0.16580644249916077,-0.2710053622722626,-27.394520515340428,1.0,0.022444022819399834,-8.695013046264648,654.9789428710938,0.929402232170105,0.6851693391799927,16.146272015822408,50.536346435546875,655.4684448242188
