eval/episodes,total/episodes,rollout/return,total/steps,reference_actor_Q_mean,reference_action_std,eval/Q,ret_rms_mean,rollout/return_history,rollout/Q_mean,rollout/actions_mean,reference_Q_mean,rollout/actions_std,total/epochs,obs_rms_std,reference_perturbed_action_std,reference_actor_Q_std,eval/return_history,rollout/episodes,reference_perturbed_action_mean,reference_Q_std,total/duration,train/loss_actor,total/steps_per_second,eval/return,ret_rms_std,param_noise_stddev,train/param_noise_distance,train/loss_critic,reference_action_mean,rollout/episode_steps,obs_rms_mean
21.0,379.0,271.1824031608099,21000,318.3143615722656,0.7617449760437012,249.18057250976562,0.0,336.5768980631682,176.56861877441406,0.21701833605766296,300.5734558105469,0.7053467631340027,21,6.772863388061523,0.762779712677002,177.55340576171875,301.4848361173643,379.0,0.20669902861118317,180.1930694580078,262.6899447441101,-304.890625,79.9421539353415,271.6531886017973,1.0,0.020689822899908242,0.19993501901626587,200.25927734375,0.18621467053890228,55.343007915567284,1.8581925630569458
22.0,393.0,273.13968311986014,22000,329.746337890625,0.7687492370605469,347.6519470214844,0.0,330.4600372073435,183.28359985351562,0.217280313372612,311.3663330078125,0.7085098624229431,22,6.7940192222595215,0.7553307414054871,188.0347137451172,305.871547316025,393.0,0.24151407182216644,189.4304962158203,275.59553122520447,-320.0012512207031,79.82712891676961,397.9924824878998,1.0,0.020282151651708893,0.2124684751033783,297.7030029296875,0.1991254836320877,55.7735368956743,1.8585097789764404
23.0,410.0,273.94020088687546,23000,336.01678466796875,0.7604739665985107,357.70135498046875,0.0,322.8076052962357,190.6287841796875,0.22070059180259705,317.4339599609375,0.7099608778953552,23,6.842697620391846,0.7438574433326721,201.87310791015625,303.5198076563193,410.0,0.32145780324935913,202.16091918945312,288.01410126686096,-327.5423889160156,79.85720108436368,251.7815351427937,1.0,0.020282151651708893,0.1997770518064499,389.43328857421875,0.2547663748264313,56.00731707317073,1.8594201803207397
24.0,425.0,275.5451148786791,24000,350.8327941894531,0.7024473547935486,282.0672607421875,0.0,317.8515620184764,195.17233276367188,0.22489893436431885,331.62310791015625,0.7122706770896912,24,6.872775554656982,0.6810701489448547,209.7236785888672,296.1895300584093,425.0,0.44694384932518005,212.04920959472656,300.25715017318726,-332.4232482910156,79.93148534899797,127.59314530647939,1.0,0.020689822899908242,0.20872211456298828,422.35504150390625,0.4076359272003174,56.383529411764705,1.8674050569534302
25.0,450.0,271.2565799530943,25000,343.7637939453125,0.7416631579399109,286.632080078125,0.0,284.14313432014853,199.25396728515625,0.2267339527606964,326.1792297363281,0.7156717777252197,25,6.944146156311035,0.7406027317047119,220.0744171142578,296.8742300842825,450.0,0.3297264575958252,219.7581024169922,312.6803379058838,-334.02386474609375,79.95386012255416,313.3070307052391,1.0,0.019882513137642284,0.18915416300296783,426.4176940917969,0.32341569662094116,55.513333333333335,1.8749067783355713
26.0,462.0,274.8946433323504,26000,356.98968505859375,0.7319334149360657,412.4606628417969,0.0,297.571582608801,204.50357055664062,0.23013150691986084,338.21807861328125,0.7176645398139954,26,6.906704425811768,0.729471743106842,229.2843475341797,295.00419691384667,462.0,0.34077751636505127,228.48582458496094,325.0538728237152,-353.9378967285156,79.98674119505245,248.25336765295066,1.0,0.021962663920618616,0.2132135033607483,456.3135070800781,0.3333326578140259,56.188311688311686,1.8829360008239746
27.0,482.0,273.7752561850017,27000,360.1842041015625,0.742753803730011,357.4357604980469,0.0,282.8862631086722,211.71482849121094,0.23187187314033508,339.567138671875,0.7190783023834229,27,6.938161849975586,0.7704861164093018,238.25880432128906,294.18685390401106,482.0,0.27949485182762146,236.64389038085938,337.4151680469513,-353.99609375,80.02011337037152,272.93593564828416,1.0,0.021962663920618616,0.21063190698623657,497.6834411621094,0.32853084802627563,55.989626556016596,1.8831024169921875
28.0,498.0,274.7732087340904,28000,365.1761474609375,0.7306782603263855,459.4248962402344,0.0,279.08103891459496,218.7405242919922,0.23502826690673828,342.93896484375,0.7193136215209961,28,6.933215618133545,0.7378556132316589,242.86672973632812,298.43537314596625,498.0,0.3282129168510437,243.28990173339844,350.10244369506836,-353.5443420410156,79.97659114995322,413.1453926787569,1.0,0.02152991267583435,0.22086094319820404,529.8854370117188,0.3160104751586914,56.178714859437754,1.8892143964767456
29.0,511.0,277.44449101294197,29000,382.1363525390625,0.6768025755882263,417.30743408203125,0.0,291.29919121260633,225.3564453125,0.24295546114444733,359.23876953125,0.7197933793067932,29,6.89330530166626,0.6578273773193359,248.33010864257812,302.5752721918482,511.0,0.4762926697731018,246.72833251953125,362.80136036872864,-366.489990234375,79.93354812817188,418.49244547654337,1.0,0.022854436146078055,0.20591676235198975,516.7079467773438,0.4314916431903839,56.63600782778865,1.9093254804611206
30.0,524.0,280.4815294399136,30000,375.063232421875,0.713047444820404,394.5913391113281,0.0,301.2149452538739,232.20135498046875,0.24896667897701263,354.43817138671875,0.7204604148864746,30,6.849334716796875,0.7175256609916687,255.97499084472656,305.2037054235456,524.0,0.37611255049705505,254.41946411132812,375.34102153778076,-363.64117431640625,79.92731483782218,381.4282691427713,1.0,0.023313810312614227,0.19840309023857117,526.053955078125,0.40398311614990234,57.17748091603053,1.9212977886199951
31.0,544.0,279.4581937522979,31000,376.94598388671875,0.7516273260116577,408.6564636230469,0.0,315.85105948843284,236.3295135498047,0.252682089805603,357.07672119140625,0.7218552827835083,31,6.844954967498779,0.7682245373725891,258.4161682128906,307.04815244479096,544.0,0.25062325596809387,257.0804443359375,387.84164357185364,-361.09625244140625,79.92952926483969,362.38156308215014,1.0,0.021962663920618616,0.2177460938692093,665.686279296875,0.3092253506183624,56.97242647058823,1.9294886589050293
32.0,562.0,279.0980598453876,32000,380.9578857421875,0.7900900840759277,336.4154052734375,0.0,298.51784413561904,239.73049926757812,0.2545901834964752,364.21832275390625,0.7238814234733582,32,6.884528636932373,0.7924866080284119,260.82720947265625,304.541922895,562.0,0.1080126017332077,258.3140869140625,400.1572325229645,-371.3026123046875,79.96856585158326,226.84880685148164,1.0,0.02152991267583435,0.19123098254203796,599.687744140625,0.1307443380355835,56.905693950177934,1.939707636833191
33.0,579.0,278.420181389657,33000,376.2293701171875,0.7589675784111023,352.8629150390625,0.0,296.92481373244607,242.74734497070312,0.25704556703567505,357.6808166503906,0.7247335910797119,33,6.929722785949707,0.7592253088951111,260.8826599121094,304.180659448011,579.0,0.21140065789222717,257.5443420410156,412.77427434921265,-357.8687744140625,79.94684274359975,292.620229144363,1.0,0.020689822899908242,0.18313691020011902,662.8238525390625,0.2120288759469986,56.92227979274612,1.9440737962722778
34.0,597.0,277.98365232842735,34000,384.99273681640625,0.7786306142807007,436.7886047363281,0.0,295.0549808740004,246.5998992919922,0.25830507278442383,364.09954833984375,0.7258095741271973,34,6.936672687530518,0.7836790680885315,257.2332458496094,304.32137849814086,597.0,0.23363269865512848,252.90599060058594,425.4072813987732,-363.62762451171875,79.92340866429291,308.96510715242664,1.0,0.020282151651708893,0.20922183990478516,752.5597534179688,0.20088282227516174,56.93634840871022,1.9452441930770874
35.0,609.0,280.1442962755732,35000,393.62615966796875,0.7542262077331543,468.8149719238281,0.0,295.82855345358985,251.11148071289062,0.2560290992259979,372.9625244140625,0.7286058068275452,35,6.934325695037842,0.7664479613304138,258.16180419921875,303.11435191544746,609.0,0.21608994901180267,252.8478546142578,437.97878313064575,-370.7374572753906,79.91254679010277,262.0754481038715,1.0,0.020282151651708893,0.20360931754112244,687.9246826171875,0.2325366884469986,57.36945812807882,1.9442884922027588
36.0,623.0,281.5983550039143,36000,396.56915283203125,0.7967023253440857,435.2519226074219,0.0,288.35284133667295,256.31585693359375,0.25401660799980164,373.1871032714844,0.7306557297706604,36,6.930099964141846,0.792326033115387,265.4663391113281,301.17411078236154,623.0,0.1873275190591812,258.79461669921875,450.4142892360687,-382.23663330078125,79.92641632453156,233.26567112435526,1.0,0.020282151651708893,0.20066022872924805,779.06396484375,0.14147721230983734,57.69983948635634,1.9453312158584595
37.0,638.0,282.9015109763602,37000,388.1912841796875,0.7347779870033264,453.7410583496094,0.0,299.69031251449456,260.3646545410156,0.25344470143318176,365.1037902832031,0.7320675253868103,37,6.942514419555664,0.7551697492599487,271.6102294921875,304.179811140701,638.0,0.2641819715499878,265.1115417480469,463.1981272697449,-374.81964111328125,79.87942485452437,412.38502404092253,1.0,0.020282151651708893,0.21246616542339325,841.1585693359375,0.28624916076660156,57.989028213166144,1.9453397989273071
38.0,652.0,284.19392095800566,38000,393.1147766113281,0.7271808385848999,413.2764587402344,0.0,310.6482557853091,263.91314697265625,0.25486481189727783,366.9488220214844,0.733182966709137,38,6.920803070068359,0.7219382524490356,277.768310546875,304.51306585538003,652.0,0.35800057649612427,272.30487060546875,475.95936822891235,-380.64044189453125,79.83874787757917,316.84349029850495,1.0,0.02152991267583435,0.20732194185256958,879.1227416992188,0.340792715549469,58.25306748466258,1.9509702920913696
39.0,665.0,285.54915395040024,39000,381.52667236328125,0.7494999766349792,412.8552551269531,0.0,324.1100564067626,268.70245361328125,0.2553575038909912,358.96881103515625,0.7341359853744507,39,6.910223007202148,0.7481741309165955,287.5018005371094,303.13688568003266,665.0,0.21944288909435272,280.2764587402344,488.581743478775,-387.252685546875,79.82287615233875,250.84203901683264,1.0,0.0211056883401964,0.18459442257881165,960.3905639648438,0.27342498302459717,58.569924812030074,1.9532523155212402
40.0,681.0,286.333111545263,40000,388.98193359375,0.7789933681488037,495.76141357421875,0.0,333.12155253730197,272.2486877441406,0.2554078698158264,364.907958984375,0.7348675727844238,40,6.91400146484375,0.7767972350120544,289.9801330566406,300.8208240893769,681.0,0.19304269552230835,281.46435546875,501.00422763824463,-384.6768798828125,79.83964564243641,210.49442205379927,1.0,0.02152991267583435,0.17210529744625092,996.3544311523438,0.19062018394470215,58.73568281938326,1.954870343208313
41.0,696.0,286.7349866697769,41000,391.09600830078125,0.7575907707214355,420.4731750488281,0.0,338.49920534169667,276.47723388671875,0.25399577617645264,368.8666076660156,0.7363553047180176,41,6.913503646850586,0.7663214802742004,298.5328063964844,298.8677134493251,696.0,0.2525706887245178,292.06939697265625,513.6391320228577,-388.4168395996094,79.82257862349834,220.74328784725208,1.0,0.022854436146078055,0.17719349265098572,1127.86328125,0.24119511246681213,58.85632183908046,1.9518593549728394
42.0,710.0,288.07583838514296,42000,399.3448486328125,0.7349038124084473,385.26593017578125,0.0,333.2977757487588,281.420654296875,0.25557848811149597,372.2119140625,0.7363002300262451,42,6.896610260009766,0.7448148727416992,304.52899169921875,299.0565433599987,710.0,0.33883851766586304,295.2787170410156,526.4502239227295,-403.35784912109375,79.77962225383081,306.7985696976169,1.0,0.02240411346542305,0.18441610038280487,1198.7479248046875,0.3459460437297821,59.15492957746479,1.9566280841827393
43.0,723.0,289.36511883968797,43000,398.1460876464844,0.745339035987854,411.7183532714844,0.0,337.7520575365576,285.5298156738281,0.2572249174118042,370.2424011230469,0.7368659973144531,43,6.8821892738342285,0.7348728179931641,305.1859436035156,299.8433277897657,723.0,0.35230860114097595,293.8363037109375,539.3298444747925,-397.3975830078125,79.72857508353547,332.8882738399795,1.0,0.02426044449968572,0.18854692578315735,1048.7509765625,0.31551605463027954,59.40387275242047,1.9640350341796875
44.0,739.0,290.06028976729533,44000,398.55474853515625,0.7267971634864807,451.4405822753906,0.0,336.4237277432844,287.9308166503906,0.2594257891178131,375.075927734375,0.7376216650009155,44,6.882063388824463,0.7207248210906982,304.07171630859375,303.52230541713834,739.0,0.34392958879470825,292.89544677734375,552.3438673019409,-395.607177734375,79.66052056471413,461.71834339416245,1.0,0.02426044449968572,0.24416309595108032,1195.45751953125,0.3334651291370392,59.530446549391066,1.9714267253875732
45.0,753.0,290.6889734563872,45000,394.37371826171875,0.7524501085281372,526.7124633789062,0.0,332.9813266256495,293.4765319824219,0.2598123550415039,369.525146484375,0.7376689314842224,45,6.871994972229004,0.7582809329032898,310.4456787109375,306.2848909550351,753.0,0.3016272783279419,298.37841796875,565.1819653511047,-387.8743896484375,79.62037495666534,427.83865462249275,1.0,0.024748079434129402,0.19207075238227844,1281.4945068359375,0.2892186641693115,59.713147410358566,1.972899079322815
46.0,767.0,291.26369281426906,46000,413.7353515625,0.7422726154327393,473.32952880859375,0.0,330.4556792463493,295.9949951171875,0.2623441815376282,384.99444580078125,0.7378031611442566,46,6.866847038269043,0.7327914237976074,321.07635498046875,305.8450651764964,767.0,0.3475213348865509,305.7649841308594,577.8288772106171,-393.8427429199219,79.60834394787979,286.05290514225715,1.0,0.023782417899897774,0.21125616133213043,1531.180419921875,0.3176399767398834,59.87092568448501,1.976781964302063
47.0,780.0,292.51917043909197,47000,410.01373291015625,0.7175589203834534,516.9601440429688,0.0,333.89958936172593,299.818603515625,0.265121191740036,382.7023620605469,0.7375198006629944,47,6.854321002960205,0.7078436017036438,321.0723876953125,304.58136936847956,780.0,0.2982216477394104,307.1127624511719,590.3757181167603,-404.4710693359375,79.61032027185217,246.45136219970306,1.0,0.022854436146078055,0.22566093504428864,1491.0916748046875,0.3119940459728241,60.13846153846154,1.9807109832763672
