total/steps,rollout/actions_std,ret_rms_mean,total/episodes,total/epochs,rollout/return,rollout/Q_mean,eval/Q,ret_rms_std,rollout/episode_steps,eval/return,reference_Q_std,eval/return_history,reference_action_std,train/param_noise_distance,train/loss_actor,train/loss_critic,obs_rms_mean,rollout/episodes,rollout/actions_mean,eval/episodes,obs_rms_std,reference_Q_mean,reference_actor_Q_mean,reference_actor_Q_std,total/duration,rollout/return_history,reference_action_mean,total/steps_per_second
21000,0.7079310417175293,0.0,21.0,21,-1.0783163094420078,50.94319152832031,195.4020538330078,1.0,1000.0,395.646255168405,84.79833984375,128.09625693643395,0.834647536277771,0.0,-128.0912322998047,5.145283222198486,0.11371444910764694,21.0,-0.08993709832429886,21.0,2.000455856323242,150.32357788085938,151.5428924560547,85.24171447753906,795.3943648338318,-1.0783163094420078,0.12095197290182114,26.401997459948277
22000,0.7057092189788818,0.0,22.0,22,10.364204790958903,57.5567741394043,199.71200561523438,1.0,1000.0,564.1148918556681,87.66590118408203,147.91528579639913,0.8297156691551208,0.0,-132.31320190429688,6.289929389953613,0.11473152041435242,22.0,-0.08486074954271317,22.0,2.0146853923797607,153.2894744873047,154.2919921875,87.92620086669922,832.3651823997498,10.364204790958903,0.11964405328035355,26.43070669603565
23000,0.7067356705665588,0.0,23.0,23,27.610918182996002,63.742000579833984,175.6534881591797,1.0,1000.0,228.2046148454107,84.29596710205078,151.40612618983442,0.8323862552642822,0.0,-139.52215576171875,11.230010032653809,0.11557620763778687,23.0,-0.08321517705917358,23.0,2.0291924476623535,155.1613006591797,156.1222686767578,84.55653381347656,870.6954996585846,27.610918182996002,-0.0586908720433712,26.41566426956234
24000,0.7047702670097351,0.0,24.0,24,30.039126773468137,69.42322540283203,164.0965118408203,1.0,1000.0,122.75224219909285,84.98591613769531,150.21221435688685,0.8301157355308533,0.0,-143.9792938232422,7.257439613342285,0.11573127657175064,24.0,-0.08263099193572998,24.0,2.0385892391204834,155.99879455566406,157.2808074951172,85.19412231445312,906.619570016861,30.039126773468137,-0.08755118399858475,26.471963317043397
25000,0.7038542032241821,0.0,25.0,25,38.854253095284975,74.67588806152344,203.9229736328125,1.0,1000.0,602.6022641598485,83.52606201171875,168.30781634900532,0.8194010257720947,0.0,-147.1637725830078,3.309779644012451,0.11562144756317139,25.0,-0.08494462817907333,25.0,2.052973985671997,158.13970947265625,159.36280822753906,83.52783966064453,942.2292940616608,38.854253095284975,-0.18784230947494507,26.532819726112194
26000,0.701339602470398,0.0,26.0,26,53.94523300213335,79.63007354736328,160.69384765625,1.0,1000.0,220.61966914584545,85.18907928466797,170.31981068734532,0.7887753844261169,0.0,-149.8212432861328,7.836665153503418,0.11746030300855637,26.0,-0.07956594973802567,26.0,2.0538289546966553,159.03204345703125,160.0859375,85.51412200927734,979.313978433609,53.94523300213335,-0.18740634620189667,26.549197267240505
27000,0.6995649933815002,0.0,27.0,27,60.32977285600203,84.22785186767578,206.12721252441406,1.0,1000.0,346.714495359543,86.48841857910156,176.852947156686,0.7558556795120239,0.0,-151.90945434570312,18.587980270385742,0.11718941479921341,27.0,-0.08260083943605423,27.0,2.0585708618164062,159.68850708007812,160.77032470703125,86.82432556152344,1017.5068070888519,60.32977285600203,-0.27668821811676025,26.535449013111393
28000,0.7037739753723145,0.0,28.0,28,44.83235312737387,81.55048370361328,-7.62688684463501,1.0,1000.0,-537.2461910250884,86.27110290527344,151.3494065073369,0.79304039478302,0.0,-148.7593231201172,14.360809326171875,0.1152423769235611,28.0,-0.10054228454828262,28.0,2.033745288848877,160.77980041503906,161.6385498046875,86.36473083496094,1056.2579939365387,44.83235312737387,-0.1681549996137619,26.508675116055286
29000,0.7074852585792542,0.0,29.0,29,29.347123038131556,78.24514770507812,207.26113891601562,1.0,1000.0,181.26328960042832,88.30272674560547,152.3809197174435,0.834879994392395,0.0,-144.8330841064453,16.45264434814453,0.1141829863190651,29.0,-0.11409955471754074,29.0,2.0070059299468994,161.96243286132812,163.22457885742188,88.76538848876953,1093.2398889064789,29.347123038131556,0.020986825227737427,26.5266574100287
30000,0.7070236206054688,0.0,30.0,30,39.527163927140336,82.60249328613281,208.551513671875,1.0,1000.0,186.8736964543503,90.234130859375,153.53067894200706,0.8409590125083923,0.0,-146.2215576171875,23.420175552368164,0.11616937071084976,30.0,-0.11006691306829453,30.0,2.0186736583709717,162.3831024169922,163.6320343017578,90.60021209716797,1131.026023387909,39.527163927140336,-0.012908744625747204,26.524588629832856
