ret_rms_mean,rollout/episodes,reference_Q_std,eval/return_history,obs_rms_mean,reference_perturbed_action_std,train/loss_actor,total/steps_per_second,reference_perturbed_action_mean,reference_action_mean,reference_Q_mean,obs_rms_std,param_noise_stddev,rollout/actions_std,eval/episodes,total/epochs,train/loss_critic,rollout/episode_steps,rollout/actions_mean,rollout/return_history,eval/return,ret_rms_std,eval/Q,train/param_noise_distance,total/steps,reference_action_std,rollout/return,reference_actor_Q_mean,rollout/Q_mean,total/episodes,total/duration,reference_actor_Q_std
0.0,239.0,6.341861724853516,112.47391483393918,0.017733056098222733,0.48423928022384644,-178.77125549316406,62.57204360701608,0.10650904476642609,-0.17446908354759216,195.5389862060547,0.36596640944480896,0.0247480794341294,0.5059868693351746,202.0,202,30.651220321655273,842.9163179916318,-0.049546439200639725,148.88734728632832,-558.8962889645125,1.0,116.57801055908203,0.21404868364334106,202000,0.40085145831108093,3.408395333869639,198.31036376953125,137.78196716308594,239.0,3228.2787704467773,6.118013858795166
0.0,241.0,5.98062801361084,124.91391042694138,0.017772521823644638,0.5003208518028259,-179.0677490234375,62.56406411010898,-0.050998955965042114,-0.05027011036872864,197.34701538085938,0.36591535806655884,0.024260444499685715,0.506748616695404,203.0,203,34.48122024536133,840.9917012448133,-0.048804283142089844,140.57925381626671,362.94438010118125,1.0,193.49844360351562,0.18448655307292938,203000,0.4690108597278595,2.7285181338013964,198.7101593017578,138.0802001953125,241.0,3244.674125432968,6.13356876373291
0.0,242.0,5.739559173583984,119.17091406712512,0.017799919471144676,0.36491402983665466,-180.33103942871094,62.57891668735651,0.08552608639001846,0.05596574395895004,197.69314575195312,0.36571404337882996,0.0247480794341294,0.5084834694862366,204.0,204,14.938549041748047,841.6487603305785,-0.04874007776379585,118.54409042563513,-387.33954902400126,1.0,156.38720703125,0.2009858340024948,204000,0.4350595474243164,-5.064933660669016,198.82821655273438,138.1221466064453,242.0,3259.8838522434235,6.112098217010498
0.0,243.0,6.174428462982178,132.72454605802898,0.017842017114162445,0.3740651607513428,-180.40582275390625,62.56739331191262,-0.07480113208293915,0.12131109833717346,198.4496307373047,0.3656976521015167,0.023313810312614223,0.5085744261741638,205.0,205,36.985374450683594,842.3004115226338,-0.04808098450303078,113.38000275333226,469.1043877138356,1.0,203.405517578125,0.18816587328910828,205000,0.39896953105926514,-4.722176445369028,199.63616943359375,138.32464599609375,243.0,3276.4670085906982,6.644325256347656
0.0,244.0,6.241572856903076,122.12791446910461,0.017909279093146324,0.35397326946258545,-180.12612915039062,62.59631320132359,0.05469203367829323,-0.2466677576303482,198.21649169921875,0.365747332572937,0.024260444499685715,0.5082869529724121,206.0,206,59.343963623046875,842.9467213114754,-0.04735589399933815,109.52211360180424,-703.675228753112,1.0,82.90953826904297,0.21144376695156097,206000,0.45318499207496643,-4.463482218604485,199.88232421875,138.5797119140625,244.0,3290.9286420345306,6.6198625564575195
0.0,245.0,6.504762649536133,115.0874333320333,0.017963528633117676,0.4916107952594757,-181.59837341308594,62.57917395056692,-0.16898539662361145,-0.3347620666027069,196.74844360351562,0.36595043540000916,0.0252455158307554,0.5079469084739685,207.0,207,51.680992126464844,843.4571428571429,-0.046603795140981674,124.07593513013444,-568.4559760122878,1.0,163.1002197265625,0.21251632273197174,207000,0.4484655261039734,-2.28564496038206,199.11331176757812,138.80384826660156,245.0,3307.809722185135,6.969167232513428
0.0,246.0,6.219282150268555,110.08768350455053,0.017925890162587166,0.523734986782074,-181.33006286621094,62.57884885606518,-0.4098083972930908,-0.1843116134405136,199.70074462890625,0.3658442795276642,0.0247480794341294,0.5082517862319946,208.0,208,39.757564544677734,844.0934959349594,-0.046891070902347565,114.6296995978835,-772.0127034490062,1.0,124.10025024414062,0.181012362241745,208000,0.5273052453994751,-3.9810325229395893,201.3099822998047,138.89553833007812,246.0,3323.8067462444305,6.425239086151123
0.0,247.0,5.955156326293945,114.0745668946632,0.01787697896361351,0.4526346027851105,-181.10894775390625,62.65321017077055,-0.03965095803141594,-0.1317102462053299,198.94607543945312,0.3660134971141815,0.0247480794341294,0.5080440640449524,209.0,209,30.332338333129883,844.6842105263158,-0.04758491739630699,109.34417296440982,17.86597288368011,1.0,188.59938049316406,0.20693467557430267,209000,0.500016450881958,-3.402719027603062,200.32098388671875,139.11180114746094,247.0,3335.8226885795593,6.211486339569092
0.0,248.0,6.314738750457764,115.08709527704865,0.017848415300250053,0.4951907694339752,-181.28041076660156,62.649079130414194,-0.1792127937078476,-0.07590746134519577,198.94442749023438,0.36607232689857483,0.0252455158307554,0.5082257986068726,210.0,210,29.85405731201172,845.3104838709677,-0.047872234135866165,113.70668855675382,533.8302044268111,1.0,201.11856079101562,0.21292133629322052,210000,0.5260758399963379,-1.6778839624541009,200.22628784179688,139.28538513183594,248.0,3352.0045771598816,6.327929496765137
0.0,249.0,5.806295871734619,111.17856505329038,0.01776295155286789,0.5086817741394043,-180.6580047607422,62.666315834922756,-0.22701339423656464,-0.09298311918973923,198.36532592773438,0.36593830585479736,0.026270585008002553,0.5092862844467163,211.0,211,14.292167663574219,845.9317269076305,-0.04946679249405861,94.16723566772431,109.12516854973751,1.0,167.5873565673828,0.18934959173202515,211000,0.5097898244857788,-9.04935155302343,199.57156372070312,139.1022491455078,249.0,3367.0401265621185,5.943772792816162
