eval/return_history,total/steps,total/steps_per_second,param_noise_stddev,eval/return,total/episodes,ret_rms_mean,obs_rms_std,reference_perturbed_action_mean,reference_Q_mean,train/loss_actor,reference_action_std,total/epochs,total/duration,rollout/return,rollout/episode_steps,reference_Q_std,reference_perturbed_action_std,train/loss_critic,rollout/actions_std,ret_rms_std,rollout/return_history,rollout/episodes,reference_actor_Q_std,rollout/actions_mean,train/param_noise_distance,eval/episodes,reference_action_mean,reference_actor_Q_mean,obs_rms_mean,eval/Q,rollout/Q_mean
2100.1342975218236,310000,27.647182651813694,0.018361167303396805,2490.156209442811,310.0,0.0,2.535095453262329,0.2720664143562317,435.0444030761719,-427.7579040527344,0.763164222240448,310,11212.715736865997,1210.143211863056,1000.0,4.531485080718994,0.7306923866271973,227.60919189453125,0.6705947518348694,1.0,1744.5555394181179,310.0,5.161227703094482,0.1787547618150711,0.2268371880054474,310.0,0.151163712143898,437.06903076171875,0.12532269954681396,466.7012023925781,351.4507751464844
2108.9634619847325,311000,27.64689723567135,0.019490749081111935,2513.3079484699656,311.0,0.0,2.535081148147583,0.035752858966588974,435.21649169921875,-424.95245361328125,0.7453206181526184,311,11249.001916885376,1213.755986987824,1000.0,3.820155620574951,0.7320969104766846,317.78875732421875,0.670516312122345,1.0,1751.993956783028,311.0,4.257425785064697,0.1787559688091278,0.18134889751672745,311.0,0.05177412927150726,437.041748046875,0.125365749001503,465.96044921875,351.8203125
2117.4035285637233,312000,27.639589299786184,0.018361167303396805,2087.1425323396293,312.0,0.0,2.5349762439727783,0.20291246473789215,433.265380859375,-423.5733947753906,0.7361573576927185,312,11288.156152248383,1213.3875741621578,1000.0,3.9043495655059814,0.7328667044639587,175.18734741210938,0.6714267134666443,1.0,1745.6285358786947,312.0,4.368542194366455,0.17757506668567657,0.2161744311451912,312.0,0.1459859162569046,435.30224609375,0.12538202106952667,462.7741394042969,351.6324462890625
2113.118916113779,313000,27.639778691446214,0.018361167303396805,1961.8397099575836,313.0,0.0,2.534407615661621,0.047797467559576035,432.9286193847656,-423.56976318359375,0.7289146780967712,313,11324.2585439682,1216.03462182514,1000.0,3.9119699001312256,0.7354803085327148,162.3451385498047,0.6713001132011414,1.0,1752.9517831266896,313.0,4.221501350402832,0.17755112051963806,0.226962648332119,313.0,0.20512692630290985,435.49871826171875,0.12547676265239716,459.0620422363281,351.986083984375
2119.081956367883,314000,27.639048561312542,0.020282151651708893,2468.7796248732247,314.0,0.0,2.534696578979492,0.30839473009109497,434.2944641113281,-425.2157287597656,0.7039008736610413,314,11360.738388061523,1218.5941536170114,1000.0,3.8094980716705322,0.6932952404022217,141.01287841796875,0.6713827848434448,1.0,1757.1220121329222,314.0,4.023582935333252,0.17718009650707245,0.1644350215792656,314.0,0.3153727352619171,437.2688293457031,0.12553353607654572,465.6015930175781,352.3285217285156
2116.6238978871806,315000,27.628240012550553,0.020282151651708893,1510.3079906400756,315.0,0.0,2.5350940227508545,0.30378398299217224,434.2206726074219,-426.1968688964844,0.7161941528320312,315,11401.377715587616,1222.7865062395724,1000.0,3.191906452178955,0.6980820298194885,152.93016052246094,0.6713224649429321,1.0,1772.1163269323242,315.0,3.34299373626709,0.17675301432609558,0.24377045780420303,315.0,0.2800898253917694,436.58148193359375,0.1256319284439087,384.02197265625,352.68499755859375
2123.7750368342886,316000,27.620491379872874,0.019106704324195603,2591.9657046527036,316.0,0.0,2.535264015197754,0.33865126967430115,431.61273193359375,-423.8861999511719,0.7320683598518372,316,11440.781253814697,1225.7658201070515,1000.0,3.2646007537841797,0.6964857578277588,227.60276794433594,0.6712895035743713,1.0,1783.4809429169175,316.0,3.8382458686828613,0.17698447406291962,0.18715447932481766,316.0,0.26649799942970276,434.19085693359375,0.1257690042257309,464.5097961425781,353.0299072265625
2124.143452325353,317000,27.618477783388162,0.019490749081111935,2013.465435595718,317.0,0.0,2.5358965396881104,0.2902314364910126,432.35211181640625,-425.131591796875,0.7370489239692688,317,11477.823017120361,1228.5867812005515,1000.0,3.3735198974609375,0.7293498516082764,160.2010498046875,0.6712902188301086,1.0,1790.1283491147196,317.0,3.6470835208892822,0.1768638640642166,0.22115407139062881,317.0,0.27641159296035767,434.65814208984375,0.12585702538490295,461.0447082519531,353.3619079589844
2129.4483330754033,318000,27.614295470487686,0.018730226766195082,2138.460401131431,318.0,0.0,2.5352578163146973,0.18441195785999298,433.539306640625,-425.7031555175781,0.71337890625,318,11515.774513959885,1231.0260570898358,1000.0,3.827209711074829,0.7386810779571533,250.5815887451172,0.6712135672569275,1.0,1786.7257540850205,318.0,4.166815757751465,0.17711175978183746,0.19555489718914032,318.0,0.2534562349319458,436.108642578125,0.1259792000055313,462.908203125,353.7072448730469
2138.2351601162304,319000,27.61207473420827,0.019106704324195603,2526.509752063338,319.0,0.0,2.535674571990967,0.3150268793106079,435.16253662109375,-426.2208251953125,0.7202011346817017,319,11552.916724681854,1233.8069654665899,1000.0,3.545278787612915,0.7203752398490906,170.06626892089844,0.6710311770439148,1.0,1799.257487692238,319.0,4.045346736907959,0.17690953612327576,0.1816030517220497,319.0,0.305754154920578,438.150634765625,0.12600268423557281,465.1368408203125,354.05010986328125
2137.8026735324374,320000,27.60313937229032,0.017999379770019416,2379.065109145481,320.0,0.0,2.535898208618164,0.19204455614089966,436.9647216796875,-426.6587219238281,0.7482413053512573,320,11592.884261608124,1237.1344278526508,1000.0,3.7521214485168457,0.7549837231636047,147.16773986816406,0.6709863543510437,1.0,1799.3748032069498,320.0,3.7962474822998047,0.1766854226589203,0.19239652156829834,320.0,0.2721165120601654,439.49639892578125,0.12604820728302002,468.0552978515625,354.3980407714844
2139.6411745320174,321000,27.591275640766717,0.018730226766195082,2297.279441460431,321.0,0.0,2.535818338394165,0.29761913418769836,437.32012939453125,-429.34161376953125,0.7578849792480469,321,11634.112325191498,1239.7418674585094,1000.0,3.7061104774475098,0.7497681975364685,174.2728271484375,0.6710317730903625,1.0,1805.1979269252065,321.0,3.8468215465545654,0.1765252947807312,0.1902126520872116,321.0,0.2504163086414337,439.92236328125,0.12610867619514465,466.1737060546875,354.7445983886719
2145.5206722888656,322000,27.583534096890308,0.018361167303396805,2467.9679577206707,322.0,0.0,2.5352580547332764,0.1389893740415573,438.029296875,-427.99554443359375,0.7610077261924744,322,11673.631046295166,1242.1604923491818,1000.0,3.496635675430298,0.7805805802345276,173.29833984375,0.6709767580032349,1.0,1807.6799832456006,322.0,3.5646331310272217,0.17644217610359192,0.17942854017019272,322.0,0.20858760178089142,440.2272644042969,0.12619222700595856,468.49468994140625,355.09002685546875
2146.3038605188913,323000,27.57256381241835,0.018730226766195082,2463.8931048716568,323.0,0.0,2.5364222526550293,0.17642684280872345,439.34527587890625,-428.480712890625,0.7704566121101379,323,11714.543565750122,1244.9971881941008,1000.0,3.227430820465088,0.7708972096443176,147.68072509765625,0.6709836721420288,1.0,1810.8083251445296,323.0,3.3404629230499268,0.17651227116584778,0.1921049728989601,323.0,0.2080315798521042,441.57733154296875,0.1262786090373993,467.7362365722656,355.4327697753906
