eval/return,eval/Q,obs_rms_std,reference_action_std,rollout/Q_mean,rollout/return_history,reference_actor_Q_mean,total/steps,train/loss_actor,reference_perturbed_action_mean,total/duration,rollout/episode_steps,reference_perturbed_action_std,reference_action_mean,ret_rms_std,rollout/return,rollout/actions_mean,train/param_noise_distance,rollout/episodes,ret_rms_mean,eval/episodes,train/loss_critic,total/steps_per_second,total/episodes,reference_Q_std,reference_Q_mean,obs_rms_mean,reference_actor_Q_std,total/epochs,rollout/actions_std,param_noise_stddev,eval/return_history
-2587.178613839227,-34.69590759277344,0.28775718808174133,0.9380949139595032,-20.7737979888916,-1261.3952319606938,-8.081083297729492,11000,33.85947036743164,-0.2090642899274826,158.3593122959137,827.0769230769231,0.8305849432945251,-0.05124834179878235,1.0,-1261.3952319606938,-0.4052196741104126,0.2670016288757324,13.0,0.0,11.0,2.114529609680176,69.4622870011279,13.0,1.1294692754745483,-9.294532775878906,0.01792457513511181,0.927690863609314,11,0.680325984954834,0.037587132956139066,-1729.061186846032
-2954.707808989054,-30.623516082763672,0.2842501997947693,0.9873268604278564,-21.95174217224121,-1256.1454678574573,-10.139778137207031,12000,32.89860916137695,-0.07446964085102081,173.51509189605713,839.4285714285714,0.9180097579956055,-0.011041656136512756,1.0,-1256.1454678574573,-0.3742481768131256,0.4859386682510376,14.0,0.0,12.0,3.7745959758758545,69.15824939993408,14.0,1.3491089344024658,-10.592340469360352,0.0201954934746027,1.3017078638076782,12,0.6968778371810913,0.03142349394213421,-1831.1984053579502
-2442.1928560381384,-37.044456481933594,0.28501471877098083,0.9939358234405518,-22.995803833007812,-1304.6371410694142,-8.477593421936035,13000,33.2200813293457,-0.09764222800731659,187.84981083869934,850.1333333333333,0.9282339811325073,-0.0052491724491119385,1.0,-1304.6371410694142,-0.35123562812805176,0.5758699774742126,15.0,0.0,13.0,2.7343125343322754,69.20422193644201,15.0,1.571403980255127,-9.760843276977539,0.021340010687708855,1.4755256175994873,13,0.7167748808860779,0.02575295069895359,-1878.1979784871955
-2995.7494919014266,-40.01705551147461,0.3005794584751129,0.934627890586853,-24.335966110229492,-1127.3429172655185,-5.228943824768066,14000,37.001651763916016,-0.005771726369857788,203.0582513809204,709.9473684210526,0.9921635389328003,-0.14627836644649506,1.0,-1127.3429172655185,-0.3294839560985565,0.36611035466194153,19.0,0.0,14.0,4.927272319793701,68.94573308295246,19.0,1.9574233293533325,-6.425160884857178,0.021798545494675636,2.183422088623047,14,0.7400600910186768,0.02152991267583435,-1958.023086588212
-1910.078282109691,-51.20454406738281,0.29869815707206726,0.9691486954689026,-26.12531852722168,-1209.3422387142916,-4.946173667907715,15000,41.993438720703125,-0.14294548332691193,216.24909377098083,724.45,0.9451597332954407,-0.17462581396102905,1.0,-1209.3422387142916,-0.30819568037986755,0.2157810926437378,20.0,0.0,15.0,2.9448320865631104,69.36445253216084,20.0,2.249807119369507,-5.8543171882629395,0.02343072183430195,2.535856008529663,15,0.7625280618667603,0.018361167303396805,-1954.826766289644
-2447.6626739411595,-65.00931549072266,0.31528136134147644,0.9731308221817017,-27.628448486328125,-1292.0969308665242,-4.816972732543945,16000,47.98976135253906,-0.19634412229061127,230.39490127563477,737.5714285714286,0.9568819403648376,-0.18048392236232758,1.0,-1292.0969308665242,-0.29028844833374023,0.1943577080965042,21.0,0.0,16.0,2.9047131538391113,69.44598127568055,21.0,4.069738864898682,-5.817893028259277,0.02421705424785614,4.173491954803467,16,0.781994640827179,0.015350253774398782,-1985.6290105178637
-1140.879653953675,-71.77518463134766,0.3281828463077545,0.8702153563499451,-29.591773986816406,-1366.2304258612355,-5.183175086975098,17000,57.57817840576172,-0.1940004527568817,242.4018907546997,749.5,0.9685828685760498,-0.31344830989837646,1.0,-1366.2304258612355,-0.2752619683742523,0.38453152775764465,22.0,0.0,17.0,3.8037052154541016,70.13146616584467,22.0,4.640305042266846,-6.042776584625244,0.024724120274186134,4.913830280303955,17,0.7982067465782166,0.01335415235733134,-1935.937871896441
-2894.5833569496444,-60.38176345825195,0.324442058801651,0.8468242883682251,-31.72348976135254,-1435.764708827844,-3.0230660438537598,18000,55.35096740722656,-0.4681118130683899,257.50211453437805,760.3913043478261,0.8364335298538208,-0.5029206275939941,1.0,-1435.764708827844,-0.2790190577507019,0.1323428601026535,23.0,0.0,18.0,9.083901405334473,69.9023385984541,23.0,4.611731052398682,-4.04599142074585,0.025222057476639748,4.499856948852539,18,0.8044726848602295,0.014460633428115275,-1989.195954399397
-1991.7786383116775,-72.5423812866211,0.3230179250240326,0.9627169370651245,-33.79261779785156,-1478.8721371541335,-3.3372340202331543,19000,62.793277740478516,-0.49998700618743896,271.1561861038208,770.375,0.8469730019569397,-0.25585970282554626,1.0,-1478.8721371541335,-0.29810455441474915,0.24301555752754211,24.0,0.0,19.0,3.7262380123138428,70.07031730681314,24.0,4.809206485748291,-3.829002857208252,0.02392081916332245,5.091859817504883,19,0.8040034174919128,0.015047793132436803,-1989.3318851316221
-2994.521856539607,-74.23795318603516,0.3195597231388092,0.966182291507721,-35.87336349487305,-1536.8563365071316,-4.326267242431641,20000,65.64950561523438,-0.2630046010017395,286.3206217288971,779.56,0.9531465172767639,-0.25234150886535645,1.0,-1536.8563365071316,-0.30196094512939453,0.30331090092658997,25.0,0.0,20.0,3.862640619277954,69.85176226299556,25.0,4.6153998374938965,-4.930024147033691,0.02366824634373188,5.077096462249756,20,0.810407817363739,0.015973535632157008,-2039.5913837020212
