rollout/episodes,reference_actor_Q_mean,eval/Q,eval/episodes,total/steps,total/episodes,reference_action_std,total/duration,reference_action_mean,train/loss_critic,rollout/actions_mean,obs_rms_mean,rollout/episode_steps,reference_Q_std,rollout/Q_mean,eval/return,rollout/return,total/epochs,train/param_noise_distance,reference_actor_Q_std,rollout/actions_std,obs_rms_std,train/loss_actor,eval/return_history,rollout/return_history,total/steps_per_second,reference_Q_mean,ret_rms_mean,ret_rms_std
21.0,60.601768493652344,70.50371551513672,21.0,21000,21.0,0.5276035070419312,379.2901360988617,-0.057263631373643875,3.001633405685425,0.09979544579982758,0.0992184430360794,1000.0,4.742527484893799,30.70182228088379,512.7501474733909,-129.83679419948905,21,0.0,4.740411281585693,0.6218493580818176,1.7808784246444702,-55.82325744628906,-74.36683596316483,-129.83679419948905,55.36658616011666,59.953033447265625,0.0,1.0
22.0,62.084678649902344,73.09200286865234,22.0,22000,22.0,0.48404932022094727,397.18810963630676,-0.059634964913129807,1.385047197341919,0.08790148049592972,0.09333126246929169,1000.0,5.499949932098389,32.5179443359375,374.88709896533095,-111.33924261187393,22,0.0,5.508018970489502,0.6178988814353943,1.7639347314834595,-58.35041046142578,-53.94620255732411,-111.33924261187393,55.389372104176886,61.51054000854492,0.0,1.0
23.0,63.672027587890625,76.2088623046875,23.0,23000,23.0,0.5839495658874512,415.037766456604,-0.06445006281137466,3.3104968070983887,0.07920628041028976,0.0880904495716095,1000.0,5.74083137512207,34.2673225402832,672.4806571214793,-99.34290186356996,23,0.0,5.522627830505371,0.6119070649147034,1.7462809085845947,-60.94593811035156,-22.36242604955005,-99.34290186356996,55.416643637910624,63.0592041015625,0.0,1.0
24.0,66.80287170410156,79.04389953613281,24.0,24000,24.0,0.5775505304336548,432.9513680934906,-0.03398240730166435,3.8341972827911377,0.08069397509098053,0.08847066760063171,1000.0,5.4557294845581055,35.61787033081055,484.45227364392457,-88.0289832187331,24,0.0,5.539414882659912,0.6064786314964294,1.7575559616088867,-64.02131652832031,-1.2451468956552578,-88.0289832187331,55.433477680609826,66.08151245117188,0.0,1.0
25.0,68.16488647460938,81.58446502685547,25.0,25000,25.0,0.4466736614704132,450.8918807506561,-0.01570478081703186,3.9387619495391846,0.0781145989894867,0.08740615099668503,1000.0,7.225398063659668,36.964073181152344,420.6152306113995,-83.83472139806722,25,0.0,6.999587535858154,0.6049706935882568,1.764626383781433,-66.44660949707031,15.629268204626932,-83.83472139806722,55.44566462004011,67.27566528320312,0.0,1.0
26.0,69.27328491210938,85.30448913574219,26.0,26000,26.0,0.4345758557319641,468.7836308479309,-0.20295937359333038,3.575533390045166,0.07860816270112991,0.08525440841913223,1000.0,7.8932342529296875,38.49068832397461,573.8212575576703,-79.29885149696487,26,0.0,7.927587032318115,0.6030521392822266,1.7538007497787476,-68.23689270019531,37.098190872051674,-79.29885149696487,55.462687451290634,68.7586669921875,0.0,1.0
27.0,71.74613189697266,88.40911102294922,27.0,27000,27.0,0.375194787979126,486.72924518585205,-0.1595899611711502,3.503796100616455,0.07788006961345673,0.08234616369009018,1000.0,8.372445106506348,40.222434997558594,431.9182837287488,-64.5621634662119,27,0.0,8.110396385192871,0.5988974571228027,1.7454347610473633,-70.85578918457031,51.72115727415157,-64.5621634662119,55.4723190912647,70.6120376586914,0.0,1.0
28.0,73.48631286621094,91.25603485107422,28.0,28000,28.0,0.4500443935394287,504.65363216400146,-0.2557160258293152,4.5576395988464355,0.07043657451868057,0.07888931035995483,1000.0,8.291814804077148,41.98835372924805,622.2372476620391,-45.286740639532134,28,0.0,8.194293975830078,0.5959550738334656,1.743964433670044,-73.6204605102539,72.09673193086185,-45.286740639532134,55.483599473828036,72.70710754394531,0.0,1.0
29.0,75.81324768066406,94.25489807128906,29.0,29000,29.0,0.37659189105033875,522.6001174449921,-0.08692171424627304,5.831254482269287,0.06566519290208817,0.07557109743356705,1000.0,9.719343185424805,43.7031364440918,471.22428079310447,-33.24593683980917,29,0.0,9.214184761047363,0.592596173286438,1.7454314231872559,-76.86349487304688,85.85975085714607,-33.24593683980917,55.49175943890309,74.56838989257812,0.0,1.0
30.0,78.37710571289062,96.6050033569336,30.0,30000,30.0,0.37043771147727966,540.5534420013428,0.07600311189889908,5.704364776611328,0.061596084386110306,0.0721202865242958,1000.0,10.512222290039062,45.387550354003906,404.17955617726733,-28.613169608126686,30,0.0,10.48891544342041,0.5945540070533752,1.7469823360443115,-80.36798095703125,96.47041103448345,-28.613169608126686,55.498675374127906,77.40457916259766,0.0,1.0
