eval/episodes,ret_rms_mean,reference_actor_Q_std,train/loss_critic,rollout/episode_steps,total/duration,total/steps_per_second,reference_Q_std,rollout/actions_mean,total/epochs,rollout/episodes,rollout/actions_std,total/steps,reference_actor_Q_mean,ret_rms_std,eval/Q,rollout/return_history,rollout/return,train/loss_actor,reference_action_std,reference_action_mean,rollout/Q_mean,reference_Q_mean,obs_rms_mean,eval/return_history,eval/return,train/param_noise_distance,total/episodes,obs_rms_std
21.0,0.0,16.316560745239258,10.72232437133789,1000.0,380.6618003845215,55.16708001377357,16.2019100189209,-0.08473516255617142,21,21.0,0.6344538331031799,21000,96.32186889648438,1.0,133.29815673828125,152.06854792286128,152.06854792286128,-115.98816680908203,0.7407815456390381,0.3492046594619751,58.69607162475586,95.03494262695312,0.038571424782276154,361.0806711146547,800.326675311308,0.0,21.0,2.0542585849761963
22.0,0.0,15.78591537475586,10.002706527709961,1000.0,398.76469230651855,55.17038099022381,16.440458297729492,-0.08406557142734528,22,22.0,0.6345476508140564,22000,102.39241027832031,1.0,139.55084228515625,151.75851637460775,151.75851637460775,-122.04283142089844,0.7826570272445679,0.31123173236846924,61.99336242675781,100.40541076660156,0.036854781210422516,383.2670068485371,849.1800572600672,0.0,22.0,2.0346078872680664
23.0,0.0,15.675888061523438,11.891143798828125,1000.0,417.02215814590454,55.15294463550528,15.879161834716797,-0.0809968039393425,23,23.0,0.6329002976417542,23000,109.57992553710938,1.0,145.0154571533203,187.5866485899516,187.5866485899516,-128.35206604003906,0.756258487701416,0.42520198225975037,65.40223693847656,107.73973083496094,0.03801378235220909,405.04737504828336,884.2154754427011,0.0,23.0,2.0418782234191895
24.0,0.0,13.989490509033203,9.595131874084473,1000.0,435.5832710266113,55.09853476106927,14.436842918395996,-0.08238529413938522,24,24.0,0.6284849047660828,24000,115.84353637695312,1.0,149.94874572753906,208.04215129713813,208.04215129713813,-134.68446350097656,0.6675265431404114,0.5473869442939758,68.74851989746094,114.12657928466797,0.03613458573818207,417.80014392726895,711.1138281439387,0.0,24.0,2.0444772243499756
25.0,0.0,14.545770645141602,9.326605796813965,1000.0,454.06492733955383,55.05820532424601,15.280871391296387,-0.08168356120586395,25,25.0,0.6330152153968811,25000,120.83116149902344,1.0,159.01185607910156,213.34898825697016,213.34898825697016,-140.25628662109375,0.7045336961746216,0.4512600898742676,71.13482666015625,118.61715698242188,0.03853335604071617,448.83133918493286,1193.580025368867,0.0,25.0,2.086463451385498
26.0,0.0,14.454388618469238,12.218372344970703,1000.0,472.5960536003113,55.01527107966285,14.604609489440918,-0.08098581433296204,26,26.0,0.6319619417190552,26000,125.7021255493164,1.0,163.7082061767578,222.4983756801274,222.4983756801274,-146.05714416503906,0.6652454733848572,0.4907560646533966,74.43902587890625,124.38163757324219,0.037702422589063644,465.3420465206428,878.1097299133905,0.0,26.0,2.085754871368408
27.0,0.0,15.103778839111328,20.656200408935547,1000.0,490.7826557159424,55.014169073707436,15.05960750579834,-0.07756433635950089,27,27.0,0.6327921748161316,27000,128.47740173339844,1.0,170.194580078125,230.29696525650033,230.29696525650033,-151.2234344482422,0.6656973361968994,0.3896295130252838,77.67034912109375,126.9839096069336,0.036949288100004196,504.3598431999853,1518.8225568628902,0.0,27.0,2.0949528217315674
28.0,0.0,16.011882781982422,22.122722625732422,1000.0,508.9412977695465,55.016168117444984,16.616300582885742,-0.07784028351306915,28,28.0,0.6311176419258118,28000,133.3369598388672,1.0,174.6659698486328,239.64335251101076,239.64335251101076,-155.88131713867188,0.6298123002052307,0.46805477142333984,80.8769302368164,132.2119903564453,0.035625893622636795,532.8643006326761,1302.4846513153275,0.0,28.0,2.098261594772339
29.0,0.0,17.18970489501953,12.197002410888672,1000.0,527.1617240905762,55.011581218323165,16.897663116455078,-0.0787368193268776,29,29.0,0.6294392943382263,29000,145.94790649414062,1.0,164.65089416503906,259.05265174872716,259.05265174872716,-161.6881866455078,0.7988211512565613,0.186909019947052,84.12773132324219,142.9862823486328,0.03516393154859543,537.2953183990209,661.3638158566735,0.0,29.0,2.0932247638702393
30.0,0.0,15.337252616882324,15.665897369384766,1000.0,545.119491815567,55.03380534070143,15.319039344787598,-0.07519568502902985,30,30.0,0.6300546526908875,30000,153.3314208984375,1.0,179.86476135253906,267.96699600132104,267.96699600132104,-166.86441040039062,0.8162115216255188,0.17727474868297577,87.19474029541016,150.988525390625,0.0355118028819561,544.6284253461854,757.2885268139573,0.0,30.0,2.099766969680786
